start,end,text
0,6180," Hello everyone and welcome to yet another recreation programming session with Mr. Zozin."
6180,11760," So today we're going to continue developing Coil, the game that we've been developing for some time,"
11760,16780," but we actually paused the development because I was in the middle of rewriting that game"
16780,24740," from TypeScript to C3 compiled to WebAssembly. And you know what? I actually succeeded."
25120,31320," It's pretty much rewritten in C3, right? So not everything is completely rewritten in C3,"
31320,37640," but majority of the game is actually in C3. So we can actually take a look at all of the MTS files."
37640,42340," MTS files are the TypeScript files, but they're modules, right? So they're run in the module mode."
42340,48000," And if we concatenate all of them and we count the amount of lines, this is how many lines of TypeScript"
48000,53940," we have in the entirety of the game. It's not too much actually, right? So it's just below 500."
54280,66280," How many lines of C3 code do we have in this game? 2,000. 2,000 lines of C3 and 500 lines of TypeScript"
66280,73480," to sort of glue all of that together. That's basically the idea. That's basically the entirety of the game."
73480,91480," So, and the game actually consists of two WASM binaries. The client WASM, right? And the server WASM. So the client WASM is compiled from client C3, right? And correspondingly, the server WASM is compiled from server C3."
91480,103480," They share the logic of updating the world, right? Because client should be able to update the world on its own, and the server should be able to update the world."
103480,114480," And sometimes they basically synchronize and agree whether the world is in correct state, right? To be able to agree that the world is in a correct state, they need to be able to simulate the world in a similar fashion."
114480,122480," Because of that, all of the logic related to the simulating of the world that is shareable between client and the server is located in a common C3."
122480,133480," So basically, this is module include into the client C3 when we compile client WASM. And this, the same module common C3 is included into server C3 when we compile server WASM."
133480,142480," So that's how it works. So then we have a client MTS, which is a TypeScript program, which is then compiled to JavaScript, but that's besides the point."
142480,146480," In the future, I suppose, all of the JavaScript is going to be TypeScript, right?"
146480,157480," So if I understand correctly, everything moves towards just ECMAScript supporting the types of TypeScript and the runtimes simply stripping everything off, right?"
157480,162480," So everything goes towards that. A lot of JavaScript runtimes already kind of do that."
162480,167480," And so there is like an experimental browser extension that also does that as well."
167480,173480," So TypeScript is basically the future JavaScript anyway. So it's just like an intermediate step that we compile into JavaScript."
173480,180480," But I feel like in the future, we're going to have even less JavaScript. At some point, the server part is going to be completely native."
180480,186480," That's my ultimate goal, that the server part is not going to have any JavaScript at all, right?"
186480,195480," It's going to be like a native executable that you just run. And the client is going to be like primarily WASM that just connects to that native executable on the other machine."
195480,204480," Right, so in any case, client_mgs, right? So this entire thing, what this entire thing does, one of the things it does, it instantiates the WASM client, right?"
204480,212480," So it fetches the WASM client, that client.wasm file, right? And instantiates WASM blob."
212480,221480," It provides a bunch of the functions that this WASM blob needs, a bunch of functions from the standard C library, math functions and stuff like that, right?"
221480,227480," So it just expects them to be there, so I provide them. And a bunch of platform stuff, right?"
227480,231480," So essentially, right now, it can play sounds and stuff like that."
231480,236480," So basically, some sort of interface to the platform where the client is running, right?"
236480,242480," And this is the function that the client, the WASM blob, can call to do something in the browser."
242480,248480," So the blob itself, on the other hand, has a bunch of interesting functions, right?"
248480,251480," So that we periodically call, right?"
251480,257480," So essentially, the most important function that we periodically call is probably a renderGame, right?"
257480,263480," So a renderGame function, we just tell the game to render a single frame, right?"
