start,end,text
160,6000," Are we live? Looks like we're live. Hello everyone and welcome to yet another"
6000,11280," recreational programming session with Azurzi. Let's make a little bit of announcement and"
11280,20560," officially start the stream as usual, as usual. So let's do the Red Circle live on Twitch and"
20560,31040," what are we doing today on twitch.at television website? Today we are doing Raylib plus FFmPack."
31040,35520," How about that? So I'm going to give the link to where we're doing all that twitch.tv/sodding"
35520,39760," and I'm going to ping everyone who's interested in being pinged. Their goal is stream has officially"
39760,46160," started. So have you guys seen the latest Musializer? Do you guys watch the offline sessions"
46160,54400," on Sodding Daily? Do you do all of that? Look what kind of we have now. Look at that. Look at that, Shaisa."
54400,60080," I hope the encoding is not completely ruined, but you get the idea."
60080,72960," You know, there's something even more epic. So this is not the most epic actually song that you can play"
72960,80480," in here. You can do shit like that. Right. So let's actually put my favorite sample of all time from"
80480,95600," Null. It's just an obstacle in my way and it's the first sample. This is my favorite sample so far."
95600,105280," It repeats actually. So the Musializer basically repeats all of the samples that you put in there."
105280,113120," So yeah, that's basically the state of Musializer. But unfortunately, right now, the only thing you can do"
113120,127120," with this Musializer is just like look at this visualization. And it's just like that means it's just a glorified like a Windows media player. And Windows media player even had like a even better visualizations. So you know what we need to have?"
127120,134640," We need to have we need to have an ability to render that into an actual video in full HD, 60 fps,"
134640,141360," battery smooth, so you can upload it on all of your social media platforms, get shit ton of likes and shit ton of external"
141360,155120," validation. That's the main goal of this tool. In fact, the main goal of this tool is not just visualize and look at it, but actually produce videos, high quality videos of that visualization."
155120,168800," And so that you can like basically post-process it or maybe upload it as it is and stuff like that. So that's kind of the main goal."
168800,177840," That's kind of the main goal. That's kind of the main goal. And this is exactly what you need to do, but you can post-process it, or maybe upload it as it is, and stuff like that."
177840,191840," So that's kind of the main goal. That's kind of the main goal. And this is exactly what we're going to do today. Right. So, luckily, with FFMPEG, it's relatively easy. We've already done something like that."
191840,201840," Right. And we're going to revisit that specifically today. And I even created a separate repo for that. I just remembered, like right before the stream, I remember that I created separate repo."
201840,210840," So there is a complete example that demonstrates how to do that. Right. I'm going to copy-paste it in the chat. And of course, it's going to be in the description as well."
210840,226840," So, and this entire thing just does that. Unfortunately, it doesn't even have a video. Maybe this is something that we can do on today's stream, just like render a video that this thing sort of demonstrates and just like put it in here because GitHub recently allowed you to upload videos there."
226840,237840," So, I think it would make sense. And you know what's cool about this specific example? It uses Olive C to render videos. Right. It generates each individual frame with Olive C and it just passes it to FFMPEG."
237840,253840," And FFMPEG does all of the encoding and produces the video and stuff like that. So, it doesn't use Raylib. Right. So, the new thing that we need to figure out today is to how to, I suppose, grab the image of Raylib window and pass it to FFMPEG."
253840,258840," FFMPEG. So, this is like a novel thing that we'll need to, you know, explore today."
258840,270840," And in fact, we developed this entire thing on the stream. Maybe I should put like the link to the stream in here, but the link to the stream where we developed this entire thing is going to be in the description, of course."
270840,283840," And for people who are in the chat, I'm going to paste it in the chat. It's basically one of the, you know, machine learning in C episodes where we basically rendered video out of the model that we trained. Right."
283840,296840," So, we trained the model to interpolate between two images at upscaled resolution and we generated like interpolation as a smooth video. Right. And we use FFMPEG to do that. So, this is basically what we did."
296840,307840," So, already. People are subscribing like crazy. Thank you so much, Reako, for tier one subscription with the message. Nice. Nice. It is indeed."
307840,318840," Marcio Netta. Thank you so much for tier one subscription with the message. Has it been 12 months already? Thanks for the all, for all of the amazing projects. It really helps keep programming fresh."
318840,326840," You're welcome. Right. You're welcome. So, this is one of the probably reasons why I quit the industry, because industry kind of kills all of your passion about programming."
326840,334840," You cannot maintain passion about programming while you're working in industry. So, you have to do that from the outside, unfortunately."
334840,345840," And what's interesting is that, like, this industry would not be even possible without passionate people like us. Because, like, nobody would want to do this kind of shit. Right."
345840,357840," Like, honestly, programming is horrible. It is absolutely horrible. It's a mental torture. Unless you are actually passionate about it, you won't fucking do that."
357840,370840," No matter how much money, like, they will pay you, you have to be passionate about this shit to actually withstand the mental damage that you endure. Right. So, you have to be passionate. Right."
370840,387840," And this industry does not even respect passionate people. Right. It just uses them up and throws them away. Right. The next passionate students from the CS University are going to come in, we're going to squeeze out of them and then we're going to take the next ones and the next ones and the next ones."
387840,400840," So, this is how the industry sort of perpetuates itself. It's just like very, very much cannibalistic and devours all the, you know, enthusiastic people and throw them outside of the industry and they never come back."
400840,416840," Which creates an interesting problem in itself. Right. Because there is a lot of passionate people, but there is not enough passionate and competent people. Right. Because as soon as you become competent in this industry, you stop being passionate."
416840,429840," And that may create a problem that may blow up in the future. We really need not only just passionate people, but also competent ones. Yikes. Yikes. Yikes."
429840,439840," Yikes. Yikes. Voidmain, Jers, thank you so much for tier one subscription with the message. Thank you so much for entertaining and teaching us how to write characters in the text editor and make it fun. Sure. Right."
439840,452840," I'm just a huge language model that looks at the prefix of characters and just makes a decision. What's the most probable character is going to be next and picks it randomly to keep it interesting."
452840,457840," So that's that's how I code. That's literally how the human brain works. Kappa."
457840,465840," Kappa. So thank you so much, AppioEcho for tier one subscription with the message. Hello. Hi, hi, hi."
465840,467840," So Yusu, Yusu, Yusu."
467840,485840," So let's take a look at this example that renders videos in C with FFM pack. So I don't really remember how it even works. But what I remember, it creates FFM pack as a separate process and then establishes the pipe between your current process and FFM pack."
485840,495840," FFM pack and sends the frames over that pipe and FFM pack just like compresses those frames. I mean, encodes them and turns them into like an actual video."
