start,end,text
960,6560," Hello and welcome to another Zozin session. How about that?"
6560,10680," But you didn't expect that shit to happen yet again."
10680,16480," So today we're going to continue working on our weird video generator thingy."
16480,23740," I feel like my projects become more and more obscure as I go further."
23740,30040," As my mental state deteriorates, my projects become more and more obscure."
30040,32600," And that's the project we're working on today."
32600,39200," So, well, I'm going to leave the link to the playlist of the project in here."
39200,44540," So the playlist for 2mpeg4u."
44540,49460," And I didn't create the playlist yet, so I'm going to create it after the stream."
49460,57960," So the idea of this project, right, was at least to explore a very simple video format"
57960,63460," that you can just generate yourself manually without using any libraries."
63460,68000," And I want you to explore that format because it has a huge potential for debugging purposes, right?"
68000,73400," So if you want to debug some sort of like a motion or some sort of like a simulate some sort of a system,"
73400,76720," you don't need to use any OpenGL stuff."
76720,80400," You can just generate the video and play it with the video player that supports that format."
80400,87820," As we were just playing with the format, we implemented, you know, a simple simulation that looks kind of cool, right?"
87820,91480," And we started to do all sorts of cool things with it."
91480,97140," And that went outside of the original scope of the project, right?"
97140,98680," So that's basically what we're doing."
98680,101000," We're just working on these weird simulations."
101220,112320," So right now simulation is a little bit broken, but I think on Twitter, I still have a video that captures the state,"
112320,114840," like what kind of stuff it can generate, right?"
114840,119500," So, yeah, so this video, you can find it in here, right?"
119500,124460," So, and basically our video generator can generate these kind of videos, right?"
124460,132780," So it generates like a very simple simulation that, you know, makes the rectangles that bounce off of the walls."
132780,139440," And when they bounce, they actually split in two and start moving in opposite directions and become smaller and smaller until they all disappear."
139840,142780," So that creates a pretty cool pattern, as you can see."
142780,146080," And we also color rectangles in like rainbowish colors."
146080,149100," So it like creates a very, like a pleasing picture."
149100,154440," So you can find this thing in the chat or in the description, right?"
154440,159260," So the cool video from Twitter, right?"
159260,160100," Cool."
160100,160700," Yikes."
160700,161180," Cool."
161180,162780," Right."
162780,163500," So it's called cool."
165840,172260," So, and we broke it recently because I was trying to introduce sound to the video generator, right?"
172260,175080," So right now we're generating only the, you know, the visual part."
175080,180680," But we then yesterday tried to introduce some sort of a sound."
180680,184500," And to introduce the sound, I simplified the animation a little bit."
184500,186800," So to impact for you."
186800,192380," And let me actually clean everything up and regenerate the video one more time, right?"
192560,195340," So basically I stripped off all of the rectangles."
195340,196940," I only left one rectangle."
196940,202340," And when the rectangle hits the wall, I make it play a sine wave beep, right?"
202340,208540," And as it bounces more and more, the, that beep, like the frequency of that beep increases."
208540,210840," And that creates a pretty interesting video, I suppose."
210840,212020," Right."
212020,214880," So let's actually regenerate the video and let's see how it looks like."
214880,218200," So it will take some time because this is a raw video format."
218340,223740," So it generates huge files and it takes some time, but it doesn't require any special libraries"
223740,224900," or any special encoding."
224900,227700," And that's kind of the, the point of this format, right?"
227700,229120," That's kind of the point of it."
229120,234660," It doesn't have to be good for storing or transporting things."
234660,237460," It's specifically for debugging things."
237460,241160," That's what I want to use it for personally."
242300,248580," Because we don't have that many, like, sort of like debugging video formats or, yeah."
248580,255000," So that's basically what it does."
255000,257540," And this is what we did on the, on the previous stream."
257540,261160," Don't worry."
261160,261940," It's not going to blow up."
264200,264800," So, yeah."
264800,273840," And today I want you to improve our audio system to actually support hundreds of the rectangles,"
273840,274180," right?"
274180,277140," So, because right now it can only play one beep at a time."
277140,282080," And you can even hear sometimes when it needs to play consequent beeps, they actually clip"
282080,288540," a little bit because, because of how we manage the, the sound waves and stuff like that."
288540,292180," So it's kind of, it's kind of difficult to explain, but maybe I can try to explain what"
292180,293300," exactly is the problem here."
293420,299920," So there, there is a, like a really weird audio bug that, um, maybe you can hear, maybe"
299920,300300," not."
300300,304780," It just depends on how much the streaming obscures everything."
304780,305780," Uh, just a second."
305780,308840," So I'm going to try to listen to it myself."
308840,313400," So sometimes it actually sort of cracks or clips."
313400,315120," It doesn't really clip, but cracks."
315120,317000," Um."
322640,329140," It usually happens when there's two quick consequent beeps, especially when it bounces off of two"
329140,330580," sides, like very, very quickly."
330580,334140," Like here, uh, you can hear that's like small click in there."
334140,335740," Yeah."
335740,336240," Right here."
336240,340660," Yeah."
340660,341460," Another one."
345920,354480," So, and this happens because, um, this happens because, um, this happens because, uh, the way"
354480,358300," we manage the notes, right?"
358300,361760," Or rather the, the volume of notes, right?"
361760,364220," So this is essentially the time."
364220,369200," And this is the, I don't know, some sort of like a pressure, but I don't know, because this"
369200,369900," is the sound wave."
369900,370500," Right."
370540,372080," So we need to play the beep, right?"
372080,374800," So we play the beep with a constant frequency, right?"
374800,380700," But if you just play the beep like that, uh, it will click on the edges of the beep, right?"
381280,389100," So what we do, we actually, uh, um, slowly fade in the beep, right?"
389100,390260," Very, very quickly."
390260,393740," Like, uh, but, but still slowly we smooth out this kind of thing."
393740,397180," And then we play for a particular time and then we fade out."
397180,404780," But since the beep is like around 100 milliseconds or 200 milliseconds, this is like a 5% of, uh,"
404780,405900," 100 milliseconds."
405900,408780," So it's basically 5 milliseconds, right?"
408780,412900," So the, the fade in is 5 milliseconds and fade out is around also 5 milliseconds."
412900,417280," So, and even though it happens quickly, it smoothes out that clicks."
417280,419000," But here's the interesting thing."
