start,end,text
0,5660," Hello everyone and welcome to yet another recreation programming session with Amista Zosin."
5660,11180," So today we're taking a look at a very interesting operating system. It's called Essence."
11180,16720," Right, and what I find interesting about this operating system, not only it looks good, right,"
16720,20120," so you can take a look at these screenshots and actually confirm for yourself that it looks"
20120,27000," pretty modern, right, so not like super modern, but you know, it's decent. I would use this kind"
27000,34020," operating system today, but it's also not a POSIX operating system. You would think it's,"
34020,38440," oh, maybe it's some sort of like Linux distro or yet another POSIX. No, no, no, no, no, no, no."
38440,46440," It's not POSIX operating system. It's created from scratch and it's trying to do its own thing."
46440,52620," And that's what caught my attention. This is what caught my attention, right, and like this is the"
52620,59800," reason why I like things, like for example, TempleOS, because like Serenity... No, no, no, SerenityOS"
59800,65720," is not trying to do its own thing. As far as I know, it's basically recreating POSIX, isn't it?"
65720,72000," But it's putting some stuff on top of POSIX, yes, for sure, but it's kind of still recreated. It's a"
72000,79400," Unix-like operating system, right? So, and like, I mean, no disrespect to SerenityOS and Andrew's"
79400,88820," Link and what he's doing, but from my perspective, what he's doing is basically recreating the existing"
88820,94380," mess that we already have. Software is a mess and it's a mess for a reason, right? Because we have"
94380,99560," obstruction layers, compatibility layers and stuff like that. And for me, recreational programming,"
99560,107060," like for me personally, it's a way to escape that mess and try something else. Like imagine,"
107060,113660," what if we had an opportunity to not support something, like, or maybe try a different model"
113660,120340," or whatever, like a different UX? How would it look like? So, and I don't see much point in"
120340,127420," recreating existing software stack mess in a recreational manner. I'm not saying that Andrew's"
127420,132260," Link shouldn't do that, like, and it's actually very fucking impressive. Like what he's doing"
132260,137200," is an insanely impressive, and I actually completely support what he's doing, because on top of just"
137200,142560," doing this very technical, difficult and technical thing, he's also building a community, he's also"
142560,149500," engaging people, right? It's, it's obviously fun. I'm just saying that for me personally, it's kind of less"
149500,156320," interesting than trying out something new, like in case of TempleOS or Essence, right? So absolute love"
156320,161760," what Andrew's Link is doing. And maybe at some point, we're going to actually do a SerenityOS stream. I already did"
161760,169100," SerenityOS stream, by the way, but it was long time ago, right? So and not that many people. So we'll"
169100,173980," already have a lot of new people on the channel. So a lot of people don't remember that SerenityOS stream."
173980,179180," So maybe I'm going to do another one. And on that SerenityOS stream that didn't survive, no, no, no,"
179180,184920," it's not on YouTube. It was actually before I was archiving things on YouTube. Yeah, unfortunately. So and"
184920,192960," on that SerenityOS stream, I actually like developed a game of life, right? So I just like built SerenityOS and"
192960,197860," build an application for that operating system, and just play with it. And it was actually kind of fun. Like I"
197860,207940," really enjoyed it. So yeah, anyway, essence. So you can find the the website and the source code of this"
207940,211620," entire thing here, I'm going to copy paste it in the chat and for people on YouTube is going to be in the"
211620,220740," description. Right. So and yeah, let's go ahead and take a look at this entire thing. It's actually pretty"
220740,228420," simple. I already downloaded the source code and already build it, right? It builds around. So the"
228420,235860," documentation says that it will take around 20 minutes on a modern computer. For me, it took almost"
235860,244340," an hour, but because I'm using an old laptop, like 10 years old laptop, right? So and what's funny is that"
244340,252900," while building, it's actually downloading GCC and first builds a specific version of GCC from scratch"
252900,258420," and then builds the operating system with that specific version of GCC, which kind of reminds me"
258420,264820," what I saw in SerenityOS as well. For some reason, SerenityOS also uses very specific version of the"
264820,272100," compiler and builds with a very specific version of the compiler. So non C++, I think it's a C++. I think"
272100,280340," this entire thing is written in C++, if I'm not mistaken. Right. And maybe it is actually very"
280340,287460," common in operating system development, right? So maybe different compilers have different quirks and"
287460,291700," stuff like that. And maybe it is important for operating system development. I never actually"
