start,end,text
800,9420," looks like we're live hello everyone and welcome ah this is so fucking funny yeah yeah so we"
9420,15480," actually reverted back all of the changes yeah we reverted back all of the changes sure sure"
15480,26380," god i hope this platform dies anyway so hello everyone and welcome to yet another uh recreational"
26380,31920," programming session hello hello welcome welcome welcome so let's make a little bit of an announcement"
31920,41440," and officially as that uh the stream and uh so let's do the usual thing uh just a second um red"
41440,49860," circle right uh live on twitch and what are we doing today on twitch dot a television website what's the"
49860,56240," topic of today's stream today the topic of today's stream is who needs css when they have a pure c"
56240,62960," right that's the topic of today's stream all right so let me give the link to where we're doing all"
62960,69260," that unfortunate twitch.tv and i'm gonna ping everyone who's interested in being pinged and"
69260,76400," there we go the stream has officially started the stream has officially started so today we continue"
76400,84280," working on uh n.h which is a deep learning framework in pure c that we've been developing for quite some"
84280,90820," time oh shit uh you can find this thing uh here i'm gonna copy paste it in the chat and uh for people"
90820,97440," who's uh watching on uh on youtube i forgot to prepare the description file what the hell right so i'm gonna"
97440,105740," put that in the description as well so this is the references and uh and then dot h right so that's"
105740,112020," basically the uh the source code of this entire thing so and what i want you to do today is actually not"
112020,118820," related to machine learning or uh neural networks right so to do today i want you to do some sort of"
118820,122060," like a maintenance work but not really so i think it's going to be rather interesting"
122060,128880," uh right so um as a part of our framework we actually have a little bit of a ui"
128880,136580," we could have done uh something like um you know the uh terminal interface where all of the information"
136580,142960," is printed on a standard output in the form of a log and that would have been uh enough right"
142960,149040," so but i believe it is more education to have something more uh visual and we are educating"
149040,154780," ourselves we are learning how to do uh artificial intelligence neural networks and stuff like that"
154780,161620," and primarily i learn how to do all of that right so i'm sort of like the main learner of this entire"
161620,166280," stuff right so and i just share what i learned and stuff like that so for me it's quite important"
166280,171820," to have the visual things that i can like see and just like you know drag around and stuff like that"
171820,177420," and because of that i have this uh sort of like a ui right so which visualizes the current neural"
177420,181860," network i believe this kind of visualization of the neural network is not particularly useful"
181860,187920," right so the deeper and more complicated neural network becomes the more useless this visualization"
187920,193120," becomes but i have a couple of ideas on how to improve the visualization of a fully connected neural"
193120,199280," network right and so this is basically the ui we have right not a terminal not a log nor none of that"
199280,203460," stuff you you can actually drag things around you can interact with this thing you can just adjust"
203460,208220," the learning rate and i think this is actually super useful right i like it way more than just like"
208220,212660," looking at the numbers in the terminal and stuff like that right because i can interact with this"
212660,219640," entire thing and see like the actual feedback uh right so but the problem here is that like developing"
219640,225980," ui applications is rather difficult like anyone who tried to do that will agree with me right because"
225980,234080," they're very much um how some people said in our discord chat boilerplate right so very much boilerplate"
234080,241280," in here we are using array leap for visualization right so uh array leap is this entire thing and this is"
241280,248780," just a graphical library for making games it doesn't have a ui stuff well it does have a ui stuff but it's"
248780,254060," it's a separate library build on top uh of ray leap i don't really use it because i don't really want"
254060,260040," to depend on too many things so because of that i just use ray leap uh right and essentially uh what"
260040,265200," we have in here in terms of ui is just like things that we develop ourselves from scratch"
265200,272680," right so what i came up with is a system of widgets right so essentially uh things like this plot"
272680,279180," things like this plot things like this uh neural network and things like this visualization and these"
279180,286460," uh sort of sliders and stuff like that they are separate widgets they are separate widgets and each"
286460,292020," individual widget is just a single function that is called on each individual individual frame of the"
292020,298420," game loop it's kind of like a similar to immediate ui it's it's basically is immediate ui and each of"
298420,305280," this function accept a rectangle within which they have to draw themselves right so if we take a look at"
305280,310000," some of the stuff so we can take a look at some of the widgets uh right so i think they're located"
310000,316120," somewhere here so for instance uh here's the the plot the thing that renders the plot right the gym plot"
316120,323020," it accepts the plot itself which is array of floats array of points that you need to plot and as you can"
323020,328740," see it accepts a rectangle straight of a rectangle the the left top corner and the width and height of the"
328740,337100," rectangle and that's it and it's only uh goal is to like render itself go render yourself in that"
337100,343240," specific rectangle right and on a higher level when we are rendering all that when we're calling those"
343240,348420," functions right when i call gym plot uh right so let's actually find this function so here it is"
348420,355760," i have this sort of like a very crude uh layout management system where i just do all of the layouting"
355760,362220," manually uh right so basically here i allocated the rectangle right allocated some sort of a rectangle"
362220,368840," and then i rendered the plot within that rectangle then i upset the um you know the coordinate the"
368840,374500," horizontal coordinate of that rectangle and render the next thing and then uh offset even more and then"
374500,381660," the next thing and so on and so forth so essentially as you can see i actually manage all these pixels and"
381660,388120," little things like literally manually and it can become very messy very quickly and it's like at some point"
388120,395120," you may not want to even touch this entire stuff because how messy it become uh right so what i want"
395120,402200," you to do today i want you to implement um you know a reusable layout system that would do all of that"
402200,408660," stuff for us automatically right sounds interesting sounds interesting so the inspiration that i got"
408660,414880," for for this thing comes from the library called qt i don't know how many of you have heard of this library"
414880,420580," so it's not particularly a thing these days because uh all of the desktop applications are developed"
420580,426280," on top of electron right so all of the web application all of the applications these days are web applications"
426280,433820," but back in my days if you wanted to write a desktop application you would use this and i think it's still in use"
433820,439620," right so chat arena is written in in this stuff so look look they're trying to they're trying to portray that"
439620,445740," they're still relevant or something maybe they are i don't really know uh maybe they are relevant"
445740,453740," so but anyway uh so in essentially this particular library uh actually uh has a very interesting system"
453740,460700," uh based on q layout right so it's an object-oriented library like object-oriented whatever that means uh"
460700,467580," right so it has a class a q layout and q layout is basically a container into which you can just basically"
467580,475580," add widgets and it has two uh different kinds of layouts uh i think uh i don't quite remember i think"
475580,484060," one of them was called uh q vertical layout or something like that uh q yeah it's it's qv box"
484060,491180," as far as i know it inherits the q layout and essentially if you created qv box and you put a"
491180,498700," bunch of buttons into it it will render all of that like this so it's a vertical box and on top of that"
498700,505420," there is a q h box right q h box layout right so it's basically"
505420,512300," uh a horizontal one right so and if we take a look at how it behaves uh all right so essentially"
512300,518780," it renders things like that right so the vertical is vertical and the horizontal is horizontal so what's"
518780,524940," interesting is that you can actually nest them right so one of these elements can be for instance q"
524940,530540," horizontal layout and within the horizontal layout you can have a bunch of vertical ones"
530540,537340," and though so by nesting these different kinds of layouts that are oriented in different ways you can"
537340,545740," create a pretty complicated uh ui right so and so what's interesting is that i think it has more uh"
545740,551420," different kinds of uh like sort of layouts it has a grid layout as far as i know there's something like"
551420,558540," grid uh yeah so there's also grid layout but i don't particularly know how useful it is because you can kind of"
558540,566060," simulate grid layout so essentially you can say okay so i have a vertical layout and each element of the"
566060,571820," vertical layout is a horizontal layout with equal amount of elements and there you go you got a grid"
571820,578940," so essentially i suppose having this vertical and horizontal is more like atomic more fundamental and"
578940,587260," you build a grid layout based on that uh right so and essentially i kind of want to replicate this kind of"
587260,595580," system uh right i want to replicate this kind of system uh but in immediate in an immediate style in"
595580,600060," immediate ui style if you never heard about immediate ui i really recommend to google it up it's actually"
600060,607420," kind of becomes more and more relevant these days as things like i'm gui become more popular right so i think"
607420,613420," knowing what is immediate ui is kind of valuable today even though like developing in a web style"
613420,621260," where you have sort of like a pre-computed uh like a tree of elements um is still sort of like a dominant"
621260,626220," way of doing ui because of web and stuff like that uh immediate ui becomes more and more popular maybe at"
626220,630860," some point that's how we're going to be doing ui uh i don't really know but it's it's kind of important"
630860,635660," for any you know professional to be aware of different approaches of the same thing we're"
635660,643340," engineers after all right aren't we are we engineers so as an engineer you need to know you need to be"
643340,648540," aware of different approaches and you have to evaluate them and you have to pick the best approach for a"
648540,655100," current situation so you cannot just like shrug away oh it's not relevant today no no no no you have"
655100,659580," to be aware of different solutions for the same problem so you can pick the best one because you"
659580,663980," are an engineer are you an engineer if you're not you're going to be replaced by chat gpt"
663980,671500," right so you know what i'm talking about yeah so be aware of all of the solutions if you want to be"
671500,678780," professional right so i'm going to put this in here so here is the thing so i'm going to put this kind of"
678780,685180," stuff so this is i'm gui uh all right so if you want to learn more about immediate ui just read about"
685180,693500," this entire thing and uh we're basing all of our stuff uh on uh qlayout right so this is basically this"
693500,702140," entire thing and generally on qt i think this library is kind of like yeah still useful um all right um so"
703500,710700," uh this is basically the intro so let me take a look at who subscribed at today thank you so much"
710700,716140," felix699 for which prime subscription it was today days ago but i want to acknowledge that right so"
716140,721500," because which shows me that moldy soul thank you so much for tier one subscription eleonty thank you so"
721500,727260," much for tier two uh subscription with the message so doing cool a very cool indeed thank you thank you"
