start,end,text
0,13080," All right, looks like we're live. Hello, everyone, and welcome to another Zozing session. How about"
13080,18480," that? Hello, copper case it Hello, hello. So let's make a little bit of an announcement and tell"
18480,26880," people on the discord server that we're live. How about that? So we're gonna say a red circle live"
26880,35460," on Twitch as an opposite of being offline on YouTube, right? So and today, we are continue"
35460,41220," making a self hosted compiler. And that's right. So for the past, like month, we've been developing"
41220,47820," a compiler for our own programming language called port, you can find the link to the source code in"
47820,54340," the description. And the compiler is written in Python, but it became mature enough to be rewritten"
54340,61420," in itself. And people are already throwing money at me just a second, copper case, port time,"
61420,66580," exactly. Thank you so much for 26 months of tier one subscription. Thank you, thank you, thank you. And"
66580,72400," welcome to our epic port club. So you can find the source code to the project in the description. If"
72400,76540," you're watching on YouTube, if you're watching on Twitch live, you can find this thing in the chat,"
76540,81640," right, just do the today command or project command. And the bot will tell you everything. Hello, hello,"
81640,91300," everyone. Hello, well, I need to be prime craft work in P seven, as I could deal. They lean zero. Hello,"
91300,99520," hello, welcome, welcome, welcome. So we already kind of started doing self hosted thingy, right? So we've"
99520,105340," already started writing the compiler in itself. And this is basically how it looks like. So what's"
105340,113740," interesting is that we basically defined a bunch of operations in the internal into in the intermediate"
113740,122500," representation of the language, right? So so far, we have push integer plus and print. And we allocated an"
122500,129160," array where we keep all of the separations. And what we implemented is just a compilation of that array and"
129160,137140," simulation. So and we fill up that array inside of the compiler itself, right? Literally inside of the"
137140,144840," compiler, we call something like program 123. And we push the instructions of the program 123 into the"
144840,151960," operation array like manually. So the programs right now are hard hard coded within the compiler itself,"
151960,158200," right? So and of course, it's not acceptable for a final final result. But it's okay to just like"
158200,166360," develop the skeleton of the of the compiler. Right? So what I want to focus on today is on actually"
166360,174520," unhard coding the program that the compiler is supposed to compile and interpret. So to unhard code this entire"
174520,181900," thing, we need to be able to get the path to the file that the user provides, why the argument of the"
181900,188140," command line or something like that, open that file, read the content contents of that file,"
188140,196060," create the contents into words, iterate each individual word and see if it corresponds to number,"
196060,204140," plus or print, and push the corresponding operation code into the, you know, operations array, and then call"
204140,211180," the simulation or a compilation. So that's basically the plan for today, essentially. And we have to do all of"
211180,219260," that import, right? So yeah, we have all of the necessary sys calls to do that. I think we're going"
219260,225260," to use memory mapping, right? I'm not going to open file and read it chunk by chunk because it's kind of"
225260,230620," tedious and also error prone. So what I want to do instead, I want to just take the input file that the"
230620,236620," user provided and memory map it. So I have the entire file in like mapped into memory, so I can treat it as a"
236620,243500," string and just split everything and just extract those operation codes that they need to compile or"
243500,252060," interpret. So and after that, we're going to have basically a very small subset of ports re implemented"
252060,257580," in ports. And once we have that, the only thing that is left is to just keep extending that subset"
257580,263900," until the compiler is capable of compiling itself. You see what I mean? So that's basically the plan"
263900,273100," for today. Sounds good. Sounds Gucci. Sounds Tomaguchi. So does anyone have any questions?"
275900,286220," Do you have to recompile language in original? So somebody submitted like, I think it's a donation."
286220,293820," The nation by they're so used they donated $6.24. Nice stream me like have a good day. Thank you."
293820,300140," Thank you so much for for the donation and have a good day as well. Thank you. So do you have to"
