start,end,text
400,6080," Hi! Before I start today's episode, I would like to apologize in advance for all the video"
6080,11200," encoding problems. Because of the nature of what I'm about to do, there is a lot of small moving"
11200,17040," objects on the screen which completely ruins the encoding. I think Tom Scott can explain better"
17040,24320," than me, so I'll put the link to his video on the topic in the description. So I couldn't solve the"
24320,30960," problem. No matter how much bitrate I would throw at it, it still persists. But I still would like to"
30960,36160," upload today's episode because I think I said a lot of interesting and educational things,"
36160,41920," at least the things that I wanted to put out there. So I hope you'll enjoy it."
41920,49440," Hello everyone and welcome to yet another recreation programming session with Azozin. So today we continue"
49440,56000," working on Musializer, which is music visualizer we started to work some time ago. And it's a classical"
56000,64080," visualizer for music, right? Essentially what it does, it analyzes the frequency of the sound wave"
64080,70000," and does the FFT on that sound wave and just like displays each individual frequency."
70000,75920," It works, it works quite well. Nothing particularly special. People have done something like that"
77040,83440," many times in the past, right? So this is nothing new, right? But I decided to implement that anyway"
83440,89360," because I never implemented that. And how you're supposed to learn things if you just don't implement"
89360,95520," them because somebody already done that, right? So somebody done a lot of different things,"
95520,99520," so does that mean that you never have to learn these things? No, it doesn't make any sense to me."
99520,108640," So, right. So it works well. It works well. But from the visual, from the artistic point of view,"
108640,116240," it kind of sucks, honestly. Right. So from the technical point of view, we know that the math"
116240,124480," and everything works correctly and everything's fine. But visually, it's not that interesting to look at."
124480,129920," It's not even that pleasant to look at. Look at this green. It's just like, it sucks. It straight up sucks."
129920,138480," We need to fix that. So the first problem that I would like to address today is basically the"
138480,146800," visualization being so glitchy and jittery. In case of a cheap tune, it's fine, right? Because it's a fast-paced"
146800,153280," cheap tune. So it kind of suits this particular style of music. But if we take something less fast-paced,"
153280,161600," for example, I have this music from Pilot Red Sun, right? So it doesn't really suit it that well,"
161600,166400," right? As you can see, it just like jumps around and jitters and stuff like that. And it's just like"
166400,173360," something's flickering here, right? So I don't really like how it looks like. So and essentially,"
173360,181360," this is because on each individual frame, we're showing the immediate values of the frequencies. So"
181360,188080," essentially, we have this sort of like a ring buffer of samples of the sound. And periodically,"
188080,193840," we get new samples, and we sort of push them into that buffer. And then on each frame, we do an FFT on"
193840,199840," that entire thing. And we just immediately display whatever we got from FFT. And that is it, right?"
199840,206080," So and as far as I know, this is not even how majority of these visualizers even work, right? So they never"
206080,211680," display the immediate value. What they do, they basically keep track of the values from the"
211680,217200," previous frame and the current frame. And they sort of try to interpolate smoothly between these things,"
217200,224800," which results is in less jittering. And it just actually looks very smooth and nice and stuff like"
224800,230880," that. And this is something that we may try to do as well, right, as the first step in improving,"
230880,238800," you know, the visualization. I already done that on a stream, but unfortunately, I screwed up with the"
238800,248800," sound. So I was actually keeping my headphones too close to the microphone, which resulted in this thing"
248800,255840," being like not particularly watchable, in my opinion. Right. So this time I fixed that mistake, but I still want to"
255840,261120," walk through the process because I think it's pretty important to document it. So let's go ahead and do that."
261120,264560," It's actually not a big deal, right? So it's super easy to do."
264560,269760," Right. So let's go to the plug. Let's see."
270560,277520," And here we have several buffers that we work with, right? So for example, we have two input buffers and"
277520,284880," two output buffers. So the input row contains literally the samples that we receive periodically"
284880,293600," from the callback, which is called by the music subsystem, by the sound subsystem periodically."
293600,297600," Right. So periodically we receive some frames and we just like put them into this buffer."
298240,306000," So then we have in windowed buffer and essentially what it is, it's just like we take the row input"
306000,311440," and we multiply them by this hand value, which is basically the hand window function. For more"
311440,316000," information, what it is, I recommend watching the previous episode where we discussed all of that."
316000,321120," All of the episodes are going to be in the description, in the form of the playlist and stuff like that."
321120,329600," And then we take this windowed input and we do an FFT, which results in getting the row output,"
329600,337280," right? The row output. And what we do is that we actually squash that output on a logarithmic scale."
337280,342800," We don't display all of the samples because the human ear does not perceive the frequencies linearly,"
342800,347520," right? So we perceive them logarithmically. And that's what we're trying to do in here. Basically"
348400,353600," squashing them into like a small amount of frequency beams. So in reality, as far as I know,"
353600,359840," we have two to the power of 13 frequencies in here, but we don't display all of them, as you can see."
359840,365200," So this is definitely not to the power of 13, which is like, I think 8000, if I'm not mistaken."
365200,368960," Right. So two to the power of 13 is like, it's literally 8000 of them. Right."
369520,373840," So it doesn't look like 8000, that's for sure. So that's because we squash them."
373840,380800," Right. And we display smaller amount of them. And another interesting thing we do afterwards,"
380800,388080," we're normalizing them to a range from zero to one. And it's quite important because it makes it easier"
388080,394160," to interpolate and display it. Right. For example, in here, just because each individual bar in here is"
394160,400080," value from zero to one, it's super easy to multiply that value by two thirds and just map it to two"
400080,406880," thirds of the screen. Right. So for instance, if I want to, I can map it to half of the screen. Right."
406880,412480," And it's super easy to do. Right. So now it's only half of the screen. But personally, I kind of like"
412480,418240," like two thirds of the screen. I think it looks nice. Right. So and that's the power of basically"
418240,423920," normalized values. And afterwards, we just display all of that. Right. So that's basically what it is."
423920,432480," So the idea is, we can say that this is the immediate values that we got after FFT."
432480,437760," And let's actually introduce another buffer, which is going to be the smoothed values, the current values."
438640,446480," So when we finished computing and squashing and normalizing everything,"
446480,452320," one of the things we can do, we can essentially iterate through all of the samples we got."
452320,458960," So we get M samples. M is the amount of squashed samples. Right. So N is the amount of like the whole"
458960,464320," amount of samples, 8000. And M is basically the squashed one. So we have less samples in here."
465200,478640," And essentially we can say that log i is the target that log like smooth i should achieve."
478640,486320," Right. We can kind of compute the direction and the velocity in which out smooth house has to move"
486320,493520," by just basically subtracting them and right and just multiplying by dt. Right. So basically the delta"
493520,501600," time between the frames and essentially just add this entire thing to the out smooth. And when we're"
501600,507360," displaying everything, we're actually displaying out smooth. So yeah, essentially the immediate value"
507360,516080," kind of dictates the frequency. Right. It dictates the frequency. So, and to be fair, this kind of"
