start,end,text
0,11800," Hello and welcome to another Zoys encoding session. How about that? How about that? I bet you"
11800,19980," didn't expect that shit to happen. Anyway, so before I start, I wanted to actually say thank"
19980,31580," you to Frank, who became a patron on my Patreon with one euro. Thank you. Thank you for one euro"
31580,37840," patronage. I don't even know what's the word in this particular case. By the way, if you also"
37840,43540," want to support me, the link to my Patreon is going to be in the description. Don't let the poor Zoys"
43540,54740," starve to death. Anyway, so today is what? Today is what? I think today is Thursday. It's actually"
54740,60940," already Friday because it's actually a night, right? But I'm sort of like, I didn't go to bed."
60940,68740," So for me, it's still Thursday. So I'm recording the Thursday coding session on Friday night, right?"
68740,73420," So today is a Friday night. And the reason why I'm doing that is that because I tried to do that"
73420,80280," during the day and I couldn't do that because my neighbors were fucking celebrating birthday and they"
80280,86040," were listening to a very loud music and that actually completely ruined the entire recording. And"
86040,94880," it also really, really upset me. So I was upset the entire day because I couldn't record"
94880,101860," it. And I had to listen to very annoying loud music. So I'm going to try to make another recording"
101860,108120," of this session. So today is Thursday, as you can see. And that means today, according to the schedule,"
108120,114640," we are developing our Twitch bot. I'm not streaming on Twitch anymore, but I'm still developing a Twitch"
114640,122840," bot. So we're going to be working on a technological part of the Twitch bot. So, and we recently started"
122840,130120," to work on some sort of like a replacement for curl, which is immediate mode, the HTTP client library."
130120,140280," If you are interested at how all of that started, you can watch the previous VOD, previous IMHTTP mode. So"
140280,146440," where we started this entire project completely from scratch. And of course, the source code could be"
146440,153420," found in the description. Both of the links are going to be in the description. So, all right. So what do we"
153420,164120," have so far? What do we have so far? We have, yeah, we can now make a plain HTTP request, right? So immediate"
164120,173400," mode HTTP library basically means that it sort of has a similar API to immediate mode UIs, like something like"
173400,181400," ""I'm GUI"" or ""Dear, I'm GUI"". So essentially in here, I wonder if there's any examples that we can take a"
181400,188840," look at. Yeah, as you can see. So in event loop, you basically draw everything yourself, right? So you say,"
188840,195560," okay, we're drawing the text, right? Then we're drawing the button with the label save. And if the button was"
195560,201000," clicked, we perform a particular action. And then input text is drawn and so on and so forth."
201720,207560," So yeah, that's basically what immediate UI looks like. And as you can see, it can get very complicated"
207560,214680," and stuff like that. So the main difference between like immediate UI and not immediate UI is that in"
214680,224440," retained UI, you prepare the tree and then you give it to your library and it organizes the event loop and"
225000,231400," occasionally calls your callback and what not, right? In case of immediate UI, you are actively participating"
231400,238840," in the event loop of the UI. So that's pretty much the main difference. And I want you to apply this idea"
238840,247240," to the to the HTTP library, to the client HTTP library, right? So because there are similarities between the"
247240,253000," like HTTP client libraries and UI libraries in the sense that you prepare a request structure,"
253000,261080," you provide the URL, headers, some other stuff, prepare the body, and then you give this thing that you"
261080,269800," prepared to the library. The library performs the request, then collects the response, and then it gives you the"
269800,276760," collected response. So as soon as you give your request structure to the library, you lose any control to"
276760,284040," how the request is done. Similarly to how you lose all the control of the event loop when you give your"
284040,294280," UI tree to UI library. So I thought why not just create an API, immediate mode API that makes you actively"
294280,301240," participate in the in the HTTP request response handling, right? So essentially this is how it would look like."
301240,309320," You start a request and you're requesting a particular resource with a particular method. Then you send the"
309320,314360," headers and then you say, okay, I'm done sending the headers. I'm sending the body. And then you say,"
314360,321720," I'm done with the request, right? So I'm actively participating in preparing the request. So then I'm"
321720,327320," starting handling the response and I receive the status code. I receive all the headers and receive"
327320,334120," the entire body by chunks, right? So and then I say, I end the response. So as you can see, I'm actively"
334120,342120," participating in sending a request and receiving requests. So, uh, and I just wanted to see how this"
342120,350520," entire idea will go. So, uh, you sort of like need to know how HTTP protocol works, but you need to know"
350520,356120," it only on a higher level, right? On a higher level, you need to understand that there is a request and"
356120,362600," there is a response. There are request headers and there is a request body and there are response headers"
362600,367960," and there is a response body and also response has status codes. And this is precisely what you're"
367960,374120," receiving, right? You're receiving them in this particular order, right? Uh, but this kind of API"
374120,384920," still allows you to hide away some of the details of, uh, of the HTTP protocol. For instance, um, um, I think"
384920,392360," you can implement, um, chunk transfer and coding without changing this API because we already receive"
392360,398680," chunks, uh, receive body by chunks. The reason why I receive body by chunks is that because, uh, we allocate"
398680,405880," a fixed buffer, right? We allocate just a fixed buffer and we only work with that buffer. So we read, uh, the,"
405880,410120," whatever we receive from the server into that buffer and we handle it, then we throw away,"
410120,415480," read another chunk and handle it and throw away and so on and so forth. Right. So we already have this"
415480,424040," sort of like chunked API. All right. Uh, so it should be relatively easy to actually add support for, um,"
424040,431160," chunk encoding transfer. And as a matter of fact, we already, we already hide a little bit of HTTP details"
431160,437640," away. For instance, our library seemingly, uh, seamlessly handling content length for you,"
437640,443880," right? It already handling content length. So essentially, as you pull, uh, the headers,"
443880,449160," the, uh, rest next header actually looks into the headers that you're pulling, you know, pulling out."
449160,454840," And if it sees content length, it remembers content length, and then it uses that content length in the"
454840,460680," subsequent next body chunks to determine when to stop reading body chunks. Even though the transfer"
460680,465400," is not a chunk, but it's still, it's still do that. So as you can see, even though you're actively"
465400,471560," participating in the details of the HTTP, some of the details still can be hidden. Right. You don't have"
471560,477080," to worry about content length. Nowhere in this code, you're actually caring about content length because"
477080,482440," it's encapsulated inside of the library. So it is still possible to have a pleasant API,"
482440,488440," but still have a control over how exactly the, the, uh, the response is handling. You see what I'm talking"
488440,495240," about. So, um, I think I discussed it a lot in the previous one, so I really recommend to just check"
495240,502200," out the previous one where we started this entire library. So, um, yeah, one of the things I wanted"
502200,510360," to do today, I wanted to implement, uh, the, um, chunk transfer encoding because this is considered, uh, one"
510360,519960," one of the challenges in implementing your own HTTP client library. Right. So one of them is chunked"
519960,526040," encoding. Right. Another one, I suppose, is keep alive. Um, and another one, I don't know which one,"
526040,533320," another one could be, I don't know, maybe HTTPS, but you can just slap open SSL on top of it and it's going to be fine."
533320,540360," So let me know in the comments if you know any other, you know, the main, um, your own client,"
540360,545640," HTTP client library challenges, right? The only ones I know is like chunked encoding and keep alive."
545640,551960," And I think we can pull off chunked encoding relatively easily. And another one, keep alive."
551960,561000," I think we should be able to, uh, pull off keep alive as well. Uh, because nowhere in here we imply"
561000,564680," that after you finished handling the response, you have to close the connection. You see, we actually"
564680,570840," closed the connection after we finished handling response. So that means we can have some sort of a"
570840,577800," loop here that starts a new request on the same connection. Why not? So, well, so I didn't see any"
577800,582280," problems with like implementing something like keep alive, but in case of a keep alive, you will still"
582280,588680," have to actively participate in the request response handling, but I mean, still, uh, another one is"
588680,593960," probably redirects. Okay. So in here particularly, we're going to have another problem with redirects,"
593960,601160," but I think I actually discussed redirects in the previous vote. So it's essentially, um, yeah,"
601160,606840," at any point you can just go back and start another request. If you, for example, received a redirect"
606840,611800," code in here, you know, a new location, you can just jump back into the request and make a new"
611800,622680," request in here. So, um, yeah, anyway, uh, again, just a disclaimer. I don't know if it's a good idea."
622680,628040," Maybe it's going to turn out a bad idea and that's precisely why I'm implementing it because I need to"
628040,635800," gather more information about that, that idea and know why exactly it is bad or good. Who knows, right? So I'm just"
635800,643960," doing the research. Okay. So, um, it is what it is and it isn't what it isn't. So let's implement"
643960,649400," the transferred, uh, encoding chunked, uh, and see how difficult it will be to implement."
655240,665320," All right. I want to actually refactor my library a little bit. I want to refactor it a little bit."
665320,673480," So right now, uh, as I already said, we have, um, fixed buffers and we try to use only the memory of"
673480,682840," these buffers. So resmeta, uh, buffer stores, uh, response status and the headers. Actually,"
682840,688440," it stores them in the form of a text, right? So it basically stores the entire section starting from"
688440,696760," the beginning of the response up until, um, slash R slash N that, um, manifests the start of the body."
696760,702600," Right. So this entire thing is located in this specific buffer. Right. And in here we actually"
702600,708680," store response body chunks, right? We, uh, start response body chunks because, um, we have a fixed"
708680,712520," buffer and we still need to read it by chunks, even though the transfer encoding is not chunked."
713320,722680," Um, so I want to kind of, I want to refactor that slightly. I want to refactor that slightly. I want to"
722680,733480," introduce another buffer in here that I would call a rolling buffer. Uh, so I, I've been thinking about"
733480,740600," this, uh, library, uh, the entire week essentially. So I work on this library once a week, uh, and throughout"
740600,745480," the week occasionally, uh, when I'm just eating something and drinking something or in the shower"
745480,749960," and thinking about how to implement this entire thing. And I came to a conclusion that we need"
749960,755640," some sort of an abstraction that I would call like a rolling buffer or something. I don't know,"
755640,762440," like a buffer queue. Um, but usually when we talk about queue, we mean a data structure that stores"
763720,770040," elements of the same size, but in our case, this sort of queue is going to be like continuous."
770040,776440," It, it, it's a queue of characters and the, the characters are chunks of different sizes. So it"
776440,781800," doesn't really fit to the definition of queue being an a queue of elements of the same size, right?"
781800,788040," Essentially, um, so you have this buffer, right? You have this sort of queue buffer. Maybe it's going"
788040,793720," to be a queue buffer. I don't know, but I kind of like a rolling buffer idea. Uh, so and essentially"
793720,799320," you want to handle something from the server, right? You want to handle something from the server and you"
799320,805080," ask, please, uh, read something from that server. Okay. So we read this something from, from the server"
805080,812520," and we filled in the buffer to, to this particular, uh, mark, right? So then we realized that we read,"
812520,821480," for instance, um, all of the headers, right? And body starts somewhere around here, right? Body starts"
821480,827480," somewhere around here, right? This is what we realized. Okay. What we can do, uh, we can handle"
827480,833960," this entire thing and then we want to throw away this chunk. We want to throw away this chunk. So we need"
833960,841560," some sort of an operation that would allow us to actually shift the entire buffer by these sides."
841560,850600," basically bring this entire chunk to the beginning here, right? So, uh, right. Let's actually put it"
850600,861480," like that. So, and this entire thing is going to be somewhere here. So it will literally take it and"
861480,869160," move it to the beginning. Right. And then you can say, okay, top off the buffer even more, read more things."
869160,874360," And there you go. Uh, you read more things, right? You read more things and then realize, oh, okay."
874360,881320," So this is where the chunk begins. And this is where the, like a transfer chunk roughly ends."
881320,885240," We're going to handle it, uh, yet again, and we're going to shift it again. And you can just"
885240,890520," keep sort of like, uh, reading things and handling things and throwing them away."
890520,895400," All right. So some sort of like a rolling buffer. For some reason, I want to call it a rolling buffer,"
895400,900120," but it's sort of like a queue. Um, but at the same time, it's like rolling around."
900120,903720," Uh, and for this, uh, kind of thing, we need two operations, right?"
904360,910360," Uh, the first operation is shifting everything, uh, up until particular point. So we choose the point"
910360,915000," and we starting from that point, we'll shift everything to the beginning. Um, and another"
915000,921720," operation is like top of the, uh, the buffer, just read more, a little bit more into it as much as you"
921720,926680," can. Right. Maybe, uh, maybe it's, it will be able to read until the end. Maybe not. It just depends"
926680,932040," because it's a network programming. You never know. And TCP is a stream protocol. So it's just like,"
932040,938600," it's meant to be handled like, like you're reading a file. Right. So you never know where things end"
938600,943160," or start or anything. So that's why you need this sort of like rolling buffer, which makes it kind of"
943160,949720," difficult to work with TCP, but eh, it is what it is. And it isn't what it isn't. All right. And"
949720,961000," another interesting thing is that, um, we should never give the user of the library pointers inside"
961000,968440," of this buffer. It should be purely internal buffer. Right. Because again, it's constantly rolling around."
968440,975080," The data is moving, uh, like from right to left constantly. Right. And if you try to give it, uh,"
975080,980600," the pointer to this buffer, to the user, like outside of the library, uh, it may get quickly"
980600,988840," invalidated. It can get very quickly invalidated, get invalidated very quickly. English is hard. I'm sorry."
988840,997160," So, uh, that means this is, uh, has to be only a temporary buffer. Right. And things that needs to be"
997160,1003000," given to the user should be moved into like separate, more stable buffers, if you know what I mean."
1003000,1009640," Right. So the lifetime of the things, uh, inside of this buffer is very, very short. So we need to"
1009640,1015240," be very considerate of lifetimes of this entire stuff. So, yeah, we need to implement these obstructions."
1015240,1019400," And as we implement this obstruction, uh, I think it's going to be a little bit easier to implement,"
1019400,1026760," uh, chunked encoding. Right. Things going to be a little bit easier to implement chunked encoding."
1027240,1036920," Um, hopefully whatever I explained makes sense. Uh, anyway, so let's, let's start. So we already kind"
1036920,1043800," of have a rolling buffer behavior in here. Like for instance, when you start the response, you read as"
1043800,1050680," much as you can into the response meta. Right. Then you find the end of the meta. Meta is basically status"
1050680,1057160," called plot headers and everything after that, you move it into the, uh, response body chunk."
1057160,1064280," And as you read chunks, you basically return what you have in that body and then, uh, remove everything"
1064280,1070680," and read again. So it's already, um, res body chunk already acts like a rolling buffer, but it's actually"
1070680,1077080," not. So the problem with this res body chunks is that we give a pointers to this buffer outside of the"
1077080,1081400," library, right? We give points of pointers outside of the library. And that is very dangerous because it"
1081400,1086920," has to be, uh, constantly moving around and stuff like that. So we need to introduce like a special"
1086920,1092600," rolling buffer. Uh, how are we going to call that? How are we going to call that buffer? That's a good question."
1092600,1097640," Um, so maybe it's going to be called something like input buffer."
1097640,1117160," Thank you for 22 months of, uh, Tiron subscription. Thank you. I'm not live, by the way. He totally subscribed offline."
1117160,1133560," Uh, alright. Uh, thank you so much for the resub pointers. Uh, I'm actually recording, uh, right now."
1133560,1136120," Um,"
1136120,1145400," I'm, I'm pretty sure he knew that. I'm pretty sure he knew that and, uh, basically planned that all along."
1146120,1147880," So yeah, cheers. Thank you for yourself."
1147880,1155000," I don't know. Sure. He didn't know. Sure. Sure."
1155000,1165320," Uh, alright. So, um,"
1168280,1177880," So what we're going to call in here rolling, uh, buffer, right? I'm HTTP, uh, rolling buffer capacity."
1177880,1187800," Again, so I'm not messing with my streaming setup. I'm using my streaming setup for, uh, offline recordings."
1187800,1190760," And that's why I still have alerts on and stuff like that. So that's why."
1192360,1196040," Yeah. Um, so thank you so much. Thank you. Thank you. Thank you."
1196040,1202440," So here's the rolling buffer and we also need to know the size of the rolling buffer."
1202440,1206840," Uh, maybe I should call it rolling buffer."
1206840,1208600," Why not?"
1209640,1221320," So, uh, rolling buffer. Um, HTTP rolling buffer capacity. Uh, and let's put it in here."
1221320,1232440," Uh, rolling. Uh, it doesn't want to autocomplete, uh, because it's G. And the size of the center, I think,"
1232440,1238840," I think we can, yeah, we can actually keep it like this. We can actually keep it like this and like this,"
1238840,1245160," at least I suppose. All right. So let's have a couple of, uh, operations. So the first one is going"
1245160,1252280," to be I'm HTTP rolling buffer. Uh, let's call it shift rolling buffer. Right. So, and in here is going"
1252280,1259880," to be I'm HTTP, I'm HTTP. And, uh, we're going to provide the end at which you want to actually shift"
1259880,1270360," things around. So, um, let me show you what that means. Uh, oh, I accidentally closed it. I actually"
1270360,1277480," wanted to price a different combination of keys, but yeah. Uh, all right. So this is the buffer."
1277480,1284840," This is the buffer and you have a chunk of data, right? So you have a chunk of data and then you want"
1284840,1291240," a shift starting from here. So we want to shift this thing to the, uh, to the beginning. So, and this"
1291240,1297960," is what I call the end, right? So this is the end that is going to be shift to the beginning. So, and we"
1297960,1305400," pass this end, uh, as a pointer inside of the buffer. So one of the main things in here, uh, that we need to"
1305400,1318200," check is that, uh, end is actually greater, greater or equal to the buffer, right? Uh, you cannot put an"
1318200,1323320," end before the buffer because it's invalid, right? So we need to basically do boundary checks, right? So"
1323320,1330760," we're doing boundary checks. So after that, we need to know the size of this entire chunk, um,"
1330760,1336520," like the size of this entire chunk that we're essentially removing, right? So, uh, let's just"
1336520,1342360," call it like this. Uh, it's going to be something like, yeah, essentially you're just subtracting, uh,"
1342360,1347320," a rolling buffer from the end and that gives you the whole size. And another thing that we have to"
1347320,1353560," absolutely check the size of this entire thing should be, uh, less or equal, right? It should be"
1353560,1361960," less or equal, I guess, to the current size, right? So it's going to be IMPHttp, rolling, uh, buffer,"
1361960,1370440," uh, rolling buffer size. Um, yeah, I actually didn't call it size, unfortunately. So this one is a size."
1370440,1377240," There we go. So, uh, essentially this is how we check that the end is within these boundaries."
1377240,1381960," So this is how we check that this end is correct, but it might be incorrect. Right? So we have to be"
1381960,1389480," very careful in this case. Uh, so after that, I need to do a memory move. I need to move, uh,"
1389480,1396360," the destination is going to be IMPHttp rolling, uh, rolling buffer. This is where we move and everything."
1396360,1405320," And end is the source. And now we actually need to move this amount of data. Well, this amount of data is"
1405320,1414600," actually equal to the whole thing, uh, minus this thing. So that means we have to move IMPHttp, uh,"
1414600,1423640," rolling buffer size minus N. Right? And after that, we need to update a rolling buffer size, uh, and subtract N."
1423640,1429880," So to be fair, it would be just easier to do it before memory move and just use the, the new size of the"
1429880,1436920," buffer. There we go. So this is how in five lines we implemented shift rolling buffer. All right. So this"
1436920,1441800," is how you shift everything. And we also have a boundary check. So if you put an incorrect pointer"
