start,end,text
720,7040," looks like we're live hello everyone and welcome to yet another recreation programming session with"
7040,12080," a mr azuzin uh let's make a little bit of an announcement and officially start the stream"
12080,17600," write the circle live on twitch and what are we doing today on twitch.at television website"
17600,24960," today we are doing hair programming language that's right so i'm gonna give the link"
25600,31840," to where we're doing all that to twitch.tv and i'm going to ping everyone who's interested in being"
31840,37280," pinged and there we go the stream has officially started the stream has officially started hello"
37280,44000," hello everyone welcome welcome welcome so uh this language was on my to-do list for quite some time"
44000,51280," right so i think somebody posted the link to this language in our discord server and uh it's actually"
51280,56320," very interesting like i like the marketing of the language right so it's a system programming"
56320,64400," language uh designed to be simple stable and robust i do like simplicity right so and i do like simple"
64400,71200," technologies and i think the simpler technologies are the future right when the tower of abstraction"
71200,78320," layers will finally topple the simpler technologies and people who can write a simpler code will dominate"
78320,83120," the industry in a in the future maybe in the new future maybe like in 10 years or something like"
83120,87760," that but i do believe that simple technologies are the future because the tower of abstractions keep"
87760,92880," growing and growing and at some point it's going to topple we know that that at some point is going to"
92880,96800," topple and we're going to start stripping off all of that and finally do the"
96800,103920," proper software engineering so anyway uh right so it uses static type systems right i really like static type"
103920,110000," system manual memory management so it's basically like c and minimal runtime so it is well suited to"
110000,116160," for writing operating systems system tools compilers networking applications and other low level high"
116160,122560," performance tasks uh right and it does look like c a little bit right so it does look like c but maybe"
122560,128640," it fixes some of the problems of c right so and that's exactly what i would like to maybe uh you know"
128640,133600," explore today right so this is something i would like to explore today as far as i know it's like"
133600,140320," it fits into three and a half floppy disks so that means that the installation should be relatively"
140320,146240," straightforward right so they say that you should install it from your system package manager but i i"
146240,152720," think i didn't find it on debian so we're probably gonna build it from scratch right and what's interesting"
152720,160080," is that it uses the like a very interesting backend for for itself like it doesn't use llvm or anything"
160080,166880," like that it's it uses something called qbe which is something that i may actually check out on its"
166880,170880," own because it's rather interesting so it's a compiler backend that aims to provide 70 percent of"
170880,178400," performance of industrial optimizing capabilities in 10 of the code right so one of the reasons i didn't"
178400,185840," want to use llvm because it's a it's a such a huge bloat right so if you're writing like a very simple"
