start,end,text
240,5600," Hello everyone and welcome to yet another recreational programming session with Amista"
5600,9440," Zozin. So lately we've been programming in JavaScript and the reason is because"
9440,15840," that's the programming language of the future as you can notice. Like you don't even need C"
15840,21680," anymore, right? So you can do everything in in JavaScript these days, you may say that. Like"
21680,26160," how do you work with binary data and stuff like that? Well you can work with binary data in"
26160,33280," JavaScript, did you know that? Did you actually know that? Like you can do binary data and stuff like"
33280,39520," that. So in JavaScript as far as I know, so let's actually go somewhere in here, like I'm going to"
39520,46160," open some files, let's say like whatever TypeScript file that I have in here, right? So ignore the"
46160,51680," code doesn't really matter. So there's a thing here called array buffer, right? So this thing here called"
51680,56640," array buffer and if you take a look at this thing, it represents a row buffer of binary data which is"
56640,62880," used to store data for the different typed arrays. And what are typed arrays? So you have things like"
62880,72400," uint8 array. So you can have arrays of bytes. People have misconceptions that JavaScript is this"
72400,77360," toy scripting language that only has floats and stuff like that, but no, you can have array of"
77360,86560," uint bytes, right? uint8 like just like in C. You don't need C. You literally don't, like you have"
86560,92240," everything in JavaScript. Look at that. So then what about 32 bits? Like you can have uint32 array."
92240,97600," Look at that. So this is just like, you know, 32-bit integers. Like what about floats? You can install"
97600,104000," floats, right? Something like this. So, and there's a very interesting thing. So if array buffer"
104960,111680," is sort of like a buffer, right, where you actually store some bytes, you can actually view"
111680,117360," those bytes in different ways. And as far as I know, like uint8 arrays and u32 are basically different"
117360,122160," views on those arrays. And there is another cool abstraction in JavaScript. As far as I know,"
122160,129120," it's called data view, right? So it is called data view. And so it allows you to"
130080,137200," read different types like float32, float64 at different offsets and even different"
137200,145760," endianess. Yes, C developers, web devs are aware of endianess. What is endian? What is"
145760,152560," little endian and big endian? We don't need your low level languages. We have everything in our browser."
155600,164000," I'm so sorry. But anyway, so yeah, so you can work with binary data and stuff like that. And"
164000,170720," like, why the fuck do I need to even work with binary data in this toy script and language? Well,"
170720,177120," we're making a game, right? So we're making an online game, by the way, right? So let's actually run it."
177840,181040," So I'm going to do surf, right? I think I already compiled everything."
181040,188000," So yeah, so this is the thing that we're developing. And look at that. This is just a prototype, right?"
188000,194960," This is just a prototype just to test the idea of how we're going to be doing multiplayer stuff. So"
194960,200960," and essentially, you can open this website in a different tab. And that automatically creates the"
200960,205600," second player. You can't really see that because of my stupid camera and stuff like that. But here is the"
205600,209920," second player, right? So you can control the player in here, right? So I have a focus in here. And as you"
209920,216400," can see, it all gets synchronized perfectly between two tabs, right? It gets synchronized and stuff like"
216400,224080," that. And how many tabs you open, this is how many players you're going to have, right? So you can open"
224080,228880," another one and there will be a third player in here. You can't really see it, but it's like down there,"
228880,235920," right? So now we have three of them. So yeah, that's pretty cool. That's pretty cool. But the way"
235920,247680," it works, it sends JSONs, JSON messages, JSON objects over a WebSocket. And in fact, I have a feeling that"
247680,254640," it's a little bit wasteful. It's a tiny bit wasteful, right? So we can even try to estimate how wasteful it is."
254640,261120," So essentially here, I have a server running and it prints statistics every like, I think second"
261120,266800," or so, right? So it prints different statistics about how many messages were sent, like total,"
266800,273280," and then per tick, and how much time we take to process the tick and stuff like that. So let's"
273280,279200," actually open this entire game. Right, so we have one player right now. And I have a simple benchmark in"
279200,285680," here that allows me to spawn a bunch of bots, right, to sort of stress test this entire thing. So let's"
285680,292560," actually see how many bots I want to... Okay, so we have 30 of them. Let's actually run 30 bots. Right,"
292560,298160," so I'm starting the bots and that basically created a bunch of bots, as you can see. So they're just moving"
298160,303920," around and stuff like that. So it's basically, it connects, makes N connections, actually 30 connections,"
303920,308880," and just like creates players and move around. So then we can take a look at the statistics of the"
308880,317200," server. And look what is going, what is happening, right? So it sends for 30 players, right? So it sends"
317920,328240," like around 60, like 70 messages per tick, right? It receives like two or three messages per tick from"
328240,334400," all of these players, two or three per tick. But then it sends like a lot of data. And in terms of bytes,"
334400,341600," in terms of bytes, it sends like six kilobytes. Like the more players you have, the more data it will send"
341600,348240," out. And all of that is because the messages we send and receive are literal JSONs. And another thing"
348240,355680," in here is that JSON, like you need to parse JSON. You actually need to parse JSON. And as you parse the"
355680,363040," JSON, it also, it's really difficult to create a JSON parser that is memory efficient, right? So because"
363040,368720," it's a tree, right? So it's like all over the place in memory, and it's generally like slow and stuff like"
368720,377760," that, it would be better if we used like very efficient, very lean binary protocol instead of"
377760,383040," JSON. Especially when we're talking about real-time game, right? So it's better to actually send very"
383040,392240," small, very lean like binary messages, right? So and this is what I want to do today, right? This is what I"
392240,400240," want to do today. Instantly some web devs in the chat, or protobufs or protobufs. Like, have you seen protobuf?"
400240,408080," Like, it's a huge fucking dependency for something that you can code yourself. If you're not afraid of bytes."
