start,end,text
640,7280," looks like we're live hello everyone and welcome to yet another recreational programming session"
7280,14240," with a mr zosen let's make a little bit of an announcement and officially start the stream"
14240,18480," hello hello everyone welcome welcome welcome how are you guys doing today how are you guys doing"
18480,23440," today really glad to see you all today forgot to open my discord so we have to wait a little bit"
23440,30400," uh before we can make an announcement an epic announcement um right just a second right because"
30400,36560," the uh the discord needs to recompute the layout and stuff like that that is a very difficult task"
36560,43760," as you can see impossible computer science task uh let's do a red circle live on twitch and what"
43760,51280," are we doing today on twitch adult at television website today we are doing uh typescript and"
51280,56720," service workers that's right so we today we are being a web devs i'm gonna give the link to where"
56720,62240," we're doing all of that twitch.tv/todding and i'm gonna ping everyone who's interested in being pinged"
62240,68240," and there we go the stream has officially started the stream has officially started so today i would"
68240,76480," like to uh take a look at an old project of mine which is called emo jam right so uh it's emo jam and"
76480,82800," it's just a single i would say static website right so it is static because it doesn't really have any"
82800,88960," back end it does everything on the front end so it's static in that sense for some reason it doesn't"
88960,95840," really work uh i don't really know why uh i think it is broken uh yeah i think it is literally broken i"
95840,100640," just checked it before the stream and it was working and maybe that's what we're going to be doing today"
100640,105280," right we're going to be fixing it today that is bizarre right i literally checked it before the"
105280,114560," stream so um all right so let me let me see what does it say in console uh could not initialize"
114560,121840," webgl oh that is very interesting so it it's supposed to use open like webgl ah"
126880,135280," okay i literally disabled uh hardware acceleration uh just to check whether that potentially makes the"
135280,139520," uh twitch go faster right"
139520,147200," so let me actually go to two settings i hope i'm not going to expose anything sensitive so i'm going to"
147200,154880," quickly go to my settings and i'm going to enable it i didn't freaking expect that apparently uh disabling"
154880,162720," hardware acceleration actually disables the um you know everything oh boy all right so let's actually"
162720,170960," go to uh sorting github emote gem right so hopefully it uh already in uh in initialized uh webgl and this"
170960,176080," is how it looks like so the point of this entire thing right so the point is this entire thing is to"
176080,183120," animate uh the emotes right so you have a static emote uh something like that so let's actually do something"
183120,189120," like this and for instance i can take keg w right i can drag and drop keg w and as you can see in here"
189120,195280," you have some sort of like different filters right so for example hope you can make it automatically hope"
195280,202720," or uh you can make it automatically bounce right or make a circle uh make a slide and stuff like that so"
202720,208240," do these kind of things uh right so by the way you can find this thing uh by this link if you're interested"
208240,212880," right so i'm gonna copy paste it in the chat and for people on youtube it is going to be in the"
212880,220000," description as usual right so and then you can run a gif right you can turn this entire thing into a gif"
220000,225360," you can then download that gif and you can do whatever you want with it you can upload it to bttv"
225360,232000," and stuff like that uh right so yeah so and what's cool about this entire thing it is completely"
232640,239680," serverless and it is actually serverless in the sense that it doesn't have any backend right so"
239680,245440," it can work completely on your machine it does all the processing on your machine right so the animations"
245440,253200," webgl and stuff like that and it even renders gif on your machine so we're using uh gif.js uh which is"
253200,262000," actually like um generates gif format byte by byte right it doesn't use any internal like browser api or"
262000,267520," anything like that it just generates it byte by byte and it it is completely client-side application"
267520,276000," it is a completely uh client-side application um right and um here's an interesting thing"
277520,284720," it doesn't work when the internet doesn't work so that's kind of the problem right uh even though"
284720,293360," it's completely client-side it kind it can't work uh without the internet but as far as i know in"
293360,302320," today's modern web it is allegedly not a problem because of so-called service workers have you guys heard"
302320,310240," about service workers have you guys heard of it uh right so essentially service workers are essentially"
310240,317200," act as proxy servers that sit between web applications the browser and the network when"
317200,323200," available they are intended among other things to enable the creation of effective offline experiences"
323200,328800," intercept network requests and take appropriate actions based on whether the network is available"
328800,334400," and update assets residing on the server they will also allow access to push notification and background"
334400,345040," sync apis um right so and essentially they actually enable you to use your website when the internet is"
345040,349760," completely down right so there are a couple of examples we discussed that on our discord server by the"
349760,356720," way so there was a discussion the entire topic sort of like got born out of all discussion on discord server"
356720,362240," right so for people who ask me how do i come up with the topics for my streams i just like talk on the"
362240,367120," internet uh with different people on discord server maybe on social media i get an idea i put it to my"
367120,373120," to-do list and eventually get to that idea uh right so quite a lot of topics like actually"
373120,380160," emerged out of the discord conversation that we do on our discord server so it's actually quite cool right"
384080,390240," so and essentially one of the application that was um that popped up during the conversation is squish"
390240,395200," all right so we can take a look at that application so it's something for images i forgot what it does"
395200,402960," actually right uh so what does it do uh so it resizes the image images right so it does something with"
402960,407680," the images it doesn't really matter what so you you basically drag and drop image there it resizes or"
407680,412080," optimizes them or something like that i don't really know what it does we can try to actually do that"
412080,418080," so let's actually take uh maybe you debate it and i'm gonna just drag and drop this into i think"
418080,424960," and uh what it allows me to do it just allows me to do some things right that's pretty cool so it"
424960,431040," doesn't really matter so this thing works without the internet uh right before the stream right right"
431040,437680," after i announced uh that i'm gonna be doing this stream i just realized how the fuck i'm gonna be"
437680,438480," testing this"
438480,447680," i'm streaming from one pc that requires internet connection"
447680,456800," if i need to make a website virtual books i don't have that many resources to have a virtual machine and"
456800,467120," docker and stuff like that like yikes so uh right so dev tools right so there is something with dev tools"
467120,475840," that we could probably use uh right so how can i simulate the lack of the network so is this something"
475840,483840," in um in in here right so let's actually take a look at the application uh all right and"
485840,491360," you can make offline from dev tools okay so how do i do that uh so does anybody know"
491360,503440," or drop down no throttling on the network tab uh all right so no throttling"
505840,517760," what what how is that oh offline so we're completely offline okay so if i refresh this entire thing it"
517760,526960," seems to be working so we can try the same thing in here right so uh that's a really weird place to put"
526960,535040," such functionality in uh all right so offline right so we're completely offline and i'm gonna refresh this"
535040,542480," entire thing and as you can see it cannot work uh without any internet and this one uh can work okay"
542480,548000," so i learned something i actually learned something that's actually pretty cool uh but you know how i"
548000,552320," wanted to test that right before the stream i want you to actually redirect it to some sort of like a"
552320,558960," non-existing proxy right which also potentially may work so we can actually take a look at that right so"
558960,564560," i'm gonna just do it like this uh right thank you thank you for for letting me know about this offline"
564560,573920," feature so my idea was to just start chromium right uh with a proxy uh server and just redirect that proxy to"
573920,583440," some local host to maybe 69 69 right so this is supposed to be like a socks uh five uh it's not six it's five"
583440,591280," right so this proxy does not exist on my machine so hopefully uh that will create a situation uh which"
591280,600400," doesn't work so i have to uh it didn't work uh so i suppose this is because i have some other tabs"
600960,609200," opened in uh in here so okay so it's not going to work uh without completely restarting my uh my browser"
609200,615200," because i have some other things all right so uh the dev tools it is then right so we're going to be"
615200,622240," using dev tools so dev tools are definitely better to to test all that stuff okay uh so you forgot to"
622240,630960," take down your 69 69 prox so i don't really have 69 69 prox so um right okay so i need to recover my"
630960,636640," knowledge on how to work with emote gem right so i still have a clone of this thing in here do i have"
636640,641600," some changes in here uh i don't really have any particular changes so there is a ripple effect i don't"
