start,end,text
0,6280," Hello everyone and welcome to yet another recreational programming session with Mr. Azozin."
6280,13320," So I recently noticed that I'm kind of using the same pattern for testing my programming languages"
13320,18180," like over and over again. So recently I've been working on Tula, my programming language that is"
18180,24840," based on a Turing machine. So let me actually find its source code. Right, so what's interesting"
24840,29980," about this language is that it has a bunch of examples and a bunch of tests and stuff like that"
29980,36900," and examples are like very small programs and I have like a testing script in here. I can just run"
36900,45620," those testing scripts and that thing will run each individual test. I think I even have like a file"
45620,50780," with all of the lists. Yeah, there we go. So here's the list of all of the files that I want to test."
50780,57700," What it does, it iterates through the list of all these files, it runs them and it actually saves its"
57700,65780," standard output. Right, it saves the standard output and then it compares it with an expected one. Right,"
65780,72660," look at that. So essentially I have the file that I'm testing and also have a file the same name .expect,"
72660,80340," it's the expected output in here. Right, so this is an expected output. Right, and what this testing tool"
80340,86660," does it just saves the actual output then takes the expected output and does the diff between them."
86660,93220," Right, so and that's how I know that I broke something in the application or not. For example,"
93220,99380," I can replace this particular line in the expected output to, for example, your mom. We are expecting"
99380,104900," actually in the first line to see your mom and let's actually see how the testing tool is going to react to"
104900,112020," all of that. So let's go and as you can see it failed immediately and it actually uses the diff tool"
112020,118100," to sort of tell you like, okay, we expected that line in here but we got this line in here. So if I"
118100,123700," change all of that back, right, so I change it to trace, all of the tests will pass. Right, so but the"
123700,129380," cool thing in here is that if you modified something within the application, you don't have to modify the"
129380,137220," expected output manually. There is a second script which is called record.sh, right, which basically"
137220,145780," runs all these files again, takes its standard output and replaces the expected output. So I'm not really"
145780,152420," using unit tests for testing my programming languages. I'm using this like sort of like an integration test,"
152420,158500," right, so I'm looking at the language as a whole. I'm not testing specific units, right, because I'm usually"
158500,165860," very experimental with the languages. I change a lot of things and doing unit tests in like a TDD style"
165860,170900," introduces a lot of friction. So these are called snapshot tests, right, so there is some sort of like"
170900,178260," a official name for that. The thing is that with the testing terminology is that it seems like there is a"
178260,184260," standardization of the testing terminology but this is actually an illusion. Like every project, every company"
184260,190660," uses their own terminology, right, and if you move between different like teams, between different"
190660,195300," projects and the companies, you have to relearn this terminology again. Some people call it behavioral tests,"
195300,201220," some people call it integration tests or whatever the fuck it is, right, so the terminology intersects a little"
201220,207540," bit but not really, right. So yeah, I like to look at the thing as a whole, right, so because it"
207540,215460," it allows you to test things but doesn't impose too much friction to experiment, right. So I feel like"
215460,223220," like this extensive like a TDD style testing is needed for like security critical applications,"
223220,228100," like I don't know, encryption libraries or something like that. It's just like a very heavy process,"
228100,235140," right, so where mistake has a huge cost. So in my, you know, bullshit toy applications, like the cost is"
235140,241620," actually very small, so it doesn't matter. So I rather prefer to have less friction but at the same"
241620,247380," time, like sometimes I can break something in another place of the application while working on a different"
247380,252900," end, right, so that happens. And this kind of stuff is very convenient, right, so I modified something,"
252900,257700," I did some tests, I re-recorded everything and there we go, I'm good to go, I continue working on some other"
257700,264260," things. Right, so this idea didn't really start in Tula, this idea actually started back in Porth,"
264260,269060," right, so do you guys remember the Porth programming language I developed back in the days, right,"
269060,274820," so when I was younger and more energetic and the world was not going to shed completely,"
274820,280340," yeah, so I was developing Porth and this is where I got this idea, right, so that I want to do it like"
280340,288020," that. So there I actually had a test.py and I was originally kind of thinking to implement this testing"
288020,294660," tool in Porth eventually. Right, so and if I try to run this entire thing, right, so it kind of works in"
294660,301220," a similar manner. Right, so there's some tests, there's also some examples and near the examples,"
302260,310180," as you can see, there are txt files, right, so I have a bubble sort, right, bubblesold.porth and"
310180,317140," then I have an expected output in here. An expected output is actually in a very interesting and strange"
317140,323220," format. Right, when I was kind of preparing for today's stream, right, I just look at this format and"
324820,331140," I don't remember, did I come up with that format or did I steal that from somewhere? Does anybody"
331140,337460," remember? People who watched all of the Porth series, where did I get this? I came up with this format,"
337460,345540," really? I came up with it because I looked back to it and I feel like that I stole it from somewhere."
345540,353700," I feel like I stole it from somewhere, but so yeah, yeah, so and you guys even remember the argument for"
353700,359780," this thing, right, so I developed this format to actually make it easier to implement in any language,"
359780,366340," right, so the thing that I remember is that this format looks like a text format, but it's actually"
366340,372820," binary format, so it's a binary format that disguises as a text format and there's actually very specific"
372820,382260," reason for that, right, so essentially as of right now in that format you have two kind of fields, integer"
382260,388500," fields and binary blob fields, right, so I suppose just binary fields or I think I think they're blob,"
388500,396260," right, in the code I call them blob, right, and essentially each field is a line, right, so essentially"
396260,403780," you read the first line and that's the field. The type of the field is denoted by this prefix in here,"
403780,410980," so colon i means it's an integer, then it is followed, I think it's strictly followed with one space,"
410980,417140," it is because it's a binary format, it's strictly followed by one space, then the name of the field,"
417140,425300," right, so it's a key value, right, so here is the name of the field and then you have the integer itself,"
425300,430580," right, this is the integer itself, so this is the first kind of fields that you can have, right,"
430580,438660," you can have named integers, so the second kind of field you can have is blob fields, right, so they have"
438660,447300," prefix colon b, then they have the name and then as the integer value they have the amount of bytes,"
448180,456980," like how many bytes there are in that blob, so then comes the new line and after the new line come"
456980,465540," the bytes of that blob and then at the end you have additional new line and you continue as usual,"
465540,471940," right, so for example here I have a blob with the name standard output that contains 154 bytes,"
472580,479140," then after the new line come the bytes, right, and after the bytes you have an extra new line and then"
479140,484020," the next field, that's the entirety of the format, like literally there is nothing else in here,"
484020,492260," and I'm using this format in PORTH to actually store information about the expected output, expected"
492260,500340," behavior of the test, right, so here I say that for the input I don't provide any additional arguments,"
500340,505780," for the standard input I don't provide anything, the return code is expected to be zero, the standard"
