start,end,text
160,6160," Hello everyone and welcome to yet another recreation programming session with Mr. Zozin."
6160,11760," Have you ever generated an SSH key? Or GitHub for instance, or something like that?"
11760,20480," Have you noticed that when you generate like a random RSA SSH key, it always prints this weird"
20480,30640," thing which is called random art, right? So what the hell is that, right? So someday I just like look at"
30640,35120," that and I just like thought to myself, what the fuck is this shit? And I started googling it and"
35120,41360," I found this specific, you know, super user page, right? So it's a stack exchange page, right? And"
41360,47040," the explanation is actually kind of cool. So random art is meant to be an easy way for humans to validate"
47040,54320," keys, right? So usually keys, they have fingerprints, which is a short sort of like a short summary of"
54320,60480," the key, right? And if the fingerprints of the keys match, that means the keys match, right? But"
60480,68240," comparing them one by one is actually error prone for humans, for human perception, right? So and maybe"
68240,74320," you can miss something, maybe the begin and end, the heads and tails match, but the middle doesn't match."
74320,79440," And this is something that people usually do, right? So when people look at the huge strings of hash"
79440,83760," functions or fingerprints and stuff like that, they don't usually compare the entirety of the thing,"
83760,89120," they usually compare heads and tails. And as far as you know, there is even an attack that is designed"
89120,94320," to exploit that specific behavior of humans, by the way, right? I think I heard something like that."
95120,103600," Right. So what was proposed instead some time ago in 1999 is to actually visualize the hashes"
103600,111360," with images, right? So because images are easier for humans to perceptually compare, right? And this is"
111360,117120," what those images are. So it's a simple algorithm, relatively simple algorithm that takes the sequence of"
117120,124320," bytes and turns it into an image that uniquely identifies that sequence of bytes. So then if you compare fingerprints,"
124320,128800," you don't compare the specific things, you just like visually match the patterns, right?"
128800,132160," Which is less error prone specifically for humans."
132160,138000," So which is rather interesting. So I just bookmarked this entire page to look into that later. Maybe it's"
138000,146000," a potentially interesting topic for streaming. And there is basically a link to a paper in here that"
146000,151920," explains how all of that is done. It's a very interesting paper. I wonder if I can actually invert"
153600,166080," the colors. So I do have dark reader and it is on, but it doesn't work on PDF. Okay. So that's fair."
166080,174880," That's actually fair. So did I already? So validate here. It is. I want to open it in a new PDF. There we go."
175440,182000," So, and that means I can probably just zoom in. So HashPill is a visualization, a new technique to improve"
182000,190080," real world security. And it is actually kind of fascinating the way they generate images, right?"
190080,198400," So they generate images by creating a visualization function, right? So random art, a possible solution."
198400,205520," Random art is apparently some sort of algorithm that was described some time ago. There is a link to a"
