start,end,text
0,5980," Looks like we're live. Hello everyone and welcome to yet another recreation programming session with"
5980,10740," a Mr. Zosia. Let's make a little bit of an announcement and officially start the stream"
10740,17520," live on Twitch. And what are we doing today on Twitch ad.at television website? I didn't prepare"
17520,26780," my notes, god freaking damn it, but today we are parsing actually, parsing Lisp with Rust. So that's"
26780,32440," precisely what we're doing today. I'm going to give the link to where we're doing all of that,"
32440,36780," twitch.tv. And I'm going to ping everyone who's interested in being pinged. And there we go."
36780,43060," The stream has officially started. The stream has officially started. So yeah, we're going to be"
43060,47800," parsing Lisp. Specifically, we're going to be parsing S-expressions, right? So have you guys heard about"
47800,55640," S-expressions? S-expressions, right? So it's basically the essence of the syntax of Lisp,"
55640,62160," right? So essentially it's the format with parentheses and stuff, right? So, and you can"
62160,68920," think of S-expressions as basically consisting of two things, the atoms and pairs, right? So"
68920,79560," names like X, Y, and Z are atoms. And to form a pair, you put atom, dot, and another atom,"
79560,85700," and you put it in parentheses. The chain of pairs is actually called list, and it can be shortcut like"
85700,91840," this, right? So, and why do we need all of that, right? We need it for our language that we're"
91840,98520," developing, right? So Turing language or Tula, right? So let's take a look at it. So one of the expressions"
98520,103540," that it can actually work with is going to be S-expressions, right? So there's no particular reason"
103540,109320," for using S-expressions. I just thought that they're going to be easier to parse. So as you can see,"
109320,116500," here we have a bunch of S-expressions that denote a state, right? So also maybe you're going to be able"
116500,121820," to use S-expressions to store in the tape, right? Because it's a Turing machine language, so it's a"
121820,128200," language for a particular Turing machine and stuff like that. So right now we do not support this kind"
128200,133220," S-expressions at all, right? So we do not support that. We don't know how to parse them, and that's going"
133220,139740," to be the topic for today's stream. We need to learn how to parse S-expressions, right? So then we can put"
139740,145140," them in our language. Once we have them, we'll have to implement some sort of like a pattern matching in here,"
145140,151200," so we'll see if we'll have time to actually do that today. We'll see, we'll see. The winner gets T,"
151200,158580," that's for sure. By the way, I forgot to properly prepare for today's stream and open my list of"
158580,162740," subs and stuff like that, so I forgot to actually bring it up. Hello, hello, everyone. Welcome,"
162740,168060," welcome, welcome. Thank you for all of the subs. Let's just wait for Twitch to load up. It's a horrible"
168060,172900," website. Absolutely freaking horrible website. I have no idea why I keep using it. I should probably"
172900,178780," switch to YouTube already. So let me pop out this entire thing and close this horrible website finally."
179280,185100," Thank you very much. I don't have to look at that ever again. So let me take a look. Thank you so"
185100,189940," much. Nameless Blossom for Twitch Prime. With the message, love you, Zosin, love Rust, love Lisp,"
189940,197080," so much love Shish. I hate all of these languages, by the way, honestly. So I hate Rust and I hate"
197080,202880," both Lisp. I absolutely despise them, but thank you so much for Twitch Prime. So fitogro99, thank you so"
202880,208920," much for the question. With the message, Lips Hype. You probably meant Lisp, right? So anyways,"
208920,214740," it's Mr. Jakob, thank you so much for Twitch Prime. Thank you, thank you, thank you. And let's go."
214740,222900," Let's fucking go, my new phone. So we already know how to tokenize shit, right? So off screen,"
222900,228700," I've been basically working on this entire thing and cleaning things up. Right. So one of the important"
228700,235900," things that we have in here is Alexa, right? So if we take a look at the Alexa itself, let me find it."
235900,241700," So it's a struct Alexa. Here it is. So as you can see, it's a structure. It holds the source code that"
241700,248180," it is currently Lexing. It also holds the file path from where that particular source code was read."
248180,253820," It also keeps track of the position and stuff like that. It's quite important to denote the location of"
253820,260020," different tokens and everything. So in here, we have a bunch of things in here. So we have methods like"
260020,266980," next symbol and peak symbol and so on and so forth. So we're going to be using this thing to parse as"
266980,273380," expressions. So I'm thinking, how are we going to be denoting, like how are we going to even describe"
273380,282740," as expressions? So let's create a separate module, sexper. So sexper module. So our language finally"
282740,287800," got a sex update. Are you guys happy? Are you guys happy? Okay. So we're going to have a sex update."
287800,295420," So let's write some data structures. Let's write some data structures that describe as expressions. So the"
295420,300460," first thing we're going to have in here is probably an atom, right? So this is going to be atom, right?"
300460,303960," And within an atom, what you're going to have, you're going to have some sort of a name of the atom,"
303960,311560," right? So, right. So atoms are just literally names. In our case, they are symbols, right? So they're"
