start,end,text
0,13920," looks like we're live hello everyone and welcome to yet another zozin session how about that how"
13920,20320," about that how about that how about i'm sorry uh welcome so let's make a little bit of an"
20320,28640," announcement and officially start the stream so uh red circle uh live on twitch and what are we"
28640,36000," doing today on twitch is rather interesting today we're implementing in line function for port that's"
36000,44640," right we are in fact implementing in line functions for both and there we go uh the stream has officially"
44640,54480," been started hello hello everyone welcome welcome welcome uh hello uh i good duke rubio d my var hello"
54480,61520," hello welcome welcome welcome so um support is a programming language that i've been developing for"
61520,65680," like a several months already i think it's like four months uh you can find the source code in the"
65680,71280," description um let me actually put a note in here so yeah here's the source code and uh if you're"
71280,77040," watching live you can find the source code in here i'm gonna copy paste it in the chat hello arrows lab"
77040,86800," sobin 235 x2 door lazy 000 8 uh welcome welcome welcome so um so the format is going to be slightly"
86800,92560," different uh this time i disabled the alerts because what i found is that they are extremely distracting"
92560,98880," while i'm trying to basically deliver my trail of thoughts all right so while i'm just explaining"
98880,103680," something an alert can come in in the middle of me explaining things and it kind of interrupts"
103680,108000," everything and it's difficult for me to recover the context so from now on we're going to not for you"
108000,115600," from now on for today we're going to try to stream without any alerts but i do have the log of major"
115600,121920," events like subscriptions or subscriptions beats and stuff like that like in front of me here so i'm going"
121920,127360," to be explaining things and as i'm done i'm going to be periodically looking at the um at the events and"
127360,133600," acknowledging people uh sending beats maybe with questions by the way uh also subscriptions and"
133600,139840," re-subscriptions um so yeah this is going to be the new format um hopefully it's okay we'll see how it"
139840,148160," goes we'll see how it goes uh so uh let me take a look let me take a look let me go uh to my source code"
148160,154480," of ports i did a little bit of a development off screen because that's what i do from time to time uh let me"
154480,165920," fetch the uh the latest stuff so status master okay cool um and uh let me merge origin a master so"
165920,172720," there's a lot of deletions in here and this is because i finally made an executive decision which is"
172720,181840," very very hard and removed the simulation for it right because uh it was never useful i never used it"
181840,188400," and uh it only added a lot of complication to the development it's like a whole like new uh run time"
188400,194720," that i had to support that i rarely use and yeah i decided to just sneak it and it simplified a lot of"
194720,199760," things uh especially simplified the testing because now i don't have to worry about simulation mode being"
199760,207280," slow in both ports.py and port.porth uh but i'm thinking i'm gonna bring the simulation mod back in the"
207280,212880," future in a slightly different form uh we'll see how it go it's just like i need a little bit more"
212880,220400," of development of ports to actually see what needs to be done there um so all right what's up with the"
220400,225520," inline procedures what's up with the inline procedure i presume that a lot of people already know what is in"
225520,234000," inline procedure from languages like c or whatnot right in c you have inline functions right uh inline"
234000,239040," function uh let's take a look in wikipedia at wikipedia so in c and c++ programming language in"
239040,244400," the line function is one qualified with a keyword inline i don't know what syntax we're going to"
244400,250480," use for inline functions maybe also a key keyword inline uh this serves two purposes it serves as a"
250480,255520," compiler directive that suggests that the compiler substitute the body of the function inline by"
255520,261840," performing an inline expansion so it's gonna in our case i think it's gonna act slightly like macros"
261840,267520," that we removed right so and i already said that i want to bring back macros in slightly different form"
267520,273280," so there you go so the the this is basically one of the use for the use case for the macros that i had"
273280,279120," that i didn't really implement in the language after removing the macros um right so i'm going to"
279120,287440," actually uh copy paste that in the chat for anyone who's interested uh so uh inline functions so what"
287440,293840," inline functions do right they when you call an inline function um instead of calling it the compiler"
293840,301680," literally substitutes its body with um you know with the substitutes the call with the body of the function"
301680,308960," uh right and why do we need something like that why do we even need something like that uh in the"
308960,315120," standard libraries specifically we have a lot of small functions very very small functions that"
315120,321440," don't even do anything uh right they call to another function or to intrinsic and for example"
321440,328720," these functions they are just wrappers to implement like typing uh right so here we have a function that"
