start,end,text
640,7600," looks like we're live hello everyone and welcome to yet another recreational pogroming session"
7600,15920," with a mr azuzin so let's make a little bit of an announcement uh red circle please uh live on twitch"
15920,22320," and what are we doing today on twitch.a television website today we are uh hacking"
22320,26720," lua that's right so i'm gonna give the link to where we're doing all of that uh twitch.tv"
26720,30720," slash trading and i'm gonna ping everyone who's interested in being pinged and there we go the"
30720,35600," stream has officially started the stream has officially started hello hello everyone welcome"
35600,42960," welcome welcome so lua is quite famous scripting language um and uh what's interesting about this"
42960,48800," language is that it's actually very simple right so the kind of the simplicity of this language is"
48800,56080," sort of like a selling point and everything and today uh i would like to actually put that to test"
56720,63520," uh if you know what i mean right so i'm going to download the source code of lua uh not like this"
63520,69440," actually in just a second i'm going to download the source code of lua and we're going to try to explore"
69440,77440," the internals of lua right we're going to try to explore the internals of lua and see how simple it"
77440,83520," is how explorable it is and maybe how extendable it is one of the things i want you to do with lua"
83520,91600," specifically is to maybe just hack into its parser right and in interpreter and maybe add like a new"
91600,96560," construction that doesn't exist in the language all right so this is something that i wanted to do it's"
96560,103680," kind of like uh one of these sort of like a tests uh to to how simple the language is uh right and i"
103680,110320," want to just try to do that so i personally don't really program in in lua that much uh right because for"
110320,114400," me it's just like a toy scripting language but i mean for any toy scripting language there's always"
114400,119600," a use case and it's very popular language for you know for making extensions right so people quite"
119600,125120," often embed uh that language to uh different applications to make them extendable to make them"
125120,132480," scriptable and it's a pretty good use case it is a pretty good use case so um i would even say if we're"
132480,139360," just like comparing only scripting languages i think lua as a scripting dynamic language is probably one of the best"
140320,146320," out of them right especially because it's strongly typed if i'm not mistaken right it is a strongly"
146320,153280," type so one of the problems people have like that's actually very interesting so it's already several"
153280,157360," people who said that so one of the things we'll definitely need to do we need to make their array"
157360,166160," their arrays start with zero we're gonna try to do that sure this is such a cool idea why didn't i"
166160,174400," think about that right fixing lure fixing lure making arrays start from zero holy okay so maybe we're"
174400,183920," gonna try to do that love it okay so we already downloaded this so this is gonna be the topic for"
183920,188000," today's stream everyone this is basically the topic for today's stream i want to explore lure i want to"
188000,195680," see how difficult it is to read its source code uh right so let's go so we already yeah so it downloaded"
195680,204160," very quickly it unpacked very quickly so how many even uh yeah it's actually less than hundred of files"
204160,206640," right i think um i already wait"
206640,213680," are you fucking is this the entirety of this wait um"
213680,220800," where is the configure script"
223840,230960," where the fuck is configure screen is that it is that simple um"
230960,239840," apparently apparently it is apparently it is that simple wait a second so uh where is the executable"
