start,end,text
0,29980," Thank you."
30000,59980," Thank you."
60000,89980," Thank you."
90000,119980," Thank you."
120000,149980," Thank you."
150000,179980," Thank you."
180000,209980," Thank you."
210000,239980," Thank you."
240000,269980," Thank you."
270000,299980," Thank you."
300000,329980," Thank you."
330000,359980," Thank you."
360000,389980," Thank you."
390000,419980," Thank you."
420000,449980," Thank you."
450000,479980," Thank you."
480000,509980," Thank you."
510000,539980," Thank you."
540000,569980," Thank you."
570000,599980," Thank you."
600000,629980," Thank you."
629980,659960," Thank you."
659960,689940," Thank you."
689940,719920," Thank you."
719920,749900," So, do you have any changes in here."
749900,779880," And if I run it like this."
779880,809860," I don't know."
809860,839840," The next state is, the next state is generated on the next state is generated on the previous state."
839840,869820," Let me see."
869840,899820," But yeah, so this is what we do."
899820,929800," of control."
929800,959780," So, I don't think it's a good idea."
959780,989760," So, this is a good thing."
989760,1019740," It's a good thing."
1019740,1049720," cool down, cool down, cool down."
1049720,1079700," So, okay."
1079700,1109680," So, okay."
1109680,1139660," rule 1, yeah."
1139660,1169640," But I have no idea."
1169640,1199620," handle all the inputs."
1199620,1229600," So, okay."
1229600,1259580," So, yeah."
1259580,1289560," I don't know, I don't know."
1289560,1319540," So, okay."
1319540,1349520," So, okay."
1349520,1379500," So, okay."
1379500,1409480," This is not particularly interesting."
1409480,1439460," So, okay."
1439460,1469440," Let me try to extract."
1469440,1499420," And what's interesting."
1499420,1529400," So, okay."
1529400,1559380," All right."
1559380,1589360," I think it's better."
1589360,1619340," So, okay."
1619340,1649320," So, okay."
1649320,1679300," window here."
1679300,1709280," So, okay."
1709280,1739260," So, okay."
1739260,1769240," Let's say, okay."
1769240,1799220," So, okay."
1799220,1829200," I'm in the middle."
1829200,1859180," So, okay."
1859180,1889160," I don't know."
1889160,1919140," So, okay."
1919140,1949120," So, okay."
1949120,1979100," So, okay."
1979100,2009080," I don't know."
2009080,2039060," use the renderer."
2039060,2069040," So, okay."
2069040,2099020," So, okay."
2099020,2129000," So, okay."
2129000,2158980," So, okay."
2158980,2188960," So, okay."
2188960,2218940," So, okay."
2218940,2248920," So, okay."
2248920,2278900," So, okay."
2278900,2308880," So, okay."
2308880,2338860," So, okay."
2338860,2368840," So, okay."
2368840,2398820," So, okay."
2398820,2428800," So, okay."
2428800,2458780," So, okay."
2458780,2488760," So, okay."
2488760,2518740," So, okay."
2518740,2548720," So, okay."
2548720,2578700," So, okay."
2578700,2608680," So, okay."
2608680,2638660," So, okay."
2638660,2668640," So, okay."
2668640,2698620," So, okay."
2698620,2728600," So, okay."
2728600,2758580," So, okay."
2758580,2788560," So, okay."
2788560,2818540," So, okay."
2818540,2848520," So, okay."
2848520,2878500," So, okay."
2878500,2908480," So, okay."
2908480,2938460," So, okay."
2938460,2968440," So, okay."
2968440,2998420," So, okay."
2998420,3028400," So, okay."
3028400,3058380," So, okay."
3058380,3088360," So, okay."
3088360,3118340," So, okay."
3118340,3148320," So, okay."
3148320,3178300,", okay."
3178300,3208280," So, okay."
3208280,3238260," So, okay."
3238260,3268240," So, okay."
3268240,3298220," So, okay."
3298220,3328200," So, okay."
3328200,3358180," So, okay."
3358180,3388160," So, okay."
3388160,3418140,", okay."
3418140,3448120," So, okay."
3448120,3478100," So, okay."
3478100,3508080," So, okay."
3508080,3538060," So, okay."
3538060,3568040," So, okay."
3568040,3598020," So, okay."
3598020,3628000,", okay."
3628000,3657980," So, okay."
3657980,3687960," So, okay."
3687960,3717940," So, okay."
3717940,3747920,", okay."
3747920,3777900," So, okay."
3777900,3807880," So, okay."
3807880,3837860," So, okay."
3837860,3867840," So, okay."
3867840,3897820," So, okay."
3897820,3927800," So, okay."
3927800,3957780," So, okay."
3957780,3987760," So, okay."
3987760,4017740," So, okay."
4017740,4047720," So, okay."
4047720,4077700," So, okay."
4077700,4107680," So, okay."
4107680,4137660," So, okay."
4137660,4167640," So, okay."
4167640,4197620," So, okay."
4197620,4227600," So, okay."
4227600,4257580," So, okay."
4257580,4287560," So, okay."
4287560,4317540," So, okay."
4317540,4347520," So, okay."
4347520,4377500," So, okay."
4377500,4407480," So, okay."
4407480,4437460," So, okay."
4437460,4467440," So, okay."
4467440,4497420," So, okay."
4497420,4527400," So, okay."
4527400,4557380," So, okay."
4557380,4587360," So, okay."
4587360,4617340," So, okay."
4617340,4647320," So, okay."
4647320,4677300,", so, okay."
4677300,4707280,", so, okay."
4707280,4737260,", so, okay."
4737260,4767240,", so, okay."
4767240,4797220,", so, okay."
4797220,4827200,", okay."
4827200,4857180,", so, okay."
4857180,4887160,", so, okay."
4887160,4917140," So, okay."
4917140,4947120,", so, okay."
4947120,4977100,", so, okay."
4977100,5007080,", so, okay."
5007080,5037060,", so, okay."
5037060,5067040,", so, okay."
5067040,5097020,", so, okay."
5097020,5127000,", so, okay."
5127000,5156980,", so, okay."
5156980,5156980,", so, okay."
