start,end,text
880,6480," Hello and welcome to another third session. How about that? How about that?"
6480,15120," Today is a Saturday and today I decided to make a quick session on game development. So"
15120,21280," it's going to be about developing our game in C++ and OpenGL. You can find the source code of this"
21280,26560," game in the description. And in the previous episode, which you can also find in the description,"
26560,37280," we developed a very simple UI for our game. So we used immediate UI and we used it for"
37280,42000," switching between different modes in editor. So right now in an editor we have two modes,"
42000,48240," which allows you to play styles somewhere here and also spawn enemies. And as you can see,"
48240,52960," it's two separate buttons. These row buttons actually doesn't do anything, it's just like a"
53840,60720," debug test row, which I use to test the UI. So we're probably going to remove it. So the problem"
60720,66800," with these two buttons is that it's absolutely unclear what they're doing, right, from the UX"
66800,72640," perspective. We could slap some text on them or icon on them, but I don't think it's going to be that"
72640,76720," sufficient. We're going to do that anyway, right? We're definitely going to slap something on them."
76720,82080," But I think the most convenient way to explain what each individual button does is some sort of like a"
82080,88480," tooltip, right? So you hover over a particular button and it shows the tooltip explaining what it does."
88480,94000," And I think if you have that, you don't really need that many icons. You probably need icons to quickly"
94000,99040," identify the action, but to learn about what exactly the action is doing, it's better to have some sort"
99040,104160," of a tooltip. And that's what I wanted to do today, just quickly implement the tooltip. Nothing particularly"
104160,111040," fancy. Nothing particularly special. So yeah. Let's get started, I suppose. Nothing much to say."
111040,116720," Let's see how it goes. I'm going to start Emacs from within my development environment, just in case."
116720,126240," And I wonder if I need to fetch the latest changes. So I think I do not need to do that. I think we already"
126240,132800," have the latest changes. All right. So let me find the UI class that we're using for everything."
132800,138240," And let me see, let me think what we need to add there. I think what we need to add there is an"
138240,148240," ability to show the tooltip, right? So we can add something like this tooltip, right? And what the"
148240,153040," tooltip needs to accept, it needs to accept the renderer because it's going to render itself on the screen."
153600,159760," So it's going to accept the renderer. It also needs to accept the font, right? Because it's going to"
159760,166960," render the text. And also it needs to accept the text itself. So since it's going to be rendering the"
166960,171840," text, maybe it also needs to accept the scale, right? So we're going to have something like this scale."
