start,end,text
80,5040," Hello everyone and welcome to yet another recreational programming session with Amista"
5040,10400," Zozin. So we continue working on Raycaster and TypeScript and this is our result that we developed"
10400,17680," in the previous session. It looks kind of cool. I really like it actually. But it's obviously"
17680,25280," lacking compared to what we saw in the tutorial, in the article in here, which inspired the whole"
25280,30160," thing. I'm gonna copy paste it in the chat for people online and obviously I'm probably gonna"
30160,36160," put that in the description as well. Right, so here they have screenshots from Wolfenstein 3D"
36160,42560," and also somewhere down there they also had textures and stuff like that. So today I would"
42560,48880," like to actually work on adding textures to the walls. I think it should be really easy."
49840,57280," uh famous last words right. So honestly I thought the same thing about um about raycasting in general"
57280,62240," and it got burned really really hard uh so it turned out to be way harder than I thought."
62240,68880," But I still feel like uh just adding textures should be still kind of easier right. So I can explain you"
68880,76320," why right. Because you can you can just use the standard texture technique right. So essentially if"
76320,83440," you're doing uh OpenGL or in and GLSL right so the shaders and stuff like that you have a texture in"
83440,91200," the memory right. So and usually you have so-called UV coordinates right. So you have U and V but I don't"
91200,96080," remember if V actually goes down or up but maybe it doesn't even matter right. So you have some sort of"
96080,102480," UV coordinates and they are normalized coordinates. So that means they start at one and this at zero and this"
102480,109280," is one and this is one right. So and essentially if you have some sort of a point on some surface the"
109280,116720," only thing you have to do is to normalize it to zero one and then pick a pixel out of the texture and then"
116720,124320," color uh that pixel on that surface that you want to you know map the texture to according to that right."
124320,129920," So and essentially um if we have some sort of obstacle in here right so this is basically the"
129920,136400," block we are looking uh top down at the block and we have a player and the player looking at the block"
136400,144000," and through this sort of ray we kind of know where exactly um the ray hits this entire thing."
144000,149920," So and what's funny is that I just realized that the cells are already normalized. They're already"
149920,156320," normalized that their size is one so that means we already kind of know the value from zero to one"
156320,163440," uh which column of the uh of the texture that we have to pick. Like this thing literally just tells me"
163440,169600," right away which column of the texture in here I have to pick and this is the thing that I have to draw"
169600,175520," instead of this stripe right. So because we are actually rendering things in in terms of stripes uh and"
175520,180960," the stripes actually have a pretty low resolution in here you can even kind of see them so let me"
180960,186320," uh wiggle around yeah you can clearly see how low of resolution I have in here right so this low"
186320,194480," resolution stripes I think even in the source code. If we go somewhere here in array caster index.ts"
194480,201360," index.ts I have a screen width so yeah so the width of the screen is 300 right so it's quantized like that."
201360,207920," So the actual resolution I think is 800 right so but I quantized it uh by by 300 divided basically."
207920,214800," So and because of this sort of logic right so that I laid down in front of you right now so I feel like"
214800,220480," mapping um you know texture should be easy right but you never know what kind of problems you're gonna"
220480,226480," encounter along the way right. So texturing the uh walls is going to be one of the objectives for today."
226480,232240," Another objective I would like to do is maybe fix the fucking controls because right now you're using"
232240,241360," WASD right so and to rotate I use A and D and this is like really really quantized and I can only make"
241360,245920," one steps and stuff like that. This is fucking annoying like how am I supposed to even play this"
245920,253680," kind of game so this is this sucks. The controls in camera fucking suck. What's interesting is that you"
253680,259040," you can actually test it out for for yourself right it is deployed on github pages it doesn't have any"
259040,264880," backend or anything like that uh just go to here and for people uh on youtube of course I'm going to put"
264880,270960," that in the description as well uh right so it's going to be somewhere here uh so if you're interested"
270960,279520," so it's basically WASD uh so another kind of problem that I have in here is that the array actually when it goes out of the"
279520,286480," bounds right as you can see minimap uh denotes the bounds right if you go out of bounds uh the entire"
286480,295120," scene kind of disappears and this is because of how our ray caster works uh so essentially uh if the ray"
295120,301680," for whatever freaking reason goes outside of this bounds it stop it stops the whole process right it"
301680,308880," basically stops the whole process which is kind of meh right i think uh i think we should allow uh seeing"
308880,313920," these objects even if you're completely outside of the boundary right so because it's kind of"
313920,320160," doesn't make any fucking sense right so we can denote this area as the area where you can place walls"
320160,324960," right and outside of this area you simply can't place walls but it doesn't mean that you can't be there"
325520,331600," right so why can't you be there i think you should be able to do to be there so the way we can do that"
331600,341200," um well we can basically disable you going there right uh or uh we can essentially modify our process"
341200,347680," so here we render a single frame so render a game uh so as we render a game we are rendering a scene and as"
347680,355200," we are rendering a scene we are casting a ray right so we have a special function called cast ray uh we"
355200,363040," are providing the scene right so and a scene is essentially an array of arrays of strings or nulls"
363040,370080," null denotes an empty wall and string denotes basically the color uh right so it accepts the player position"
370080,377360," and it also accepts basically where you have to go right so the array essentially and where are you going"
377920,384080," okay so let's actually go here um right and this is very interesting thing right so as you can see"
384080,392880," as we're casting the array we are doing all of that stuff in the in the loop in an infinite loop right"
392880,402240," so we are checking whether the array which is denoted by two points hitting a particular cell if it is"
402240,408400," hitting a particular cell we're checking that whether that cell is inside of the scene if it's not inside"
408400,415040," of the seal we stop the ray casting process if it's inside we stop it only when we find something on this"
415040,424800," scene uh right so what i'm thinking is that maybe we can basically change it like this right so if you are"
424800,434320," in a scene and uh this thing is not equal to null only then break so that means if the ray goes outside"
434320,440080," of the boundary of the of the scene it will continue going there but then i feel like we need to limit"
440080,446400," for how long you can actually go anywhere right so maybe we can have something like a limit right so it's"
446400,453520," going to be limit uh and we can say that you are allowed to only do 10 steps or something like that"
453520,459520," so let's actually limit this thing to 10 steps uh maybe we can even limit all of that stuff to"
459520,467600," a length right so to a particular length uh but as we casting the rate so you see what we're doing we"
467600,473760," have a special function which uh does a race step right so you we provide the ray and it gives us the next"
473760,480800," step so that we're kind of losing the beginning of the of the ray right so let me actually show how uh"
480800,490880," exactly we're doing all this um so i don't have a tablet so here's one point here's the second point"
490880,499040," uh i can denote this as one two so we have a procedure that given two points finds the next one right so"
499040,506880," finds the next one and this is the third point and uh right so we only keep the last two points in this"
506880,513440," entire process so one of the things we need to do we need to probably save the very first point at the"
513440,521280," beginning of the ray casting process maybe something like start right p1 and in here uh we probably should"
521280,537760," continue while the distance start to uh distance to um i don't even know to p1 is less than far clipping plane"
537760,547200," something like that you know what i'm talking about right so while the distance uh from start to p1 uh is less than"
547200,553600," this sort of limitation we continue doing that and we stop when uh we're inside of the scene and we find"
553600,558160," something that is not new so that seems to be reasonable so let me actually enable the fly check"
558160,565520," next error uh right so fly check mode which like always shows the errors and let's go ahead and maybe"
565520,571600," enable the watch mode do i have a watch command yeah i do have a watch command so that means i should be able"
571600,576640," to just go in here right so should be able to just go in here maybe i'm gonna start team yux and i'm gonna"
576640,584240," say npm run watch uh there we go so i have a watch mode so it keeps recompiling the the typescript"
584240,590000," every time i modify something right so because that's how it goes in web development watch mods and"
590000,595920," shit um it doesn't really serve anything because the the whole thing doesn't really require any backend"
595920,599120," but maybe in the future we're going to create something that is going to"
599760,605520," go into the watch mode and also serve uh you know like a web server or something like that"
605520,610000," when we need the backend maybe we can make it like a multiplayer game i don't know"
610000,621120," so anyway let's refresh this entire thing so now uh if i try yeah there we go so as you can see yeah"
623360,628400," that's kind of interesting that's kind of interesting so now i can actually go far away"
628400,633040," and it doesn't it's not it doesn't even slow down the whole thing that much right so it doesn't really"
