start,end,text
960,6540," Hello and welcome to another Zozin session. How about that?"
6540,10140," Bet you didn't expect that shit to happen so we took a little bit of a break"
10140,17280," but we're back. Two back! Champions of the Arena. So today I want to do something very"
17280,27180," simple but at the same time fun, right? So simple but fun. Simple but fun. So let's"
27180,31940," take a look at the classical problem of you know detecting that a particular"
31940,38360," rectangle intersects or overlaps a circle, right? So let's define this stuff"
38360,44960," like that. So let's draw a rectangle and here's a beautiful beautiful rectangle"
44960,51600," and let me save the color just in case and let's take a look at the circle, right?"
51600,61280," So there we go. So how can we detect this kind of situation? So the problem is"
61280,66420," very well known and there is well like good solutions for that but I wanted to"
66420,71760," explain this thing with a little bit of a visualization, right? And for the"
71760,77780," visualization day I wanted to use something called shader toy, right? So shader toy is"
77780,83180," basically a website that allows you to write the GL cell shaders, the shaders of"
83180,90160," OpenGL and then using WebGL, right? So WebGL is basically the bindings of OpenGL"
90160,97060," into the web. So you can do OpenGL in a browser in using JavaScript. So using WebGL"
97060,103280," it then compiles all of that and runs it on your GPU. So here is a very simple shader. I wonder if we can"
103280,107960," make it slightly bigger so we can see shit in this mist. Okay, I think we can see"
107960,112380," that and there we go. So here's a simple shader and it generates these beautiful"
112380,117500," beautiful pictures. Isn't that cool? I think it's pretty goddamn cool. Look at that. Look"
117500,122740," at that beautiful shader. Oh my god. Anyway, so I want you to use this thing to"
122740,129280," visualize the problem and just like show how you can detect the rectangle"
129280,135880," overlapping the circle. So I suppose we could split this video into like two parts. The first"
135880,141260," part is going to be me coding the entire visualization, right? It's not going to take"
141260,146180," it's going to be too complicated, but I still want to explain everything that I do. And then"
146180,152820," using that visualization, I'm going to explain how you can detect programmatically that a rectangle"
152820,158640," intersects a circle. So maybe for the actual explanation, if you're only interested in detecting"
158640,167620," where the rectangle overlaps with the circle, maybe I'm going to put like some sort of a time stamp"
167620,174320," to like for you to jump when I finish the visualization part. So yeah, for those"
174320,179540," schools interested in the whole thing and especially interested in shaders, let's actually do a little"
179540,186480," bit of a shader coding. So in ShaderToy, you can only code the fragment shaders, right? There are"
186480,191500," different kinds of shaders of OpenGL. There is like a vertex shader, there are geometry shaders, there are"
191500,195460," tessellation shaders. I don't know what's the difference between tessellation and geometry. I know nothing about"
195460,201460," OpenGL. And there are fragment shaders. So the fragment shaders, they operate on sort of like each individual"
201460,207460," pixels and they call them fragments. There's probably a good reason to call them fragments instead of pixels."
