start,end,text
0,12140," looks like we're live hello everyone and welcome to yet another recreation programming session"
12140,18520," how about it let's make a little bit of an announcement and officially start the stream"
18520,29140," maybe i don't know let's give it a try so it can be red circle uh live on twitch and what are we"
29140,37320," doing today on twitch today we continue working on our programming language uh right htps twitch.tv"
37320,43640," slash sliding and i'm gonna ping everyone who's interested in being pinged and there we go that's"
43640,52020," it is what it is and it isn't what it isn't is it not i think it is uh all right so uh let me"
52020,60200," fix the latest changes for the language right uh so i think it's yeah and uh merge origin"
60200,67100," master uh also i think i need to reboot strap my compiler so let me quickly find the bootstrap"
67100,76700," instructions and quickly do them uh right so after we compiled everything we need to make the executable"
76700,83880," uh executable right give the permission for the executable and uh after that i'm gonna try to"
83880,90640," compile the compiler with itself and the compiler managed to compile itself that's actually pretty"
90640,98560," exciting so now we have the executable so this is the executable uh almost 200 um kilobytes and it"
98560,103500," should be able to recompile itself right so it can recompile itself as many times as you want"
103500,109700," uh all right so what we're gonna be doing today today we're gonna be actually trying to attempt"
109700,116380," trying to attempt to make the type system of porth a little bit better right so right now the type"
116380,124960," system of porth is rather poor uh right so it consists of only four primitive types um only four"
124960,134780," only four primitive types so the first type is an integer and uh this type is basically represents the"
134780,141440," word of the machine you're running on right so it's just like a 64-bit number there's nothing special"
141440,147780," about that so uh another type is a boolean and it represents the boolean logic value and it is used"
147780,156960," for things like ifs and uh loops right so essentially ifs and loops they expect the type to be boolean for"
156960,164800," their conditions um so and this is basically to separate the um intents of like an integer that stores"
164800,170080," value and a boolean that stores the uh value of conditional operations and stuff like that"
170080,176320," another type that we have is a pointer and it's a pointer somewhere within the memory that points"
176320,183520," at some data right and that's very important that it only points at the data it doesn't point at the code"
183520,191920," but the problem with that pointer is that it doesn't know what it points at you need to know what you"
191920,198000," point in it right so and essentially it kind of acts like a void star in in c if you have a programmed in"
198000,204640," c you probably know what is a void star right so it's just like a general pointer that just points"
204640,211040," at something in the memory and we don't know what it points at uh so and the fourth type is an address"
211040,219200," it's almost like a pointer but it doesn't point at the data it points at the code and through address we"
219200,225120," can pass around pointers to functions so it's essentially pointed to a function uh you can"
225120,232480," call an address you can't call a pointer but you can call an address and for the longest time we had"
232480,238960," only these four types right so and in fact i've implemented the whole compiler in itself using only"
238960,245440," these types um so it wasn't particularly convenient because quite often i need to pass a pointer to a huge"
245440,251520," structure and the only thing i can use is a void star right so i can only use voice star and i don't"
251520,259680," really know um what's actually behind um that pointer or there is like no compiler that will check that for"
259680,266640," me um so anything the time has come to actually change that so today's stream is going to be dedicating to"
267280,273760," making pointers a little bit better so essentially on top of pointer being just a pointer and addressing"
273760,282160," the memory i wanted to actually store the information about what it's pointing at right so since our type"
282160,288560," system only supports the primitive types uh so far it's going to be pointing only at primitive types"
289120,297120," right so instead of just having pointers uh we will try to introduce uh pointers uh to integers or pointers"
297120,304080," to booleans or pointers to pointers or pointers to address right so basically uh today we're going to"
304080,312240," rise the level of kindness right do you guys know what is a kind you guys know what is a kind kind is"
312240,323920," essentially um you know the type of a type if that makes any sense uh so uh yeah like in haskell so"
323920,333680," essentially just a regular type it it has kind of a set right so if you have an integer integer represents"
333680,341520," a set of numbers right it is basically a set of numbers all of the uh you know integer numbers like"
341520,350720," float is yet another set um and so on and so forth right so and if you wanna um for instance express"
350720,360560," something more complex types uh right a pointer would be rather so the problem with pointers like in c is"
360560,366960," that they're syntactically very very noisy so it's very difficult to see what they actually are if the"
366960,376400," pointers in c looked like this right you would say that the pointer is a function that takes one type"
376400,384000," an integer integer type and returns another type the pointer to an integer in some sense you can say that"
384000,393440," the pointer is a function that takes one type one set and returns another set so the type of a type"
393440,400800," usually in haskell and other like similar function languages is called kind right so today we're going"
400800,407600," to introduce a new type that has a higher kind right so today we're going to introduce a pointers that"
407600,414880," are parameterized by other types right so and uh there is a lot of like for example in go there is"
414880,420720," a lot of types that are parameterized by another types right so one of them is a pointer pointer is"
420720,427360," parameterized by another type the channels are also parameterized by another type uh the arrays are also"
427360,433360," parameterized by another type and so on and so forth so in a lot of languages you can think about type system"
433360,440880," as sort of like its own language with its own values and its own functions right for instance in c++ there"
440880,449120," might be a like a type function array that actually accepts another type uh right and the size of the"
449120,455120," array it accepts two arguments you can think about array as a function that is executing at compile time"
455120,462800," and it accepts one type and one value right so um and yeah so basically we're going to introduce a new"
462800,473360," sort of function that accepts a type so we've got some um subs so let me actually uh acknowledge them"
473360,481760," super quick um okay so luke lane uh recept for two months i think uh thank you thank you thank you"
481760,488800," saying hello uh robin the bird gamer uh thank you so much for tier one subscription uh your first subscription"
488800,495440," by the way welcome to epic port club uh nick letter i hope i pronounce you nickname correctly hi hi hi uh"
495440,503520," thank you so much for two months uh ernan corners 2000 let's go new stream how are you sodding i'm i'm"
