start,end,text
40,5680," Hello everyone, and welcome to yet another recreation programming session with Mr. Zozing."
5680,10320," So, some time ago I found this really fascinating language, which is called"
10320,16400," Typelang, and I decided to take a look at it today. So, it's a tiny language interpreter"
16400,25080," implemented purely in TypeScript's type system. That's really bizarre. So, essentially,"
25080,31240," so, this language looks like lists, right? So, it's based on S expressions, right? So, essentially,"
31240,37200," function calls, instead of looking like this, they kind of look like this, right? So, you have"
37200,45240," basically atoms, like elements of the lists, and lists that are, you know, delimited by the"
45240,50900," parentheses. That's what they are. That's basically S expressions. And the way you evaluate this"
50900,58980," language is by basically shoving a string with the source code of the language into a generic"
58980,68100," parameter of eval type. And it evaluates, I suppose, at compile time, I guess. I'm not really sure, but"
68100,74180," this is how it looks like, right? So, for example, here is the if expression, right? And it evaluates to"
74180,81780," yes or no. And what's interesting is that it evaluates into a type, right? So, because you"
81780,87540," assign this entire thing to a type, right? And what's interesting about TypeScript is that"
87540,95060," types in TypeScript can be values. You can take any value, and you can declare that value at type."
95700,101540," So, if I understand correctly. So, let me actually try that. So, if I do index ts, right? So, you can"
101540,109620," create a function f, and you can say that x is 5, right? So, and we don't really have like a, you know,"
109620,116660," TypeScript config here anywhere. So, one of the things we probably want to do is maybe initialize this"
116660,122820," project. So, it's actually in this project real quick. So, this is going to be that, that, that. So, I'm"
122820,129380," going to just say yes to all of these things. And there we go. So, let's also install, you know,"
129380,134740," TypeScript as a dev dependency. So, I think it's save dev, right? If that's what you want to do in"
134740,139460," here, right? So, we're going to do something like this. We're going to take some time to install in"
139460,146980," everything in here, right? So, and afterwards, in Node modules, we're supposed to have tsc and we have to"
146980,153460," initialize this entire thing. So, that will create the ts config, right? So, luckily, finally,"
153460,161380," we do in fact have a ts config, right? So, and what's interesting is that you can say that 5 is a"
161380,168820," type. So, x has to be a type of 5. And if you try to pass something that is not 5 into this function,"
168820,174820," it's not going to compile, right? So, argument of type 69 is not assignable to parameter of type 5."
174820,181460," So, essentially, what you say is that you can only pass 5 in there. So, that's an interesting"
181460,188820," aspect of TypeScript is that any value can be also a type that can be checked at compile time, right? So,"
188820,194740," 69 is not allowed, right? So, what's interesting is that what if I say, okay, so I can only accept 69,"
194740,202900," but what if I pass 34 plus 35? Will that work? Right. So, it doesn't really work. So, because this"
202900,209780," the type of this expression is a number, right? So, and the type here is 69. So, it doesn't really"
209780,214500," compute that at compile time, right? Even though it has all the necessary information"
214500,218500," about this kind of thing, it doesn't really do that. But anyway, that's besides the point."
218500,224340," So, essentially, this entire thing evaluates into a type which is effectively a value,"
224340,231700," right? So, that's basically how it works, I think. And yeah, that's about it. That's about it. So,"
231700,236740," you can put like an entire source code. As far as I know, you can even use like a multi-line things in"
236740,242900," here, right? So, here is like definition of two variables, and then you concatenate these things,"
242900,248180," right? So, I don't really know what exactly happens in here. So, here you have"
248180,254580," the definition of three, and you do plus plus. And if I remember correctly, plus plus is an increment."
254580,260580," Yeah, increases a number by one. It's a very simplistic language, actually, right? So, we don't"
260580,265140," really have that many things in here, right? So, you can increment number by one or decrement,"
265140,272820," right? And in this multi-line thingy, we increment this by one. So, that means it's four. We assign four to x."
272820,280340," Then we take x, we increment it by one, making it five. And then we say join, which probably concatenates"
280340,287380," this string result and this number, right? So, I suppose it converts that number into a string,"
287380,296740," and that's basically the result. Right. So, my basically plan for today is going to be just try"
296740,303300," this language out and also try to figure out how the fuck does it even work? Because it's kind of"
303300,309380," fascinating. Like, how the fuck do you even write such language? So, it's really interesting. So, let's"
309380,315780," give it a try. How we're supposed to even do that? So, you just install this entire thing. We can actually"
315780,321060," install it locally, I suppose. Let's install it and also save it as a development dependency. Let's"
321060,328180," actually see what's going to happen. So, suppose it's available on npm, right? And let me actually"
328180,335620," see what we've got in here. So, here's the type script and here's the type link. So, and in here we"
335620,340900," don't even have anything. Look at that. Well, because this is a library, right? So, this is a library that"
340900,347380," you're supposed to import and stuff like that. So, yeah, essentially you're importing evolve from type"
347380,354980," length. All right. Fair enough. Fair enough. Let's give it a try. So, I'm going to go in here and"
354980,366900," import evolve, right, from type length. So, this is what we got. And it can't even parse that properly, right? So,"
366900,372180," what does it say? Cannot find module or its corresponding type declaration. That's really"
372180,379620," interesting. So, what if I try for instance to maybe do TSC and try to compile this entire thing?"
379620,386900," Yep. It can't find that. It's actually, it actually can't find that. That's really surprising. Is that"
386900,393380," because I made this thing like a dev dependency or like I'm not really sure what exactly going on and"
393380,400260," why it doesn't even find this entire thing. Types type length. Maybe this is another thing that I have"
400260,405220," to install, but this entire thing is already implemented in type. Yeah. So, this is a good point."
405220,411860," But this entire thing is already implemented in TypeScript. So, module resolution thing. Yeah, probably"
411860,417940," something about module resolution thing. Let's find out. Does it even say anything about that?"
417940,426900," So, if we take a look at the installation. The only thing they say is just npm install. Yeah. So,"
426900,432980," install type with this requires blah, blah, blah. Yeah, it doesn't really say anything."
433940,442580," Yeah, maybe module resolution. No. Let's actually see. Let me see. Let me see. So, module resolution."
442580,455460," So, I don't remember module resolution. UTS config.json is probably wrong. Well, I mean,"
455460,467220," I just generated it. Right. So, module resolution. We can try this. So, node 10. Specify how TypeScript"
467220,473460," looks up a file from a given module specifier. Okay. So, let's give it a try. Is it going to work? No,"
473460,480180," it doesn't really work. So, people also suggested to use maybe just node."
483540,491620," And no, it still doesn't work. Right. So, set module node next. Okay. So, let's try to set it to node next."
491620,496180," So, this is something that has to be in the documentation, I believe. And none of that works."
496180,502820," Okay. So, module must be set to node next when option module resolution is set to node next. Okay."
502820,510340," So, that means, all right, we have to do something like a node next then. There's so many different"
510340,517860," module resolutions. That's kind of bizarre. And no, none of that works. Chat, you all are wrong. You all"
517860,523620," are wrong. None of that fucking works. And there is nothing about that in the documentation as well."
525220,532340," So, I don't freaking know. I don't freaking know. So, let's take a look at the thing itself. Right."
532340,540420," So, this is the type length. So, src. And so, what kind of modules we have in here? So, we have like the"
540420,555380," usual ES something something modules. Right. So, maybe it's not really, you know, next per se. So, let's"
555380,563540," actually go back in here. So, this was originally node 10. Right. So, this was node 10. And maybe we have"
563540,571620," to use like ES 2022 or something like that. I know that in a ray caster. Right. We use that module."
571620,583780," Ray casting TS config. And so, module. Right. So, modules ES 2022. Let's give it a try. So, maybe that is going to work."
585140,595300," Because. Okay. I cannot find module. Did you mean to set module resolution to node next or to add aliases"
595300,613380," to paths option? I'm not really sure, honestly. So, a target is 22. Bro. Like, why does it have to be so"
613380,618820," complicated? And why the project doesn't even fucking tell you how to do that? That's so bizarre"
618820,623700," to me. Okay. Okay. Listen. Listen. Let's actually take a look at TS config of this thing. Maybe there's"
623700,632580," something in there. Right. So, target 2020 module is 2020. Okay. Module resolution node. All right. So,"
632580,641700," let's actually try to set these parameters as they are in here. So, yes. Module interrupt. So, yeah."
642900,652740," So, target ES 2020. All right. So, that's the target. So, ES module interrupt is just true."
652740,667620," So, module ES 20. All right. So, that's what we have in here. Module resolution. Resolution is node."
668820,675700," Module resolution is node. Resolve JSON module declaration. Emit declaration only. Okay. So, let's"
675700,680500," give it a try. So, I mean, if that doesn't work, I don't fucking know what we have to do in here."
680500,688260," Okay. So, what the fuck is going on? No. This is so bizarre. So, a bit hacky, but it's..."
688260,694660," Yeah. We can try to specify the, like, the full path or something. Like, this is already bad."
694660,704500," Like, bro. You have to actually provide an entire information to the user how to use this thing."
704500,711140," This is really fucking bad. Like, from the, you know, from the documentation point of view."
711140,716420," Right. You go to the project. You follow the instructions. Instructions don't say anything."
716420,722100," Right. And you have in trouble to do anything. It's just, like, so bizarre to me."
722100,732660," Um, right. Okay. Is it gonna do things? It seems to be doing things. For sure."
