start,end,text
0,4920," Hello everyone and welcome to yet another recreational programming session with Mr. Zozin."
4920,10620," So today we're going to continue developing the animation programming engine and on the previous"
10620,15660," stream we actually ended up with a very interesting thing. Right, so I was trying to create like an"
15660,24860," asynchronous engine and ended up creating an OOP system, right? So essentially we created a notion"
24860,33220," of a task and a task looks like this, right? A task looks like this. So essentially you have"
33220,40040," the data pointer, right? So the data pointer and a bunch of methods, right? So and yeah, essentially"
40040,46320," you can have different kinds of tasks that perform different kinds of actions over time and then the"
46320,53760," main event loop, the main event loop on each frame pulls the task calling update with its own data"
53760,57840," and the environment in which it is running. Usually environment contains the size of the window,"
57840,63400," the frame rate, not really frame rate, but delta time. And then it returns your boolean indicating"
63400,68860," whether the task has finished or not. So this is sort of like an asynchronous task. Right, and so what"
68860,72940," kind of tasks you can have? All right, so what kind of tasks you can have? So if you take a look at the"
72940,78720," example that we developed on the previous stream, we developed like a loading, yeah, loading animation."
79660,85800," So, and loading animation just shuffles the squares. So let me actually demonstrate you. Let me actually"
85800,91480," demonstrate you. So I'm going to do something like this. So we rebuild everything. So panem build lib"
91480,97800," square, right? So lib square and there we go. So this is basically the loaded animation that we developed,"
97800,103240," right? With that specific asynchronous system. And what's interesting is that this particular animation"
103240,110560," uses very simple primitive, like two main primitive, primitive interpolations. It's move the square from"
110560,117100," one position to another and recolor the square. And then we have sort of like a super task, not really"
117100,123900," super task, but the tasks that allow you to compose some other tasks. Let me show you. So the two most"
123900,131800," important ones are the task group and the task sequence, right? So essentially I off screen kind of refactor this"
131800,138820," thing in a sense that now for the inter, for the moving the position and recoloring, we have a different"
138820,146420," kind of task, which is interpolation of a vector. So here I say, okay, interpolate 2d vector, which is a"
146420,155100," position of a square from its current position to a new position on a grid within 250 milliseconds,"
155100,162120," seconds like so, right? So this is basically interpolation. So and that is moving square from one position to"
162120,170120," another. Recoloring is interpolating 4d vector, right? So because color is RGBA, right? So we're interpolating 4d1. And my"
170120,170120," idea is that we're going to have a fixed amount of this, of these sort of like a tasks that interpolate a scaler, 2d vector, 3d vector, and 4d vector. And depending on your situation, you're going to be mapping them to different"
170120,185120," sort of factors that you're interpolating, and you're interpolating, and you're going to have like this animation that you can program and stuff like that. So we have task groups and task sequences."
185120,212120," This is actually super cool idea. It's kind of similar to the UI layout, but it's in time, if that makes any sense. It's a UI layout, not a spatial, because UI is a spatial layout."
212120,227120," This is a layout in time, right? And essentially task sequence accepts a bunch of tasks. So it accepts this group as one task, this group as one task, and this task and this group, right?"
227120,236120," So here, this group reshuffles the rectangles, then this group recolors them, this one moves one element at the bottom, and then it recolors them back."
236120,248120," So task sequence executes these tasks sequentially. So first it executes this task, then it executes this task, then it executes this task, then it executes this task, and then this one until all of them are done."
248120,256120," So it's a sequential one. Task group also accepts a sequence of tasks, but it executes them simultaneously."
256120,273120," So in that way, that way, you can create these task layouts. You can have things that go in sequence, and then things that go in parallel, but then if you group them, it's a single task that executes these things simultaneously."
273120,286120," So if you take a look at how animation is played, right? So first thing it does, it reshuffles all of them simultaneously, like this, right? You see, this was the first reshuffle."
286120,298120," Then it recolors them, right? So it recolors them. Then it moves the bottom one to the left. And then it recolors them back to their original thing. And it repeats that."
298120,307120," Right. So, and this is a single shuffle. And we repeat that shuffle three times, and we put that in a sequence as well."
307120,315120," So you see, and the description of the logic of the whole animation is basically this. It's 28 lines of code, right?"
315120,320120," It's just a description, right? But the task system is actually itself, it's pretty big implementation, right?"
320120,326120," So to make all of that work, we had to put a little bit of effort."
326120,331120," So task_sec and task_group are variadic. Yeah, exactly. They are in fact variadic."
331120,338120," So the problems with variadic is kind of interesting, right? So I had to actually have an extra macro, right?"
338120,347120," Because usually if you use variadic, you need to have some sort of a frame of reference when to stop accepting the arguments, right?"
347120,356120," Because the variadic function doesn't know upfront how many arguments you put into the function."
356120,362120," It can only know that at runtime until it stops pulling the argument."
362120,366120," So what we're doing here, we create an empty task, right?"
366120,369120," And task is just this structure as I already said."
369120,374120," So we say that the end of the tasks is the task that is fully filled with zeros."
374120,378120," This pointer is going to be zero, this one is going to be zero, this is going to be zero."
378120,382120," And such task denotes the end of the task arguments."
382120,388120," And then we just do a little bit of a macro magic to automatically put a zero task at the end in here."
388120,390120," Right, so and that's how it works."
390120,393120," So and within that task, what do we do?"
393120,396120," Right, so we just start variadic arguments."
396120,401120," We pull the arguments until we encounter something with an update null."
401120,403120," We just decided to use update."
403120,406120," We could have actually used data or some other field."
406120,409120," I just pick whatever field came to my mind, so it doesn't really matter."
409120,411120," So this one is zero."
411120,413120," And then we just append them to dynamic list, right?"
413120,416120," Until we encounter this thing, we just keep appending, appending, appending."
416120,421120," And then at the end, we're just constructing the task with the data and methods and stuff like that."
421120,424120," So null-to-aminated tasks essentially, yeah."
424120,427120," And that's what created this very convenient interface, right?"
427120,429120," And that's what we're using."
429120,430120," So it's a variadic thing."
430120,434120," Unfortunately, variadics in C are a huge pain in the ass."
434120,436120," Absolute freaking pain in the ass."
436120,439120," But you can smooth it out, you can lube it up a little bit."
439120,442120," But here is a little bit of a problem, right?"
442120,444120," Here is a little bit of a problem."
444120,449120," And this doesn't really work well with hot reloading."
449120,451120," Fucking doesn't."
451120,453120," So let me show you something interesting."
453120,456120," So what if I want to make these colors slightly brighter?"
456120,459120," Right, so can I just do a little bit of a..."
459120,460120," Emacs magic, right?"
460120,463120," So this is going to be color brightness, brightness."
463120,468120," Right, so maybe I'm going to actually zoom it out a little bit, like so."
468120,471120," And let's make it half way brighter."
471120,475120," And maybe I'm going to replace this color with the background."
475120,478120," Right, so this is going to be background, like so."
478120,481120," And I'm going to try to recompile this entire thing."
481120,487120," So, and if I try to now hot reload this entire stuff, it literally segfaulted."
487120,491120," Who knows why?"
491120,493120," Who knows why?"
493120,496120," Any ideas chat on why it's segfaulted?"
496120,502120," And it will always segfault if you make significant changes to some functions, it will always segfault."
502120,505120," Because function change position memory."
505120,506120," Exactly!"
506120,508120," Bingo!"
508120,509120," Yes!"
509120,511120," We basically built..."
511120,517120," We basically built the, you know, execution graph, which is..."
517120,518120," Actually, it's a tree, right?"
518120,520120," So execution is more like a graph."
520120,521120," Right, it's actually a tree."
521120,523120," Well, tree is also a graph."
523120,524120," Wait a second, yeah."
524120,529120," So we have this tree, and each node may contain pointers."
529120,535120," But this entire tree is located in a DLL."
535120,537120," Okay, so let me actually maybe draw that."
537120,541120," I think the best way to explain that would be to draw that."
541120,543120," Just reload the function pointers."
543120,544120," Yeah, yeah, yeah."
