start,end,text
160,5700," man it's it's kind of cool that this is the only low level thing you need in here which means that"
5700,11680," it's going to be easier to port that to other platforms so the less the contact surface area"
11680,18580," with actual cpu the easier it is to then port to arm for instance because on arm you just need to"
18580,22700," implement these things and there you go you support arm on another platform you just implement these"
22700,27440," two things and they're very simple i'm pretty sure on all of these cpus it's going to be pretty much"
27440,30900," the same is just like the registers are going to be different and instructions may be going to be"
30900,36820," slightly different and even if we want to compile on something like msvc it's really easy to if def"
36820,43260," all of that stuff right so it's a very small compiler and platform dependent part that is very much like"
43260,47140," easy to port i'm super happy with this implementation actually i didn't expect it's going to be this good"
47140,57220," hello everyone and welcome to yet another recreational programming session with a mr zozin"
57220,64280," so we have this interesting library which implements core routines right for those who doesn't know"
64280,70840," core routines is a really cool concept right so essentially imagine that you have a procedure"
70840,77980," right which counts from zero to one right so and essentially if you just call this procedure as is"
77980,83860," it will print from zero to nine right nothing particularly special nothing particularly special"
83860,91740," look at that so when you try to call it twice when you try to call it twice obviously you're going to"
91740,96640," get from zero to nine and then you're going to get again from zero to nine because you call them"
96640,103940," sequentially so what if you want to actually execute them in sort of like a parallel you can actually"
103940,108440," spawn two threads uh right but what if you are in a single threaded environment"
108440,114960," right so what if you are in a single threaded environment though you still want to um you know"
114960,121760," execute these procedures or logic those procedures execute sort of in parallel uh switching between"
121760,127300," them to simulate sort of like multi-threading it's kind of similar to how earlier operating systems did"
127300,132540," that right so with a single cpu with a single core right so if you had a single cpu single core"
132540,140060," uh like a windows like 95 for instance would still appear uh you know parallel right so what they would"
140060,146500," do they would actually switch between the processes right so periodically they would send some sort of"
146500,151420," interrupt that interrupts the process and then operating system switches to a different process and then"
151420,156120," to another process and just basically round robins between them but not necessarily round robins right so"
156120,162140," they may be have some sort of a fancy strategy to you know schedule the processes and stuff like that"
162140,166340," what if you want to do something like that but within like a single process well this is where"
166340,172500," core routines come in play right so uh essentially uh there is this a yield operation a really interesting"
172500,179540," yield operation that allows you to basically switch to another routine right so essentially if you're"
179540,185800," running several core routines simultaneously uh routines may say okay so i'm done for now let the other"
185800,191400," other other coroutines do their thing and then you can come back to that it will do another a little"
191400,196800," bit of work and then switch to another one so and we implemented a library that does that right so you"
196800,203220," you first have to initialize it then you say okay spawn these two coroutines and what we're doing"
203220,209160," indefinitely we are essentially yielding basically switching to the next coroutine so when you do yield"
209160,215380," it will switch to one counter do a little bit of work then yield again switch to another"
215480,220640," counter that counter will do a little bit of work then yield again it will yield to the main coroutine"
220640,225960," which will yield again to another counter and they're going to be basically interleaved right so"
225960,230120," they're going to be basically interleaved and if you try to run this entire thing as you can see this is"
230120,236660," exactly what happened we have zero zero one one two two three three four four and we're basically like"
236660,242720," a round robin between these coroutines we implemented that we implemented it entirely in assembly"
242720,247860," right so here's the implementation in assembly it's implemented in fuzzin the way it is implemented is"
247860,256760," that every time you create a coroutine we allocate a new stack a new uh buffer for storing the some of"
256760,264100," the registers so and essentially when we do yield uh what we do is that we look okay so what's the next"
264100,269960," coroutine we switch to that next coroutine switching the stack switching the register and continue execution"
269960,275680," until the next yield and that's how we round robin between them so that's uh that's basically what we"
275680,283200," have in here and i need this library because i want to add a synchronicity to my web socket library"
283200,291440," implemented in c3 uh right so i have it some way here so yeah i was thinking what kind of sort of like"
291440,296240," asynchronous model i want to use for this specific library so you can actually find this library in"
296240,306660," here and uh i'm going to actually put it in here as well one of the um asynchronous models that i wanted"
306660,315240," to use initially is futures i even implemented like a small future library in c3 as well uh but the problem"
315240,320260," with using future is that it's it's a completely different computational model from like just a"
320260,327440," regular imperative code which means that i will have to rewrite basically 90 percent of my uh web"
327440,335020," socket code then some time ago i actually discovered a really interesting library libmill right so which"
335020,341060," implements like a sort of coroutines uh go style right you can find it in here i can't really open it"
341060,346280," because of my internet provider and stuff like that and i got really really fucking inspired because"
346280,353580," this kind of like style coroutines will enable me to actually not rewrite majority of my code right so"
353580,357840," i'll probably add a little bit of code like a little bit of bodyplate to initialize coroutines and stuff"
357840,361360," like that but the the code that implements the logic is probably going to stay the same"
361360,367060," right and uh so yeah that's what i'm doing right now i'm trying to implement my own coroutines library"
367060,372320," and um that's what we're going to be doing today we're going to continue developing this thing"
372320,379580," the problem with this library as of right now is that it's written in assembly right so the reason"
379580,384540," why i was writing it in assembly is because i want to minimize the amount of noise introduced by the"
384540,389060," compiler right so because compiler introduces a lot of uncertainty it just like shuffles around the"
389060,395260," register you when you uh in insert in line assembly you don't really know exactly what is your"
395260,399440," assembly environment right so because again compiler kind of introduces a lot of noise"
399440,404760," so to reduce the amount of noise i decided to take control completely over the computational"
404760,410680," environment and implemented everything in assembly uh but the problem with assembly is that"
410680,418600," i started to want to do a lot of complex logic right so because i need to manage data structures"
418600,425280," to store the context of the coroutines right and switching between them between the context and"
425280,429560," stuff like that and it's really painful to do in assembly even though i have a lot of control"
429560,436960," over how i capture the environment and how i observe the environment and stuff like that uh i still just"
436960,443700," want to have like a little bit more convenient modern language to work with so and i decided that the time has"
443700,450160," come to actually rewrite this entire thing in c right and another problem with this assembly is that it's"
450160,457340," written in a very non-relocatable way uh right so which actually makes i think like linking very very"
457340,465660," painful to the point that we have to do these kind of weird little tricks uh right so i have no idea how"
465660,472080," it even works but essentially if i just try to maybe use something else right if i just try to link"
472080,479980," things as is without anything special i think it's not going to even compile uh yeah so we may try to do"
479980,488900," maybe something like this uh right and link them as this and uh yeah so things are not relocatable"
488900,494120," and since the library is implemented in assembly i have to manually rewrite this thing to be more"
494120,500500," relocatable and i'd rather do all of that in a higher level language right so you can compile just"
500500,507100," with no pie well i mean it's it's up to assembly right so we already spent too much time on the"
507100,512340," previous stream figuring out how to freaking compile this entire thing you really want to keep pushing"
512340,518820," that into this path you really want to keep pushing this path even though we already reached the"
518820,523080," point of shed tone of different flags and you really want to go there i don't want to go there you"
523080,527820," you may you may want to go there so the the code is open but i want to actually do something better"
527820,533460," something that is easier to maintain right so if you like to waste your time go ahead the code is open"
533460,539360," i'm not going to be wasting time so um right how are we going to be doing all that i think the only"
539360,543740," reason why we need assembly is because we want to capture a little bit of a like the current"
543740,550640," environment and specifically the current stack to be honest right so the current stack is more than"
550640,558120," enough for us so we also need to capture a bunch of registers right so specifically if we take a look"
558120,586860," um you know long jumps implemented in musul uh so let me actually see uh long jumps implemented in musul i think they are somewhere in third party so here is the musul and i want to find uh the file with the path that contains things as x86 64 um set jump right so set jumps basically saves the current environment uh right so let's actually find this entire thing so here is the"
586860,603320," is the here's the step so it saves a bunch of registers in here so as you can see it saves rbx rbp r12 r13 r14 r15 r15 and so on and so forth it also saves like a bunch of stuff about the stack uh which i don't really know what's up with that"
603320,631320," um right so we also need to save these kind of registers um so i don't know what exactly the registers we have to save and i don't know the justification of why musul and also glibc saves these specific registers uh maybe there's something about the linux api or how the compilers c compilers usually work but i'm going to just like blindly believe that this is the registers that we need to properly save this"
631320,635780," registers that we need to properly save the computational environment and we're going to save the same registers"
635780,652120," right so when we're talking about set jump set jump usually saves them in uh a parameter right rdi usually contains the parameter that is passed to set jump right so if we take a look at this set jump maybe i can even take a look at the"
652120,658940," um you know this thing um you know this thing in here so man page didn't really work properly set jump can you just give me set jump please"
658940,667920," um where is that jump so maybe this one there we go so here's the parameter and it accepts jump buffer which is an opaque"
667920,674700," point to the buffer right and uh so and it just saves all of these registers into that buffer"
674700,687160," in our case since each individual protein has its own stack maybe one of the things we can do and this is rather interesting is to save all of these registers"
687160,695340," on the stack and then um you know use the top of the stack as the environment that we kind of saved"
695340,702660," right so that way the entirety of the context is just like one single pointer uh right and you just switch"
702660,707700," between the pointer right you just switch between the pointers and the top of the stack usually just"
707700,714380," contains uh you know the uh all of the registers and stuff like that so i think that's that's a pretty cool idea"
714380,715980," i think that's a pretty cool idea"
715980,724200," so i've got some uh subs we'll get some subs i think i need to acknowledge them"
724200,730600," so who was the last uh doruksega thank you so much for trying with the message uh 10 10 months"
730600,736120," yo yo belisari thank you so much for tier one uh kwaki slav thank you so much for tier one"
736120,739360," with the message stops the sign compiling is slacking"
739360,748040," it is it is in fact slacking walking all right so let's go to the coroutines and let's actually try"
748040,756760," to think a little bit um so i want to maybe create something like a coroutine coroutine uh new"
756760,764500," awesome right so this is basically what we have and we're going to have a format elf 64 right elf 64"
764500,772060," um so essentially um how are we going to be doing all of that so if i want to implement everything"
772060,781660," in c right i want to implement everything in c so let me i didn't ever know i need to come up with"
781660,791960," like a better name so this is new and let's maybe call this main new uh c as well right um so i think i"
791960,798880," want to start with yield right so i want to have some sort of operation core routine uh yield"
798880,806460," there we go and yield basically switches to the next coroutine it basically switches to the next"
806460,812720," coroutine so here's going to be the entry point and stuff like that the thing about yield is that it"
812720,820620," needs to take its own stack right it needs to take its own stack one of the things we probably could do"
820620,828140," is to use some sort of like an inline assembly right and maybe just like grab rsp and save it to one of"
828140,835720," the registers but the problem is usually this kind of um this kind of procedures they have some sort of"
835720,845540," like a pre uh like prelude and epilogue right so they usually push the um base pointer maybe shuffle"
845540,852360," things around allocate some things and stuff like that so maybe if we have some variables in here uh so"
852360,859820," the rsp is not going to be pointing at the return address of the yield and return address of the yield is"
859820,867240," actually kind of important it is actually kind of important if we go down uh so there is something"
867240,873240," like attribute naked i don't really want to depend on like gcc extensions too much honestly right so i"
873240,878220," don't want to really depend on gcc extensions too much we could do something like naked um"
878220,885760," yeah yeah so it's it's not really that difficult to then later um you know get rid of all that but i"
885760,887960," think i want to do assembly completely in phasm"
887960,898420," so naked is just using gas then i suppose right so you're just like going down to gas"
898420,906260," um but anyway i don't really want to go into into that route honestly i don't really want to go i don't"
906260,912800," really like gas and gnu assembly and atnt assembly and stuff like that i don't really feel comfortable"
912800,919380," working with this really weird syntax really weird syntax so um what we can do we can do a little bit"
919380,925880," of a tricker running right a little bit of a tricker running so as i said the return address of yield is"
925880,932700," actually kind of important right so uh because the return address of yield points at the address"
932700,939460," after the call to the function right that's that's what it is so because essentially if"
939460,944900," you have uh instruction instructions in the memory so you have something like call and then you have"
944900,952280," some other next instructions so you have uh rip which is the register with um what is it called"
952280,959360," instruction pointer so and usually what happens right so what it does it first loads the call"
959360,964700," instruction right it reads the call instruction so rip now points at the instruction after the call"
964700,973940," right and only after uh reading the call instruction what it does on this stack right so so on a stack"
973940,984200," it actually pushes that current rip as the return address and only then sets the rip to the address of the function that you called"
984200,990520," so on the top of the stack you have that rip after the call so when you return you actually return to"
990520,997640," to the thing after the call so in for yield that return address being on the top of the stack is kind of important"
997640,1002860," for us because we're going to be using that specific return address to save the environment because"
1002860,1010280," when we're switching back to the core routine that called that yield we're going to be jumping to that address"
1010280,1016300," after the yield sort of restoring the execution you see what i'm talking about doesn't make sense"
1016300,1023240," i hope it does make sense right so and it's roughly what said the jump is doing in fact i stole that idea"
1023240,1030760," that trick from set jump uh right so because this is what it was doing so save return address pointer"
1030760,1039640," right so uh it basically takes a look at rsp uh literally like at the top of the rsp and saves the top"
1039640,1044760," of the rsp into this register and then from this register into the rdi which contains the pointer to"
1044760,1049720," the buffer right so it really literally takes that return address from the top of the stack and it just"
1049720,1055240," saves it so then later it's going to jump back to it right so it's going to jump back to it and because"
1055240,1060840," of that it's kind of like important super important for us in my opinion so uh we could do some sort of"
1060840,1066680," a naked thing in here but i don't want to deal with the gas or anything like that i want to work with fuzz"
1066680,1076680," so um let's go to maybe um new yeah new coroutine and let's introduce something like a coroutine yield so"
1077480,1087480," let's actually use assembly not as a low level low layer i would even say but more as a as a wrapper"
1087480,1094840," around c code this is rather interesting idea like as a wrapper around c code because as soon as you call"
1094840,1099480," this thing right so this is basically a naked function right so it is basically a naked function"
1099480,1105800," and you know for a fact that yeah our rsp contains the return address and essentially what we can do in"
1105800,1115000," here we can move rsp into rdi which is the argument which is the argument of this entire thing"
1115000,1122520," right and then we can just like jump to a c function right we're jumping to the c function"
