start,end,text
160,6640," looks like we're live hello everyone and welcome to yet another recreation programming session with"
6640,15040," azuzin let's make a little bit of an announcement and officially start this stream as usual uh red"
15040,22000," circle live on twitch and what are we doing today on twitch.at television website today"
22000,28560," we are developing a new language in rust for erlang vm and the reason we're doing that is because"
28560,33280," i want to right that that's literally the reason because i want to don't ask me why are you developing"
33280,39600," the language because i want to i can't do that and you cannot that's why i'm doing that that's"
39600,46320," what i'm doing that to dab on you to dab on you so right i'm joking uh so i'm gonna give the link to"
46320,52080," where you know that twitch.tv/studying and i'm gonna ping everyone who's interested in being pinged there"
52080,56240," we go the stream has officially started i'm not even sure if i'm gonna actually succeed today so"
58160,63840," i'm i'm being preemptively cocky uh but that's fine that's fine so what we did we do on the"
63840,69760," yesterday stream and not really yesterday stream but the the previous stream right so we did a very"
69760,76400," simple thing we uh created a simple program uh called hello right so and then we compile it into"
76400,84720," beam uh you know bytecode and beam as you know as you know is a virtual machine for erlang right so and"
84720,90960," a simple binary file and stuff like that so we took uh a pretty cool book and i really recommend to check"
90960,97200," out the book it's called the beam book the beam book uh right and it's a basically a book about"
97200,104400," internals of erlang right and using that book using some uh snippets from that book we implemented a simple"
104400,112160," parser for the beam file format right a simple parser for the beam file format uh so and essentially we can"
112160,118240," even take a look at how it works right so here is a simple thing we already compiled it uh right so that"
118240,125520," created the module hello uh we can take a look at the module info uh of that module right so and the most"
125520,131920," important thing uh that we can see in here is that it imports the function hello uh which means that i"
131920,135920," can actually call this function and it will tell me hello world there we go the function seems to be"
135920,144640," working so uh here is the parser right so off screen i actually implemented uh parsing for the rest of the"
144640,149280," important chunks i think i have not fetched it so let me actually quickly fetch it"
150480,156960," uh right so i'm gonna merge that uh and open it up one more time so let me revert the changes"
156960,162400," so yeah so essentially this parser parses all of the important chunks right as far as i know there"
162400,169920," is like four four or five important chunks so it's the code chunks which contains the byte code the"
169920,177760," instructions the encoded instructions the atom table uh atom table is basically a list of atoms which are"
177760,185200," symbols which are just strings right it's a list of strings uh then the list of imports the functions"
185200,190720," that your module is going to use the list of exports the functions that your module is exporting and the"
190720,197040," list of strength literals right so that's basically sort of like the the main chunks that we're operating"
197040,202240," with right so these are the main chunks we're operating with uh right so and i can compile this entire"
