start,end,text
0,12180," All right, looks like we are lives. Hello everyone and welcome to another Zozin session. How about"
12180,17640," that? But you didn't expect that shit to happen. So let's make a little bit of an announcement and"
17640,26660," start the stream. So let me bring up my Discord server. And the topic of today's stream is"
27280,34360," simulation mode for Porth Porth. That's the topic of today. So red circle, red car. Let's use red car"
34360,42740," then. Live on Twitch and simulation mode for Porth Porth. And we're going to give the link to the"
42740,50080," Twitch channel, twitch.tv. And we're going to ping everyone who's interested to be pinged. There we go."
50080,57160," So for the past several, I don't know for how long, but I think for the past month,"
57280,66600," we've been actively rewriting Porth in itself. Right. So Porth, by the way, is a programming"
66600,73500," language that we've been developing for two months. It's moved to GitLab. So let me actually"
73500,82060," bring the GitLab thingy. So yeah. And it's come a pretty long way, I would say. So you can find the"
82060,86580," source code of this thing in the description if you're watching on YouTube. And if you're watching"
86580,90500," live, you can find the source code in the chat. I'm going to post it in the chat. Hello, everyone. Hello,"
90500,96340," a camel. Hello, a good Duke. Hello, lonely little Lucas. Hello, hello. Welcome, welcome, welcome. So"
96340,105460," yeah, the original implementation of this language was in Python. Well, was it's still in Python. And we"
105520,112200," recently, like a month ago, started to rewrite it in itself. And we actually made a huge progress on that"
112200,117880," because now the compiler is capable of compiling itself. It doesn't support everything the original"
117880,123960," compiler supports, but at least it can compile itself. One of the features the original compiler had is a"
123960,129900," simulation mode. It's more of a like interpretation mode, where instead of compiling the source code,"
129900,135700," it would interpret it? Well, it would technically compile it to basically bytecode of its intermediate"
135700,144700," representation, and then interpret that bytecode, right? So, and our PORTH PORTH implementation,"
144700,149780," right? The original implementation of PORTH is called PORTH.py, and the new implementation is PORTH PORTH,"
149780,156380," right? The PORTH PORTH implementation lacks the simulation mode. It can compile, but it can't simulate."
156580,162860," And I decided to leave that topic for a stream. Usually, I work on the compile, like, off screen, if there is,"
162860,170280," like, some very, like, not interesting to stream topics, like, you know, things to clean up, things to tidy up."
170280,175460," So, I usually don't stream them, because it's not really that interesting to watch. I tend to stream, like, major"
175460,181540," features that are important for people to know. So, and yeah, one of those features is going to be the simulation"
181540,188660," mode. So, let's go ahead and implement the simulation mode for PORTH PORTH. Right? How about that?"
188660,198060," Hello, JSBella. Hello, YoungBins and Lean. ManaSoyme, PolyInsecure, Alex Couch. I hope I pronounced your nickname"
198060,203160," correctly. Hello, hello, Bitstream. Welcome, welcome, welcome. Really glad to see you all today. How are you guys doing?"
203160,205140," How are you guys doing? Cheers, by the way."
209140,214500," All right. So, let's go. I'm going to actually fetch the latest changes. I didn't think I actually"
214500,220900," fetched the latest stuff. I don't quite remember. GitCleanFDX. Let me actually clean everything,"
220900,224900," and I'm going to fetch everything. I think clean everything was a bad idea."
224900,230340," You will know why soon."
233060,240100," You will know why soon, because I'm not going to spoil anything, right? So, I probably have to recreate"
240100,246900," that program yet again. I forgot. I was supposed to actually commit this source code as an example to the"
246900,254260," to the code base of PORTH, but I forgot. And now I accidentally killed it. But I mean, there is a way I"
254260,260900," can recover it, so nothing actually lost. So, yeah, people are already guessing what it is. It's a"
260900,267060," thumbnail generator in PORTH, right? So, and the video about that, I actually recorded that video offline,"
267060,273700," right? Because it's what was a rather quick video. So, and it's about to actually release"
273700,279860," automatically. I scheduled it to release like in two hours, right? So, it's going to be on the YouTube"
279860,286900," channel in two hours, right? Well, I can basically recover the source code from that video anyway,"
286900,293700," and then commit it later. So, that's, it should be fine. So, yeah, okay, so we have some, some changes"
293700,301220," in here that we probably want to merge. And let me see what's going on in here. So, here's the original"
301220,306180," compiler, right? The original compiler looks like this, we can write a simple hello world, let's actually"
306180,311780," check if our language still works, because who knows? Maybe I broke something while working on it"
311780,318740," offline. And I don't have a highlighting in Vim. Disgusting. Why don't I have a highlighting in Vim"
318740,323860," for my language? This is absolutely disgusting. All right. So, I do have a support for this language,"
323860,331780," for this, for this language in Vim. So, here it is. And what I need to do, I need to copy PORTH.Vim"
331780,337220," here, right? So, this is basically where I have to copy it. So, let me quickly try to do that. I'm"
337220,348900," going to copy. So, editor PORTH.Vim into Vim syntax, right? Do I even have any of these directories?"
348900,354100," Maybe I have to create them. So, if I try to copy this kind of stuff, it will say that such directory"
354100,359060," does not exist. Okay. Let's try to create such directory. I'm going to do make_dir minus P,"
359060,367220," meaning that if in the path any of the directories are not present, they will be created. So, basically,"
367220,373700," it creates parent directories as well. There we go. So, we're going to try to copy it right now. So,"
373700,380020," everything seems to be fine. All right. So, now, let me try to do hello.PORTH, right? And it still"
380020,385780," doesn't work. I think I have to do something like PORTH and it still doesn't work. That's really"
385780,390260," strange. Did I copy paste it incorrectly? I think I just copy paste it incorrectly. I think I'm straight"
390260,401380," up pepega. So, what was that? And I even lost the... Okay. I see. I think it's supposed to... Okay."
401380,410020," I should have actually created... Okay. I see. I just forgot the tilde or something, right? Yeah,"
410020,418260," fucking damn it. I'm so bad at console, at Linux console. So, let me now try to copy paste this"
418260,424820," entire thing. It's going to be editorPORTH.vim and it's going to be vim syntax. Maybe that thing exists"
424820,429940," in there. All right. So, that means I accidentally... Yeah, I accidentally created this thing. I forgot"
429940,434180," to do that. Okay. So, I just have a little bit of a performance anxiety for some reason,"
434180,439060," even though I've been streaming like for five years already. Right now, for whatever reason,"
439060,448100," I just have a little bit of a performance anxiety. So, now, if I try to do something like this and"
448100,454100," a set FTPORTH. Yeah. Finally, it can highlight something. I'm not sure if it's a good highlighting,"
454100,460660," but it's at least something. Right. So, it's going to be hello world. Right. Hello world. And then puts."
460660,466420," And yeah. So, maybe this is because it's a console vim. If I used something like gvim,"
466420,470900," it would be a little bit better. Yeah. It's a little bit better, but I cannot scale my text."
470900,475300," Right. Here we go. So, we have a hello world. If I try to compile this hello world"
476180,481940," with our Python compiler, it will generate assembly. It will feed that assembly into NASM,"
481940,486340," and then it will link it to the final executable. And if you try to run it, here it is. It says hello"
486340,492420," world, but it doesn't have a new line. I keep forgetting the new line every time. So, let me"
492420,499300," quickly just fix that. I have no idea why I'm using vim, by the way. So, I could have just run emacs."
499300,505300," I even have emacs running. So, what's wrong with me? I don't understand. In any case, here's the hello world."
505860,513380," So, yeah. And the rewrite of the compiler is located in porth.porth. So, here is the rewrite"
513380,520500," of the compiler. It's a relatively big file. Almost 3000 lines of code and all of that in porth. Right."
520500,525700," Let's try to compile that compiler with porth.py. Right. Porth.py. I'm going to try to compile it"
525700,534980," forth dot porth. And it will take some time. Right. There we go. And if I try to run the final"
534980,539700," executable, as you can see, it created a native executable for the compiler. Right. So, it's not a"
539700,545540," script anymore. And if I try to run it, it basically says that you have to provide some subcommand. We can"
545540,551540," try to now compile it with itself. Right. I'm compiling the compiler with itself. And as you can see,"
551540,557140," it is successfully compiled it, you know, with itself. Right. One of the things you can't do"
557140,562180," right now, you can't simulate it. Right. If you try to simulate it, it will say that some of the"
562180,569060," operations in the simulation mode are not implemented, specifically function calls. Right. So, there we go."
569060,574420," So, and here it will say that it tried to call this function. But since the function calls are not"
574420,580820," implemented in the simulation mode, it couldn't do that. Right. It could not do that. And our goal"
580820,587300," would be to just like go through all of these like missing features. So, we have basically a huge switch"
587300,592500," case. Right. So, we have intermediate representation and we have a bytecode of intermediate representation."
592500,599620," So, what we do, we just go through the bytecode of the intermediate representation and we have a huge"
599620,607300," switch case. If the byte represents this operation, we do that. If it represents another operation,"
607300,612820," we do another thing and so on and so forth. Right. So, we have a huge switch case for all of the possible"
612820,617460," operations of intermediate representation. And as you can see in the simulation mode, some of them,"
618100,625300," they're missing. So, what we have to do now, we have to just try to run the simulation. And every"
625300,630420," time something fails, we have to fix that and we have to keep repeating that until we implemented the"
630420,636420," full simulation mode. So, that's basically the workflow that we're going to be using today. Does it make sense?"
642660,650660," Hello, hello, everyone. Welcome, welcome, welcome. So, does anyone have any questions maybe about what we're"
650660,660500," about to commence? All right. So, in the meantime, I'm going to just go to the place where we're supposed"
660500,669540," to perform a call. And I suppose we need to perform the call. As far as I can understand, the call is rather"
669540,676900," simple. So, the operation has the place where you have to jump the execution. And on top of that,"
676900,685460," you have to save the current place, the current address of the execution into the return stack. So,"
685460,692420," when you hit a return, you know where you have to jump back. Right. So, we can even take a look at how it's"
692420,702740," implemented in port.py. So, dev simulate a little ending in Linux. And so, op type call. Right. There"
702740,709380," we go. So, we have some sort of a return stack. We append the current instruction plus one. So, we're going"
709380,716100," to return to the next instruction after the call. And then we're just simply jumping to the address of the"
716100,721940," procedure that we're calling. So, we only have two things. The problem is, in the simulation mode of"
721940,730180," PorthPorth, we don't have a return stack. So, we'll have to implement it super quick, super, super, super"
730180,739380," quick. Let me see. Where is the simulation of our nation? SimulateOps. So, here is the simulateOps."
