start,end,text
0,6260," Hello everyone and welcome to yet another recreational programming session with Amista Azuzin."
6260,13180," So lately I noticed that my views are down and you know what that means? That means we need to"
13180,18880," start doing another slop stream. So on today's slopping we're going to be looking at the latest"
18880,25760," Raylib release. So this Raylib release been in making for a year actually, right? So Raysan"
25760,31140," doesn't release Raylib very often because he's a busy man, right? So he's doing other things and"
31140,36240," Raylib is just his side project. Because of that I really recommend to actually support it, right? So"
36240,40520," there's some links on the website. I'm going to put the website to Raylib in the description."
40520,49800," Right, so and it's finally the time for the annual Raylib release, right? So let's take a look at it."
49800,55220," We're going to download the latest release. We're going to unbox this and look at it. So what's funny"
55220,61580," is that this time, yet again, there's probably one of my contributions in the Raylib, right? So"
61580,70540," at some point I think I submitted a fix for audio to Raylib that fixes flag support and it got"
70540,77140," merged by Raysan himself. So maybe it is in that release. So let's go ahead and maybe download this"
77140,84300," thing. So maybe I'm going to go to somewhere, maybe prop raylib. Right, so let's go ahead."
84680,89760," Maybe I'm going to just, you know, click it. So AMD 624. Let's fucking go. Let's fucking go."
89760,96140," So it is 1.7 megabytes, right? So is it bigger than the previous release? How much bigger it is"
96140,99480," than the previous release? Let's actually fucking download the previous release because I'm really"
99480,107000," curious. Right. So let's go into the releases. The previous one was, I think the previous one was"
107040,117980," actually 5.0. Right. So they skipped like four releases somehow. Right. So straight into 5.5."
120560,127520," Okay. That's very interesting. That's a very interesting use of Semver, right? So I don't"
127520,133000," really know how to interpret that, but that's how the versions are. It's actually pretty much the same"
133000,139820," size. 1.76. And it's also around that 1.7. It's actually, if anything, it's smaller, I think."
140380,148460," I think it is smaller. Okay. Let's open it up. So it's actually, you know what? So this is just"
148460,153420," the binaries, right? I'm not really interested in binaries. I should have downloaded the source code."
153900,160220," All right. So let's actually go ahead and literally download the source code. I think it's way more"
160220,164860," valuable to look at the source code. And source code is actually a little bit chunkier. All right. It's"
164860,173180," right. It's 40 megabytes. It's fine. All right. So let me go into the Raylib. And I'm going to"
173180,179660," actually move this entire thing in here. Okay. So let's go ahead and unzip it. All right. That was"
179660,184460," fast. The unzipping experience is actually quite pleasant. So it's all in a single folder, right?"
184460,190300," So it doesn't spill out of the folder if you unzip it. So, you know, unzipping experience 5 out of 5."
190300,194940," Anyways, I'm sorry. So yeah. Yeah. So"
194940,206620," why there's now two build.zeeks in here? These zigooners been running around,"
206620,212780," submitting build.zeeks everywhere. Now a single build.zeeks is not enough for them. They need a"
212780,213900," fucking second one."
213900,222780," Dude, zigooners just can't fucking stop. They have no chill. They need to multiply more and more and more"
222780,230380," files. What the fuck is this file? So is that, is that like an analog of like a log files, right? So is"
230380,235420," that what it is? It's probably an analog of log files. Jesus fucking Christ, bro. Anyways, what's happening?"
235420,242860," So yeah, we can take a look at the actual changelog, right? So as far as I know,"
242860,249740," Raysan doesn't really acknowledge everyone in the release nodes in here. He only acknowledged the people"
249740,255180," who are new contributors, right? So as you can see, it's a new contributors. So, but the full acknowledges"
255180,262620," as far as I know is in changelogs. Right. So, and there is no rexium in... Oh, okay. Well, that's,"
262620,267900," that's the previous one, isn't it? Yeah. So it's a previous release and it contains all of the releases."
267900,270060," So it was about the flag."
270060,281580," So we can take a look. Right. Ah. All right. So he put me under my actual... He leaked my name."
281580,288940," Why did he leak my... I'm joking. My name is not a secret."
289500,294380," Right. So we can take a look at the pull request that actually submitted in there. It's actually kind"
294380,301500," of a cool pull request. So let's actually go there. And boom. So this is the pull request that I submitted."
301500,307980," So there was no support for a 24-bit samples. Right. So, and what's interesting is that to have the"
307980,315020," support, you have to enable flag format. And it was actually super easy fix. Right. So you just basically"
315020,323020," do the conversion from like 24 to 16 and it will automatically work. So doxed by Ray. Yeah. So it"
