start,end,text
800,7200," the following is my recreation programming session where i checked two variants of basic"
7200,15040," pure basic and free basic pure basic is a paid proprietary system which has a free demo on free"
15040,21040," basic is completely free and open source uh originally i wanted to take a look only at pure"
21040,27040," basic because i downloaded the demo before uh the stream i checked some of the examples and it looked"
27040,33760," kind of cool uh and and stream worthy so i wanted to stream it but when i went about streaming it on"
33760,40320," the stream i encountered some technical problems that may be a little bit upset and i've said some"
40320,46080," emotional things that i should have not said so i would like to preemptively apologize to the pure"
46080,50960," basic developers i'm still not gonna give you a single fucking cent but at the same time i should"
50960,56960," have not said emotional things i've said so for the first 30 minutes i was fighting with pure basic"
57600,61680," i didn't want to cut out those 30 minutes because they're kind of part of the story"
61680,67280," and then whenever i was about to give up a chat suggested to take a look at free basic and i tried"
67280,73680," it and it went really well uh so since i'm not going to be cutting out any of the of the stuff i actually"
73680,80160," left some um timestamps right if you want to skip the first 30 minutes um you just go to the description"
80160,86400," there should be timestamp there enjoy the session hello everyone and welcome to yet another recreational"
86400,94080," programming session with mr azozing so uh recently on our discord server somebody shared this very"
94080,100640," interesting thing um it's called pure basic right it's not really the original basic or not even"
100640,107360," like a visual basic it's a variant of basic so it's described as a modern basic programming language the"
107360,113040," key feature of pure basic are portability so it works on windows uh linux mac os and raspberry pi"
113040,119600," raspberry pi apparently uh the production uh of very fast and optimized native 32 bits and 64 bits"
119600,124960," executable and of course the very simple basic language syntax so i suppose that kind of implies"
124960,133600," that it's a like a dialect of basic and i tried it out and i got surprised by how it just worked out of the"
133600,140000," box on my machine so and that brought me to put it on my to-do and eventually do a stream on this uh"
140000,147200," it listened i think unfortunately it's closed sourced and paid unfortunately uh right and it's actually"
147200,152320," kind of expensive um i don't know who's the target audience of these things so let's actually take a look"
152320,160560," at the prices uh single year 79 79 euros for a single user uh and it's not open source and it's basic and"
160560,167360," it's just like who's the target audience of this thing um some sort of like a maybe educational"
167360,172640," you know organizations like schools universities or something like that yes there is the educational"
172640,179040," license and there's a company side um so i i don't really know it's it's so bizarre but it also has like a"
179040,184960," free demo uh right so it also has a free demo and by the way i'm not sponsored by them or anything i"
184960,191760," just like i found it fascinating and so here's the free demo it's kind of limited it is limited by the"
191760,197120," size of the program that you can compile right so i suppose it's like 80 handed characters or something"
197120,201760," like that but it's it's it's enough for like a small simple demos so let's actually download the"
201760,207440," debin version and let's see how it goes uh so i'm gonna go into the prop and uh we're gonna have a pure"
207440,214960," basic uh pure base pure basic in here so that will you get and uh let's actually do this kind of"
214960,221840," thing uh all right so it's very fast to download uh right and let's actually unpack this entire thing"
221840,231440," um so yeah that that was it and what do we have in here we have quite a few things so okay so here's the"
231440,238400," launch uh script uh script which actually launches compilers pure basic so the actual thing in here"
238400,250480," is located in uh here okay so can we just uh run it just to launch um okay so that didn't really work"
250480,256880," for some reason so let me actually go to the terminal super quick uh all right so let me go to the terminal"
256880,263360," and maybe i can do pure basic gtk2 okay so there's the variant of like gtk2"
263360,272640," uh while loading shade level of this uh support is kind of bizarre why maybe i should just install it then"
272640,276240," uh that that's kind of bizarre because it worked on my other account so"
277120,283360," i'm really sure what the hell is going on so let's actually search for libz uh because i'm pretty sure"
283360,294320," i have it installed don't i um libz so um i don't remember how to install libz"
296800,305200," right so because it's not a particular uh thing z lib devil probably yeah yeah exactly so i remember"
305200,312560," that there was like a problem with the naming and stuff like that uh because it's not exactly"
312560,320640," libz it's like z lib and it's just like i don't know um okay so there's a lib1g why is it called 1g though"
321840,329840," man okay so there is a libz mean gw huh that's bizarre because it worked on like it just worked"
329840,338400," and now i did did they update something uh right so libz also no one is the lib weird it can't find it"
338400,344000," yeah yeah so it's it's it's kind of bizarre uh z lib okay so let's maybe try to install this thing"
344800,354960," man like it it worked i swear"
354960,371520," sure yeah i don't know man i don't know it's it's it's really weird um okay so let me let me see maybe"
371520,380000," we can take a look at ldd compiler uh pure basic jtk2 so we'll have to yeah it cannot find it cannot"
380000,391920," find all sorts of things um jtk nothing is found in here bizarre absolutely bizarre must be 1g then"
391920,400240," maybe i i don't know so it can it cannot find even lib x11 there must be something changed while"
401360,406720," yeah because the version that i okay listen listen the version that i downloaded on my other account"
406720,412160," worked perfectly they must have changed something i swear to god they must have changed something"
412160,424240," because it's just like it worked and it was finding all everything just a second give me a second"
431200,435040," i think i think i found it all right just a second"
435040,452560," basic yeah look at that okay so here's on my other account here's the downloads free basic on my other"
452560,461040," account and i do ldd pure basic gtk it finds everything it actually finds a look at like all that stuff"
461680,469920," it finds everything um it could be either they change something in this executable or maybe something"
469920,477120," with my account that could be also a possibility okay so let's actually grab whatever i have on my other"
477120,482720," account right so let's actually nuke whatever i have in here because that's kind of bizarre um right"
483360,491040," and uh so let me just do remove pure basic demo like i'm nuking this entire thing and i'm doing pure basic"
