start,end,text
0,29980," Thank you."
30000,59980," Thank you."
60000,89980," Thank you."
90000,119980," Thank you."
120000,149980," Thank you."
150000,179980," Thank you."
180000,209980," Thank you."
210000,239980," Thank you."
240000,269980," Thank you."
270000,299980," Thank you."
300000,329980," Thank you."
330000,359980," Thank you."
360000,389980," Thank you."
390000,419980," Thank you."
420000,449980," Thank you."
450000,479980," Thank you."
480000,509980," Thank you."
510000,539980," Thank you."
540000,569980," Thank you."
570000,599980," Thank you."
600000,629980," Thank you."
630000,659960," Thank you."
659960,689940," Thank you."
689960,719940," Thank you."
719940,749920," Thank you."
749940,779920," Thank you."
779940,809920," Thank you."
809940,839920," Thank you."
839940,869920," Thank you."
869940,899920," Thank you."
899940,929920," Thank you."
929940,959920," Thank you."
959940,989920," Thank you."
989940,1019920," Thank you."
1019940,1049920," Thank you."
1049940,1079920," What's going on here."
1079940,1109920," Thank you."
1109940,1139920," Thank you."
1139940,1169920," Thank you."
1169940,1199920," Some of them."
1199940,1229920," Thank you."
1229940,1259920," Thank you."
1259940,1289920," Thank you."
1289940,1319920," Thank you."
1319940,1349920," Thank you."
1349940,1379920," Thank you."
1379940,1409920," Thank you."
1409920,1439900," Thank you."
1439900,1447440," under all their states. Even if the action they choose to do is pepega. Makes sense. In my testing,"
1447440,1452660," this made pepega-ness of the agents drop a lot faster, but there's no way to test it empirically,"
1452660,1463360," so with the same config. All right, that's very interesting. So there's also a comment here,"
1464160,1470880," and here is the code. So we're generating trees. There should be a gene for every combination of"
1470880,1474240," states in the environment. So we're iterating through all the states, we're iterating through"
1474240,1486280," all the environments, and yeah, I see what you're doing here. And then we're just filling them up."
1486280,1493160," Okay. Then we are removing this thing. All right, we're removing this thing."
1493160,1499320," Mate engine. As long as we copy all the genes in order, the invariant of state plus."
1499320,1510600," This is interesting. So we iterate through all of the genes, and then we take the parents. Oh, okay,"
1510600,1516680," I see. So we basically iterate through all of the genes, and we alternate between the parents with"
1516680,1529160," the probability of 50%. Yeah. All right. So then we mutate the agents. Instead of completely mangling"
1529160,1534280," the genes, just change some characteristics. Since the condition is that we ensure every combination of"
1534280,1538600," states in the environment has a gene, the only thing we can mutate is action and the next state."
1540600,1549320," Okay, that's actually a pretty cool idea. Yeah. So then we also remove states count and genes count,"
1549320,1556840," because they become kind of obsolete. All right, that's a very interesting idea. But I think we need"
1556840,1566680," a way to actually confirm that they start to converge a little bit faster. Right. We need some way to"
1567960,1575640," verify that. So what I'm thinking, maybe we can collect some information, right? Let's actually"
1575640,1584920," simulate, let's actually train them for, I don't know, maybe like 40 generations collect their the time,"
1584920,1592520," maybe plot it, right? Maybe plot it and see at which point the curve actually flattens,"
1592520,1598760," right? Because at some point it will start flattening. Right. Then we're going to do the same,"
1598760,1606600," but for the Zhiyang solution, and then we can compare two plots and see if Zhiyang's solution actually"
1606600,1613240," flattens a little bit faster. So what do you guys think? I think it's a pretty cool idea. Okay, so I'm"
1613240,1617720," going to do the following thing. I'm going to do a training. All right. And let's actually do it for 40"
1617720,1625480," solutions. I think 40 is enough, maybe even 50. Right. So we need like a pretty good amount of data to"
1625480,1633640," sort of confirm that, I think. So and then I'm going to do the output dot bin. And I'm going to redirect"
1633640,1644840," all of that to a separate file. Origin, origin time txt. There we go."
1644840,1655720," So yeah, who knows what does t mean? Does anybody use this command? It's actually a pretty useful"
1655720,1663080," command. So essentially, if you pipe your output to the t command with a file name, it will say everything"
1663080,1669800," to that file. But on top of that, it will also redirect the output to the to the standard output."
1669800,1676200," So you essentially seeing what is printed, but simultaneously the same thing is saved to the file"
1676200,1681960," as well, which is actually convenient. So you want to save the logs. But on top of that, you want to"
1681960,1689720," see them how they how they go. It's actually pretty convenient. All right, maybe while we're waiting for"
1690920,1695640," for different generations for 50 generations, maybe somebody has any questions."
1697640,1704360," I forgot that thing existed. Yeah, it's actually pretty useful thing. It's actually extremely useful thing."
1704360,1713400," T is like in canteen in continent. I don't know what that more means. Yeah, it's basically redirection,"
1713400,1718360," but it's a redirection to two places simultaneously. You redirect to file and output simultaneously."
1718360,1727080," So you sort of split the output. You're more like splitting it."
1727080,1745480," So I wonder, like Zhe Yang's approach is actually slightly different."
1745480,1753800," It's actually like a different approach to doing all of that. And I wonder if we want to like preserve the"
1753800,1759720," original approach and switch between Zhe Yang's approach and original one. I'm not sure. If Zhe Yang's approach"
1759720,1768520," is going to be way better, maybe we're going to just stick with it. I think it would make sense."
1772520,1779240," Yeah, that's basically what it means. That's actually a pretty good description, but it's a description in Haskell."
1779240,1795160," I wonder if the Haskell even has such function."
1795160,1808680," Would you look at that?"
1808680,1810840," It literally does."
1810840,1824360," It's a little bit more complex than your implementation, but I think it's pretty close."
1824360,1829720," We're almost there, by the way, we're waiting for 50 generations."
1829720,1834760," So after 50 generations, I think it's going to be OK."
1834760,1839640," Haskell is patting. Yeah."
