start,end,text
0,6400," guys guys language keeps improving as you use it it's it's just like right in front of your eyes"
6400,11040," magically becoming better and better and better you don't even have to wait for releases or"
11040,16480," anything it's amazing can your zig do that can your audience do that i don't think so"
16480,22000," can you see do that but the c can't even finally finalize the embed thingy they still don't have"
22000,25680," it finally maybe they already have it finalized but i don't really know but i mean it's so slow"
25680,33760," this thing right in front of us getting better all right chat chat chat chat chat chat do you"
33760,42320," remember this little thing uh the panim my attempt at implementing my name but in c and it went quite"
42320,48880," successfully right so i just didn't have motivation to uh to sort of like make a video out of that but"
48880,54800," maybe at some point i'm going to resume my work on that so panim is essentially i consist of just a"
54800,62320," single executable right and a bunch of dll's and each animation is a dll sort of like a plugin that"
62320,67680," you run with the executable that is an engine uh right so if you build this entire thing you're going"
67680,72880," to end up with something like this right so in a project in the project we have the executable the"
72880,79440," engine itself and a bunch of so's right so i only developed it for linux potentially it may work on"
79440,84800," windows but i never really tested it there uh i don't remember if i use anything linux specific well"
84800,89600," i mean i do use linux specific dll stuff right so but i mean it's equivalent to something that you can"
89600,95200," find in twin api anyway so it shouldn't be that big of an issue to port that to windows right and the way"
95200,102960," you actually work with that is essentially you run panim right and it expects you to provide the dll or so"
102960,108800," so so and uh the animation we can provide in here is uh for example something like this so here is the"
108800,114320," turing machine the animation for a turing machine so it looks like this right and it even has sounds"
114320,121440," look at that it even has cells and it's all procedurally generated it is all procedure generated i"
121440,127680," can actually stop this entire thing i can speed up and or slow down uh there's some other things"
127680,134240," look at that i think it's adaptable even to to some extent well i mean yeah not really uh right and i"
134240,139440," think there is some ways to generate videos out of that so i don't remember all of the keys i should"
139440,147600," have implemented something that actually shows all of the keys um so yeah i think i think it's something"
147600,155840," like render maybe it's the key just r but it's kind of hard to tell yeah there we go so uh rendering"
155840,164960," so if we're currently rendering with not rendering uh yeah so it's essentially r if you press r it will"
164960,170800," start actually rendering a video uh right and it will render it using i'm pretty sure yeah it's just"
170800,176080," using ff impact so it's just like piping all of that stuff into ff impact uh i don't know how long it's"
176080,181760," going to do that it's doing it relatively slowly probably because the the frames are generated really"
181760,186640," slowly so essentially what we do we just render this entire thing into the into the frame buffer"
186640,191680," right and then uh just pipe in all of the frames into ff impact and it's already done uh right so"
191680,198160," here's the video and then you can use that video in the video editor right so it's it's mp4 uh right so"
198160,204240," it doesn't include the sounds apparently maybe maybe i forgot to enable that but anyways so it also"
204240,211040," supposed to include the sounds right and the thing is uh on one of the previous stream i think it was"
211040,218160," like literally the last stream the literally the previous stream uh we were working on futures in c3"
218160,227600," right so it's already on youtube as far as i know uh so sodding daily futures uh right so it's it's this one"
227600,234640," it's it's this video um right and we implemented it quite successfully so the uh abstractions and the"
234640,241840," features of c3 make it relatively easy to implement your own futures and funny things i already oh yeah"
241840,250480," so here it is uh futures in c3 video right so and here is by the way the um you know the source code of the"
250480,256160," futures we will need it actually in here we'll need it in here so the way we implemented the um"
256160,265280," the animation we actually implemented something resembling futures but in pure c right because"
265280,270080," this is a rather complicated animation if you look at that right it's a rather complicated mission"
270080,276880," there's a lot of things in here going on uh right and a lot of things that are parallel and stuff like that"
276880,281760," and some of the things that are similar to each other and the way we implemented that we introduced"
281760,289680," the notion of a task right and a task is something that you have to pull on each frame"
289680,299120," so and essentially you can have several tasks in parallel uh right for example just right now these"
299120,306240," things started to uh like have an effect and this thing went up these are two separate tasks that"
306240,313280," that are pulled simultaneously and animated simultaneously right so and this is how the"
313280,319360," entire animation is composed it's composed out of these tasks that act like futures that we implemented"
319360,326720," on the previous stream so uh which led me to an idea can i just use c3 because doing futures like"
326720,331840," that in pure c it's kind of a pain in the in the ass right i remember that being pain in the ass"
332960,342080," um so let me find some tasks uh yeah there we go here's the some task right so and essentially you"
342080,347360," have tasks like right head move head which is the head of the turing machine and stuff like that you"
347360,352000," you can combine them sequentially and stuff like that and you just like combine this ast and it's kind of"
352000,358000," painful in all honesty it's kind of painful um and this is because you can't really implement"
358000,364080," proper future in c syntactically at least it's kind of difficult so i thought maybe i can just do"
364080,370960," that in c3 and see if it's comfortable or not luckily since the animations are basically dll's you"
370960,376000," can implement animations in whatever language you want right you can implement them in whatever you"
376000,382800," want whatever language allows you to create a dll with a c call convention you can just use that right"
382800,390400," so essentially c is a lingua franca of programming world everything is c whether you like it or not"
390400,398320," underneath everything is just c right so c is the programming language of planet earth"
400240,403840," and i'm not trying to diss anyone or whatever it's just like i'm stating facts"
403840,411040," this is just a fact right if if the fact defends you sorry so c is the programming language of planet"
411040,416400," earth it's too late to change anything so and because of that i think we even had some of the"
416400,422240," animations written in c plus plus didn't we i don't remember actually i think at some point we tried to"
422240,426960," do that but i don't remember if i actually committed any of it oh yeah there we go so we have a"
426960,433520," yeah so we even implemented sort of like tasks in c plus plus there we go and they're also pollable look"
433520,438400," at that so here is the update with the environment and stuff like that there you go there you go"
438400,443200," and it's actually a little bit more comfortable in c plus plus i think"
444160,451440," yeah the way you construct them uh is here is your sort of like a um you know tasks and you combine"
451440,455920," them sequentially and they do different things in here right they just do different things so this"
455920,461600," is in c plus plus and then it's compiled to to dll and everything we can even try to to run this kind"
461600,471440," of stuff so uh i think it's just libprobe uh there we go oh yeah okay oh i i accidentally rendered it"
471440,476400," i don't remember how to restart it so does anybody remember how to restart it but yeah there we go so"
476400,480560," you can implement this kind of stuff in in c plus plus so you need this sort of like a native language"
480560,487920," that can compile to dll and can also work with the radio so which means c3 could be uh potentially a good"
487920,494640," candidate so the only problem i think i remember from the c plus plus is that it was it was not"
494640,502400," possible to hot reload uh virtual methods because remember why because remember why so like this thing"
502400,509600," has virtual methods that's for sure and uh you can't just hot reload the dll dll is also supposed to"
509600,519920," store the state of the animation right and um essentially um the objects i think they stored"
519920,528480," like a pointers within the virtual table and the virtual table was within um within the dll and if"
528480,535360," you reload the dll the virtual table sort of point has become invalid right so and because of that you"
