start,end,text
40,3560," Hello, everyone, and welcome to yet another recreational"
3560,5560," programming session with Amistad Sozin."
5560,11040," So recently I bought a new laptop because my old one is slowly"
11040,14280," dying because it's 10 years old laptop over 10 years old."
14280,17240," So I finally got it enough money."
17240,19560," Thank you everyone who donated to my wallet."
19560,21760," It's all the link in the description and stuff like that."
21760,24040," If you really want to support me, right."
24040,31640," And so I installed this time void Linux instead of Debian."
31640,34280," Don't ask me why."
34280,38080," Just to start, you know, Linux distribution work in the comment section."
38080,41640," That's that's literally why I decided to switch distra to just piece a lot of people."
41640,48280," So but the problem is that, right, my Emacs config, it doesn't work."
48280,48680," Right."
48680,52120," So I usually use Emacs because that's the only acceptable text editor."
53200,53600," Right."
53600,59160," And unfortunately, my config kind of grew rather complex as of late."
59160,59640," Right."
59640,61000," It grew kind of complex."
61000,64120," And on the new systems, it doesn't even work anymore."
64120,67680," Like I haven't updated Emacs for quite some time or anything."
67680,70360," So all of that is kind of already outdated."
70360,74520," So and I decided to maybe start from scratch."
74520,74880," Right."
74880,78760," So because I wasn't even using 90% of what I have in my config anyway."
78760,79200," Right."
79200,81720," So and I don't even need that much."
81720,88760," Honestly, I used to like in the past, I used to use a lot of different like extensions for Emacs."
88760,90560," My Emacs was basically an IDE."
90560,100720," And as I grew older and get more experienced as software developer, I actually started to realize that all of that is kind of like it just stays on your way."
100720,112200," So at the end of the day, what you want to have is a good compiler that reports errors well and reports them precisely and just a text editor that doesn't stay on your way."
112200,116200," And once you have these two things, you don't even need an IDE."
116200,116640," Right."
116640,121920," So because you can even refactor pretty complex code just by following compilation errors."
121920,122200," Right."
122200,129240," So if you master the art of compiler assisted refactoring, IDE is kind of a well, it's it's useful."
129240,130680," It makes you a little bit more efficient."
130680,133800," But this thing is more universal."
133800,134280," Right."
134280,145320," So this thing, this sort of, you know, idea of just using simple text editor and compiler errors will last you for decades because IDE is common goal."
145880,148280," They get created and they die."
148280,161960," So if you base your entire skills on this sort of like a, you know, intermediate things that die quickly, well, you will have to be in the in a state of constantly learning like these new tools and stuff like that."
161960,166920," You can just learn this one technique and it will serve you basically until the end of the days."
166920,167240," Right."
167240,168680," So it's rather convenient."
168680,169960," Honestly, it's rather convenient."
169960,170240," Right."
170240,174520," And it doesn't even matter that you'll be able to switch to a different text editor and the techniques are the same."
175160,176120," Right."
176120,181000," So anyway, I decided to start from scratch and also do that on the stream."
181000,182280," So here is the chat."
182280,183480," We're doing that live."
183480,184200," Say hello."
184200,185480," Say hello to YouTube people."
185480,186360," Right."
186360,189080," And YouTube people follow me on Twitch if you want to be in the chat in here."
189080,189480," Of course."
189480,189800," Of course."
189800,190120," Of course."
190120,191080," Of course."
191080,191720," So anyways."
191720,192840," Yeah."
192840,193960," So here's here's hello."
193960,194520," Here's cool."
194520,197080," It was actually kind of funny."
197080,199480," Just like say hello and just like put it off screen."
199480,203160," That's the ultimate troll, actually."
203160,204440," That's the ultimate troll, I think."
204440,206680," Anyways, so let's get started."
206680,210440," So when you actually start Emacs without any configuration, this is how it looks like."
210440,211880," It looks horrendous, honestly."
211880,214680," It looks absolutely horrendous."
214680,221080," But so to configure it, you have to create a file which is called .emacs."
221080,222040," Right."
222040,224600," So this is not the only file that you can use."
224600,231000," There is also a file that you can use that is within the Emacs .d."
231000,232200," I don't know how to spell it."
232200,232600," Right."
232600,233560," So there's another file."
233560,235960," I think it's something like .l."
236760,239640," You know, professional Emacs users, you can correct me on that."
239640,243160," But I personally just use, you know, Emacs .emacs."
243160,243400," Right."
243400,244920," Because it's kind of convenient."
