start,end,text
0,12560," looks like we're alive hello and welcome to another zozin session how about that"
12560,19840," there's something with my voice excuse me hello and welcome to another season session so uh let's"
19840,26000," quickly make um a little bit of an announcement on our discord server before we actually start"
26000,34080," slapping some code and uh let's quickly do that so this is going to be a red circle uh live on twitch"
34080,43520," and what exactly are we doing today uh boys and girls what exactly are we doing today uh people"
43520,48560," already throwing money at me i haven't started the stream thank you thank you so much uh salary salary"
48560,52880," man xe for tier one subscription your first subscription by the way thank you so much"
53520,61040," right so today we continue developing our programming language called port right so it's uh"
61040,67360," basically concatenative stack based programming language that's sort of like inspired by forth"
67360,74720," but it's not really forth as a matter of fact i'm pretty sure um the adepts of forth are going to be"
74720,81520," mad at me for calling this language forth because in reality it's not forth um the only thing that makes it"
81520,88080," um you know related to forth is being stack based apart from that it doesn't share the same philosophy"
88080,93520," as far as i know forth is the whole philosophy it's not just like a single language right it's like a"
93520,100000," cult uh right so when it's like kind of dangerous to call uh anything stack based forth but i find it"
100000,106320," easy to explain to people what my language is by comparing to forth especially when people never heard"
106880,112640," um about uh concatenative languages or stack based languages so that's why i'm comparing it to forth"
112640,119360," so you can find the source code of this language in the description if you're watching it on uh youtube"
119360,125360," or you can find it here in the chat if you're watching it live hello everyone by the way who's watching"
125360,131840," it live and welcome welcome welcome welcome hello i would do hello by the robot tv vdvr a neutral will"
131840,137600," gun 10 i hope i pronounce your nicknames correctly hello hello everyone really glad to see you all today"
137600,145440," so uh on the previous stream um as far as i know we started to uh rewrite the compiler in itself that's"
145440,153680," right so i think our compiler is mature enough to um you know to finally being uh rewritten in itself"
153680,160000," and uh while we're writing the compiler in itself we noticed a very interesting thing right we noticed"
160000,168080," that we want to have these long uh chains of eels if else right because um they're easy to implement"
168080,175760," and um um i don't know i explained why i'm using them in the previous video so i suggest to uh to"
175760,181680," watch the previous video i could have like used some sort of like a hash uh hash tables instead uh but"
181680,186960," hash tables i need to implement them in a language and if else chains are just easier to implement which"
186960,194320," makes it easier to reimplement the language in itself and our if else construction is not really designed"
194320,202240," to have like long chains of if else and what you end up doing is having like a bunch of ends at the end"
202240,209760," and in fact you have as many ends in here as you have uh else's right so i recently started to redesign"
209760,217520," the if else construction right so uh now it has the do uh keyword so it used to be like this right so we"
217520,224000," used to have a if construction that looks like this right and you would put if after the condition so"
224000,231040," the if would look at the thing on top of the stack and then make a decision whether to fall through into"
231040,239360," the body or jump into the end or jump uh after the else uh right depending on uh how exactly you're using"
239920,246880," so and i recently refactored to actually uh look like this all right so the reason why i refactor it"
246880,252160," like that is because it will make it easier to introduce to what we are about to introduce right"
252160,258480," and on top of that it makes it a little bit more consistent because we have a while construction like"
258480,266240," a while loop construction that looks like this uh right so and as you can see uh they kind of look"
266240,274240," similar now and it makes it super easy to refactor if uh block into a while block if you want to do"
274240,282480," that right so uh that's why i i decided to use do instead of them um so and the way i want to get rid"
282480,290320," of these uh chains of ends is to introduce a keyword uh else if it's basically the same solution as in python"
290320,297520," right so i think python uh did the same solution so basically l if sort of continues the uh you know"
297520,303120," the the chain of heels uh else ifs and that way we'll be able to get rid of all of these ends"
303120,310400," right so but before i can do that uh i think i want to do something different right because while i was"
310400,317680," refactoring conditions from uh looking like this uh right from looking like this to looking like this"
317680,324480," i encountered a little bit of a problem because it was kind of difficult to refactor things right"
324480,329920," so the way our code is organized it made it a little bit difficult to refactor all of that and"
330480,337360," uh so all of these keywords are in fact are operations in our intermediate representation"
337360,347520," and for instance do is an operation that contains an address where it has to jump when the condition"
347520,355120," on the top of the stack is false so it knows the location of end right and in case of else uh right"
355120,360960," it knows the location of else and the else itself know the location of end in case you want to fall"
360960,368080," through and just jump over the end so all of these keywords are effectively instructions of the um of"
368080,373280," the intermediate representation of the language that we simulate or generate the native code from"
373280,380800," right and while i was refactoring all of that um i find it difficult to actually keep track what these"
380800,388240," instructions point to right so for example uh did i put the address of do correctly to jump to when it's"
388240,397600," true or false and stuff like that so and i had no way to even visualize um the the control flow right"
397600,402800," as i was refactoring the the constructions and i think it was like super important for me because"
402800,408560," some of the bugs that i encountered that i introduced while refactoring things i could have avoided if i had"
408560,416560," some sort of a visualization of control flow um and what the operations point to so and the first thing"
416560,423920," i want to do today is to introduce a little bit of a feature into our compiler i want to add a small flag"
423920,434320," that on top of compiling the program also generates a graph of control flow um basically it uh generates a dot"
434320,443040," file that can be uh fed into um into graph viz right uh graph viz let's take a look at the graph viz do you"
443040,448080," guys know what is a graph viz the graphics is actually a pretty cool thing so essentially you can describe"
448080,456560," graphs uh in a very simple language right um basically you can just describe nodes uh describe edges and uh just"
456560,464080," have like a small file textual file and then you can render it into something like this right so what i want to"
464080,470720," do i want to actually take all of the relationships between the operations and how they flow generate a graph"
470720,477520," out of that and render it into a picture so i can analyze if i didn't make any mistakes while refactoring the control"
477520,484560," flow instructions you see what i'm talking about so i think it's going to be very useful uh it will make it super easy to like"
484560,489360," notice if i introduced any bugs and stuff like that does it sound good does it sound interesting"
489360,495440," this is something that i wanted to have um as far as i know i think uh compilers like gcc or clank"
495440,502880," have some ways to generate like ast graphs or something a graph is actually quite uh often used for by the"
502880,510560," compiler developers to debug things because it can quite easily take a graph data structure or a trigger data"
510560,517040," structure and quickly visualize it so it's it's super convenient um so yeah and the first thing we're"
517040,522880," going to do today we're going to introduce a small flag that dumps the control flow graph of your program"
522880,530720," uh for further analysis and i think it's going to be very useful so uh yesu yesu yesu kawaii freaking"
530720,533040," this does anyone have any questions about that"
533040,541840," so okay that's pretty pogue thank you i also think it's pretty pogue um so"
541840,555360," all righty okay let's go ahead and do that uh less ago a less ago uh so i'm going to remove this entire"
555360,560080," thing and uh how are we going to call this entire branch right where we're going to implement the"
