start,end,text
0,12720," Hmm looks like we're alive how about that uh let's make a little bit of an announcement"
12720,22240," before we actually start doing anything right so it's gonna be a red circle live on twitch and"
22880,33760," hopefully it's not super loud okay so um my uh my typing is not super loud which is nice"
33760,46160," did i change the title yeah i did change it because i copy pasted this stuff on the title anyway"
46800,51040," uh right all right all right all right all right all right"
51040,60080," so what are we doing uh today yeah i guess we're doing a programming making a programming language"
60080,69200," um hello everyone how are you guys doing hello hello um"
72000,76720," welcome to a new apartment i suppose it's not really new it's actually a old one i moved back"
76720,88080," so yeah the programming language we're going to be doing today is going to be called uh let me create"
88080,96080," a folder uh fourth right so we're going to be making some sort of like a fourth uh but in python right"
96080,102720," and on top of that i actually want to make it compilable um so it will compile to native code"
102720,107200," um but to make it a little bit easier for myself i'm going to actually translate it to assembly and"
107200,114560," then we're going to compile the assembly and link the assembly so that's going to be the idea so maybe"
114560,122640," i'm going to actually put some sort of a readme first right so this is going to be uh fourth uh it's like"
122640,137440," fourth but uh in python right uh but i don't actually know uh since i never programmed in fourth"
138800,154400," i only heard that it's some sort of stack based uh programming language uh fourth is also stack based"
154400,156480," programming language"
156480,168640," which makes which makes it uh just like fourth uh am i am i right right so that's basically"
169440,171520," the description of the programming language uh the description of the programming language that we're"
171520,179680," about to do actually about to make and uh yeah it's like forest but in python but i don't actually know"
179680,185040," um since i never programmed in forest i only heard that it's some sort of stack based programming"
185040,189040," language port is also stuck based programming language which makes it just like fourth am i right"
189040,198480," uh so yeah that's basically the idea that's basically the idea so uh i'm gonna release the entire"
198480,204160," share under mit license if anyone needs that so there you go you can use this entire thing"
204160,209440," uh and the mat license if you want to and i'm gonna create a file called porth pi"
209440,217120," uh yes yes yes yes it's gonna be being uh i think we're gonna do user being environment python 3 we're"
217120,224800," gonna be using python 3 in 2021 right so because using python 2 in 2021 is kind of cringe am i right"
226160,229440," hmm i do think so"
229440,238640," does anyone even still use python 2 in 2021 i mean my operating system still uses uses it"
238640,244080," so every time i run python it by default starts python 2 right so yeah"
245520,250560," but it's a very old um debian and not new fetch new fetch"
250560,259120," python 4 is coming soon uh python 4. let me actually google that"
259120,266000," let me actually google python 4. i'm gonna do that on the second screen just in case"
268400,275120," why python 4. why python 4 might never arrive according to its creator like literally the first"
275120,277520," link when you try to google python 4."
282080,287520," i mean how am i supposed to trust the chat after that all right it's just like literally debating me"
287520,294400," i know there is python 5 i programmed in python 5 and python 5 is a missile"
296160,302000," uh so python 5 is currently most capable air-to-air missile in israeli inventory and one of the most"
302000,310240," advanced ams in the world yeah it's pretty cool anyways we're gonna be using python 3. um so"
310240,315760," i don't even know maybe we're gonna start with some sort of like intermediate representation if you know"
315760,320640," what i'm talking about um i could do what's up what's up how's it going"
320640,332240," and um i suppose the easiest thing like i want uh we'll get a subscription um ellipse"
332240,337680," 0 9 34. thank you so much for uh three months of tier one subscription thank you thank you thank you"
337680,343440," and welcome to our epic python club how about that so first thing i want to do i want to have"
343440,350640," enumeration um that enumerates different operations that you can do in this stack based language and"
350640,358240," as far as i know enumerations in python are kind of mad uh i don't really like them um i don't really"
358240,363920," like them so i want to kind of reinvent my own enumeration yeah you have to import this thing and"
363920,370000," you also have that stuff and it's just like kind of sus um it's definitely not my cup of tea if you"
370000,377360," you know what i'm talking about i rather prefer enumerations in a style of c um and what's"
377360,383280," interesting is that i think go came up with a pretty cool idea on enumerations that we can adapt for"
383280,390320," python uh golang enumerations do you guys know how you do enumerations in golang um"
393920,398000," it's actually a pretty interesting idea i'm not gonna lie so essentially you don't have"
398000,405440," enumerations on uh on the level of a language on the level of the type system at all uh you can only"
405440,413680," create constants but there is a special expression or special keyword right it's called iota i i think"
413680,418480," this is how we pronounce is that how we're supposed to pronounce it i think it's iota right uh it's like a"
418480,430320," toyota but i iota right am i pronouncing that correctly um anyways so we can take a look at this"
430320,439120," thing and what it does so the go programming language within the constant declaration the"
439120,446800," pre-declared identifier iota represents successive untyped integer constants its value is the index of the"
446800,452960," respective const spec in that constant declaration starting at zero it can be used to construct a set"
452960,461920," of related constants right so that's actually pretty cool uh nerdy pop rocks is gifting one tier sub to"
461920,467600," certain community they're gifting this up to sky tick list thank you thank you so much for gifting this"
467600,478800," up and sky tick list welcome to epic iota club um so yeah we can even try that i suppose we can do"
478800,487520," something like main.go right uh in the package main and it's gonna be funk main uh and i probably have to"
487520,495680," import something like uh fmt right so this is fmt and maybe i want to disable white space uh print app"
495680,505120," um hello world there we go so if i do something like i probably need to save this entire thing"
505120,512080," all right it's gonna be go run and we're gonna run this into i think and it should just say hello world"
512080,519360," hopefully after it warms up all the caches right there we go so it says hello world so now we can define"
519360,526320," some different constants in here so this is going to be const and what we can define is full uh iota"
526320,535520," and then bar and then uh buzz as far as i know it automatically will create will assign zero to full one to"
535520,542800," bar and two to buzz and we can actually relatively easy to check that um so this is going to be full equal"
542800,552160," to um can i just do something like d uh like so this is going to be full this is going to be bar this is"
552160,562480," going to be plus right there we go and if i try to run this now right it's not going to compile uh because"
563280,568080," uh extra expression in cons declaration so you're probably not supposed to do this kind of thing"
568080,573040," is that what you want from me yeah that's what it wanted for me right and what's cool is that uh if"
573040,579520," you stick uh something like hello in here it will automatically sort of recalculate the rest of the"
579520,587040," values here so it acts basically like uh you know like enumerations in c but where you explicitly say"
587040,592720," uh which things are more successive it's like c enumerations but with more control over how the"
592720,597840," values are generated i really really like that idea um i think it's rather interesting right and then"
