start,end,text
0,9680," looks like we're live hello everyone and welcome to you"
9680,20640," so let's make a little bit of announcement and officially start the stream um so"
22240,30880," a red circle live on twitch and what are we doing today on twitch dot television that's a good"
30880,38000," question so today we're coding in pascal in 2022 while society is collapsing so that's exactly what"
38000,46000," we're doing today yeah so i'm in the mood of programming in you say haskell pascal right uh"
46000,52400," right so i'm in the mood of programming in pascal so yeah that's what we're gonna be doing today it's"
52400,60880," a very old language that a lot of people know as the language from their school right uh from computer"
60880,65360," classes and stuff like that but today we're gonna ironically program in that language uh we're gonna"
65360,72880," be using free pascal uh let me actually go open the description uh how can i find the description"
72880,80240," md there we go so we're gonna be using this version of pascal uh hello hello everyone welcome welcome"
80240,86720," welcome look at that kitty look at that kitty that's a very cute kitty isn't it so uh you can find this"
86720,93280," thing in here if you're interested in um in using this language as well so my problem with pascal is"
93280,100240," that this is a i wouldn't say it's a dead language it's nothing but dead uh thanks to free pascal"
100240,106160," community free pascal community is actually very active and they keep developing this thing and you"
106160,113920," know pascal is so cool it supports all of these platforms without lvm right it does support lvm as"
113920,121280," well but that's only recent development right so uh they were supporting all this platform before lvm existed"
121280,127520," right so it's a very active community it's very competent community they really know what they're doing and"
127520,133520," they kind of keep this language alive right so which is uh very very cool so i wouldn't say that pascal"
133520,139520," is a dead language i would say it's a language that kind of lost the market right it still exists it's"
139520,145600," still active but like nobody really uses it for like anything super serious and because of that there's"
145600,154720," not that many text editors that support pascal well right i don't know even like emacs and vim their pascal"
154720,163520," support is kind of meh it always like fails either with highlighting in some cases or it fails with"
163520,170720," indentations right so there's always like something in both vim and emacs that sort of fails a little bit in"
170720,176160," pascal and this is because nobody programs in pascal right so if somebody was programming in pascal very"
176160,181040," actively people would just like uh fix it eventually but nobody fixing that i could probably go ahead"
181040,188400," and fix that but i'm too lazy so because of that we're going to be using um a different text editor today"
189200,196560," so so far what i found is that genie has more or less good support for uh for pascal so we're going"
196560,202960," to be using that right uh so it also has a built-in text editor which is rather convenient in my opinion"
203920,209840," uh so thank you everyone who subscribed destroy computers thank you so much for tier one subscription"
209840,215200," and nerdy pop rocks uh thank you thank you thank you really really appreciate all of the subscription"
215200,222400," so what are we going to be developing today in pascal uh so i wanted to develop a small thing for"
222400,229520," myself for quite some time uh i wanted to develop a minesweeper right so a simple minesweeper game but"
229520,235920," the one that works in the terminal so that means uh at any moment anywhere i could just go to my"
235920,243360," terminal and say mine right and it will start like interactive and curses like uh minesweeper game"
243360,249120," and i would play it like for a while and i want it to be a terminal because maybe i will i want to"
249120,254880," play it over like ssh or something like that right so i wanted to work in as many environments as possible"
255520,261120," right so and i don't really care in what language to develop that so i just picked whatever language"
261120,265200," i'm in the mood of programming in uh in pascal today so that's what we're going to be doing"
265200,276240," uh that's precisely what we're going to be doing okay so let's go let's go let me let me see so i'm"
276240,285040," going to create mine uh yep so here's that genie mine pass or maybe i don't know what to call it"
285040,294720," mine pass so already opened this entire thing so maybe i can make it a little bit bigger and now i can"
294720,303040," define a program uh so is that a monokai theme why i have monokai theme maybe it's fine okay let's let's"
303040,309840," use monokai then why not so any program in pascal starts with a program directive i have no idea why"
309840,316320," that's kind of weird but it is what it is then you do begin and then you do end there is no an entry"
316320,322720," point procedure right an entry point is just this like there is a dedicated syntax for entry point"
324320,330480," right and then we can write something like hello world so as far as i know um"
330480,338320," genie has a way to build things i think there is like a thing here to to build everything"
338320,343760," and it's actually built actually actually pretty cool so if i put some some in here"
343760,351440," uh and i try to build it i think i can just press f8 right or what can i press i can i can see that"
351440,356080," oh yeah it even tells me where where is the error this is actually super convenient i'm really surprised"
356080,367360," okay so that's pretty cool uh just a second uh for some reason i can't really see on my terminal where"
