start,end,text
0,2000," Mmm, all right"
2000,23280," Pogue cube your goddamn rap copycasted hello"
23280,29680," Hello, hello, maybe we should put some music on I suppose"
30000,32720," Let me send some smooth jazz"
32720,34720," Jazz"
34720,36720," Do you like jazz?"
36720,38720," Maybe"
38720,40720," Probably"
40720,42720," Quite likely"
42720,46720," Is that how you do that?"
46720,48720," I don't know how to use headphones"
48720,53760," What's up, my good duck"
53760,55760," What's up, what's up"
55760,59040," Welcome to the shit show"
59040,64160," So yeah let me make a cup of tea"
64160,68480," What's up, BeatStream"
68480,69120," Hello, hello"
72480,76560," Uh, so today is a friday if I'm not mistaken"
76560,77440," Am I?"
77440,78320," I think I'm not"
78320,80400," And anyways today"
80400,82960," That means today according to the schedule we're doing"
82960,83200," What?"
83200,86720," We're doing a random one-off stream"
86720,92320," On a random one-off stream I pick a random topic and I stream it for one stream"
92960,93680," Usually"
93680,96080," Well, sometimes it may actually span several streams"
96080,98800," But I don't think I'm going to spend too much time on this topic today"
98800,101280," So I just want to do a quick"
101280,103200," Uh, in and out"
103200,106240," On the topic just to check out these things"
106240,111600," So, uh, yeah, that's what we're going to be doing today"
111600,113600," We're going to be looking into Vulcan"
114240,117520," But, uh, under the prism of rust"
117520,119360," That's right"
119360,121840," I'm not going to be using some old sea"
121840,125840," I'm going to be using modern rust"
125840,126640," That's what we're going to do"
126640,130800," So, and, um, the wrapper"
130800,134080," The Vulcan wrapper that we're going to be using today is"
134880,136640," Uh, the vulcano, I think"
136640,140560," This is the thing that pops up in a search"
140560,143360," When I search, like, rust vulcan"
143360,145600," So, and it has a lot of stars"
145600,146480," That means it's good"
146480,147760," Right?"
147760,150640," So if it has a lot of stars, that means it's good"
150640,151760," So I decided to use it"
151760,152880," I checked it on my machine"
152880,154560," On my machine it works"
154560,155920," So if it works on my machine"
155920,157920," I can probably do something with it"
157920,158160," Right?"
158160,160720," I cannot do anything but things that don't work on my machine"
163840,165760," It is what it is and it isn't"
165760,166880," What it isn't"
166880,168400," Works for me"
168400,172160," Works in my machine"
172160,172880," God damn it"
172880,175920," Yeah, fucking damn it me"
175920,178640," Uh, hello everyone"
178640,179600," Hello, Kingslayer"
179600,182000," Hello, uh, LazyGrid"
182000,182320," John"
182320,184000," John"
184000,184640," Hello, hello"
184640,185440," How are you guys doing?"
185440,188320," How are you guys doing today?"
188320,189840," This is VKQ, by the way"
189840,190720," This is the"
191520,194480," demo that comes with Vulcan tools or something"
194480,195520," Right?"
195520,197120," And, uh, yeah"
197120,199680," Uh, so this is sort of like a"
199680,202720," Demonstration that Vulcan can work on my machine"
202720,206320," I had to, like, tweak some things in XOR configuration"
206320,208160," But after tweaking them"
208160,209920," Um, yeah, it's actually"
209920,210480," That should work"
210480,213120," So, yeah"
213120,216480," Um, so what exactly we're gonna do today?"
216480,217440," I don't know"
217440,220720," Maybe we're gonna try to render at least a triangle"
220720,221360," I've heard"
221360,223920," Rendering a triangle in Vulcan is hard enough"
223920,226960," So that I may have a content for not just one stream"
226960,228000," But maybe two streams"
228000,228800," So"
231600,232560," Uh, maybe"
232560,236880," I've just patched the kernel and it works"
236880,237200," Nice"
237200,239440," Oh, you mean me?"
239440,240560," No, I didn't patch the kernel"
240560,243920," I just put a couple of stuff to the configuration of XOR"
244800,246320," So I need to enable"
246320,248080," I need to enable something like"
248080,250880," Something that is called DRI3"
250880,253360," Whatever is that supposed to fucking mean?"
253360,255040," I don't know what is a DRI3"
255040,256720," I know nothing about computers"
256720,260320," But I enabled it in my XOR configuration"
260320,261600," And it just magically worked"
261600,263440," Go figure"
263440,264640," Go figure"
265280,267120," So I don't know if I can know"
267120,268000," Um, so"
268000,269120," I'm gonna go to the kitchen"
269120,270240," And turn on the kettle"
270240,271520," And I'm gonna be back"
271520,273760," TO THE CHAMPION OF THE ARENA"
295280,296240," I'm gonna go to the kitchen"
296240,297120," And then I'll go to the kitchen"
297120,298080," And then I'll go to the kitchen"
298080,299120," And then I'll go to the kitchen"
299120,300080," And then I'll go to the kitchen"
300080,301120," And then I'll go to the kitchen"
301120,302080," And then I'll go to the kitchen"
302080,303120," And then I'll go to the kitchen"
303120,304080," And then I'll go to the kitchen"
304080,305120," And then I'll go to the kitchen"
305120,306080," And then I'll go to the kitchen"
306080,307120," And then I'll go to the kitchen"
307120,308080," And then I'll go to the kitchen"
308080,309120," And then I'll go to the kitchen"
309120,310080," And then I'll go to the kitchen"
310080,311120," And then I'll go to the kitchen"
325280,340240," Let's get started, shall we?"
340240,341040," Let's get started"
341040,343520," GMCA"
343520,347760," Sweet, sweet sound of GMCA"
347760,348640," Love it"
348640,350240," Absolutely fucking love it"
350240,352240," So how are we gonna call"
352240,357440," How are we gonna call the project?"
357440,358240," Right"
358240,362880," That Trice, Rust and Vulcan"
362880,364880," So I'm not quite sure"
364880,367920," What's up, what's up?"
367920,368480," Hello, hello"
368480,371120," So we need to come up with a name"
371120,372000," So maybe"
372000,378320," Rust, Vulcan, Rulcan"
381760,386400," Alright, it's a good name"
386400,387040," Not gonna lie"
387040,388240," Let's do"
388240,390160," Do I need to actually update my Rust?"
390160,392240," Rust up update"
392240,393760," Let's see if I need to update anything"
393760,400480," Okay, so I'm using the latest Rust apparently"
400480,401840," So let's do cargo init"
401840,403440," Right, let's do cargo init"
403440,409120," So, and yeah"
409120,410800," So this is essentially what we have in here"
410800,413120," So it automatically created a git for me for some reason"
413120,413680," But okay"
413680,416480," Let me do cargo"
416480,417280," cargo toml"
417280,426320," See more keys and their definitions in here"
426320,427120," Thank you very much"
427120,429360," So my tea is ready by the way"
429360,433120," So I'm just gonna quickly pour a cup of tea"
433120,434000," And I'm gonna move back"
434000,435040," And I'm gonna move back"
435040,435520," Let's move back"
435520,436160," Let's move back"
462720,477600," So as I've already mentioned the binding that we're using today is the..."
477600,479360," It's called Vulcano"
479360,481440," Let's take a look at that binding"
481440,483440," And see if it's good or not"
485360,486160," I checked it out"
486160,487120," I checked it out a little bit off screen"
487120,489360," I just run a couple of examples on my machine"
489360,493440," just to check that this binding works at all on my machine"
493440,497280," So let me just copy paste this and that stuff"
497280,501520," And go to the page of Vulcano"
501520,506880," So this one seems to be the closest one to the original Vulcano"
506880,509120," You see it has 2.6k stars"
509120,514480," So yeah"
514480,519600," It's a Rust wrapper around the Vulcan Graphics API"
519600,521840," It follows the Rust philosophy"
521840,524560," Which is that as long as you don't use unsafe code"
524560,527840," You shouldn't be able to trigger any Undefined PE"
527840,530240," Okay"
531200,532400," In the case of Vulcan"
532400,536960," This means that non-safe code should always confirm to valid API usage"
536960,544960," But he doesn't act like a clown when he's not streaming"
544960,548240," Yeah"
548240,550080," Anyway"
550080,551760," So what I want to do"
551760,554400," I want to try to depend on this entire thing"
554400,556080," And just go through some of the examples"
557440,559440," So let's go to the crate"
559440,566160," Crate, crate, crate, crate, crate"
566160,566480," And"
566480,570640," Vulcano"
570640,577120," Okay"
577120,579360," So I think I should be able to just copy paste"
579360,581440," This thing"
581440,583120," I can just do it like that"
583120,585200," And put it into the dependencies"
585200,588160," And let's try to do cargo build"
588160,591520," And I think I already have like this entire thing pre-compiled"
591520,593200," So I didn't think it's going to take too much time"
593200,594560," Hopefully"
594560,596000," But yeah"
596000,603360," Well apparently it's going to recompile everything from scratch"
603360,606080," Smallvecppl"
606720,617760," Well I mean while we're waiting we can drink a cup of tea"
617760,621280," That's the point of modern technology"
621280,625120," That's the point of modern technology that takes a lot of time to compile"
625120,627520," So you can have excuses"
627520,630400," For your employer to not work"
630400,630640," Right"
630640,631600," And just drink some tea"
631600,635360," That's basically the whole point"
635360,638880," Rust compile times exactly"
638880,643520," That is basically the whole point"
650000,651680," Clown Fiesta already begins"
651680,652720," Oh okay"
