start,end,text
0,5420," Hello everyone and welcome to yet another recreation programming session with Amista Azuzin."
5420,11960," We continue developing this raycasting engine aka game. Right, so we can take a look at how it looks"
11960,18380," like. It looks actually kind of cool. I recently changed, you know, the colors and stuff like that"
18380,23260," so it looks kind of epic. When I'm streaming it's actually kind of slow, right? So as you can see we"
23260,30760," have 15 fps. The reason why it is so slow is because we're rendering without OpenGL, without WebGL,"
30760,36520," without any hardware acceleration whatsoever. We're rendering pixel by pixel into image data of the"
36520,42200," canvas because we're trying to be cool, right? So we're trying to be cool, we're trying to show off"
42200,47940," our math skills and shit like that, right? So we're trying to piece off the web devs, right? So look what"
47940,54440," we can do. You can't do that. You don't even have a CS degree. Fuck you. So yeah, anyway, so to actually"
54440,60060," speed it up a little bit while I'm streaming, I can maybe reduce the resolution. So let's actually put"
60060,64340," something like 30. Let's put something like 30. Let's actually refresh this kind of shit and it"
64340,68260," should be a little bit faster hopefully. Yeah, it's actually a little bit faster. So around like maybe"
68260,73780," even 20. For 20 it's going to be like maybe 60. Yeah, there we go. That's actually pretty good."
73780,78200," It's actually pretty good and it's actually super fast. Look at that. Look at me go. And hopefully"
78200,82960," at some point I'll turn it into a game, right? So at some point we're going to turn it into a game."
82960,89460," So people already started to spam pull requests as you can see. So this is what I, this is what happens"
89460,93780," every time I start new series and for whatever reason forget to close my source code."
96960,102200," So yeah, that's what happens. People start to spam with pull requests. So anyway, so one of the pull"
102200,106900," requests that people submitted is actually kind of interesting. So it's called at hot reloading,"
106900,111720," which caught my curiosity. So let's actually take a look at this pull request by auto 200."
111720,117120," And it's not really that big of a pull request, but it does something very interesting. So let's take a"
117120,123680," look at it. So first of all, it introduced the dev server dot JS, some sort of a dev server."
123680,130400," And what it does, it actually creates a web socket server. Look at that. It creates a web socket server."
130400,136480," It listens to the connections, right? And stuff like that. And then it watches the files,"
136480,143120," the development files. And if they change, it actually sends to the client command reload, right?"
143120,149200," And on the, on the client, we're actually connecting to this server. If we receive reload,"
149200,155440," we reload the entire page. And it's not even that much with the new dependencies. So the only dependency"
155440,160560," that we had to add is a web socket is a development dependency. And it's kind of cool. So for some"
160560,168800," reason, they enabled incremental build for whatever freaking reason, we literally have one file of"
170080,177520," for the entirety of the game. Incremental build is when you have a lot of small files. So to not"
177520,181520," rebuild all of them, you rebuild only the ones that changed. And it's kind of like pointless, but"
181520,194320," okay. So whatever. Anyways, so let me go ahead and maybe clone this pull request and maybe even accept"
194320,200800," this pull request and see how it works on our machine. So let me actually find the clone in"
200800,207680," here. Super quick. So here's the clone and we'll have to add that clone to my system. All right. So"
207680,214480," maybe I'm going to close the ray casting. So my laptop today is especially slow because it is hot,"
214480,220560," right? So it's not like I'm streaming. It's also pretty hot in here. Right. So can I just add a new"
221280,226720," origin? I'm going to add origin 200. There we go. So, and this is going to be the remote URL."
226720,232160," All right. So let's actually fetch the changes. So I suppose we change it. So we're updating this"
232160,238320," and typing. Okay. So let's see. Aha. So there we go. So there is a hot reloading branch. So if we switch"
238320,242000," to the hot reloading branch, so what we're going to have in here, so I have some local changes. So we'll"
242000,247680," get rid of the local changes, right? Because I reduced the resolution. So let's actually now switch to hot."
247680,254240," Well, I want you to switch to hot reloading. Yeah. So let's create a new branch. Yeah. There we go."
254240,261840," So now we have hot reloading. So the interesting thing about the hot reloading is that it also modified,"
261840,269680," the pull request also modified the watch.js. So now we are running three things simultaneously in here."
269680,276000," We are running the TypeScript compiler in a watch mode. We are running the HTTP server with all of the"
276000,280560," caches disabled and stuff like that. So there's quite a few parameters in here. And we're also running the"
280560,290240," dev server, right? So we're kind of slowly building up our own framework. So we're going to create our own"
290240,296080," web framework. We're going to post it on Hacker News and get on top of the Hacker News. Holy"
296080,302800," fucking shit. We're going to get so many fucking internet points. Holy... I'm sorry. But this is"
302800,309760," basically the the culture of web developers that I see. So this is basically web culture, isn't it?"
309760,315120," Right? So it's just like they're implementing something like this and they post it like holy"
315120,319520," fucking shit. This is going to be the next big thing, guys. This is going to be the next big thing."
319520,326480," So yeah, that's what we're going to do. That's what we're going to do. Anyways, so we have a dev server,"
326480,332800," right? So let's actually restart the watch mode. So run watch and see if it's going to work at all."
336880,342640," Did you guys see that? Okay, I think I forgot to install dependencies, right? So it actually crashed"
342640,347760," with the exception. It's kind of funny how it's just like instantly crashed with the exception."
347760,354960," So just a second. Let me only run the dev server, right? So go ahead and just run only the dev server"
354960,360160," because I want to see what the fuck is going on there. Yeah, so we cannot find the module ws, right?"
360160,363840," So that's basically what happened. So let's actually quickly install the new dependencies that we're"
363840,371120," editing there. Right, so zero vulnerabilities. Look at that. We didn't get hacked today."
371120,374880," We didn't even get hacked today because as you can see, zero vulnerabilities."
374880,381120," You can trust that, right? So if npm says there's no vulnerabilities on and in the packages,"
381120,388000," that means it's true. That means it is true. So anyway, let's go ahead and enable back all of that"
389520,393520," all right. So and hopefully that is going to work. So watch."
393520,400000," Seems to be working. Seems to be working. No exceptions has been seen so far."
400000,405440," All right. So let's actually open localhost 6969."
407840,416320," All right, so it's pretty slow right now. But now if I go ahead and try to reduce the resolution,"
416320,423120," so let's actually set the screen factor to 10 and it automatically reloaded. I didn't even do anything."
