start,end,text
720,8160," uh hello and welcome to another zozin session how about that but you expect that to happen"
8160,18720," okay uh so let me adjust my my chat of course uh hello hello hello welcome welcome"
18720,25040," uh so today i decided to make a break from the text editor development and continue developing"
25520,31760," our programming language called bang uh so it's built on top of the simple compiler ecosystem that"
31760,37440," we developed to like i think at the beginning of the year i'm not quite sure but you can find the"
37440,42320," source code of this thing in the description or in the chat if you're watching it live on stream i'm"
42320,51440," gonna put it in the description here uh source uh source code hello tile d4 welcome welcome to the"
51440,58800," stream uh so and what was the previous episode i don't quite remember so let me take a look at my"
58800,66160," channel where i post all of the all of the recordings you can find it in here hello and why you're me i"
66160,72880," still don't know how to pronounce your nickname but hello hello uh welcome welcome welcome so let me see"
72880,80640," what was the previous episode on language development because i'm not quite sure uh so we were adding local"
80640,91360," variables ah okay so i think i know what we're going to be doing today uh previous episode on local"
91360,100560," variables so uh i've been trying to implement uh one feature a couple of times already but kind of failed"
100560,107840," for different various reasons uh so we need to implement an ability to uh call functions in our"
107840,113840," language um with arguments right so uh let's actually take a look at our language itself so"
113840,120720," it's a pretty simple imperative language uh it doesn't have a lot of things um and also it doesn't even"
120720,128960," have uh an ability to um to have functions with parameters so this is something that i wanted to fix for"
128960,135280," quite some time i was trying to fix that but for various reasons it was kind of not uh not easy"
135280,141440," for me to do so maybe today i'm going to be lacking and we finally will have uh function parameters in"
141440,152320," our language hopefully so uh the language itself uh well it is what it is it's also partially my fault as well so"
152320,162000," uh yeah uh so the language itself also looks like this uh i usually use the new highlighting for uh for"
162000,169520," this language and this is implementation of rule 110 uh which is a cellular automaton um that sort of kind of"
169520,177520," demonstrates that uh our language is turing complete so and uh one of the things you cannot have in this"
177520,183920," language right now at least is the uh parameters right so you can't have parameters right now"
183920,186560," so that doesn't prevent the language from being turing complete"
194880,201760," all right so let me recompile the entire thing so and uh see if i can demonstrate well i mean i didn't"
201760,206880," have to recompile the compiler itself uh let me just demonstrate how it fails when it tries to compile"
206880,214400," um function parameters uh function parameters rule 110 um well you have to use build"
216720,224880," yeah yeah so expected token it cannot even parse them apparently i thought actually make it made it"
224880,230480," parse these things but it doesn't really parse them which is rather interesting okay so i can probably"
230480,239360," implement that by the way so i recently uh learned that there are two sort of like in the usa terminology"
239360,245760," for compilers there are two things there are function uh parameters parameters and there are function"
246720,249840," arguments who knows what's the difference between these two things"
249840,264960," so when you define a function this is a function parameter when you call a function this is a function"
264960,272560," argument and apparently uh people me included uh confuse these two things so parameters parameters"
272560,278960," refer to refer to the uh things that you pass into function in the definition so this is a uh parameter"
278960,284000," and argument is uh related to function call so this is the argument so when i'm talking about the"
284000,288880," argument i actually mean this thing when i'm talking about parameters i actually mean uh this thing"
288880,296480," so that's actually pretty interesting um uh why do i hear disgusting human noises in the music that"
296480,305600," distract me from uh programming language development uh disgusting meat noises"
305600,309120," i'm sorry"
309120,313760," let me let me see"
313760,325200," um i wonder what we can implement uh to demonstrate that the function arguments working lost algorithm so so says"
325200,330720," lost algorithm thanks so much for 18 months of a tier one subscription thank you thank you thank you and"
330720,335760," welcome to our epic programming language development club how about that"
335760,340000," be proud of being part of programming language development club"
340000,349520," peoples there's so many people in here that one plural is not enough uh you need double plural right"
350960,362080," people's uh all right um yes exactly it's like when there's too many mice you say mices right"
362080,370560," um okay so i wonder like why don't i have uh this parsing properly that's kind of strange"
371840,380240," uh so if i take a look at the bang uh prog def all right so i have prog definition but i don't have"
380240,384880," apparently like i remember implementing that but i think i just straight up deleted it"
384880,395920," hello daftki uh welcome to the streamers welcome welcome welcome so we do have a fun call arcs as far as i"
395920,402880," know right so we have a fun call arcs but do we have prog uh parents yeah yeah so we need to define"
402880,409440," them yet again okay let's go ahead and do that uh so this one is going to be prog program and as"
409440,416800," usual we're going to be using linked lists for all of that right because linked lists are awesome"
417440,420160," they're also cash friendly by the way they make your program go"
420160,428960," imagine saying like that with a straight face uh that's that's what that's what i do"
428960,434320," and go to's make your program readable right"
440000,441680," so i wanted to find prog def"
441680,453920," so what parameter consists of by the way so if we take a look at them that's why you're an employee"
453920,458640," that's a sick burn holy"
458640,466160," because i say like that on an interview all the time right so that's why i'm unemployed"
470000,476960," so um hey alexi what do you think about rust being adopted by linux project i don't know what is"
476960,488000," rust uh what is what is rust um if you do them yes yeah um i don't know what is vast i'm really sorry"
488000,495040," like i'm i'm not really into language linux uh kernel development so i'm not familiar with things like rust"
495040,501200," is that like a linux subsystem or something like i don't know um i actually deal with go to in my"
501200,505760," current company are you doing like some sort of like low level things or something related to parsing"
505760,515520," rust is what happens when iron gets old oh you mean literally yeah so yeah it's iron oxide not"
515520,522480," everybody knows but i actually have a degree in um feral metallurgy and ferramatology is essentially"
522480,531760," a study like a branch of chemistry that studies how to convert uh firm oxide to its metal form so yeah"
531760,540000," so i kind of know a thing or two about that so yeah i don't know how i feel about linux actually adopting"
540000,550160," this kind of stuff so um um um so let me uh let me let me see um"
550160,557840," oh yeah so the parameters the parameter actually has a name right the name"
561440,565040," and the type right so it has the name and the type"
565040,574640," so this is going to be string view name and as far as you know we don't have a specific types in there"
574640,581440," so we'll have to have type names and since it's a linked list right which is extremely cash friendly by"
581440,588880," the way uh we'd have to have something like next in here there we go i'm thinking what if it's going"
588880,590720," to be it's going to be double linked list"
590720,602080," to be fair parameters and arguments are one of these things which are not usually very long"
603920,610320," if you think about it if you have a function like parameter like amount of parameters of 128"
610320,620000," it's a really huge amount of parameters uh and if you want more than this maybe you should actually"
620000,627040," refactor your code do languages even have limitations on amount of parameters and arguments"
627920,635600," uh so that's kind of an interesting question um so"
635600,647280," because if we limit the amount of arguments and parameters that will make the whole job"
647280,656000," like my job a little bit simpler if you know what i'm talking about right so can i just generate this"
657920,662240," um python have arguments and packing not sure what is the limit"
662240,678480," well in case of the python it's probably very slow"
680800,690560," so i'm just a little bit curious maybe we can actually write a program that generates this kind"
690560,696080," of shit if you know what i'm talking about so let's say that i want to have n parameters like five of them"
696080,698160," and i'm going to do print f"
700400,703360," so and uh i'm just gonna be doing it like that"
703360,723840," so then int uh a zero right and then for uh i n i one less than n plus plus i uh arg max on linux"
723840,733760," this is actually a very interesting arc max what does it work next uh links maximum size of command uh single"
733760,736480," arguments for a new process hmm"
736480,742960," uh all right that's actually very interesting"
744880,758240," so printf int ad uh and then i'm going to printf something like this right so let's just compile this"
758240,768480," thing uh main main dot c and can i run this into i think uh come on bang and so this is going to be"
768480,772400," something like this and then i suppose i'm going to be just generating the function"
773040,782560," uh i wonder if i can save this entire thing to a c file right and then uh simply compile this c file"
782560,790480," um like like this feed it c uh all right so if i introduce some compilation errors in this thing"
790480,795520," uh it will uh you know complain about them yeah so now i can quite easily just experiment with this"
795520,802080," thing can i compile 10 arguments all right can it compile uh 20 arguments uh what about 32 arguments"
802640,811200," what about 64 arguments what about 128 arguments and what about 256 arguments uh 112"
811200,813680," okay"
813680,818720," okay so um"
818720,826960," i can keep multiplying i think it's actually uh yeah so it's actually unlimited uh so and yeah this"
826960,832800," this is the function that we managed to compile i wonder if it's just got eliminated or something so"
832800,844240," so yeah that's actually pretty funny i don't know like it's kind of a useless exercise but i"
844240,851600," just wanted to try to do that right so if i uh do i have like a max in well i mean max int could be"
851600,857680," actually pretty pretty pretty big what about like one million arguments uh what about one million"
857680,867760," arguments is it gonna work uh okay so it's taking some time but it's not giving up uh all right and it's"
867760,875840," compiled it so all right so this is a 13 megabyte file with a single function with million arguments"
875840,881760," how about that isn't that amazing i think it's good damn fucking amazing"
884560,891520," a void actually could be a pretty good idea yes yes yes yes so just to just to try to use them or"
891520,898160," whatnot so thank you thank you for suggesting that so i'm gonna give it a try um so then"
899120,901280," maybe i'm gonna just put it like this"
901280,914800," so let me now iterate through this entire thing and uh in here we're gonna be doing something like"
914800,926800," one two three four void a d and this kind of thing uh and yeah this is gonna be just simply i uh print f"
928160,935280," like this here we go so let's set uh the amount of arguments to like 10 right and see what's gonna"
935280,942000," happen uh so if i compile this entire thing so this is the function that could generate it um which is"
942000,947440," kind of weird because it looks like i forgot to put a new line in here so yes yes yes okay why freaking"
947440,955440," this uh uh so now so it's gonna be million"
955440,963360," okay so let's let's wait a little bit okay so 32 megabytes right that's a huge file"
963360,967040," um it's still compiling"
971280,976720," but it managed to compile it so yeah you can have a function with million arguments it's not amazing"
976720,980320," i think it's goddamn amazing anyways"
980320,983200," so"
983200,992320," but do it run i didn't compile it as a runnable program uh i compiled it as like a translation"
992320,994880," into object file just to see if the compiler can handle that"
994880,998160," all right"
998160,1003600," so i can probably remove this entire thing"
1003600,1012400," so maybe at some point we may we'll have like a linked list of parameters or something"
1016560,1021040," i think the default stack size won't handle one million arguments the question was not about stack"
1021040,1027840," size being able to handle that uh all right so we have parameters um and"
1027840,1036000," bangproc param and we're gonna have a bunch of parameters in here so there we go"
1043440,1057760," so and let me see no builds um so i probably need to go to the parser right i need to go to the parser and"
1057760,1071520," so parse bangproc definition right so and inside of the prop definition can i just um"
1073440,1078800," i really want to use tag but every time i use tag it's actually a huge pain in the ass so i'm not"
1078800,1084320," sure oh i mean i can probably use it like this yeah there we go so here we're trying to parse uh"
1084320,1094560," parameters right we're trying to parse parameters uh let's introduce something like bangproc uh param um"
1094560,1102480," parse bangproc parents right so we're going to accept the arena and we're going to accept the lexa"
1103440,1113200," uh alexa uh and uh just gonna do something uh maybe i can do something like unimplemented you know the"
1113200,1130320," usual thing um so i'm gonna move it in here uh parse bangproc parents uh arena and lexa now we go arena and"
1130320,1134960," the lexa uh so do i have"
1134960,1143920," we definitely needed some sort of an example that demonstrates that uh you know we have parameters"
1143920,1149040," and what not so it's going to prove main uh something like this"
1149040,1161120," so i'm going to probably call function 69 420 right and the function f is going to be i64"
1161120,1170720," uh and bi64 um to be fair should it return anything i didn't think so uh let's actually not make it return"
1170720,1178160," anything because we don't even have an ability to return anything at all so yeah uh we don't"
1178160,1186000," even have uh such ability at all um bang build full bank there we go"
1188320,1195280," okay so listen to i think didn't properly compile um because there's no previous prototype so i'll have"
1195280,1200160," to go somewhere here uh here's the prop definition there we go"
1200160,1211040," unimplemented don't i have an implemented macro i remember having it somewhere uh all right so yeah so i"
1211040,1217520," need to move it to a different place so it can be used everywhere so it's a very useful macro basically"
1217520,1224080," i can put it into some place and when the execution reaches that place it will crash the whole application"
1224080,1230480," telling me what exactly happened and where it happened so it's pretty convenient so let's actually make it uh"
1230480,1239440," uh available to everyone uh so we already have an error macro oh here it is that's very interesting so i"
1239440,1245280," actually moved it but i forgot to remove it from here apparently okay so uh that's probably means i"
1245280,1252720," means i have to do something like uh ever that page there we go so let's go to the compilation of our nation"
1252720,1254880," um"
1254880,1256560," unimplemented"
1256560,1261360," let's actually include error"
1267920,1272880," okay um missing terminated character ah yeah sure"
1272880,1278080," so unused parameter"
1278080,1282160," arena alexa"
1282160,1291280," okay so as you can see uh execution went to an implemented and now this thing is not implemented"
1291280,1296240," at all right so how are we going to be implementing this entire thing well um"
1297920,1305440," um we have several basically cases right so uh the first one is when you don't have any arguments"
1305440,1312160," then you have one arguments and then when you have several of them why this is several cases"
1312160,1317120," because in the first case um you don't have anything in the second case you don't even have"
1317120,1323440," any commas and only in the third one you have n minus one commas where n is the amount of"
1323440,1328160," arguments so we have to have like uh carefully handle this kind of shit um"
1328160,1339680," what problems do you want to solve with your new language or is it just a bad project i want to"
1339680,1346640," solve the same problems as any programming language creating software so i'm not sure if you know what"
1346640,1352320," programming languages are used for do you know what they're used for they're they're used for creating"
1352320,1357280," software uh all right so yeah"
1357280,1366000," uh when we parsing command line arguments right so we are accepting open parent right"
1366000,1372880," um and then we need to check what's the next token right so this is going to be a bank token"
1373520,1383760," uh this is going to be something like that and uh bang lexa peak we're going to pick into the next token"
1383760,1396080," uh so bang token kind and what do i expect in here is if this is a close parent right"
1396080,1406400," if we picked into this entire thing um what i noticed is that it's like every freaking stream"
1406400,1411920," there is this circus of people in the chat until we ban them all and then it's calm for the rest of the"
1411920,1417520," stream so it's kind of interesting there's like this initial like a wave of clowns that we need to ban"
1417520,1428720," first um so i guess it's just like we need to get used to that um so anyways uh mark tech thank you"
1428720,1432240," thank you so much for four months of tier one subscription thank you thank you thank you and"
1432240,1434720," welcome to our epic language development club"
1434720,1444960," so um yeah"
1444960,1454720," we're going to have something like this right so it's going to have bang proc for ram the beginning starts"
1454720,1463360," here right so this is the beginning then we have the end uh right and essentially if uh we picked into"
1463360,1470880," this entire thing and we found the close pattern right so that means we have uh this situation so we"
1470880,1481760," consumed uh this thing and we have this situation so we need to basically extract uh uh this entire thing"
