start,end,text
0,7880," looks like we're live hello everyone and welcome to yet another recreational programming session"
7880,14980," with a mr azuzin uh let's make a little bit of announcement as usual and uh officially start"
14980,20460," the stream i hope anybody watches me right somebody at least right because we're streaming"
20460,25940," at very unusual time because my sleeping schedule is fucked up again so this is what it is and it"
25940,32300," isn't what it is and so red circle live on twitch and what are we doing today on twitch.television"
32300,39280," website my favorite website of all time today we are programming in rust but she didn't expect that"
39280,44020," to happen uh right i'm gonna give the link to twitch.tv slash studying the place where we're"
44020,50000," programming in rust and i'm gonna ping everyone who's interested in being uh pinked right there"
50000,55340," we go the stream has officially started this stream has officially started hello hello everyone"
55340,60400," welcome welcome welcome so today we're going to continue developing knock do you guys know what"
60400,69260," the fuck is knock knock is not a cock so that's very important property of knock uh it is not a cock"
69260,74840," why am i actually using cock as accountable noun it's a name of a language it's not cock"
74840,80060," so i'm going to give the link to uh twitch chat and also i'm going to put it in the description for"
80060,87540," people who potentially watch that on youtube and what is a knock what is knock um it's an expression"
87540,93120," transformer right it's a symbolic expression transformer uh specifically designed for"
93120,100680," recreational math right playing with recreational math and stuff like that in some regard it may remind"
100680,109080," you cock but it's not a proof assistant it's not cock that's why it is called knock uh right so let's"
109080,115420," take a look at it all right so i'm going to go to here so this is knock uh wait why did i do it like"
115420,121460," that there we go so and yeah it is written in rust right so i already mentioned that we can start this"
121460,128080," i think there we go so this is a ripple of knock this is ripple of knock so essentially what it allows"
128080,137360," you to do it allows you to um so-called shaping of expressions right so essentially um you can start"
137360,142960," shaping a particular expression and for instance you want to like swap around some arguments and stuff"
142960,148300," like that and you can say okay so i'm going to say a plus b equal b plus a and i'm going to apply"
148300,153960," that to all matches of that pattern and as you can see i just swapped things around uh right so it"
153960,160500," basically allows you to specify expressions then specify patterns of those expressions and uh specify"
160500,166960," how you want to transform uh all of that stuff right so that's basically what it is it's not a really"
166960,173520," a proof assistant though you can use it to prove things to prove statements but this thing is not going"
173520,178220," to assist you in that if you make a mistake it's probably not going to tell you that right"
178220,185020," it's probably not going to tell you that in fact we looked um in depth into how to prove things in"
