start,end,text
400,6400," looks like we're live hello everyone and welcome to yet another recreational programming session"
6400,12560," with a mr azuzin let's make a little bit of announcement and officially start the stream"
12560,18160," as usual as usual live on twitch uh with a red circle of course and what are we doing today on"
18160,25840," twitch dot at television website today we are implementing ai paper in c how about that finally"
25840,30240," so i'm going to give the link to twitch.tv/serving the place where we're doing all of that and i'm"
30240,34800," going to ping everyone who's interested in being pinged and there we go the stream has officially"
34800,42560," started the stream has officially started so a couple of streams ago we were implementing um k"
42560,50640," means clustering algorithm right so um and um like i'm gonna put the link to to the playlist in the"
50640,56560," description as usual and k means clustering a very cool algorithm i really enjoyed implementing it"
56560,64400," and i implementing it was implementing it because i thought it is used in this cool paper that i wanted"
64400,73200," to implement for quite some time right but then i looked closer into the abstract of this paper and"
73200,81920," apparently it uses k nearest neighbor rather than k means clustering so for the past two streams i've"
81920,88000," been doing the wrong thing all right but i mean implementing k means clustering was actually kind of"
88000,94080," fun right so i do not regret that and i'll still recommend to watch those streams uh but that means"
94080,98000," that we're going to be doing a completely different things today right so we're going to be doing a"
98000,103840," completely different thing uh right so essentially what is a k nearest neighbor classifier it's rather"
103840,111520," an interesting thing uh right so let's actually google it up and in fact it is simpler it is in fact"
111520,120880," simpler than k means clustering right it is way simpler so essentially uh essentially uh what do you have"
120880,126000," imagine that you have a bunch of like uh points right so some sort of a data set"
126000,133840," and each point has a class right so on this sort of image the class is denoted by the shape of the point"
133840,140800," right so we have uh squares and we have triangles so and essentially you have a new point and your goal"
140800,147520," is to classify that point assign one of the labels right so you have the circle which is unclassified you"
147520,155360," need to decide uh so what is it going to be is it going to be a square or is it going to be a triangle"
155360,163040," so the point of key uh nearest neighbor classifier is to basically consider k nearest neighbors right for"
163040,171680," example we can consider it uh three nearest neighbor and assign a class to this point uh that is most frequent"
171680,180160," among these k nearest neighbors right if you pick a k3 uh the the class is going to be triangle but if"
180160,186720," you pick k5 the class is going to be square right because it's the most frequent one that is it"
186720,196160," that is freaking it mathematicians mathematicians are at it again seriously right giving a fancy name to a"
196160,201120," very stupid dumb idea of course it has to be key nearest neighbor classifier"
201120,210960," if i can yeah well it's it's literally that so and essentially it's more boring than uh"
210960,216560," gaming's cluster knowns the gaming's question is way cooler but i'm gonna give the link to this thing in"
216560,222960," the description uh as well so what's the idea of this paper what's the idea of this paper the idea of"
222960,230320," this paper is to classify documents right classify documents uh not only that but they wanted to"
230320,239680," demonstrate that a very dumb like absolutely fucking dumb approach is uh on par with the state-of-the-art"
239680,245040," ai language models and shit like that right they wanted to demonstrate that and as far as i can"
245040,253840," understand they managed to do that uh right so essentially you have um you know data set of text"
253840,260880," right so some sort of like a bunch of text and uh each individual piece of text has a class or a label"
260880,267920," associated with it right so and your goal is to given another new text that you've never seen before"
267920,274640," assign one of the classes basically k nearest neighbors right so but the way they compute"
274640,280960," the distances right for for these data sets for these data points is actually rather interesting"
280960,288400," right so you have a text and you need to compute like how you know close that text is to a certain"
288400,295280," uh to a certain thing right so uh let's actually go to the formula so this is like the only thing we need"
295280,302960," in here actually the only thing we need in here is this formula right so uh the distance is so called"
302960,312000," normalized uh compressed distance normalized compressed distance and uh x and y are the texts right so"
312000,319600," you have two texts and uh you compute normalized compressed distance and you are doing k nearest neighbor"
319600,326720," on that normalized compressed distance so how you compute that you concatenate x and y"
326720,336720," and you compress the concatenation of x and y with gzip literally with gzip and you take a length of that"
336720,344000," so this function c is basically compressing the input and taking the length of that that is it then you"
344000,351040," subtract a minimum between c of x and c of y so you take the concatenation of them and subtract the minimum"
351040,357920," of them separately and then divide by the maximum of them separately that's it"
357920,367520," that is and then you do k nearest neighbor uh and that classifies very accurately your text"
367680,375120," and it it works they demonstrated that this shit actually works the the question is why the"
375120,381520," does it even work it's it's really bizarre it's really bizarre why the something like that would even"
381520,393360," work so essentially um c is not like a random choice like using gzip is not like a random idea that they got out"
393360,400560," of the expression it's an approximation it's an approximation of kolmogorov's complexity"
400560,407600," right so originally they would like to use kolmogorov's complexity instead of the length of the compression"
407600,412640," but they couldn't because as far as i can understand uh computing kolmogorov's complexity over text"
412640,421920," is an p-hard problem so they couldn't do that and what is a kolmogorov's complexity this is a concept that i"
421920,428800," never heard before reading this paper because i am that ignorant i am that uneducated my university"
428800,433760," was shed i'm really sorry um it's kind of it's kind of embarrassing for a russian to not know what"
433760,439600," it's coming of complexity but but anyway let's put that aside so let's actually google up it's a really"
439600,444720," fascinating concept actually uh kolmogorov complexity"
444720,453200," so it's let's take a look at the definition"
453200,460720," kolmogorov complexity of an object such a piece of text is the length of the shortest computer program"
461360,467360," uh such as piece of text is the length of the shortest computer program that produces the object as the"
467360,476640," output so kolmogorov's complexity is the length of the smallest program that produces the text"
476640,484720," right so and as far as i know finding this kind of uh thing automatically is like np hard problem like"
484720,492240," that's why they couldn't do that but that starts to make sense that starts to make sense because uh"
492240,504640," right look um so essentially you can view compression algorithm as an attempt to produce a program that"
504640,515120," while evaluating uh produces the original text you can view a compressed text as a program and uncompressor"
