start,end,text
0,12960," All right, looks like we're live. Hello, and welcome to another Zozin session. How about that?"
12960,20240," How about that? I bet you didn't expect that shit to happen. So let's make a little bit of an"
20240,33200," announcement as usual and post a message on our Discord server. So red circle live on Twitch."
33200,39200," And today we're doing functional programming. That's what we're doing today. So I need to also"
39200,45680," give the link to the Twitch channel. So it's going to be twitch.tv/todding. And we're going to ping"
45680,54960," everyone, everyone is binked. Everyone is binked. So hello, hello, chat. Hello, Demki. Hello to the"
54960,62320," prime. Hello, hello. Welcome, welcome, welcome. So what are we doing today? Today we are solving 99"
62320,70080," OCaml problem or 99 problems on the camel. So basically, this is a set of problems like 99 problems,"
71120,79600," which is inspired by 99 lisp problems, which in turn was inspired by a prologue problem at least."
79600,86400," So essentially, it's more of like a challenge, right? So if you are learning a camel, you can basically"
86400,94720," practice your camel skills in the like using this set of problems. Some time ago, I think, like, I don't"
94720,100080," know, I think I was not already a student, I think I graduated from uni. But some time ago, I already"
100080,108640," attempted to solve some of the problems. And I think I still have like a repo on GitHub, where I tried to"
108640,118400," do that. So let's actually search for camel in here. Yeah, 99 problems to 2013. Oh, my God, I was a student."
118400,124640," I was actually a student. I was in uni when I was trying to sell. Okay, so I managed to solve like 25 of"
124640,133120," them. So yeah, but that was long time ago, like eight years ago. And this is eight years is the last"
133120,139440," update, right? It's the last update. And I started this entire thing. Well, I mean, yeah, I basically"
139440,146320," briefly tried to solve this entire thing. And I just like stopped. All right. So back when I was"
147200,153680," a student, I managed to solve 25 of them. So I'm not going to look into any of these solutions. And I'm going"
153680,162000," to try to attempt to solve them today with my current knowledge and see how much I degraded as a developer,"
162000,167840," right? Because I'm getting older, I'm getting dumber, I'm losing brain cells. So probably I won't be able to"
167840,177280," solve 25 of them today. So yeah, I'm going to give the link to this repo in the chat. And for people who's"
177280,187360," watching on YouTube, I'm going to give the link in the description, my old attempts at solving these problems,"
187360,193440," right. So but today, we're going to actually start in a completely fresh and new repo. We're going to start"
193440,201280," on GitLab. Because the buttons on GitHub are poopoo. We already established that that the buttons on GitHub are"
201280,210080," shit. And that's why we're using GitLab. So tiny CLG, thank you, CLJ. I'm sorry for my English. I thank you so"
210080,215760," much for three months of Twitch Prime subscription. Thank you, thank you, thank you. And welcome to Epic OCaml Club."
215760,224880," That's right, we are a camel developers. So, um, alrighty, alrighty. So in photoshoot is no camel is a"
224880,232880," functional sort of like function leash programming language. It's more of like, you know, multi paradigm"
232880,241200," because it also has all p part that nobody uses. And also it has imperative parts, right. So essentially,"
241200,247920," it has like a seamless experience between functional programming and imperative programming, it also claims to have"
247920,253520," object oriented programming, but nobody fucking uses this piece of shit, right. So everybody who programs in a camel,"
253520,260480," they usually use the functional aspect of a camel and imperative aspect of a camel. Right, so object oriented"
260480,266080," programming, I think they just edited because at the time of the camel development, there was like a huge hype"
266560,274400," around OOP. So to market the language better, they just edit OOP well, because of the time. So and since"
274400,280560," there's already code that depends on OOP features, I presume, the object orientiveness of a camel was left"
280560,286240," as a scar on the face of the language, right, you cannot really get rid of it, because there's still code"
286240,291760," that uses that. But at the same time, the new code rarely use those features. So you don't really know what"
291760,298080," to do with this with the shit. So it's just like there. Right. So that's what usually happens. So with"
298080,305680," features like that. So like, I presume, it's purely for like marketing purposes. So it's rather"
305680,311360," interesting, it's rather interesting, it feels like Haskell, but it's not lazy, right. So one of the"
311360,318640," things in the camel is that it's not lazy, but it has lazy evaluation. Right, just in case you need it,"
318640,330560," right. Hello, hello, everyone. Hello. Oh, underscore camel user says a camel school. Well, thank you for"
330560,337120," your unbiased opinion. Thank you so much. Yeah, I also think that the camel is cool. So how are you guys doing?"
337120,343760," Hello, hello, hello, hello, this used Demki, fluffy Poga, Eddie, pop it, Chan, crazy chicken. So many cool"
343760,348000," names. Hello, hello. Welcome. Welcome. Welcome. Cheers, by the way."
348000,357600," Alrighty, so let's actually clone this repo. And let's take a look at the problems, shall we?"
361680,368800," So this is a Zozing and I'm going to do git clone. Do I even have a camel installed on my machine?"
368800,376400," I do have a camel 4.10.0. And I'm not even sure if that's the latest camel, but a camel is not rust,"
376400,379360," you don't have to have the latest camel. Right, so"
379360,385200," got him. Alright, so we have this read me. And"
386640,389760," so this is like a crap that was auto generated by"
389760,397360," GitLab. So I think I'm going to actually remove all of that. So at least for now. So we're only going"
397360,403440," to have this thing. And in terms of the license, I'm going to distribute all of that under MIT license."
403440,409520," So you can do whatever the fuck you want with it. Right? And except claiming that you made this thing,"
409520,415200," right? So this is basically MIT license, do whatever you want, except claiming that you created this thing,"
415200,419920," including selling, by the way, you can make money off of the code. Just don't say that you made it."
419920,428960," Right. So this is that. So let's create a simple hello world in a camel. I wonder if I still remember"
428960,435840," how to program in this language. So well, a camel from eight years ago is probably the latest. So"
435840,442240," effectively, you have the latest camel without even trying. What's funny, when I was solving this problem,"
442240,449920," I think a camel didn't even have the pipe operator, right? So in the pipe operator essentially allows you to sort of pipe"
449920,458000," values through a sequence of functions and so on and so forth. I I'm so fucking old. I remember a camel not having"
458000,463440," this operation. That's how fucking old I am. So and I remember the times when I was"
464000,471440," ranting about a camel not having this operation, right? And how all the other languages or all the"
471440,476640," other cool kids do have it and I have to implement that operator myself. That's how fucking old I am."
476640,487120," Oh, boomer zozin. Yeah, exactly. Boomer zozin. Okay, so let's actually write hello world. I think you write it"
487120,498000," like this. I almost actually wrote hello world. And then print and line because I've been programming in"
498000,506080," ports too much lately. Right? Because I'm right now I'm actively rewriting ports in itself. And in fact,"
506080,512560," right, so I think it's already like 1000 lines of code or something. I don't fucking remember."
513680,521520," So let me take a look at the current state of port. So I'm going to fix the latest right and take a look"
521520,528480," at the port port port dot port. So here's the current state of port. As you can see, I already added"
528480,533840," all of the intrinsics. Adding all of the intrinsics was relatively simple because we already have"
533840,540960," implementations for them in Python. So I just had to click copy paste them into port. All right, so and"
540960,548480," the current size is 1064 lines of code. Right? So and that's basically the current state. So here"
548480,554400," is the parsing of all of the intrinsics. Right? So here we have interpretation. So with the interpretation"
554400,559680," for some of them is not implemented, because it may require like a simulating memory management. So"
559680,564320," and I didn't come around to actually do that. But simulation for the rest of the things is actually"
564320,569040," there. So you see, we have a simulated stack. And we're basically simulating these instructions"
569040,574400," and also compilation for all of the intrinsics is pretty much there. Right? So here's the compilation"
574400,581680," and all that works actually. So all of that works. Which is pretty power, which is pretty power. So for"
581680,588880," those who doesn't know port is the programming language that I'm developing from time to time on this"
588880,594640," channel, I'm going to give the link to the source code in the chat for people who just joined. And for"
594640,601120," people who's watching on YouTube, I'm going to put this thing in here, my programming language,"
601120,612080," which is not as cool as a camel. Of course, right? My language doesn't have OP, right? So which makes"
612080,620960," so camel even cooler than my language. Okay, so yeah, what I want you to do, I want you to implement"
620960,630240," Hello World. If I remember correctly, you implement it like this. So you call functions in a camel without"
630240,638000," any parentheses. So it's almost like port, but the other way around, you see. So in port, I would first put"
638000,644080," the string literal and then the function in a camel, I first put the function and then the string literal."
644080,650000," So basically, it's pretty much the same thing. So"
661040,666960," All right, let's see if this thing is going to work. As far as I know, you can interpret the camel, right?"
666960,670800," So let's actually do all of that in the terminal."
670800,680400," And let's go to this folder. So if you do a camel main dot ml, it will just straight up interpret this"
680400,686800," entire thing, nothing particularly special. But a camel has a compiler called a camel C,"
687440,696160," right? And what it does, it compiles a camel into an executable, which you can run like so. And as you"
696160,700880," can see, it says hello world. But you know, what's interesting is that you think that, okay, it's a"
700880,705840," native executable, probably. But let's actually confirm, is that a native executable?"
707920,717040," It's a camel run script. This mother flipper, instead of generating a native code, just debated us and"
