start,end,text
0,5360," looks like we're live hello everyone and welcome to yet another recreational programming session"
5360,12000," let's make a little bit of announcement and officially start the stream as usual as usual"
12000,20160," uh let's do red circle uh live on twitch and what are we doing today on twitch dot a television"
20160,26800," website today we are doing uh live on gpu that's what we're doing today so i'm gonna give the link"
26800,32480," to https twitch.tv sorting the place where we're doing all that and i'm gonna ping everyone who's"
32480,37280," interested in being pinged and there we go the stream has officially started so today we're going"
37280,43840," to continue working on uh implementing this paper which is the generalization of the conveys game of"
43840,49920," life uh as you probably know conveys game of life is a cellular automaton but it's very discreet thing"
49920,57520," so this paper uh is trying to make a smooth generalization right on a continuous space"
57520,63360," instead of a discrete one and it actually succeeds doing so so the the goal of this paper was to find"
63360,69920," the omnidirectional glider uh as far as you can tell right so and they found it so in a continuous domain"
69920,75840," the glider looks like this believe it or not right so that's how it looks like uh right and on the"
75840,83200," the previous stream we implemented um this cell automaton uh in the terminal right so we implemented"
83200,87600," like a very simple terminal renderer and it kind of worked so let's actually take a look at how it"
87600,94080," looks like uh i'm going to just rebuild everything just in case and if we start up this entire thing"
94080,99600," this is how it looks like so it's a continuous game of life right as you can see it's not like very"
99600,104640," discrete it's very uh sort of like smooth and that's why it's called smooth life by the way so"
104640,110000," this is actually a very stable pattern what the fuck usually the pattern just like spreads out and"
110000,115600," just finds the stable state this one actually goes for for quite some time so we yeah so usually what it"
115600,121840," does it just like goes into this very stable state and just stays there for as long as possible for but"
121840,127120," for quite some time it may actually just like wander around sometimes it may die out completely right"
127120,133120," sometimes it may die out uh right so and but quite often it just like does these kind of things and"
133120,137600," it's actually really cool as you can see all of that in in terminal right so all of that in terminal"
137600,146080," right and all of that is on cpu uh but what i want you to do actually as an ultimate goal is to try"
146080,152960," doing that thing on gpu and here's the question how would you even do something like that on gpu"
152960,158080," right so to understand how you can do that on gpu you need to understand how we even compute"
158080,164880," uh the next state of this cellular automaton right so it's kind of like similar to how we do that with"
164880,172240," the conveys game of life right so essentially for each cell we are uh considering the neighborhood of"
172240,179440," that cell uh right so let me actually study my paint right and based on the state of the neighborhood we"
179440,186560," decide whether we want to switch to a dead state or a live state so in uh case of the smooth game of"
186560,192000," life right so imagine that this is the sort of like a continuous grid uh right so we have the current"
192000,199200," point right and the state of the point is not zero and one or one it's rather from zero to one so what we"
199200,206240," do we consider the uh neighborhood of a certain radius right and another neighborhood of a bigger"
206240,211920," radius right so we essentially consider the states of the cell within like inner circle and within the"
211920,218480," outer circle and we have a smooth continuous functions that when given the values based on these two"
218480,225040," neighborhoods gives you the rate at which the state of this point has to change right it's like conveys game"
225040,230320," of life but it's continuous and smooth right instead of like switching between the states so that's"
230320,236720," basically what it is right and how can you simulate all of that on gpu well uh you can do a very"
236720,243120," interesting thing you can essentially store the state of the cellular automaton in a texture in a"
243120,246160," for instance if we're going to be doing opengl and we're going to be doing opengl"
246880,252160," we can store the state uh in the opengl texture right so each pixel of the texture represents like"
252160,258880," the value uh of the um the state of the pixel right and the next thing we can do we can come up with a"
258880,266880," fragment shader that uh basically given the texture uh renders the next state of this entire stuff so when"
266880,273680," the fragment shader actually basically works on the level of pixels so it's a single program that works on a"
273680,280720," single pixel uh of the screen right so and uh what it will do it will basically take the texture take"
280720,287680," at the neighborhood and then compute the next pixel right and in opengl there is such thing as frame"
287680,295360," buffer of screen rendering so essentially you can render not on the screen but into another texture"
295360,303360," right so essentially you can have a shader right so we can have a shader uh right that given a texture"
303360,311520," will basically compute uh you the next state as another texture right and all of that can happen"
311520,316800," within a single draw call right within a single draw call uh you just give it a texture and then it"
316800,322880," computes the next texture right and so what you can do essentially on the next draw call you can swap these"
322880,328560," textures around and repeat that process right so essentially with a single shader that computer for"
328560,333520," giving the texture computes the next texture you can keep like feeding it into itself and it will keep"
333520,340480," computing uh the next state of the cellular automaton on each draw call right so at least that's the"
340480,345360," theory at least that's the theory i'm not sure if it's going to work out in the practice but as far as"
345360,351360," now people uh has done it like that on uh like shader toy and stuff like that and it kind of works"
351360,356240," uh right but uh i never implemented that myself and i really want to implement that myself just to"
356240,361200," understand how you can do this kind of stuff and it's actually kind of cool right because each pixel"
361200,367040," can be uh competed independently so and if you manage to put that on gpu it's going to be extremely"
367040,373200," parallel so that means in theory it's going to be super fast and extremely smooth right so imagine like"
373200,378960," simulating this entire i think at 60 fps like very very smoothly uh that would be an extra kind of cool"
378960,385520," i think right that would have been actually kind of cool so what we're going to use for uh for for"
385520,390560," doing all of that right so obviously as i already said that we're going to use opengl but um what i"
390560,398240," learned is that uh the library that we use for visualization of the neural networks right array leap"
398880,405840," actually uh supports custom shaders right so you can not only draw like primitives like circles and"
405840,411280," rectangles you can actually customize the shaders with which they can be pre-processed or post-processed"
411280,417600," and stuff like that and it also supports the frame buffer off-screen rendering so it supports a special"
417600,424880," kind of texture into which you can render scenes right so essentially you can render scene by just"
424880,429200," rendering it and then you can switch the mode and it's going to render the scene into a separate"
429200,434480," texture that that you can then use to render something else right basically frame buffers"
434480,440800," right so it essentially supports uh it's built on top of opengl but it actually exposes all of the"
440800,447840," necessary mechanisms of opengl that we might want to use in this sort of simulation right so which makes"
447840,453840," it actually perfect candidate to to use for for this project right i could have used sdl but sdl when"
453840,460160," it comes to this kind of stuff it basically serves as a glorified opengl initializer and nothing else"
460160,465600," and if you need opengl initializer it would be better to use something like glfw uh right so"
465600,472960," using sdl as an opengl initializer is kind of an overkill in my opinion right uh of course it has"
472960,478080," more stuff for input output and sound and stuff like that but if you just need opengl initialization"
478080,483360," it's kind of overkill in my opinion really upon the other hand it actually gives you a lot of"
483360,490000," convenient stuff it uh initializes a lot of things and exposes quite a quite a few mechanisms of opengl"
490000,495760," that sdl doesn't expose right so and uh that's what we're gonna be doing today that's what we're gonna"
495760,503040," be using today all right so uh we'll get some subs while i was doing the intro uh thank you so much"
503040,510080," everyone who just supped so uh we got a donkey brains i thank you so much for the time it was three"
510080,515520," hours ago but i still want to acknowledge that uh philippi v2 i hope i pronounced your nickname correctly"
515520,520800," thank you so much for tier one and lamexis i also hope i pronounced your nickname correctly thank you"
520800,527520," so much for twitch prime thank you thank you thank you all right uh let's say go let's try to implement"
527520,535200," uh smooth live on gpu right so uh i don't really want to remove the existing application in here right"
535200,539600," so i want to create another one that uses ray leap rendering so maybe because of that i'm going to kind"
539600,544240," of rename uh this entire thing to something else let's actually call it something like smooth live"
544880,551680," uh term right so because it's a terminal it uses terminal rendering uh right and in here"
551680,559280," uh we probably want to do something like a smooth uh life term there we go so if i uh redo this and"
559280,564320," i think it seems to be working okay so another thing uh we're going to do i'm going to comment out"
564320,571200," the previous one right and uh we're going to have something like smooth live uh gpu right so this is a"
