start,end,text
0,12720," All right, looks like we're live. Hello everyone and welcome to yet another Azuzian session. How"
12720,20560," about that? But you didn't expect that shit to happen yet again. So let's make a little bit of"
20560,26640," announcement because I promised the two people on Discord that I'm gonna be streaming. So let's"
26640,36480," actually fulfill the promise. So this is going to be a red circle live on Twitch, right? And what"
36480,44320," we're doing today, we are continuing developing a compiler in Python. So we need to do something like"
44320,53120," HTTPS twitch.tv/zozing and I'm also going to ping everyone. Not everyone, only the people who subscribed"
53120,59120," to be pinged. Of course, I'm not going to do @everyone. I'm not some sort of a monster or"
59120,68000," something. Lyndra Braga, VibeCoder. Colm Betko, MM2PL. Hello, hello, everyone. Welcome to Epic Streamers."
68000,74400," As I promised, today we're having an Epic Streamers and a Streamers. And we continue developing our"
74400,80320," programming language called Porth. All right, so it's a stack-based programming language. My god,"
80320,86720," I only started people already throwing money. Hello, @91. Thank you so much for 10 months"
86720,92640," of tier one subscription. Thank you, thank you, thank you. And welcome to Epic Porth Club. That's right."
92640,100640," So yeah, so basically this is the stack-based programming language and you can find the source"
100640,105840," code of this thing in the description for people who's watching on YouTube and for people who's watching on"
105840,112320," on Twitch. You can find that in the chat. Just do a project command and you will be redirected to the"
112320,118400," source code of the project. Let's take a look at the description. And okay, so in the description,"
118400,124160," I'm going to keep two links for now. The Porth source code and the Porth development playlist."
125440,133280," Hello, Irish Bruce, Mr. Def, M. Kivitis, Vibecorder. Hello, hello. Welcome, welcome, everyone. So what"
133280,139840," we're going to be doing today, so today I'm going to just go through the features that I wanted to implement"
139840,146880," for the compiler before we'll start working on self-hosting. And the first feature that I wanted to"
146880,156400," implement is a safety mechanism for macros. Safety mechanism for macros. So let's take a look at the"
156400,161280," macros themselves in our language because the macros themselves in our language are rather interesting."
161280,170800," Okay, so full Porth, right. So essentially, this is as any stack-based programming language, you can put"
171520,178240," some stuff on the stack and you can sum up those things and you can print them, right? So imagine"
178240,185840," that you don't like to do plus and print all the time. You want to have some sort of a shortcut. Let's"
185840,192080," say instead of plus and print, you want to do a plus P and that means you sum up two elements on the stack"
192080,199200," and you simultaneously print them. So to create such macro, you use a keyword macro plus P and you say that"
199200,206480," this macro is basically plus print and there you go, you create a created plus P macro that"
206480,213440," automatically sums two numbers and print them. So we can even see if this entire thing works. We're going"
213440,222160," to simulate this program and as you can see it did 30, right? So it's quite convenient, it's quite cool and"
222160,228800," furthermore, it even supports a recursive execution. But here is an interesting thing."
228800,235520," I think we don't have any mechanism to stop this recursion, like at all. There is no compile time"
235520,243920," condition and there is no limitations on how many times you can expand this macro. And this is precisely"
243920,249200," what I wanted to implement today, right? Because otherwise like it will basically keep expanding"
249200,253200," until it consumes your entire memory. So I have to kill it right away, right? Because as you can see,"
253200,259280," this macro is like keeps growing, it keeps adding more and more tokens to the final to the final stream"
259280,263920," of tokens. And eventually it will just consume whole memory and it's just like your entire system is"
263920,270320," going to die. So one of the things I wanted to implement for quite some time is some sort of like"
270320,277920," a depth of expansion. So maybe after thousands of expansions, I want the compilation process to stop and die"
277920,283600," and tell the user that there's might be something wrong with your macro because it keeps expanding"
283600,288400," beyond the limit. So maybe you forgot to do something or maybe there's, there's some problems. I'm just"
288400,295840," looking to that. And of course, maybe the developer wanted the macro to expand for such a long period of"
295840,301760," time. So the depth of the expansion is, of course, going to be customizable. So we're going to have a flag"
302400,308800," that lets the developer customize, like I want these macro to be expanded millions of times, right? So"
308800,313280," it's some sort of like a safety prevention mechanism. So that's basically the feature that I want you to"
313280,319280," have. I was thinking about these features, since the day I implemented the macro is just didn't have"
319280,330320," time to do that. So we're going to be doing that today. So hello, hello, everyone, minus so apparently"
330320,339920," potatoes, super arena, Jimman, 2001. Hello, hello, welcome, welcome, welcome. So we've got another"
339920,345600," sub LLzor, thank you so much for 10 months of Twitch Prime subscription. Thank you, thank you, thank you. And"
345600,354720," welcome to our epic macro club. How about that? Pigeon PI3, hello, hello, welcome, welcome, welcome."
356800,363360," So wipecoder asks, are you compiling into a binary or into a script? I'm actually compiling. So there's"
363360,370240," two modes of the compilation for this language. The first mode is the simulation mode, like this one."
370240,378720," So in simulation mode, we literally just interpret the source code, we just parse everything. And we just"
378720,384800," iterate through the tokens. And we just interpret them. There is a second mode. And the second mode is"
384800,392400," compilation mode. And look what's going to happen. First thing it does, it generates full dot awesome."
392400,400560," It generates assembly file. And you can even take a look at that assembly file. So this entire source code"
400560,407680," that you see at the top got compiled down to sequence of processor instructions that look like this."
408800,416800," Then the second thing that happened in the compilation mode is this assembly file got compiled with Nazem. And"
416800,426400," Nazem is one of the famous x86-64 compilers. So with this thing, you can find this stuff here. And for"
426400,431200," everyone who's interested in the YouTube video, I'm going to put that in the description as well."
432080,441040," So Nazem compiler. There we go. And after that, after that, we linked the object file that got generated by"
441040,448080," Nazem with the GNU linker. And the result is a native executable. So if you take a look at foo,"
448960,456880," right, it's elf, 64-bit, least significant byte executable, x86-64, statically linked and not"
456880,463680," stripped. Statically linked executable. Statically linked. Right. So it doesn't even depend on anything."
463680,469680," Right. It doesn't depend on anything. Just a second. LDD foo. And as you can see, it's not a dynamic"
469680,475600," executable. And if you run this entire thing, it prints 30, the same thing as it would print when you"
475600,481840," simulate it. Right. So we have two modes. You have interpreted mode for sandboxed environment. If you"
481840,488400," want to like observe the behavior of the program and the compiled mode, a very unsafe mode that actually"
488400,496160," lets you manipulate like with bits on a very low level. Right. And all of that is done using the Python"
496160,506800," script. We're generating assembly code with the Python script. But streamer, it's called an assembler,"
506800,514240," not a compiler. Yeah, probably there is another additional thing of confusion between like assembly"
514240,524400," and assembler. So as far as I know, in English, right, assembly is a language and assembler is a tool that"
524400,530880," takes assembly and translates it into the native code. Right. So there's two separate words in"
530880,536080," English or English assembly and assembler. Do I understand that correctly? Here's the interesting"
536080,544080," thing. In Russian language, we call both of the concepts assembler. Right. So and every time I talk"
544080,550560," about assembly and assembler in English, I have shit ton of confusion, people say that in Polish as well. Okay,"
550560,554320," so apparently it's a Slavic thing. So yeah."
554320,565280," So and it was extremely confusing for me when I started to speak English, and people were using words like"
565280,569520," assembly and assembler. And it was like, what's what's the difference between them? What's the assembly,"
569520,573280," assembly assembly? What like, there's one word? Why do you need several words for this kind of stuff?"
573280,581280," Same in French as well. Nice. Is file dot write in Python lazy? Because it may take a lot of time,"
581280,589440," if you port file a few 1000 lines of code. And well, I'm not really sure what you mean by lazy, you mean"
589440,598720," buffered. So I don't think it's that big of a deal. So we generated like quite a lot of code, I think, for rule"
598720,604720," one, one, one, oh, and it was rather fast. So so far, I didn't experience any problems with the"
