start,end,text
560,6560," looks like we're live hello everyone and welcome to yet another recreation programming session with"
6560,12880," amistazozin let's make a little bit of an announcement and officially start the stream"
12880,18960," as usual as usual so hello hello welcome welcome welcome how are you guys doing i can see people in"
18960,24800," the chat i can see one person in the chat hello one person welcome to the starting stream right"
25840,30800," so that's how irrelevant my channel has become right only one person is watching me but that's"
30800,37120," fine because we're here for recreational programming right not for the cloud for creation programming"
37120,44560," so and what are we doing today on twitch.tv division website today we're doing a deep file analysis"
44560,51280," in c so we're going to get into that a little bit later after i give the link to where we're doing all"
51280,58800," that uh twitch.tv uh slashed sodding and i'm gonna ping everyone who's interested in being pinked and"
58800,65680," there we go the stream has officially started the stream has officially started so uh right some time"
65680,72320," ago um somebody posted a very interesting video on our discord server right so in the video is called"
72320,79040," the future of our e dynamic binary visual visualization i'm not an infosec person i'm not a reverse engineer"
79040,86720," person so i suppose our e stands for reverse engineer i was about to say that i'm not a reverse"
86720,92640," engineering person so i don't know what our e exactly means but i guess it means reverse engineering so this"
92640,97600," is a reverse engineering video and uh this video discusses reverse engineering techniques"
97600,106080," uh and as a non-reverse engineering person i found those techniques really fascinating i really"
106080,110560," recommend to watch that video so today's stream is not going to be a substitution for that video"
110560,117040," after the stream right so or before watching this youtube video just watch that first uh right so and"
117040,122480," the topic of today's stream is going to be implementing that right i'm going to try to implement that i'm"
122480,131680," going to try to implement that idea so oh it's that the xor reacts as the creator of like a move uh compiler or"
131680,138960," something right so it's it's that person i didn't recognize them okay so this is a legendary hacker"
138960,145200," right this is a legendary hacker so he has move for skater yeah move for skater so basically a thing that"
145200,153120," uh basically turns your assembly into into something that only uses moves because moves in x86 64 are"
153120,160080," turing complete uh right so that's actually pretty cool i'm a little bit of a shame that i don't know"
160080,165520," uh right i didn't recognize this person but again i'm not a reverse engineering person so i'm just a dumb"
165520,174960," java enterprise edition monkey so yeah i'm not a hacker unfortunately"
177120,185120," um so what's the main idea what's the main idea they actually uh what they try to do uh they try to"
185120,193920," take the content of uh some files right imagine like any files it could be images uh sounds executables"
193920,201200," executables uh texts and so on and so forth so they take these different kinds of files"
202080,209920," and they did uh dgram analysis or d graph or dgram analysis basically they looked at the pair of bytes"
209920,219120," of the binary data of these files right so and imagine that uh essentially we have uh different bytes in"
219120,228400," here so a b uh zero x c d then x f f and so on and so forth and all of that just represents the content of"
228400,234960," one of these files right so this is just the content of one of these files image sound doesn't matter we"
234960,240640," don't even try to parse this entire stuff by the way we don't even try to parse it we just take it raw"
240640,248640," gotcha hyper we just take it raw and then we scan this entire thing and we look at the at the pairs"
248640,253200," of bytes this is how i understood it at least so if i misunderstand it please correct me right so people"
253200,260560," who watch that video uh right so you take a look at the pairs of bytes uh right so you literally scan"
260560,268640," it with a window of two right you scan it with a window of two and so on and so forth right and here"
268640,277280," is an interesting thing you interpret these pairs of bytes as the coordinates um as the coordinates on a"
277280,286960," two-dimensional plane on uh 256 by 256 two-dimensional plane actually square one and every time you encounter"
286960,294400," this sort of thing you interpret it as a point in that plane and you put a dot in that plane and you"
294400,301120," do that for all of the pairs of bytes of the file all of the pairs of bytes of the file and you know what i"
301120,306960," found by by doing that it's a very it's seemingly like really weird thing to do like why the would"
306960,314880," you do that but what they found is that different kind of files produce a different patterns associated"
314880,322640," with them like literally images always produce a very specific patterns sounds always produce a very"
322640,330160," specific patterns executables like x86 64 text they all produce very specific patterns the the actual shape is"
330160,335760," different but the patterns are very very similar to the point that you can memorize them you can memorize"
335760,342640," those patterns and essentially if you take this sort of like a visualization of the byte pairs"
342640,346000," and look at it you can train yourself to quickly identify the kinds of files"
346000,353600," right the kinds of files and they even build like an analysis tool based on that they build a whole like"
353600,357920," analysis tool and stuff like that but but the point of that presentation is that this is such a simple"
357920,363680," concept that you don't really need a specialized tool to use it you can just code it yourself right you"
363680,368960," just can go ahead because it's a very simple concept right it's a very simple concept and this is"
368960,374480," precisely what i would like to explore today like i literally want to sit down and code it right and see"
374480,379600," what kind of patterns we can see in different kinds of files right and what's interesting is that"
380640,388880," can you go even further and for example take the image that you have 256 by 256 and train the neural network"
388880,397840," on that this was i think in 2013 and stuff like that so the ai was not a big thing at the time so they"
397840,406800," didn't mention that but in 2023 we could probably train a neural network on that though by the way they"
406800,417040," didn't mention uh neural networks and ai but they mentioned as a statistical model they they said that"
