start,end,text
880,6680," Hello everyone, and welcome to yet another recreation programming session with a Mr. Zuzi."
6680,11940," So, I think this is already a third time I'm trying to document the development of this feature."
11940,16480," Yeah, I think it's a third time, like, and every time I try to do that, there's some problems that"
16480,22780," make the session kind of boring to watch because I encounter some thing and I just get caught up in"
22780,28440," debugging and stuff like that. So, essentially, this is Mutualizer, right? So, we're working on"
28440,33540," Mutualizer, which is a pretty straightforward application, right? So, you drag and drop some"
33540,39260," music in there, and it starts playing the music, and it starts visualizing that specific music."
39260,45600," And this is not a music player or video player or anything like that. It's meant to actually render"
45600,51900," videos, high quality videos of the visualization, so you can then post them on social media."
51900,58240," Right, but here is an interesting thing. I didn't really want the, you know, the visualization"
58240,62420," of the files to be the primary feature."
62420,67860," One of the important things for this application, I think, is an ability to capture sounds from"
67860,73460," microphone and from the system sounds, so you don't have to record anything yourself,"
73460,75340," so it will record it for you."
75340,86960," Right, we already can kind of integrate with the microphone in this application, and that feature is, by default, is disabled. It's behind a so-called feature flag, so to be able to use it, we first have to enable it."
86960,94220," Right, so let's actually go to the configuration, and let's enable Mutualizer microphone, right, and rebuild the whole application."
94440,99620," Should be pretty fast, right? So, it doesn't require rebuilding the Raylip or anything like that."
99620,106400," So, it's actually started, and now you have to press C, and as you can see, we can now visualize things from the microphone."
106400,111520," We can't really record anything from the microphone, but we can visualize things from the microphone."
111520,123380," So, the interesting thing about that feature is that to implement that, to implement that, we kind of had to poke a hole in the abstraction of Raylip."
124020,132340," Right, so let me actually show you what I mean. So, if you take a look at the Raylip, Raylip is the library that we use for UI and for sounds as well."
132340,139380," It's a library for making video games, right, and video games, they are concerned with the visual part and the sound as well."
139380,149260," That's why this library is extremely useful for us, and I also recommend to check out this library if you're doing game development and, you know, generally multimedia application development."
149260,153300," It's also cross-platform. It works on all the major operating systems, right."
153420,160140," So, and if we take a look at the architecture of this library, it has a very cool and interesting architecture."
160140,166380," All right, so, essentially, at the top, you have your game, right. So, you have your game, you have your engine, whatever."
166380,173840," And the library itself consists of several modules that are kind of, like, you know, replaceable."
173840,179440," You can turn off some modules and stuff like that. So, the main modules are core. Probably, you can't disable that one."
180000,188960," Right. So, the R-core is basically the camera, the, you know, the window and stuff like that. It's just like, you know, creating the actual GUI application."
188960,197200," So, here we have stuff working with textures. Here we have stuff working with text. Here we have stuff working with shapes, models."
197200,201920," And this one is an interesting one. Here is the module for working with sound."
201920,209520," Right. And it is based on a different library, on another library called Mini Audio."
209520,217920," Mini Audio is also a very cool library. It's a single header. It's a single header library for working with audios."
217920,224400," And look at all of the platforms it supports. Right. It supports all of them, basically. Right."
224400,227200," So, all of the major mainstream platforms, including Android."
227200,229440," So, that's actually very cool."
229440,234480," And this library does have a capability of working with microphones."
234480,237120," And that's the capability we use. But Raylib doesn't."
237120,239200," Raylib doesn't."
239760,246400," So, essentially, what we had to do, we had to use Mini Audio library from Raylib."
246400,252080," But we had to bypass the abstraction of Raylib and work with Mini Audio directly."
252080,255760," So, we kind of poked a hole in this entire thing."
255760,261840," And it works great so far. So, as you can see, if you just run this application, it is totally fine. Right."
261840,263360," So, it seems to be working."
263360,271840," So, the problems start to appear when you try to record, you know, the stuff that you receive from the microphone."
271840,274400," So, and it's a very interesting problem."
274400,277040," And this is the problem that we struggled in the previous stream."
277040,280480," That I don't plan to actually upload to YouTube."
280480,284000," Because, like, I just was debugging this thing for the entirety of the stream."
284000,286960," So, I didn't think it is that particularly interesting to watch."
286960,290160," So, yeah. It's still on Twitch if you want to watch it right."
290160,292560," So, but I mean, it's really not that interesting. Trust me."
293200,300240," So, this documentation has a bunch of examples on how to record the audio."
300240,301760," So, let's actually find the capture."
301760,304000," Where is the capture?"
304000,308080," I can't spell capture."
308080,311920," There we go. Finally, I managed to spell capture."
311920,317440," Right. So, here is a very simple example that does the capturing."
318240,319680," So, let's create capture."
319680,322800," See. There we go."
322800,326000," So, essentially, here we are including mini-audio."
326000,331520," So, then we are creating two important things."
331520,332960," We are creating two important things."
332960,336240," We're creating a device from which we are capturing the sound."
336240,340240," And we're creating the encoder that is going to encode the sound."
340240,343840," And what we're going to be using, we're going to be using the wave encoder."
343840,346080," Right. So, we're going to be creating the wave file."
346080,351280," So, the first thing this example does, it creates the wave encoder."
351280,352960," Right. It creates a wave encoder."
352960,357520," Then it initializes the device with the same parameters as the encoder."
357520,361280," Because, I mean, yeah, they have to have the same parameters to be compatible with each other."
361280,363840," Right. And then we're starting the device."
363840,375680," Right. And as we initialize the device, we also provide a pointer to a callback that basically takes the frame it captured from the device and sends them into the encoder."
375680,378480," And that's basically the process of recording."
378480,382240," You get the data from your device and you send it to an encoder."
382240,385360," An encoder encodes it and probably sends it to a file."
385360,387520," And as far as you know, do we provide the file?"
387520,390400," Yeah, we do provide file through command line arguments."
390400,391360," And there we go."
391360,393280," Here we initialize the encoder."
393280,394800," And we provide arg1."
394800,397440," So, basically, whatever we got from the command line in here."
397440,399520," So, and that example works."
399520,400720," That example works perfectly."
400720,402160," We can even test it out."
402160,404560," So, let me go ahead and try to compile it."
404560,406080," Obviously, it's not going to compile."
406080,409440," But I'm compiling it anyway."
409440,410960," So, I can get an errors."
410960,411760," Right. So, there we go."
411760,412400," So, here's an error."
412400,413840," It can't find MiniAudio."
413840,416400," So, I think what we have to do."
416400,418240," We have to provide the include."
418240,421840," So, I do have MiniAudio in Raylib source code."
421840,423680," So, it's somewhere here."
423680,424320," SRC."
424320,426480," And I think it's in external."
426480,427200," Yeah, there we go."
427200,428640," So, it must be in external."
428640,430560," Okay."
430560,431920," So, it is compiling the things."
431920,435360," The MiniAudio library, by the way, is rather huge."
435360,436000," It is rather huge."
436000,438640," So, it takes some time to compile this entire stuff."
438640,441360," So, it complains about the lack of mathematical functions."
441360,444480," So, let's go ahead and just link with mathematical functions."
444480,447120," And that should be it, I think."
447120,448080," I think that should be it."
448080,450240," Yeah."
450240,450960," There we go."
450960,453600," So, and we got a CAPTCHA executable file."
453600,456960," So, if we try to now run it, it wants a file."
456960,460160," So, let's actually provide a recording wave."
460160,462000," And that should start recording."
462000,463120," That should start recording."
463120,467760," So, everything I say right now should be recorded into the file."
467760,470640," So, now, I can try to kill this entire process."
470640,472720," And it should create the recording wave file."
472720,473920," So, let's actually open it up with."
473920,475680," And that should start recording."
475680,476800," That should start recording."
476800,481440," So, and everything I say right now should be recorded into the file."
481440,481920," So, now."
481920,485520," So, as you can see, it works flawlessly."
485520,487760," It works perfectly."
487760,494400," So, the problem starts to appear when you try to integrate that example into Musualizer itself."
494400,498320," Without almost no changes whatsoever."
498320,500160," It's rather a bizarre problem, right?"
500160,504320," And we spent like two hours figuring out what the fuck is going on."
504320,506400," So, yeah, it's rather interesting."
506400,513520," And it has kind of like a philosophical implications about, you know, using third-party dependencies."
513520,520480," And how much control you must have, you know, over those third-party dependencies."
520480,521360," But I digress."
521360,527040," Let's actually go and try to integrate this simple example into Musualizer."
527840,530320," Right, so I factored out a start capture function."
530320,531120," All right, there we go."
531120,532320," So, here it is."
532320,535520," And in here, we're just initializing the device."
535520,536960," Simply initializing the device."
536960,540240," And go into the capturing mode."
540240,541600," Right, go into the capturing mode."
541600,546080," And in the capturing mode, we're already visualizing, doing the things and stuff like that."
546080,551040," So, the simplest integration would be to basically also add the encoder."
551040,552640," Let's go ahead and do that."
552640,555680," So, the state of the application is located within the plug."
556400,560640," So, let's try to add the encoder as well."
560640,565200," I'm going to just grab the example and find my encoder."
