start,end,text
0,9340," looks like we're live hello everyone and welcome to yet another a recreational programming session"
9340,14780," how about that which is better to happen so let's make a little bit of an announcement and"
14780,20660," officially start uh the stream hello hello everyone welcome welcome welcome so let's do"
20660,28720," red circle live on twitch and what are we doing today on twitch.tv website today we're looking"
28720,36420," into the focus text editor right so i'm gonna give the link to twitch.tv slash tending the place where"
36420,40640," we're doing all of that i'm gonna ping everyone who's interested in being pinged and there we go"
40640,48560," the stream has officially started the stream has officially started so uh here's the focus uh simple"
48560,55240," fast and fast text editor right so um i heard about this text editor for quite some time and it's"
55240,61620," actually quite famous among the java beta testers and the reason why it is so popular among the java"
61620,69840," beta testers is because it's entirely written in batch files that's the main reason right so in in fact"
69840,76660," it's written in jai it's just like github is incapable of recognizing jai files so that's why it says that"
76660,81440," it uses batch files because there's a couple of batch files which i do not necessarily understand"
81440,87640," why i thought the entire purpose of the the entire sort of like philosophy of jai is that"
87640,94360," uh you know the compiler itself is a build system you don't need additional scripts on top of the"
94360,100600," compiler to facilitate anything you just have one single file you just build that file and file does"
100600,107340," the rest but still i suppose this is like some sort of old reflexes or like maybe to hook things up"
107340,112720," into text editors or something like that i don't really know uh but it is what it is uh after all"
112720,118860," these you know batch scripts are not really that big so they're just like you know they call jai with a"
118860,125420," couple of parameters and stuff like that so anyway um so the problem with this text editor that i had is"
125420,131200," that it literally crashes on my machine and it crashes with a very interesting uh so the problem it crashes"
131200,139040," with a sig ill so for those who doesn't know sig ill is a signal that is sent when uh the cpu tries to"
139040,147040," execute an illegal instruction it's not even a sec fold mind you right it's not even a sec fold sec fold is"
147040,153760," when the the application is trying to touch the memory it's not supposed to touch sig ill is just like the"
153760,160400," the code like looks at the memory and the memory contains an instruction that cpu is incapable of executing"
160400,167200," there's a lot of situation that can lean to that and this is actually really weird right but uh recently"
167200,173760," i found a way to actually make it work uh right so and because of that i decided to finally do a string"
173760,180720," where i look into that text editor on top of that eleon to eleon to suggested to implement something"
180720,185360," for this text editor because it's open source so you can actually extend it and stuff like that"
185360,189600," uh and specifically there is a problem uh on linux for this text editor"
189600,196320," since um you know majority of the developers i suppose are on windows because it's a language for"
196320,202560," game development and uh windows is an operating system for video games right so linux is a real"
202560,208560," operating system for serious business for serious people and for the video games there is a separate"
208560,214800," like a niche operating system called windows right so majority of the of the so sorry"
216240,221040," majority majority of the gi developers are game developers so that's why they use this niche"
221040,228080," operating system for video games and that's why they probably don't really test on on real operating"
228080,236960," systems right because of that there's some features missing uh and specifically there is no save dialogue for"
236960,246880," uh for for for linux right so uh so eleon is here uh just a second uh we have these reports something"
246880,252800," similar might be what you're getting yeah i think i already looked into that so you say it's an issue"
253680,263280," uh 92 uh so i remember unable like i basically assumed that you wanted to uh want me to implement this"
263280,272160," right so and essentially somebody already tried to implement the save dialogue for uh for the text editor"
272160,278560," and they couldn't because a very interesting problem right so the problem is that we save the platform save"
278560,286160," dialogue that the application sort of designed around is synchronous but to make it sort of like a built-in"
286160,291920," you need to have an asynchronous one so it's like sort of a conflict between synchronous and asynchronous api"
291920,297520," and it's not as easy as just like you know calling to uh to a separate like api or something like that"
297520,304240," but you're saying you're saying there is um something something like this oh you're talking about um you're"
304240,312480," talking about the crash i already kind of fixed the crash so uh yeah yeah the the editor doesn't run uh"
312480,319680," when the cpu doesn't support is instructions yeah so uh i found a workaround for that i don't know if"
319680,324880," you guys found the workaround for that uh but i found the workaround for that which i'm probably gonna show"
324880,333440," on on on today's stream right so yeah thank you so much for for letting me know uh essentially uh so"
333440,344960," let me actually put um this thing maybe into the into the references uh right potential so um i don't know"
344960,354400," issue uh all the potential source of crash right i'm gonna put it in here just in case somebody else is"
354400,359200," gonna have this entire thing uh right but to be able to use this text editor unfortunately you have"
359200,366320," to have an access to jay so yeah but maybe like enough people who actually enjoy better actually"
366320,374000," watch my stream so maybe they'll be able to uh to make use of that so i think i already uh cloned um"
374000,383920," focus somewhere here so here it is already cloned it so and essentially let's try to build this entire thing i'm gonna use"
383920,388640," use this command line right so i'm gonna use this command line and i'm gonna uh run it super quick"
