start,end,text
80,5200," looks like we're live hello everyone and welcome to yet another azuzin session"
5200,10480," azuzin session let's make a little bit of an announcement and officially start the stream"
10480,17680," so uh what are we doing today on a twitch dot television website it's a rather interesting"
17680,29200," question uh red circle live on twitch and today we are developing a simple c slash c plus plus"
29200,34720," alexa to syntax why does it say two it's supposed to be for syntax highlighting"
34720,42400," uh okay so let me quickly fix all that shite i don't speak english anyway english is my like 69th"
42400,47920," language so i don't really speak it well so yeah i'm gonna give the link to uh the place where we're"
47920,54480," doing all that witch.tv/zozin and i'm gonna ping everyone who's interested in being pinged there we"
54480,60960," go the stream has been officially started so today we continue developing uh dead which is"
60960,65840," a dramatic text editor that we started to develop some time ago you can find in here i copy pasted the"
65840,71360," link in the chat or for people who happen to watch this shed on youtube for whatever reason it is going"
71360,80960," to be available in the description so uh let's take a look at this uh thing uh dead i said dead let's take"
80960,88000," a look at the status status is clean let's fetch some uh latest changes i wonder if i did anything off"
88000,94000," screen i think i did something off screen uh for this text editor actually didn't okay so that's that's fine"
94000,100240," so i was slacking uh mother flipping slacking all right so this is the text editor this is how it"
100240,106560," looks like and uh the point of the editor is that it's very dramatic as you start typing things you"
106560,111360," know the camera action kicks in and it just like follows your cursor and it's just like holy"
111360,117840," fucking uh right so recently we started to support a selection which doesn't really do anything except"
117840,122880," uh selecting the text you can't select the text and copy paste it yet but we have a mechanism for"
122880,128080," selection and one of the important thing that we did on the previous stream on the the very previous"
128080,134960," stream is that we tried to implement the syntax highlighting so you can do shed like int and it"
134960,144400," highlighted it int main uh all right and then you can maybe write a for loop right you can iterate"
144400,152240," something with a for loop if you want to uh right let's let's put it this way right so this is going"
152240,157680," going to be another one and so on and so forth and as far as i know we actually like had coded like all"
157680,165200," of the c slash c plus plus keywords so i'm pretty sure it can recognize things like uh templates right"
165200,170160," so can i put template in here yeah it does recognize it but there is a little bit of a problem uh and the"
170160,175040," problem is the way we actually handle all of that we handle all of that in a very dumb way"
175600,181920," uh right we we look for substrings of keywords meaning that if i have something like forward"
181920,189520," four is going to be highlighted as well right so uh the problem here is that the text editor does not"
189520,196960," tokenize the keywords uh properly right and uh the topic of the stream is going to be actually implementing"
196960,204560," a small subset of the c tokenizer right of a c tokenizer so we can highlight uh things properly"
204560,210640," right and since we're going to be able to actually classify different tokens differently maybe we will"
210640,217680," be able to even highlight them differently uh so yeah that's going to be very interesting um so yeah"
217680,222720," that's the topic for the stream so we're going to implement like a simple c tokenizer which goes"
222720,228880," through the entire text and groups the sequences of characters according to their class according to"
228880,235840," their like token kind and then i suppose we can pass that information to the renderer and the renderer is"
235840,241200," going to look at those tokens and depending on the kind of the token it is going to just color them"
241200,246720," differently right or maybe it's going to even apply some special shaders right so we have the cool thing"
246720,252240," about the renderer for this text editor is that the renderer can do shit like that uh right so"
252240,258160," you can apply shaders on the on the text that you're rendering so maybe the renderer is going to look"
258160,265840," at the kind of the token and it's going to uh render tokens with the rainbowish color like for"
265840,270080," example for types or something like that or maybe it's going to be custom thing maybe you'll be able"
270080,277920," to customize what kind of shaders to use for certain keywords right uh so that sounds actually kind of"
277920,285840," cool right imagine like uh defining like a text editor theme not in terms of like the token color but token"
285840,294160," shader i think that's kind of cool i think that's kind of cool uh so yes yes yes so that's going to be"
294160,303280," basically the idea so we could have just tried to use existing c tokenizer right but uh before using an"
303280,311120," existing c tokenizer we have to ask ourselves a question we just want to highlight some in a text"
311120,320960," editor in a shady toy text editor do we need an entire standard compliant tokenizer to just highlight some"
320960,329120," shit you know the military grade standard compliant tokenizer just to highlight some"
329120,337040," it's like we probably don't it's like imagine like trying to implement like a pixelated flappy"
337040,346480," bird without any effects or anything like that and using unreal engine just like yeah i guess you can go ahead"
350960,357040," what can i say what the fuck is a military great game dev engine it's just like what the fuck is that"
357040,364320," but yeah you can try to use that but i mean you probably don't need even 99.9999 percent of the"
364320,372800," shed that is in unreal engine just to to do that so yeah you just probably don't need to do that and my"
372800,380320," point is we're gonna implement like our own tokenizer uh our own tokenizer which is like a small subset of"
380320,387200," standard compliant tokenizer uh that is sufficient enough to just highlight some things in a toy text"
387200,394800," right so and the cool thing about implementing your own tokenizer is that um it's completely customizable"
394800,403360," meaning that you can couple it more with your renderer right imagine that you're using an existing tokenizer"
403360,411520," from for example from stb uh right so there are already um readily available uh tokenizers for c um"
411520,417600," like and for instance uh from from stb libraries that you can just use uh but one of the things"
417600,424480," one of the advantages that we're going to have will be able to maybe store in the tokens some additional"
424480,430320," information for the renderer for instance i have the following idea what if we take the text and pass it"
430320,435040," through the tokenizer and tokenizer gives us the sequence of tokens but on top of the sequence of"
435040,444000," tokens the token each token contains its kind and its text on top of that the tokenizer can also decide"
444000,449280," where physically in a two-dimensional in a continuous two-dimensional space that token goes"
449280,454400," right because it kind of knows where it goes it knows the it may know the dimension"
454480,460320," of the phone and stuff like that but while tokenizer tokenizing it can actually compute the layout"
460320,466880," where it's going to be located so the each token also contains x and y in floats x and y in floats where"
466880,472960," the token goes and then the renderer just takes the stream of these tokens it already has the text it"
472960,478000," already has the positions and what it does it just renders them just like it just says okay so here's the"
478000,483520," tokens just place that token in that specific position that the tokenizer told me with that specific color"
483520,491680," so it's actually super easy because we control everything right so we can tie the different"
491680,498720," components of the system a little bit better uh to make our lives a little bit easier so that's basically"
498720,505520," another reason to implement our own shit anyway so we got a couple of subscriptions while i was uh"
505520,514480," talking nonsense um thank you so much mxvism for uh nine months of twitch prime subscription with"
514480,524320," the message c plus plus in the title progress yeah uh so just just by supporting c plus plus keywords i have"
524320,530640," an opportunity to put c plus plus in a title and then debate all of the people who will come to my stream"
530640,535920," see the c code and tell me that this is not c plus plus even though i was not saying that i was"
535920,540720," programming in c plus plus but on the internet people don't have a reading comprehension enough to"
540720,546960," understand that anyway so and another subscription from element uh zero to 16 thank you so much for"
547680,555280," 12 months a year of tier one subscription with the message uh underkill is better than overkill right"
555280,563280," so it's like it was spelled in a programmish kind of way with greater underkill maybe it depends on how"
563280,569120," much you under killed and how much you over killed all right so with the ready solutions"
570080,578880," right if you are under killed and implemented your own solution it is quite easy to just add a little"
578880,584000," bit more to make it less of an under kill if you under kill too much it's kind of difficult to do that"
584000,590400," but if you under kill but a little bit it's super easy to just add more but if you used a ready solution"
590400,595440," and you over killed a little bit more how easy it is to get rid of that overkill"
596800,601040," well you have a library which is a black box you can't really change it unless you"
601040,606480," just make a copy of that library but uh then you will have to port all of your changes to next release"
606480,611040," of the library i don't know it's it's kind of difficult it all depends on the specific situations"
611040,616240," people want like a universal solution that works everywhere so they never have to think and just"
616240,620480," follow the dogmas it doesn't work like that i'm sorry you have to take a look at the project and see"
620480,625520," does it work for that specific project i'm sorry you have to use your brain sorry to tell you that"
625520,633280," people but you have to analyze each situation uh differently i know it's it's boring i know it's"
633280,638480," difficult i know it's easy to follow some paradigm but it is what it is and it isn't what it isn't"
645200,655600," surely you can just solve a problem once surely kappa uh all right anyway so uh let's go and try to"
655600,661840," implement the goddamn tokenizer uh i have no idea how to implement the c tokenizer i never implemented"
661840,668000," the c tokenizer in my entire life uh so i'm gonna be trying to implement a c tokenizer for the first time"
668000,675040," in my life right on the stream right so but here's the thing i implemented like a lot of different"
675040,684400," tokenizers before so i kind of know the drill so yeah we'll see how it goes um so uh let me let me see"
684400,692800," interestingly interestingly um so what we're gonna start with i suppose we're gonna start with maybe"
693440,699600," uh lexa let's just call it lexa dot h i'm not gonna say that it's a it's some sort of specific lexa"
699600,705200," it's gonna be maybe abstract lexa uh that is going to work only with c but maybe later we're gonna"
705200,711840," abstract it out and it's gonna be a general lexa uh that can be used for like any language because"
711840,714880," the editor probably gonna support like several languages or something like that"
716320,725360," uh okay so if not defined lexa dot h we're gonna define that god then lexa dot h and then and if"
725360,731840," this is going to be a comment so uh let's define different kinds of the token so this is going to be"
731840,738720," a token kind what kind of coins do we want to have in here i suppose my favorite um token kind is more"
738720,747440," of a like token ant right so this is essentially the token that is uh returned at the end of the stream"
747440,753600," right so you consumed all the tokens and the last token that the lexa keeps um returning to you is the ant"
753600,758560," right so it's quite convenient to have such token so another token that we're gonna have let's take a"
758560,766880," look at this c code right so the first c code that we usually have is um it's usually some pre-processer"
766880,775120," right it is usually some preprocessor and i'm thinking um right in a preprocessor do we tokenize"
775120,782400," the preprocessor i think we should try to tokenize the preprocessor uh all right so maybe we're gonna"
782400,790160," have a token um token pound right so what is the name for for this sign i think it's a pound or something"
790160,796640," right so it's a hash pound or whatever um right and another common uh symbol that we can have in"
796640,803520," here is a some sort of a symbol some sort of a name uh right so let's actually call it token symbol"
803520,810640," right and let's just start with these kind of tokens and then we'll be able to extend with uh with more"
810640,819200," uh hashtag i think it's like i feel like it depends on english right so in american english it's i think it's"
819200,826160," pound in in which english it is pound and in which one is it hash like i don't remember like i don't speak"
826160,834960," english at all um so i suppose i i heard casey calling it pound but casey is american he speaks"
834960,841760," he speaks americanese so in americanese as far as you know it should be and then pound right it depends on"
841760,842800," the context okay i see"
848720,855680," at least here in texas you can call a pound or a hash oh okay so just like yeah in different parts in"
855680,857200," america you can also go different one"
857200,868320," okay so i'm gonna call it hash because i'm an internet person and everyone on the internet calls"
868320,875280," it hash because of twitter because twitter is cool am i right kids twitter is cool it's hip and cool"
875280,880080," okay so we're gonna have uh the token right"
880080,886240," we're gonna have a token and uh we're gonna also have a token kind"
886240,892240," so but on top of that we also need to have the text the text of the token right so we're gonna"
