start,end,text
0,29980," Thank you."
30000,59980," Thank you."
60000,89980," Thank you."
90000,119980," Thank you."
120000,149980," Thank you."
150000,179980," Thank you."
180000,209980," Thank you."
210000,239980," Thank you."
240000,269980," Thank you."
270000,299980," Thank you."
300000,329980," Thank you."
330000,359980," Thank you."
360000,389980," Thank you."
390000,419980," Thank you."
420000,449980," Thank you."
450000,479980," Thank you."
480000,509980," Thank you."
510000,539980," Thank you."
540000,569980," Thank you."
570000,599980," Thank you."
600000,629980," Thank you."
629980,659960," Thank you."
659960,689940," Thank you."
689960,719940," Thank you."
719940,749920," Thank you."
749940,779920," Thank you."
779940,809920," Thank you."
809940,839920," Thank you."
839940,869920," Thank you."
869940,899920," Thank you."
899920,929900," Thank you."
929920,959900," Thank you."
959900,989880," Thank you."
989900,1019880," Thank you."
1019900,1049880," Thank you."
1049880,1079860," Thank you."
1079880,1109860," Thank you."
1109880,1139860," Thank you."
1139860,1169840," Thank you."
1169860,1199840," Thank you."
1199840,1229820," Thank you."
1229820,1259800," Thank you."
1259820,1264940," input the second amplifiers input leads to the third amplifiers input the third amplifiers input"
1264940,1269100," leads to the fourth amplified input the fourth amplifier input leads to the fifth amplified"
1269100,1275020," output there we go i see the first amplifier's input value is zero and the last amplifiers output"
1275020,1286780," leads to your uh ship's thruster um so this is how it looks like two thrusters cool the elves"
1286780,1294300," have sent you some amplifier control software acs your puzzle input a program that should run on your"
1294300,1300060," existing int code computer we already have an incode computer each amplifier will need to run"
1300060,1311260," a copy of the program oh that's cool oh all right that's actually super cool so you have a program"
1311260,1318620," you run it on each amplifier and the output like gets amplified through the software holy i like that"
1318620,1324380," when a copy of the program uh starts running on an amplifier it will first use the input instruction"
1324380,1330700," to ask the amplifier for its current phase setting when a copy of the program starts running on an"
1330700,1338540," amplifier it will first use an input instruction to ask the amplifier for its current phase setting an"
1338540,1344860," integer from zero to four each phase setting is used exactly once but the elves can't remember which"
1344860,1352700," amplifier needs which phase setting the program will then call another input instruction to get the"
1352700,1360620," amplifier's input signal compute the correct output signal and supply it back to the amplifier with an"
1360620,1365980," output instruction if the amplifier has not yet received an input signal it waits until one arrives"
1366620,1373420," your job is to find the largest output signal that can be sent to the thrusters by trying every possible"
1373420,1379980," combination of phase settings on the amplifiers make sure that memory is not uh shared or used between"
1379980,1390460," copies of the programs i mean of course uh so that's actually super cool so you have uh like different"
1391100,1397580," zero to four like phase settings and you have like five amplifiers right so and essentially you need to"
1397580,1405660," have uh five nested four loops um where you basically brute force different settings uh for the program"
1405660,1412620," and you find the the one that outputs the maximum thrust uh we have a raid from devs power juice i hope i"
1412620,1419100," pronounce your nickname correctly welcome raiders welcome welcome a the devs is it were you doing ada"
1419100,1427420," are you are you guys ada this interesting i programmed in ada only three times on this channel"
1427420,1433660," and that and that made a lot of noise hey nice haircut thank you i did it myself"
1436140,1443820," um all right that was hard actually well it was hard the first first time when i had a long hair"
1443820,1450380," uh but once the hair is short it's actually super easy uh ada devs always watching yeah that's the uh"
1450380,1456060," that's the most ada was ever you know it's actually used way more than that"
1456780,1462620," uh it's just like it's used in the places where we don't expect it to be used so yeah"
1462620,1468620," ah wait a second by nsa"
1468620,1477580," it's kind of strange there's a lot of russians working on either from like i actually googled about"
1477580,1484540," like ada core and like ada in general and there is like a pretty active russian ada community apparently"
1485260,1492060," uh yeah so it's really crazy um okay"
1492060,1499580," an intentional who said it's unintentional it's actually was intentional it's called tsmr cheers"
1499580,1506940," why does it always have to be russian i don't know man russians are kind of sus i'm gonna lie"
1506940,1515100," all right so um find the largest output signal i still don't understand how we have to configure the"
1515100,1520380," program it will first use the input instruction to ask the amplifier for its current phase setting"
1520380,1528780," each phase setting is used exactly once but the elves uh can't remember each phase setting okay that's"
1528780,1534380," really interesting the program will then call another input track to get the amplifier's input signal"
1534380,1540700," compute the correct input signal and supply it back to the amplifier with an output instruction okay so it"
1540700,1553500," it needs a setting and an input right so uh zero one two three okay so there's exactly five of them so instead of actually doing um"
1553500,1569580," how to say that the nested loop what we need to do here is uh permutations so we need to take these settings and we need to check all of the possible permutations luckily in husk it's super easy believe it or not we have a function called permutations"
1569580,1575820," is that cheating is that cheating is that cheating i think this is cheating but anyway"
1575820,1581020," what you can do here is that you can do this thing and uh it gives you all the possible permutations"
1581020,1588700," uh so when you can just test them you can just map it and uh just pick the one that gives you the the biggest value"
1590380,1597180," uh anyway so i think i understand uh for example suppose you want to try the face setting sequence"
1597180,1603420," three one two four zero which would mean setting amplifier a to one blah blah blah okay start a copy"
1603420,1609980," of the amplifier control software that will run on amplifier a uh at its first input instruction provided uh"
1609980,1616060," provide it the amplifier phase three okay i think i understood what needs to be done the final output signal"
1616060,1623740," from the amplifier e would be sent to the thrusters however however this face setting sequence may not"
1623740,1629100," have been the best one another sequence might have sent a high signal to the thrusters there are some"
