start,end,text
960,6560," Hello everyone and welcome to yet another recreational programming session. How about that?"
6560,12640," Recently I worked on implementing a feature for my friend's project which is a password manager."
12640,18720," It's a very simple console password manager. I think it has a UI but I never really looked into"
18720,25680," that. But yeah it's a very simple console password manager which is essentially a key value storage,"
25680,31920," an encrypted key value storage, right? Where a key is the name of the service or a login that you're"
31920,38960," storing the password for and the value is the password, right? It was not particularly convenient"
38960,47680," to use because when you wanted to search by a label, by a key, you have to type out the entire key"
47680,51680," every time, right? And since it's a console application it's not particularly convenient."
51680,58320," So it would be better to have some sort of like a fuzzy search. And after a little bit of a back and"
58320,66240," forth we settled on implementing globe. And if you never heard about globe is it's basically we have"
66240,74000," regular expressions at home, right? So essentially a star in these kind of regular expressions means"
74720,81520," any character including none. A question mark means any single character and then you have a square"
81520,89040," bracket classes of characters. So square brackets ABC means any character like any of A, B or C and it"
89040,94480," matches a single character. And you also have arranges, right? So you can match any character from A"
94480,101440," through Z. And that's the entirety of the thing. That's the entirety of the of the globe syntax. It's very"
101440,105760," simple and it's not as complicated as regular expressions, right? So we could have just used"
105760,110880," like regular expressions, but that's an additional library. And usually if you're talking about C,"
110880,119360," this project is implemented in C. You're talking about P-R-E, P-C-R-E. Yeah, P-C-R-E. I cannot"
119360,125440," even remember how it's spelled. And it's like I used it once and it's a very clunky third-party"
125440,129680," dependency. Like I feel like you have to have a good justification to have something like that."
129680,136800," What we want you to have is just like a simple fuzzy search, right? And I think globe is perfect"
136800,145520," for that. So interestingly POSIX slip C does have a globe function in a standard library, but it doesn't"
145520,152560," really fit for our purpose because it's designed specifically to work with file paths. In fact,"
152560,160080," the globe itself initially was designed to match file paths, but personally I don't see why it"
160080,167760," could not be used for matching anything, right? So yeah. And it's so simple, right, that you can implement"
167760,174480," it like within an hour or less, right? So at least naive version, at least naive version. So I'm pretty sure"
174480,181600," that naive version could have been broken by some very big and sophisticated pattern in the text, right?"
181600,189040," But for our purposes, for just like quickly slap it into the project that runs locally for yourself,"
189040,194880," I think it's totally fine. I already implemented the feature, it already works. But what I wanted to do,"
194880,203200," I wanted to turn that into its own very simple header-only library, right? And on top of that,"
203200,209680," I would like to walk you through the implementation because I think it's rather interesting and it's"
209680,215120," rather insightful. And on top of that, I actually come up with a couple of improvements that are not in the"
215120,220880," projects, which I want to include into the library. And maybe once the library is there, we can integrate"
220880,228880," that library back into that project. Who knows? So yeah, that's the topic for today's session. Let's actually"
228880,236000," create a very simple header-only library for matching globes. And I think it must be very simple. It must be very"
236000,243760," simple because it should be just a single function, which is called ""globe"", which accepts a pattern. Let's actually"
243760,251600," enable simpc highlighting, so that accepts the pattern, it accepts the text and returns just a boolean."
251600,257840," Like I didn't see any reason for that thing to not be that right. And imagine being able to just like add"
257840,264320," that to your project, then you go, you have a very simple, like a globe matching. Why not? So sounds cool,"
264320,274720," sounds good, sounds Gucci, sounds Atamaguchi, let's go. So let's create the main C, right? And let's just"
274720,281600," create a simple hello world, right? So I'm going to implement the function right here. So this is going"
281600,289040," to be globe const char pattern. So we're going to first accept the pattern. And then we're going to accept the"
289040,295920," text. All right. And as soon as we implement this entire thing, I'm going to move that into a separate"
295920,302640," file into a separate sort of library. So let's actually crash when we get to this point and say"
302640,311840," that this thing is not implemented. All right. And here I'm going to just say hello world, right? Because"
311840,320080," I want to test our build, our simple build. So these, both of these things are not used yet,"
320080,326320," but they're going to be used soon. People keep asking me what is this void, right? It basically"
326320,333040," removes the warning that you have unused variables. So you effectively use it in a very useless way."
333040,338640," So it gets rid of the warning that you have unused variable, which is very useful sometimes when you're"
338640,345040," just like prototyping things and stuff like that, right? So let's create a simple build script,"
345040,350800," right? So in the build script, I'm going to enable all the warnings, all the extra warnings. Maybe I'm"
350800,354880," going to enable the debug information, right? So, because maybe I will make a mistake and I'll have"
354880,361600," to debug that. Luckily, we have a pretty cool debugger. And let's create an executable out of that."
361600,366640," Also, I like to enable some things within the bash. I like to enable tracing. So every time"
366640,373040," a line within the script is executed, it is printed on a standard output, so I can see what exactly the"
373040,379040," script is executing. And also, I want to enable failing the whole script when one of the lines"
379040,386640," fails. Because bash has very unpleasant tendencies that when one of the commands fails, it doesn't"
386640,392960," fail the whole script. It just continues executing after a failure, which is rather interesting default"
392960,397760," behavior. But maybe it makes sense in majority of situations. I don't know. Like I like to just enable"
397760,403680," fail the whole script when one of the commands fails and it just makes sense to me. I don't know. Maybe I'm"
403680,410240," just weird. Maybe I'm just weird. So let's just try to run this into anything. And it doesn't even compile."
410240,416560," Because why? Because C doesn't have booleans unless you enable std boolean. So boolean is a third-party"
416560,423840," dependency. And people people make fun of javascript for is even. Am I right? Right. So assert is also"
423840,429760," third-party. Well, I mean, it's all part of the standard library. So, right. Let's try to run this"
429760,435840," entire thing and see if it prints ""hello world"". It fucking does, mate. It fucking does. We're off to a great start."
