start,end,text
0,12600," um all right looks like we're finally live hello everyone and welcome to another zozin session"
12600,21100," how about that how about that i bet you didn't expect that shit to happen welcome everyone uh so"
21100,29600," today is uh basically the fourth day of uh advent of code in god's temple so today we're gonna just"
29600,36820," do the fourth day as usual before we uh do though i think we need to make a little bit of announcement"
36820,48580," uh on our discord server um right circle live on twitch uh and i'm gonna i just realized that"
48580,54420," uh i didn't bring the dashboard so i should have actually brought it super quick but i mean it's"
54420,60380," not that big of a deal so today is the day fourth and uh i'm gonna give the link to the twitch channel"
60380,67000," twitch.tv slash coding and i'm gonna ping everyone who's interested in being pinged there we go the"
67000,73600," stream has officially started the stream has officially started uh hello everyone welcome"
73600,80780," welcome welcome hello memorial amarillo hello lenny low welcome so uh before i start i wanted"
80780,87940," to actually do a little bit of a refactoring uh of our solutions because uh we have a little bit of a"
87940,93460," common code that i keep reusing across several solutions and i thought that i'm gonna take that"
93460,100680," code and pull it out into some sort of like a utility uh module so i can reuse it uh in other solutions"
100680,107300," so that's basically what i wanted to do today uh oh thank you for reminding me to change the title yeah"
107300,113620," that's right so the problem uh here is that uh opening twitch when i'm streaming is extremely slow"
113620,120640," and i forgot to bring in the um the dashboard so like look how much time it takes to actually like"
120640,128800," start it up uh right and now i clicked on this thing and i need to wait until it always shows and then i"
128800,135440," need to do pop-up and then uh i have to close it yet again it's just like it's so slow it is so slow"
135440,142980," oh it feels like cia infiltrated twitch that's what it feels like uh so let me quickly change the title to"
142980,152180," day uh four thank you so much everyone who uh who reminded me about that um okay so let's go um"
152180,160660," studying aoc 2021 you can find the source code to my solutions in the description right here so all"
160660,165520," the necessary links are available in the description and if you're watching live i'm going to copy paste"
165520,175040," the solution uh the solution in the chat okay so let's go and start uh the aoc image so i also need"
175040,179920," to provide the the password and there we go hello hello everyone um"
179920,190640," loading the compiler um okay i need to answer no then i'm going to close out the completion and i"
190640,195120," like to sort of like uh expand this and i think maybe i need to put all of these actions"
195120,200880," into my home script because you can actually customize how the operating system starts up"
200880,204960," so maybe i'm going to get rid of the tip of the day no i'm not going to get rid of the tip of the day i"
204960,210000," think it's a pretty useful feature i probably want to get rid of the take tour uh but i'm not sure so"
210000,215680," this thing includes once so that means it includes it from the from the c or something but i don't want"
215680,223040," to go into that uh on the stream so i'm going to go into that a little bit later so uh let's go to the aoc folder"
223040,228320," and uh let's take a look at the first solution right so as already said there is something that is shared"
228320,235200," across several solutions and this is something that we need to pull out so the first code that is quite"
235200,244480," often appears right is this one essentially i have uh some stream of uh bytes right basically the bytes"
244480,251760," that i read from a file and i chop off the numbers from them i parsed the numbers out of that uh stream of"
251760,260000," bytes so what i was thinking it's actually a good opportunity to use my string view library uh right"
260000,267200," so let me actually show you what i mean so i have a pretty cool string view library uh which basically"
267200,273280," defines uh my own string which is the amount of characters and the pointer to the beginning of the"
273280,281440," string and then it defines a lot of useful operations on that string view thingy so and while i was solving"
281440,287440," problems in holy c for advent of code i was constantly constantly thinking it would be kind of nice to"
287440,293520," have this sort of library but for holy c so i think what i'm going to do i'm going to just basically like"
293520,299680," partially re-implement that library but in holy c uh and put it into some sort of like a common module so i"
299680,306560," can reuse it uh across several solutions right so um that's what i wanted to do before i start the fourth day"
307760,312080," so and i'm going to put this thing in the description for anyone who's interested uh in what i'm talking"
312080,320160," about string uh view library in c so this one is my string library in c and i'm going to copy paste this"
320160,322160," this one is my string library in c and i'm going to copy paste this one is my string library in c and i'm going to"
