start,end,text
0,29980," Altyazı M.K."
30000,59980," Altyazı M.K."
60000,89980," Altyazı M.K."
90000,119980," Altyazı M.K."
120000,149980," Altyazı M.K."
150000,179980," Altyazı M.K."
179980,209960," Altyazı M.K."
209980,239960," Altyazı M.K."
239960,269940," Altyazı M.K."
269940,299920," Altyazı M.K."
299920,329900," Altyazı M.K."
329900,359880," Altyazı M.K."
359880,389860," Altyazı M.K."
389860,419840," Altyazı M.K."
419840,449820," Altyazı M.K."
449820,479800," Altyazı M.K."
479820,509800," Altyazı M.K."
509820,539800," Altyazı M.K."
539820,569800," Altyazı M.K."
569820,599800," Altyazı M.K."
599820,629800," Altyazı M.K."
629820,659800," Altyazı M.K."
659800,689780," Altyazı M.K."
689780,719760," Altyazı M.K."
719760,749740," Altyazı M.K."
749740,779720," Altyazı M.K."
779720,809700," Altyazı M.K."
809700,839680," Altyazı M.K."
839680,869660," Altyazı M.K."
869660,899640," Altyazı M.K."
899640,929620," Altyazı M.K."
929620,959600," Altyazı M.K."
959600,989580," Altyazı M.K."
989600,1019580," Altyazı M.K."
1019580,1049560," Altyazı M.K."
1049580,1079560," Altyazı M.K."
1079560,1109540," Altyazı M.K."
1109540,1139520," Altyazı M.K."
1139520,1169500," Altyazı M.K."
1169500,1199480," Altyazı M.K."
1199480,1229460," Altyazı M.K."
1229460,1259440," Altyazı M.K."
1259440,1289420," Altyazı M.K."
1289440,1319420," Altyazı M.K."
1319420,1349400," Altyazı M.K."
1349420,1379400," Altyazı M.K."
1379400,1409380," Altyazı M.K."
1409380,1439360," Altyazı M.K."
1439360,1469340," Altyazı M.K."
1469340,1499320," Altyazı M.K."
1499320,1529300," Altyazı M.K."
1529320,1559300," Altyazı M.K."
1559300,1589280," Altyazı M.K."
1589280,1619260," Altyazı M.K."
1619260,1649240," Altyazı M.K."
1649240,1679220," Altyazı M.K."
1679220,1709200," Altyazı M.K."
1709200,1739180," Altyazı M.K."
1739200,1769180," Altyazı M.K."
1769180,1799160," Altyazı M.K."
1799160,1829140," Altyazı M.K."
1829140,1859120," Altyazı M.K."
1859120,1889100," Altyazı M.K."
1889120,1919100," Altyazı M.K."
1919120,1949100," Altyazı M.K."
1949100,1979080," Altyazı M.K."
1979080,2009060," Altyazı M.K."
2009060,2039040," Altyazı M.K."
2039040,2069020," Altyazı M.K."
2069020,2099000," Altyazı M.K."
2099000,2128980," Altyazı M.K."
2128980,2158960," Altyazı M.K."
2158960,2188940," Altyazı M.K."
2188940,2218920," Altyazı M.K."
2218920,2248900," Altyazı M.K."
2248900,2278880," Altyazı M.K."
2278880,2308860," Altyazı M.K."
2308860,2338840," Altyazı M.K."
2338840,2368820," Altyazı M.K."
2368820,2398800," Altyazı M.K."
2398820,2428800," Altyazı M.K."
2428820,2458800," Altyazı M.K."
2458820,2488800," Altyazı M.K."
2488820,2518800," Altyazı M.K."
2518820,2548800," Altyazı M.K."
2548800,2578780," Altyazı M.K."
2578780,2608760," Altyazı M.K."
2608760,2638740," Altyazı M.K."
2638740,2668720," Altyazı M.K."
2668720,2698700," Altyazı M.K."
2698720,2728700," Altyazı M.K."
2728700,2758680," Altyazı M.K."
2758680,2788660," Altyazı M.K."
2788660,2818640," Altyazı M.K."
2818640,2848620," Altyazı M.K."
2848620,2878600," Altyazı M.K."
2878600,2908580," Altyazı M.K."
2908580,2938560," Altyazı M.K."
2938560,2968540," Altyazı M.K."
2968540,2998520," Altyazı M.K."
2998540,3028520," Altyazı M.K."
3028520,3058500," Altyazı M.K."
3058500,3088480," Altyazı M.K."
3088480,3118460," Altyazı M.K."
3118460,3148440," Altyazı M.K."
3148460,3178440," Altyazı M.K."
3178440,3208420," Altyazı M.K."
3208420,3238400," Altyazı M.K."
3238400,3268380," Altyazı M.K."
3268400,3298380," Altyazı M.K."
3298380,3328360," Altyazı M.K."
3328360,3358340," Altyazı M.K."
3358340,3388320," Altyazı M.K."
3388320,3418300," Altyazı M.K."
3418300,3448280," Altyazı M.K."
3448300,3478280," Altyazı M.K."
3478300,3508280," Altyazı M.K."
3508280,3538260," Altyazı M.K."
3538260,3568240," Altyazı M.K."
3568260,3598240," Altyazı M.K."
3598240,3628220," Altyazı M.K."
3628220,3658200," Altyazı M.K."
3658200,3688180," Altyazı M.K."
3688180,3718160," Altyazı M.K."
3718160,3748140," Altyazı M.K."
3748140,3778120," Altyazı M.K."
3778120,3808100," Altyazı M.K."
3808100,3838080," Altyazı M.K."
3838080,3868060," Altyazı M.K."
3868060,3898040," Altyazı M.K."
3898040,3928020," Altyazı M.K."
3928020,3958000," Altyazı M.K."
3958000,3987980," Altyazı M.K."
3987980,4017960," Altyazı M.K."
4017960,4047940," Altyazı M.K."
4047960,4077940," Altyazı M.K."
4077940,4107920," Altyazı M.K."
4107920,4137900," Altyazı M.K."
4137900,4167880," Altyazı M.K."
4167880,4197860," Altyazı M.K."
4197860,4227840," Altyazı M.K."
4227860,4257840," Altyazı M.K."
4257840,4287820," Altyazı M.K."
4287820,4317800," Altyazı M.K."
4317800,4347780," Altyazı M.K."
4347780,4377760," Altyazı M.K."
4377760,4407740," Altyazı M.K."
4407740,4437720," Altyazı M.K."
4437720,4467700," Altyazı M.K."
4467700,4497680," Altyazı M.K."
4497680,4527660," Altyazı M.K."
4527660,4557640," Altyazı M.K."
4557640,4587620," Altyazı M.K."
4587640,4617620," Altyazı M.K."
4617620,4647600," Altyazı M.K."
4647600,4677580," Altyazı M.K."
4677600,4707580," Altyazı M.K."
4707580,4737560," Altyazı M.K."
4737560,4767540," Altyazı M.K."
4767540,4797520," Altyazı M.K."
4797540,4827520," Altyazı M.K."
4827520,4857500," Altyazı M.K."
4857520,4887500," Altyazı M.K."
4887520,4917500," Altyazı M.K."
4917500,4947480," Altyazı M.K."
4947480,4977460," Altyazı M.K."
4977460,5007440," Altyazı M.K."
5007440,5037420," Altyazı M.K."
5037420,5067400," Altyazı M.K."
5067400,5097380," Altyazı M.K."
5097380,5127360," Altyazı M.K."
5127360,5157340," Altyazı M.K."
5157340,5187320," Altyazı M.K."
5187320,5217300," Altyazı M.K."
5217300,5247280," Altyazı M.K."
5247280,5277260," Altyazı M.K."
5277260,5307240," Altyazı M.K."
5307240,5337220," Altyazı M.K."
5337240,5367220," Altyazı M.K."
5367220,5397200," Altyazı M.K."
5397200,5427180," Altyazı M.K."
5427200,5457180," Altyazı M.K."
5457180,5487160," Altyazı M.K."
5487160,5517140," Altyazı M.K."
5517140,5547120," Altyazı M.K."
5547120,5577100," Altyazı M.K."
5577100,5607080," Altyazı M.K."
5607080,5637060," Altyazı M.K."
5637060,5667040," Altyazı M.K."
5667040,5697020," Altyazı M.K."
5697020,5727000," Altyazı M.K."
5727000,5756980," Altyazı M.K."
5756980,5786960," Altyazı M.K."
5786960,5816940," Altyazı M.K."
5816940,5846920," Altyazı M.K."
5846920,5876900," Altyazı M.K."
5876900,5906880," Altyazı M.K."
5906880,5936860," Altyazı M.K."
5936860,5966840," Altyazı M.K."
5966860,5996840," Altyazı M.K."
5996840,6026820," Altyazı M.K."
6026820,6056800," Altyazı M.K."
6056800,6086780," Altyazı M.K."
6086780,6116760," Altyazı M.K."
6116760,6146740," Altyazı M.K."
6146740,6176720," Altyazı M.K."
6176720,6206700," Altyazı M.K."
6206700,6236680," Altyazı M.K."
6236680,6266660," Altyazı M.K."
6266660,6296640," Altyazı M.K."
6296640,6326620," Altyazı M.K."
6326640,6356620," Altyazı M.K."
6356620,6386600," Altyazı M.K."
6386600,6416580," Altyazı M.K."
6416580,6446560," Altyazı M.K."
6446560,6476540," Altyazı M.K."
6476540,6506520," Altyazı M.K."
6506520,6536500," Altyazı M.K."
6536500,6566480," Altyazı M.K."
6566480,6596460," Altyazı M.K."
6596460,6626440," Altyazı M.K."
6626440,6656420," Altyazı M.K."
6656420,6686400," Altyazı M.K."
6686400,6716380," Altyazı M.K."
6716400,6746380," Altyazı M.K."
6746380,6776360," Altyazı M.K."
6776360,6806340," Altyazı M.K."
6806340,6836320," Altyazı M.K."
6836320,6866300," Altyazı M.K."
6866300,6896280," Altyazı M.K."
6896280,6926260," Altyazı M.K."
6926260,6956240," Altyazı M.K."
6956240,6986220," Altyazı M.K."
6986220,7016200," Altyazı M.K."
7016200,7046180," Altyazı M.K."
7046180,7076160," Altyazı M.K."
7076180,7106160," Altyazı M.K."
7106160,7136140," Altyazı M.K."
7136140,7166120," Altyazı M.K."
7166120,7196100," Altyazı M.K."
7196100,7226080," Altyazı M.K."
7226080,7256060," Altyazı M.K."
7256060,7286040," Altyazı M.K."
7286040,7316020," Altyazı M.K."
7316040,7346020," Altyazı M.K."
7346040,7376020," Altyazı M.K."
7376020,7406000," Altyazı M.K."
7406020,7436000," Altyazı M.K."
7436020,7466000," Altyazı M.K."
7466000,7495980," Altyazı M.K."
7495980,7525960," Altyazı M.K."
7525960,7555940," Altyazı M.K."
7555940,7585920," Altyazı M.K."
7585920,7615900," Altyazı M.K."
7615900,7645880," Altyazı M.K."
7645880,7675860," Altyazı M.K."
7675860,7705840," Altyazı M.K."
7705840,7735820," Altyazı M.K."
7735840,7765820," Altyazı M.K."
7765820,7795800," Altyazı M.K."
7795820,7825800," Altyazı M.K."
7825800,7855780," Altyazı M.K."
7855780,7885760," Altyazı M.K."
7885760,7915740," Altyazı M.K."
7915760,7945740," Altyazı M.K."
7945740,7975720," Altyazı M.K."
7975720,8005700," Altyazı M.K."
8005700,8035680," Altyazı M.K."
8035680,8065660," Altyazı M.K."
8065660,8095640," Altyazı M.K."
8095640,8125620," Altyazı M.K."
8125620,8155600," Altyazı M.K."
8155600,8185580," Altyazı M.K."
8185580,8215560," Altyazı M.K."
8215560,8245540," Altyazı M.K."
8245540,8275520," Altyazı M.K."
