start,end,text
0,14880," our life for the twitch is being weird again i think i think twitch is being weird again i"
14880,27120," suppose we're alive hello everyone everyone uh yeah is there anyone am i alone do we have anyone"
28640,34720," so looks like we're live so i can see this betrayed thingy so hello everyone and welcome to yet another"
34720,40640," zozin session how about that uh let's make a little bit of an announcement and officially"
40640,52400," start the stream so let me quickly do that uh it's a little bit weird but that's fine so uh red circle"
52400,58880," live on uh twitch right so this is a life on twitch and what are we doing uh today on twitch"
58880,66000," today we're trying uh jai meta programming right so this is like the main selling point of the language"
66000,74320," and i think uh the time has come to finally try that specific feature so we're gonna try it on the"
74320,81440," um i have too many mosquitoes i'm sorry so the mosquito season has started so uh you have to"
81440,88240," bear with me uh fighting with mosquitoes and stuff so we're gonna try to use it on the breakout game"
88240,95040," that we started to develop uh quite recently so and uh i think i have a pretty good opportunity to use a"
95040,99920," little bit of a meta program in there we'll see how it goes i'm not sure if it will work out very well"
99920,105680," because i'm not 100 sure about the available meta programming features and jai so but we're gonna"
105680,113680," learn along the way um so hello hello everyone welcome welcome welcome how you guys doing so let's"
113680,118320," actually fetch the latest stuff so you can find the source code of this thing here uh right i'm gonna"
118320,122880," copy paste it in the chat or in the description if you're watching on youtube at some point in the future"
122880,127680," because i have no idea when i'm gonna upload this thing because i have way too many things in the backlog"
127680,133280," that i need to upload some of them are starting to expire so i have to hurry up to not lose some"
133280,139440," of the votes uh right so some of the words that i didn't upload yet they're already starting to expire"
139440,145840," so they're gonna be automatically deleted by twitch like in a couple of days so i still need to upload"
145840,152160," that backlog somehow and i have to be really careful i just don't want to dump everything at once right"
152160,157360," because nobody's gonna watch that so i have to like slowly upload everything and also need to cut"
157360,162720," everything it's just like it's it's a pain in the ass i'm sorry uh okay so let's take a look at the um"
162720,172720," ji ji break so i have a little bit of stuff in here so and i don't have a repo in here so essentially"
172720,181920," what i need to do i need to clone it so let's go ahead and quickly clone it okay so uh get clone and there"
181920,189280," we go so we're gonna clone everything in here uh i still have nightmares about zig out why do you have"
189280,197600," nightmares i mean it was fine zig is a fine language um all right so let's take a look uh we have the"
197600,204000," fresh ji beta that came out today so i'm using the the new version so let me quickly do that and in new"
204000,210240," new version we still have this kind of situation yeah so i think removing underscore from tokenization"
210240,217120," was kind of a bad idea so probably i don't know i'll uh i'll probably have to do something about that"
217120,224400," at some point uh so compilation if i try to compile this entire thing it seems to be compiling and now if"
224400,230800," i try to run it so this is how the game looks like uh currently right so as you can see i uh changed the"
230800,240160," resolution i added a little bit of um excuse me i'm gonna sneeze excuse me um um added a little bit of"
240160,247280," like coloring and also edit the text so now we have a score and uh there we go let's actually try to play"
247280,252080," uh so this is how the game looks like right now which actually looks quite nice not gonna lie i really"
252080,259920," like this rainbowish uh gradient thingy so and if you put a pause it also says pause in here so it's"
259920,267680," pretty cool um thank you apocryphos for five months of tier one subscription thank you thank you thank you"
267680,273280," oh and by the way off screen i actually fixed the problem with the collision you remember how that we"
273280,281200," had a bug that the ball would penetrate into the into the bar especially if the bar is very very thick"
282080,288080," right so let's actually quickly check it out so i made it way more robust than it was"
288080,296640," right so if i try to demonstrate you that as you can see uh you you can see that as you can see it"
296640,304000," cannot penetrate that and this is because if the bar starts to penetrate the uh the ball it actually"
304000,309920," backed off right so there is some sort of like a you know prevention mechanism from that to happen so it's"
309920,315840," not that noticeable if the bar is not that thick right so but i wanted to come up with the general"
315840,321280," algorithm that works like regardless of the thickness of the bars so i can easily change this parameter if"
321280,327040," i want to and maybe make it part of the gameplay maybe there will be some bonuses that actually make"
327040,334480," the bar thicker for whatever reason if you want to have that um right so and all of that works more or less"
334480,343200," nice okay so and yeah so what we're going to use meta programming for as you can see we have the whole"
343200,350080," configuration section in here and unfortunately right now to change any of the parameters of this"
350080,356800," configuration section i have to recompile the entire program right so and this is not particularly"
356800,362800," convenient because i want to be able to change some of these parameters at runtime without like restating the"
362800,368000," the entire game because maybe i don't want to lose the state of the game so it would be nice if those"
368000,373360," things were hot reloaded but at the same time it would be also nice to have some sort of a the"
373360,380800," um some sort of like a release mode where a hot reloading is going to be removed and all of these constants"
380800,390960," will be baked into the executable and maybe potentially optimized out and stuff like that this is something that i used to do in c games quite often right so i would have a system"
390960,399600," um where i have a custom uh configuration format and then some sort of a meta program a separate program"
399600,408160," that takes this configuration uh file and generate different code um depending on the on the build release"
408160,414160," or debug build and for the debug build it would include hot reloading for the configuration values and for the"
414160,421840," release it will just bake them in so uh i decided to implement to try i don't know how it's gonna go i"
421840,427840," decided to try to implement something like that but for gi for gi uh theoretically you should never"
427840,432320," create a separate meta program you can just do that from within the program itself"
432320,441600," i'm on 25 yes i am on 25 so this is the latest one uh so the one that just came out today oh by the way"
444160,453120," change log of the of today's beta uh let me take a look so the change log and uh somebody actually"
453120,460000," added more examples for enumerations i don't know if if that was somebody who watches my streams because"
460000,464080," as far as i know john is not the only person who works in this compiler maybe it was one of the"
464080,470560," developers but thank you so much right and the examples that were added actually answer my questions"
470560,477920," about how to work with enumerations so thank you so much uh i don't know if it's because of me or maybe"
477920,484400," something else but that was actually very useful so specifically uh these things right in enumeration"
484400,490560," basics and they demonstrate how you can get the enumeration values all of the enumeration values all"
490560,496000," of the uh in the enumeration range like low and high all of the names and this is just an example so thank"
496000,508880," you so much yeah so and this is kind of annoying i suppose i'll have to go and maybe um uh get back"
508880,517440," that underscore thingy even though i was so enraged by it um so i think i need to bring it back because"
517440,522800," this sort of highlighting is so annoying but i don't really know why it is so dependent on highlighting"
523440,532400," so i would expect yeah we'll see we'll see we'll see so what kind of keywords do we have so this is"
532400,541840," joy keywords uh okay anyway so let me restart that responsive community yeah all right so to be able"
541840,547920," to do what i'm planning to do we need to understand how meta programming works i looked into how people do"
547920,553680," meta programming and ji right so there's a lot of examples and stuff like that so and the usual"
553680,559440," pattern that i already i noticed i already talked about it is that uh quite often there is so-called"
559440,568560," first.ji file which doesn't contain any main and it sort of like becomes the build file right so um and"
568560,574000," essentially it's just like a script um and what you're supposed to do in this file you're supposed to"
574000,581040," use run directive right set up everything set up some compilation parameters and then add a build file"
581040,586880," into the current compilation and then it will just build your final executable you can provide the"
586880,592240," uh executable somewhere in here and there you go so this is basically the meta program"
592240,600800," so and um what's interesting is that you can do all sorts of cool stuff uh within that meta program right"
600800,607360," because you sort of like inject yourself into the compilation loop right so because there is a function"
607360,612960," called compiler begin intercept right as soon as you sort of intercept the compiler you can start your"
612960,619840," your own event loop and you can wait for the compiler events for the compiler messages and there's a"
619840,625440," lot of different messages you can receive right so in here we pass the message into the build steps and in"
625440,632480," build step we can have a message type checked right so something got type checked and uh if we want to"
632480,638960," handle something on when something got type checked we we can do that right so and you can like check"
638960,645040," different things in here this is actually kind of amazing right so essentially you just if you want to"
645040,650800," intercept the compilation loop you can do that and you can start receiving the messages from the compiler"
650800,657120," and as you receive those messages you can actually generate more code for the compilation so this is"
657120,663600," actually kind of amazing it's a very interesting uh approach to the to the meta programming i really"
663600,673280," like it uh compiler callback no this is not a callback that's a thing this is not a callback uh you start an"
673280,679120," actual event loop and you wait for the for the compiler messages an event loop is actually blocking"
679120,687280," which means that you are running in a separate thread right so probably you this meta program"
687280,693040," and the actual compiler are in separate threads and you're sort of waiting for the messages like you know"
693040,698160," in in go channels if you want some sort of analogy right and you receive those messages and you just"
698160,705440," handle them right uh you just handle them that's actually pretty cool um i know how exactly it works"
705440,711760," maybe it's not a separate thread but uh because if it's interpreted it is not necessarily has to be in"
711760,718480," a separate thread right maybe there is something that sort of like uh intercepts the uh the bytecode"
718480,723520," execution or something like i don't know uh i don't know how exactly it works but it's actually pretty"
723520,732640," cool um so let's actually start with something super simple uh there is examples uh for meta programs"
732640,741040," right so maybe how to uh meta basic meta program okay so we have basic meta programs the main program"
741040,748560," is the target which says hello sailor and there is a first.j file which is supposed to compile this"
748560,755600," entire thing right so here we have a build function which is then executed through run right but you do"
755600,763200," not necessarily have to do it like that right so you can actually do that way simply so jai break uh let's"
763200,773040," go to j break and let's create first dot j so instead of doing something like build uh this and then run"
773600,780880," build what i saw people just do uh things like that right so you can just specify the block and it will"
780880,789680," just run that block for you um which is i think more convenient if you're making some sort of a build um"
789680,797040," build scripts and whatnot so uh to use anything related to the compiler you also have to uh include the"
797040,804560," compiler so we're going to include compiler and basics uh right so if i understand correctly so let me"
804560,810400," actually try to run that specific script right so let me try to run this specific script it's been jai"
810400,819840," and i'm going to do first jai so it will complain uh about the lack of an entry point right so complain"
819840,826560," about the lack of the entry point because it doesn't have a main right if you provide the main it will do"
826560,833440," nothing right we can actually make it do something uh right we can say something like this and then we"
833440,843120," can say uh hello from the build script right hello from the build script we can run that and as you can see"
843120,850000," it says hello from the uh build script and only then it runs the linker and then it creates an executable"
850000,855920," but it creates the executable for the first program uh for the for the build itself right it's not"
855920,864480," building our jai dot jai it's building the build script which is not what we want right we want this to act"
864480,872480," like a script that then builds these things with the parameters we want right but it's not what it's"
872480,880000," doing right now it's essentially building an empty program with this meta program being run as the first"
