start,end,text
0,4800," Hello everyone and welcome to yet another recreation programming session with Amisto"
4800,11040," Zozin where we're developing a retro 3D engine in web. You want to take a look at it? You want"
11040,16960," to take a look at it? Okay, so we go to localhosts6969 and you're greeted with this beautiful"
16960,22640," retro 3D engine. Look at that, look at that. It runs at 30 fps. It's supposed to run at 60 fps"
22640,27040," but since I'm streaming like I can't run it at 60 fps but trust me,"
27840,34240," fucking trust me mate, it runs at least at 60 fps. You can actually check it for yourself, right, so"
34240,39280," you can go to the description and find the link to the source code. There is also a link to the"
39280,46560," instance on GitHub pages, right, sorting.github.io raycasting. You can find the deployed"
46560,50160," instance there and actually check it for yourself. I'm going to put that in the description, there we go."
50160,57280," So my end goal with this entire thing is to actually make a game out of that,"
57280,62960," something like a roguelike, but I haven't decided what exactly. But the only thing we're able to"
62960,69680," render right now is floor, ceiling and the walls. Right now we have only one wall but I can actually"
69680,76000," maybe extend and add more walls, right, so nothing really stops me from doing that. So let me actually"
76000,80960," find TypeScript. So I can like put a couple of things in here, like a TypeScript in here,"
80960,86400," then maybe TypeScript in here and maybe TypeScript in here. So I can do something like this."
86400,92800," And, right, so then as you can see I have actually several walls in here. I can actually wander around,"
92800,97280," you know, between the walls and stuff like that. I can actually change the texture as well."
97280,102400," Right, so I just had coded TypeScript because it's in TypeScript and stuff like that."
102960,109440," Right, so but that's not particularly useful. That's not particularly useful. We want to be able to have"
109440,116240," some sort of like items, right, so smaller items and maybe some sort of particle effects and stuff like"
116240,122720," that. So usually in this kind of like old-school raycasting 3D engines, they are indicated with"
122720,127920," sprites. Right, so we're going to be continuing following the same tutorial that we followed like"
127920,133280," before. Not really following, right, because this tutorial is so obtuse that I can't imagine myself"
133280,138160," like actually following this tutorial. So what we're going to be doing, we're going to be getting"
138160,145920," inspired by the tutorial. Right, so here they kind of have a recipe on how to render the sprites,"
145920,149840," and this is just like a seven points in here. We're going to read them and try to get inspired"
149840,155360," and try to implement it ourselves. Right, and the sprites usually in that 3D space, they look"
155360,160080," kind of like this. You probably, if you ever played like a Doom, the first original Doom,"
160080,165840," you kind of know what I'm talking about. Like these sprites, they 2D, but there is a place,"
165840,170000," yeah, it's called Billboard. Yeah, somebody in the chat actually knows. Right, so they're kind of 2D,"
