start,end,text
240,5600," Hello everyone and welcome to yet another recreational programming session with Mr. Zosin."
5600,12880," So, recently we worked on this very interesting thing called RayLib.js which is an unofficial"
12880,19360," implementation of subset of RayLib API and JavaScript. Right, so essentially it's the idea"
19360,26160," to have a simpler web version of RayLib which is just like a single JavaScript file and then"
26160,34000," you can have your RayLib game compiled as WASM module. That RayLib.js file picks up your"
34000,40800," compiled WASM module and just run it. Right, so, and the main point here is that it doesn't depend"
40800,46160," on mscripten. Right, I personally don't really like mscripten. I feel like it is needlessly"
46160,53360," over complicated. It has a lot of moving parts. It is really great for just taking existing, you know,"
53360,63360," POSIX compliant software and simply, you know, porting it to web. It works really great with that"
63360,69520," but when it comes to simplicity, and I do unfortunately care about simplicity, it is really not that great."
69520,75200," Right, it is not that great. It also introduces some problems that you can't predict. So,"
75200,81200," as far as you know, RayLib recently had like an issue because of the new version mscripten,"
81200,87120," like it doesn't work anymore. Right, so essentially when you depend on these kind of complicated things,"
87120,93440," it's always a gamble. It's always a gamble and I don't really like that. So, and here we have a subset"
93440,101280," of RayLib. A subset of RayLib that doesn't require any mscripten. So, we basically traded stability and"
101280,107680," simplicity, right, in exchange for like a full fullness of implementation. I'm not sure if I said that"
107680,113760," correctly, but essentially, right, so you have like a less featureful API, but it's much simpler and"
113760,119040," much more stable. And if you have an application that depends only on that API, you can use that,"
119040,123680," right. So, it's always a trade-off in software engineering. It is always a trade-off, right."
123680,131280," There is no magical silver bullet that solves it all. So, and essentially, I don't really actively maintain"
131280,136560," that thing, but I'm open to contribution to this entire thing. So, I'm going to actually post it in"
136560,141600," in the chat. And for people on YouTube, right, so who's watching me on YouTube, it's going to be,"
141600,150160," of course, in a description, as usual, as usual. So, and people were contributing a lot of different,"
150160,156480," you know, examples from the official RayLib repo. So, here is my example that I implemented, right. So, it's"
156480,162880," basically this thing in action, right. And we already have quite a few examples from RayLib ported"
162880,167840," in here, right. So, at least five of them, right. So, there is, you created a window. You can't really"
167840,175040," see shed because of the color of the text, right. But, for instance, recently people"
175040,180800," ported this example, which allows you to move the ball around. This is an official RayLib example."
181440,188160," It's from the official RayLib source code that works with our library that we're implementing"
188160,194240," from scratch. It just works, right. So, also, mouse will support, right. It's not really fully"
194240,199040," implemented, right. So, text format is not implemented yet. So, as you can see here, we have printf style"
199040,205520," formatting, but we can implement that later, right. So, it's not fully implemented yet. And also, we have"
205520,211200," these kind of things, right. So, it's all that are examples from the official RayLib repo. And thank"
211200,215280," you everyone who submitted the pull request. I really appreciate that, right. So, because I do"
215280,220320," not actively maintain that, but people still contribute things and implement more and more different APIs."
220320,227280," So, it becomes more and more useful, right. So, usefulness is not particularly like a binary thing."
227280,232480," It's sort of like a continuum, right. So, the more sort of like functions from RayLib you implement,"
232480,236480," the more useful this thing becomes, right. So, obviously, it's not particularly useful for if"
236480,243600," you do 3D, but if you have a very simple 2D game, maybe it's going to be useful for you."
243600,251200," And speaking of 2D games, and speaking of 2D games, I have a 2D game that implemented quite some time ago,"
251920,258480," right, in a similar style to RayLib.js. It is called SnakeSea. Wasm, right. So,"
258480,262960," you can find it in here, of course. I'm going to actually copy paste this entire thing into the chat."
262960,267680," So, this is how the game looks like, right. So, and for people on YouTube, I'm going to put that"
267680,272640," in the description as well. So, this is how it looks like. This is the game. You cannot see the egg,"
272640,277840," because the initial position of the egg in here, but here's how the egg looks like, right. So,"
277840,283440," and it's a usual snake game, right. So, it's a usual snake game. And it's pretty cool, right."
283440,289280," So, the kind of the main point of this snake game is that it's so smooth, right. So, the focus while"
289280,293440," I was developing this game like two years ago, I think I developed it two years ago, the main focus"
293440,298320," was on smoothness. Everything has to be smooth. There's no discrete jumps or anything like that."
298320,305760," And if you hit yourself, this is how you sort of like, you know, die. So, and it is developed in a"
305760,310640," similar style. It is developed in a similar style. So, essentially, the entirety of the logic of the"
310640,318320," game is a single WASM module. It is, in fact, a single WASM module. And then you have a very small"
318320,326080," JavaScript runtime that wires up different functions like drawRectangle, drawText and stuff like that into"
326080,331920," JavaScript. And not only that, I also implemented a native platform for this game. So, you can actually"
331920,337920," compile it to SDL, right. So, we can actually take a look at this entire game. So, I think it's going"
337920,344160," to be very much beneficial. So, I wonder if I have the latest changes fetched. So, let me quickly fetch them."
344160,351600," And yeah, I do have a little bit of the changes in here. And so, this is how a native version of this"
351600,358400," game looks like, right. So, this is using SDL, right. This is using SDL. This is not in the browser. It is like,"
358400,366080," literally a native thing. It is literally a native thing. And so, if we take a look at the source code,"
366080,372000," there is a game translation unit, right. So, game.h and game.c, right. So, it comes with the header."
372000,378960," So, if you take a look at the header. So, the thing that the WASM module, the translation unit imports,"
378960,385520," actually exports. I'm sorry, it exports. It exports these functions like game init, initialize the game with a certain size,"
385520,392960," game recites, game render, game update, which is called every frame with delta t, and a game key down,"
392960,401280," which handles the keys. And what the game uses, it only uses these functions. It uses fill_rect,"
401280,410880," stroke_rect, fill_text, stroke_line, panic, and log, right. So, and essentially, in here, in JavaScript, we"
410880,415040," implement all these functions, right. As you can see, in JavaScript, you have platform_rect, and it's"
415040,421680," basically passed into the WebAssembly environment. And then, there's also SDL_Main, that also implements"
421680,431040," platform_fill_rect, which essentially uses the SDL, fill_rect. There we go. So, as you can see,"
431040,437040," it does SDL_set, render_draw_color, and stuff like that. And it's basically implemented in a very similar"
437040,444000," style to raylib.js. So, and the reason why I'm using SDL in here is because two years ago, I didn't know"
444000,455280," about raylib, right. So, but now I know about raylib.js. And raylib.js is basically that idea. So, what I"
455280,466960," thought, what I thought, what if I try to take this game and port it to raylib.js and get rid of my custom,"
467680,473760," you know, custom layer. So, I have this layer that adapts the game to the platform and stuff like that."
473760,480480," What if I replace this layer with the raylib.js? Because raylib.js basically does that. And not only"
480480,488240," that, if I manage to port that game to raylib.js, it should technically work with the native raylib as well."
