start,end,text
0,9220," are we live are we live"
9220,18640," so we're we're live uh okay i i can see you in the chat that we're live but not"
18640,28800," uh not on twitch a reactive app am i right right so that's why you have to write in react so your"
28800,35040," application is reactive enough hello everyone and welcome to yet another recreation programming"
35040,41600," session with a mr let's make a little bit of announcement and officially start the stream"
41600,48880," officially start the stream uh so we're gonna do red circle uh live on twitch and what are we doing"
48880,56080," on twitch.tv website today uh today we are rewriting my go app in rust"
57600,63840," i'm gonna give the link to where we're doing all that twitch.tv/todding and i'm gonna ping"
63840,69520," everyone who's interested in being pinged and there we go the stream has officially started so"
69520,77840," uh yeah essentially i just remembered somebody reminded me when i uploaded the"
77840,85760," vod of the previous stream to to youtube somebody in the comments section reminded me uh that weren't you"
85760,92560," supposed to aren't aren't i supposed to um like not start any new go projects because of the whole"
92560,98960," telemetry stuff like that and i just realized that i completely forgot about that i completely forgot about"
98960,108000," the telemetry thing and i suppose that was the plan of google that was the fucking plan of google so to"
108000,116080," basically make it opt in make people get comfortable completely forget about it and one day one night"
116640,124560," turn on the telemetry on for everyone so i can see that i can see their plans i can see their plans"
124560,133440," so uh because of that we are rewriting the entire thing in rust right so i mean uh to be fair i don't"
133440,140400," really care that much right i don't really care that much uh so if it wasn't super easy to do that i"
140400,150080," wouldn't even probably try to do that but uh i looked into what kind of things are available in a rust standard"
150080,157920," library the crates that come with uh you know out of the box without installing anything and i i noticed"
157920,162960," very cool things actually so let's actually do rust up doc uh and see what kind of primitives are"
162960,169680," available to us uh so yeah let's wait a little bit let's wait a little bit i think you have to do"
169680,175600," that without the ampersand so rust up doesn't really work uh well with uh with emacs for some"
175600,182080," reason sometimes so it's it's a bit weird uh it's a bit weird in fact so essentially uh one of the"
182080,187920," things we need one of the things we need we need tcp connection uh like very easy one uh out of the box"
187920,194640," we have things like tcp listener right so you can literally just create a tcp listener uh just like"
194640,202000," you would in in go and it's super easy to accept the incoming connections like this is literally the"
202000,209920," loop to to accept incoming connections and uh so instead of go routines we could just use uh regular"
209920,216560," threats right so we could use threat spawn uh right so you can literally just take a function"
216560,221280," and spawn it as a separate threat and this is something that we do in go as well and another"
221280,228640," thing that we rely on in the go application is channels and apparently rust does in fact have"
228640,235440," something similar to channels right so uh there is a whole package called mpsc uh channel mpsc stands"
235440,241040," for multi-producer single consumer fee for q communication primitives and this is exactly the"
241040,246160," pattern that we use in our application as of right now it may change in the future but that's the"
246160,251360," pattern that we use right now so what that means is that using only the standard library of rust"
251360,261680," we can translate go application into rust almost one to one almost one to one because like rust for"
261680,267760," that specific case has pretty much the same parameters that we already use and go and i got"
267760,272880," really curious like what's gonna happen can we easily do that can we just like translate it one to one"
272880,278240," and see like the difference uh and and stuff like that that's kind of interesting right and again"
278880,285280," it's it's kind of annoying all the google drama and them pushing to collect more and more data"
285280,290880," about the users is in fact annoying and i kind of want to push against that but if it wasn't"
290880,298160," this kind of situation where like rust already has all like the same primitives and we can just like"
298160,304000," translate one to one i wouldn't probably bother right i wouldn't probably bother but since we have"
304000,308720," this kind of situations i thought that's a pretty interesting topic to explore don't you think"
309760,314560," right so just take this application that we developed and it's a pretty small application"
314560,321040," right it's 158 lines of code 158 lines of code and just try to translate it to rust"
321040,327520," preserving the same architecture preserving the same architecture i think it's kind of interesting"
327520,331360," i think it's kind of interesting i don't know where it's gonna go but yeah something to export"
332400,338640," remember to use rust update exactly so let me actually quickly do that i think i didn't do"
338640,345600," that for for quite some time so why is telemetry that big of a deal is there no option to opt out"
345600,352880," already we already discard that on discord a little bit uh the telemetry itself that specific executive"
352880,361600," decision that google made is irrelevant to the whole situation it is irrelevant what's relevant is the"
361600,368400," bigger picture is basically the direction in which google keep pushing the goal posts"
368400,374800," you know what i'm talking about so they're slowly they're pushing like slowly to that direction they're"
374800,379760," preparing they they tried they tried the waters they tried to enable it and the there was a huge"
379760,384960," there was a huge backlash they still added the telemetry but they made it opt-in they're gonna"
384960,390640," wait a little bit until everything settles out and they will try again if there will be another backlash"
390640,395840," okay they'll wait a couple of years they will try again until people will accept it and then they will"
395840,401360," say okay we're only collecting like how many times you build okay they will wait a couple of years and"
401360,406240," then say oh we're also going to collect how what what kind of dependency do you use it is also important"
406240,411200," for us right okay everyone's going to accept that okay so another goal post is actually knocked off"
411200,416000," and then they're going to say oh we also want to know your like email associated with your github you"
416000,421040," you don't mind that right so we can associate you okay so we're going to collect that and another goal"
421040,426560," post and another goal post and another goal post and on each goal post everyone is going to be saying"
426560,432320," that everyone is going to be saying that why is that that big of a deal it's just an email right so"
432320,436400," why is that big of a deal it's just the dependencies it's fine it's fine it's fine it's fine and it's"
436400,441920," just like the all the tentacles like slowly slowly slowly getting into that that specific technical"
441920,448560," decision it's irrelevant it is irrelevant what's it what's relevant is the bigger picture you know what"
448560,455200," i'm talking about and of course i don't mind them collecting the amount of builds i do of course and"
455200,462000," that's the point you're not supposed to mind that that's the goal that's how it works"
462000,470880," uh right i really like this one just a second i just hope they don't reach the collection how"
470880,476400," many times we built failed that's the worst one that's the word they should know that that's the"
476400,485680," huge humiliation for everyone um all right so we have updated uh so and let's just go ahead and uh"
485680,489600," you know create a hello world how about that uh"
496640,505360," so hello world hello world and i'm gonna do rust c so i'm not gonna be using cargo right because i"
505360,510720," don't really plan to use any third party dependencies right so i didn't plan to use any third party"
510720,516960," dependencies so let's actually do main and i go we have in fact hello world uh i actually kind of lost"
516960,522800," it there we go so look at that beautiful beautiful hello world and it's actually smaller than in go"
524080,531440," rust is more concise than go because in go what would you have to do you would have to do a package main"
531440,541040," package main use fmt and some other so here is just main println hello world it's that easy it's that"
544640,556080," anyways so uh let's actually uh take a look at tcp listener uh listener so tcp listener should be pretty"
556080,568480," easy to pull off i'm gonna do std uh use std net tcp listener listener so and yeah so it's capitalized like"
568480,579520," that i can do tcp listener and i can just bind to 127 uh 0 0 1 69 69 right so this is what we're binding"
579520,585760," to if we take a look at the definition of the bind it returns result tcp listener right so this entire"
585760,593840," thing may fail the way i like the way i like to uh handle errors in go right the way i like to handle"
593840,601280," errors in go is actually map error and log them right just lock them but then since i'm mapping"
601280,610320," the error i'm mapping the error to unit right so is this value in go called unit or is it is it called"
610320,615840," something else because in functional programming languages this kind of thing is called unit maybe"
615840,620560," rust is actually calling it something else i don't really know does anybody know do we have any professional"
620560,630560," rust developers in the stream it is also called unit in rust right so it's also called unit invest okay"
630560,638800," very well then it makes sense right so it's coming from function languages right uh so now uh let's"
638800,647520," actually go ahead and uh say something like error could not uh bind and let's say address right and here's"
647520,656000," the cool thing we can factor out uh this entire thing like that and that is going to work so there"
656000,661600," is a little bit of a string interpolation there is a little bit of a string interpolation in specifically"
661600,667520," this println macros right so we can use that a little bit we can use that a little bit and that is"
667520,673200," basically it so uh there could be a little bit of problem with the logging sensitive information and"
674480,681120," in rust it could be a bit of a pain in the ass but that's totally fine right so this entire thing now"
681120,689760," returns not just result some sort of error uh tcp listener right so we sort of consume the error and"
689760,696080," we log the error now it returns this right and the reason why i like to do it like that is because"
696080,701440," you don't have to think about adapting the errors between like function calls and stuff like that and"
701440,707040," using boxes and interfaces and stuff like that and quite often in the majority of the situation"
707040,716000," you want to just lock the error in the place that it happened and the only thing you want to propagate"
716000,724240," upwards right up upwards the call stack is the fact of an error happening right so usually error happens"
724240,730320," deep down in a call stack and you usually know what to do with that error there but up there"
730320,737920," you don't really care that much of about the details of the error down there except that the error has"
737920,744480," happened so you just use the fact that the error has happened to retry something or try something else you"
744480,751440," usually don't care about the specifics there so and if you start caring about the specifics it's usually"
751440,757280," don't have to be propagated too much upwards just like a little bit and it's super easy to to add"
757280,761840," in the majority of situations when the error has happened you just want to log it and just propagate"
761840,768160," an error the effect of an error up and continue and it kind of makes everything easier uh does anybody know"
768160,774800," what i'm talking about right so usually you want to propagate uh as much of the information about error"
774800,784240," uh upwards as possible if you are writing um a library and you don't really know all of the possible use"
784240,790880," cases of that library in that case you kind of propagate as much of the information as possible"
