start,end,text
0,5620," Hello everyone and welcome to yet another recreational programming session with Amista Zozin."
5620,13020," So, you remember Doom? Doom was like a 3D game, but it was kind of like a, you know, fake 3D game."
13020,20780," So, the characters, the characters were obviously not 3D, they were actually 2D sprites, but they"
20780,26840," were rendered to kind of mimic the, like, third dimension. So, essentially, as you can see in here,"
26840,31620," so we have characters that look straight at the player and some of them are looking to the side."
31620,38940," So, obviously, what the developers had to do, they had to actually render the character at different"
38940,45060," angles, right, and then depending on the angle of the player and the angle of the entity or the"
45060,53140," character, they would actually pick a different sprite. So, we're developing a kind of similar game"
53140,57480," with a similar engine, right, so you can find the source code in the description and for people in"
57480,62740," the chat because we're streaming right now on Twitch, right, I'm going to put it in the chat."
62740,67940," So, let's actually open it up. So, we've been developing this thing for, I think, a month,"
67940,72200," maybe less than a month. So, we're slowly developing this entire stuff and as you can see,"
72200,77240," we already have sprites, right, so these sort of, like, billboards that always face at the player"
77240,83100," and the reason why they always face at the player is because no projection is applied to them,"
83100,91200," we just slap them on the screen. We figure out where the point in 3D is going to be projected on"
91200,97200," the screen and just in that specific point, we just slap the 2D image onto the screen and that's why"
97200,103640," it creates this sort of effect that the, you know, the image is always rotated towards the player,"
103640,108140," right, it's an illusion actually, right, it's because we always slap it onto the screen"
108140,114780," without any projection. So, we are kind of slowly moving towards adding multiplayer to this game"
114780,122200," and that means that we need some sort of a way to represent the players in the game, right,"
122200,129820," so that means we are going to have these characters that can see each other and they also can be at"
129820,135060," different orientations, right, so they can look at different, in different directions and we need to"
135060,140940," somehow reflect that, right, so because we're going to be shooting, like, bombs, throwing bombs and maybe"
140940,146220," maybe some other projectiles and you need to be aware of the direction you're aiming looking at."
146220,154100," It's kind of important, the game has to indicate that somehow. So, I actually did a quick sketch of the"
154100,159980," of the potential player sprite, right, so it's not finished, it's sort of like a, again, sketch, like"
159980,168080," I outlined how it's going to look like. So, this is how it looks like, right, so this is basically what's"
168080,172680," the player going to look like. I think for different players, we're going to customize the"
172680,177440," the color of the body, the color of the eye and stuff like that"
177440,181600," and I actually drew this player at different directions, right, so"
181600,185720," eight directions. So, if you play them as an animation, it feels like the"
185720,189860," the player is rotating, right, so I actually drew all of that manually"
189860,193600," so we can even do it like that. So, what I want you to do today"
193600,203360," is to actually just implement a renderer that can actually pick a correct sprite of the direction"
203360,209520," based on the angle of the camera and the angle of the entity. So, this is what I want to spend"
209520,214480," the time on on today's stream, right. I think it's going to be interesting because I don't really know"
214480,220960," how exactly they do that. It's probably related to the angle between two vectors, between the vector of the"
220960,227920," camera and the vector of the entity, but also I think the projection of the camera also plays a role, right."
227920,235600," So, we'll see, we'll see actually. I already converted this entire sprite sheet into like an"
235600,240320," actual sprite sheet. So, it looks like this, but you can't really see that. So, let me actually do"
240320,247280," something like white. Right, so this is a sprite sheet. Let me disable the enter everything."
247280,257040," So, yeah, what is the first thing I want to do? I want to maybe create a sprite in the world"
257760,263680," that renders one of these things. So, this entire thing is basically concatenated into a single image."
263680,269520," It's called Atlas. I need an ability to actually say, okay, render the sprite, but actually"
269520,277040," this sub-image of the sprite. As far as I know right now, our engine doesn't have that ability."
277040,282560," The only thing it can do is that you give it an image and it just renders an entire image"
282560,288080," as the sprite. So, we need to be able to actually render sub-images so we can have this sort of like,"
288080,292800," um, you know, entities at different angles. Right, so let's actually see how we can do that."
292800,299200," Uh, sounds good. Sounds Gucci. Tamaguchi, as usual. Okay, let's go. Um, so we have"
299200,307280," uh, watch mode, which is nice. So, let's go into the game TS. So, all of that is written in TypeScript."
307280,316880," So, where do we render the whole thing? So, we render it somewhere here. Um, I think we need to first load"
316880,322480," the image into the asset. So, we have a function create game, right? So, and in here we're gonna"
322480,329680," literally load image data and the player, if I'm not mistaken, if I'm not mistaken, is located somewhere"
329680,339440," here. It's assets image images custom player dot png. So, let's go ahead and simply load this entire thing"
339440,346000," like so. It's a web development, right? So, it's simple. Like, anybody can be a web developer. It's not"
346000,350080," like we're developing an operating system or anything. It's just like, you know, websites,"
350080,356560," right? Silly little websites. Silly little websites. So, okay. So, everything seems to be compiling and"
356560,362880," let's actually maybe all open dev tools. Uh, open dev tools and let's take a look at"
362880,371280," uh, the network. Did it actually load the player? Uh, here's the player png. I can see it. So,"
372160,378640," can I preview? Oh, there we go. It actually even shows it. Yo, look at that like a glow and stuff like"
378640,385440," that. Fancy. Oh my god. So, dev tools is trying to display everything in a fancy way. Holy shit. Anyway,"
385440,395120," right. Uh, so, and I suppose we need to add the um, the player image. So, this one has to be like this. So,"
395120,403600," we're sort of decomposing player image data and we have an interface for like assets, all of the assets"
403600,408880," that we have in the game, right? So, image for the key or image for the bomb and different sounds and"
408880,414160," stuff like that. So, I suppose we need to have a player image data in here, right? So, here is the"
414160,421120," player image data. Okay. So, after that, after we loaded the player image data, we're simply adding it"
421120,427440," into the assets. So, now we do in fact have that in the assets. Do we have any compilation errors? We"
427440,433520," don't have any compilation errors. Perfect. All right. So, what's the next thing we want to do? After we"
433520,440800," updated players, items, bombs and stuff like that, I suppose we need to print like render a sprite. The"
440800,447360," way you render a sprite in this engine, right, in this sort of engine is by calling the function push"
447360,454320," sprite. So, let's actually find the definition. Push, uh, push sprite. So, the reason it's called push"
454320,459760," sprite is because you're pushing a sprite into the sprite pool because they are not rendered right away."
459760,465600," First, you're accumulating all of the sprites that you want to render and then there's a whole pipeline"
465600,471120," going on that actually removes some of this, some of the sprites that are not visible on the screen."
471120,476960," They're the ones that are too far away and stuff like that. Then it sorts them and uh, so on and so"
476960,481120," forth, right? So, if you want to render something, it's not really rendered right away. It's just pushed"
481120,487840," into the pool and then that pool goes through the entire sort of like a pipeline. Uh, right. So, the"
487840,493680," actual rendering of the sprite happens much later, right? It happens somewhere here actually. So, it's like a"
493680,500000," cool and sort sprites, right? So, I don't remember how you pronounce cool. Is it call or cool? I don't"
500000,505120," speak English. I really apologize for that. So, so first you sort of like remove the ones that are not"
505120,510640," visible, then you sort them by the distance and stuff like that and only then you kind of render them."
510640,516640," Okay, so first you have to specify the sprite pool, right? So, what we're doing here, we get the sprite pool"
516640,523840," from here. Then we have to specify the image. We do in fact have image. We do in fact have image. It's"
523840,530080," located in the assets. So, the first one like skull. Oh, okay. Thank you. So, this is actually very good"
530080,542000," mnemonic like a skull. So, it's a call. Um, okay. So, it's assets, uh, player, uh, it's not, oh, it's a"
542000,548720," assets are located within the game. Game, assets, player image data. Then we have to specify the"
548720,553440," position where it's going to be located. So, let's actually put it somewhere at zero zero, right? So,"
553440,558480," as far as I know, the default arguments for x and y are zero zero. So, if I don't provide any arguments,"
558480,565920," it's, it's basically that. Okay. So, z is basically the height. Uh, so, essentially, I think I can put"
565920,572960," one. So, that means it's going to be at the ceiling, right? Because the distance from the floor and the"
572960,579120," ceiling is actually one. Zero, that means the thing is going to be at the floor. One, it means it's going"
579120,584160," to be at the ceiling. So, we're going to put it at the ceiling and the size is also going to be one,"
584160,588320," right? So, it's basically going to take the whole space from the floor to the"
588320,593120," ceiling. Hopefully, we'll see how it goes. Okay. So, does it compile? It seems to be"
593120,600640," compiling. Okay. So, and let's see if we can see anything in there. So, maybe I had to refresh."
600640,609520," Let's actually refresh the whole thing. Oh. So, right now, you can only have square sprites,"
610560,617440," right? And, as you can see, it's actually, so, it tried to fit the entirety of the thing into the,"
617440,623360," like, this square. Uh, so, and this is basically the sprite sheet. You can see the player at different"
623360,629600," angles, essentially, right? So, it's an iron fence. Yeah, exactly. It's an iron fence. Uh, so, but it's"
629600,633680," actually the sprite sheet of all of the, all of these things. It's just, like, compressed into,"
634240,640400," into, into a square. So, I'd like to maybe put it a little bit closer to the, sort of, like, a gateway,"
640400,646000," uh, that we have in here. Right? So, here we have this, sort of, gateway. Uh, so, let me see if hot"
646000,651920," reloading still works. Does it work? Oh, yeah. It still works. Okay. Look at that. So, maybe I can now put"
651920,658000," something, like, happen here. Uh, right. So, is it working? Is it working? Yeah. So, it's, it's working. It's"
658000,664960," working. So, as you can see, we have hot reloading without any byte. Can your byte do that? I can't"
664960,673440," think so. Right. I should stop. I should probably stop. Actually, the last time I attracted too much"
673440,679200," attention from the creator of the bit. So, for my, for my stupid memes, I really apologize for that. So,"
679200,684880," I just want to say that I'm just memeing around, right? I'm just memeing around. I don't even know"
684880,692000," what this beat, honestly. I'm not the web developer, okay? I'm not the web developer."
692000,701040," Uh, so, anyway, uh, what do I want you to do? Uh, I probably need to maybe extend push sprites,"
