start,end,text
960,7200," Looks like we're live. Hello everyone and welcome to yet another recreational programming session."
7200,13120," How about that? Let's make a little bit of an announcement and officially start this stream."
13120,20640," Hello, hello everyone. Welcome, welcome, welcome. So let's do the usual thing. I read a circle live"
20640,27040," on Twitch and what are we doing today on Twitch ad.at television website? Today we are,"
27840,34080," believe it or not, recording sound from your microphone. Exactly. That's exactly what we're"
34080,39280," doing today. So I'm going to give the link where we're doing all of that, http.twitch.tv/todding"
39280,43360," and I'm going to ping everyone who's interested in being pinged. And there we go, the stream has"
43360,51040," officially started. The stream has officially started. So today we continue developing Musualizer,"
51040,56000," which is a music visualizer that we've been developing for quite some time. And let me"
56000,61360," show you how it looks like. So I'm going to go to Musualizer and I'm going to start it up"
61360,65760," somewhere here. Right. So the thing you can do, you can basically drag and drop some music and it starts"
65760,73840," visualizing things. Right. And then you can press F and it will try to produce like a high quality video"
73840,80960," of this entire thing. Right. So that's basically what we have so far. So I released it. It actually crashed."
81760,88480," Right. So I think there are some bugs in there, but anyway, so it's alpha. Okay. So it's an alpha."
88480,95920," So it's totally fine for this thing to crash sometimes. So and essentially when I released that"
95920,101040," on Windows, right. So we did a Windows build, by the way, for anyone who's interested, for anyone who wants"
101040,107360," to use that on this niche operating system for video games, you can do that now. Right. So there is an alpha"
107360,112800," release. So I'm going to copy paste it here to the chat and for everyone who was watching on YouTube,"
112800,123280," potentially it's going to be in the description. Right. So Windows alpha release one. So and when I"
123280,129840," released that, people started to suggest multiple times actually on different like social medias and"
129840,135520," stuff like that, why not just capture the sound, not from a particular file that should drag and drop,"
135520,142880," but from, for example, speakers or from a microphone and visualize that. That would have been actually kind"
142880,149600," of cool because the visualization itself is actually kind of pretty. Right. And, you know, making it react to"
149600,154000," the environment surrounding environment via a mic. I think it's an interesting idea."
154880,161280," Uh, right. And that's what I want to research today. I don't really know how to do that yet."
161280,167120," That's something that I want to research. Uh, right. RayLib itself. RayLib itself does not really,"
167120,174160," um, you know, enable you working with microphones or anything like that. So it actually implements like"
174160,179520," a bare minimum for video games. And in the video games, what, what do you want to do? You want to play"
179520,184240," music in the background, you want to play sounds like a sound effects and stuff like that. And you"
184240,191120," want to apply different effects on the playing sound. Right. And that's precisely what RayLib allows you"
191120,196960," to do. So, um, and that's precisely what it exposes. I don't think it has anything to do with microphones."
196960,205040," Uh, yeah. So it like even microphone doesn't, doesn't show up when you try to search for it. So that means"
205040,212880," we have to go a little bit lower in the, in the layers of obstructions, uh, and lower RayLib,"
212880,219600," we have a thing called mini audio and mini audio is a header only library for audio, right? So here it"
219600,223760," is. Uh, I'm going to copy paste it in the chat for anyone who's interested. And of course, for YouTube,"
223760,228400," it's going to be in the description. I already copy pasted it in there. If I'm not mistaken yet, here we go."
228960,234800," So it is an audio playback and capture library written in C in a single source file, right?"
234800,240640," It's an STB style, single, single header library. Right. So, and we'll, we'll already worked with those."
240640,246720," And as far as I know, it's cross platform, right? So it probably supports windows and Linux and stuff"
246720,253200," like that. Uh, right. So does it say it's cross platform or windows? Uh, yeah. So there we go. So at"
253200,258640," least it mentions different operating systems just compile, there is no need to install any dependency"
258640,266080," on windows and macOS. There is no need to link to anything on Linux, just link to pthread mathematical"
266080,271760," library and DL on BSD, just to be thread. So it supports like so many projects in some windows,"
271760,278800," macOS, BSD, Linux, right? So if you use this and I think, uh, right, you can work with sound with sound"
278800,285440," on all the operating systems, uh, which is pretty convenient. So, and, uh, yeah, that's basically"
285440,290240," what I want to do today. I want to explore this library. I've never used this library before,"
290240,295680," uh, only through RayLib, right? So I just used the sound functionality of RayLib and that's how I used"
295680,302320," it indirectly, so to speak. Uh, right. That's the plan for today. That's the plan for today. Let's go ahead"
302320,308640," and download this library, shall we? Let's go ahead and download this library. Um, so if I go ahead,"
308640,315360," uh, I think I can just like, does it have releases, right? So there are some official releases, there's"
315360,321040," only four releases, um, right? Okay, apparently there is nothing in here. So you're supposed to probably"
321040,327040," download the latest one, uh, that is available in the repo. Uh, it's, it's, it's pretty huge."
327040,336480," You know that the file is huge when it's a text file and GitHub refuses to display it because it's too big."
336480,344800," Yikes. Okay, so how big is it? How big is it? It's, I suppose it's pretty, okay, even browser cannot"
344800,350080," display it. Okay, let's not try to display it. Let's just go ahead and download it, right?"
350080,358320," Let's just go ahead and download it. Uh, I'm going to go to probe, uh, mini audio. Uh, I'm going to start"
358320,362320," like a separate small project in which I'm going to be experimenting and stuff like that. I'm not going"
362320,368800," to start integrating it into Visualizer right away. I just want to explore that. Uh, so let's go ahead and"
368800,376560," W get this into, I think. And, uh, so yeah, let's download that. HTTP request sent. Awaiting response."
376560,390320," Excuse me. It's that fucking big that you can't even fucking download that. I might be,"
390320,397200," maybe doing something wrong. Uh, so let's try again, but, uh, you know, with passion. Um,"
399760,405040," let's press the button, you know, the famous button that GitHub added recently to download a raw file."
