start,end,text
0,12480," all right looks like we're live hello everyone and welcome to yet another as within session"
12480,16320," how about that let's make a little bit of an announcement and officially start the stream"
16320,25760," right so we are live on twitch and what are we doing today on twitch.television today we"
25760,32240," are trying to port the game the breakout game that implemented in zig in jai uh i don't really"
32240,38160," know why but uh i just decided to to port it to jai and continue to open jay i don't know"
38160,45920," uh so i personally don't really want to continue developing in uh this thing in zig uh because i"
45920,52880," feel like it's not my language that's what i feel like the language itself is fine right so the language"
52880,58960," is itself it's fine i just feel like i'm not the target audience of that language so um i developed"
58960,65920," in it because my audience asked me very very nicely to try this language out i tried it out it's a good"
65920,72240," language it's really promising uh but it's not my language for sure it is definitely not my language"
72240,77200," so uh hello hello everyone how are you guys doing welcome welcome welcome so i'm gonna keep this"
77200,83360," source code as it is and i'm gonna try to port it to jai and see how easy it is to port to jai"
83360,88240," so if i take a look at the like the structure of the source code there is nothing particularly you know"
88240,94800," special about this structure i think i can easily translate that just to jai and uh continue developing"
94800,101120," the jai so i i think i'm gonna try an approach where i would like literally copy paste the piece of code"
102160,108800," into a gi program and will modify that piece of code until it compiles and that way i will translate the"
108800,115600," entire program into jai and hopefully it will work similarly how it works in zig so there's only like"
115600,123120," 200 lines of code so it shouldn't be very long um so and after i'm done i'm gonna just like add more"
123120,129280," features to this game right so yeah what do you guys think is that a good plan for today's stream"
129280,138240," right so and also it give me it will give me an opportunity to program more in jai right so um thank"
138240,144320," you so much i would duke for for this up thank you thank you thank you for with 34 months tier two thank"
144320,149760," you thank you really appreciate that and lucasig11 uh thank you for five months of twitch problem"
151920,160400," all righty all righty all righty all righty all righty all righty okay so i think i did a little"
160400,166960," bit of a cleanup uh off screen uh yeah i think i did a little bit of cleanup so i think i need to fetch"
166960,175680," this entire thing origin so element 0216 thank you so much for four months of tier one subscription thank"
175680,181600," you thank you thank you merge origin and master okay so we can take a look at how it looks like right now"
181920,190240," all right all right so was it i think it was somewhere in third party uh huh i can't see"
190240,199920," you right on this mist so i have to do build uh and run there we go so it will take some time uh and then"
199920,204480," uh we'll be able to play this game so we'll take a look at how it looks like right now so it has the"
205200,212720," uh so it's analyzing semantics or something a little room okay uh cool and now we have the game so this"
212720,223360," is how it looks like uh right and yeah so i think i i also want to link this stream where we were developing"
223360,232400," all of that so i think it's kind of important uh so let me also open the description um yeah there we go so the"
232400,240880," source code uh zig out for zig out is available in here so you can find it in here and um zig out"
240880,252000," development development stream should be available somewhere here so we'll have to find uh sodium"
252000,259200," let's find sodium daily uh here it is so it's it's called paid zig stream if you didn't watch it i really"
259200,264240," recommend to check it out because this is where we develop this entire thing right so let's actually"
264240,276000," call it uh paid zig stream right there we go and let me go somewhere right so i probably want to go into"
276000,282960," zig out and i'm going to open the source code right so this is one thing and i'm going to create another"
282960,290560," folder right so we need to come up with the name for the jay version right so let's call it jay break"
290560,299840," right let's go jay break and let's create the main dot jay file uh right so we'll first have to import the"
299840,306080," basics right so this is sort of like a standard library and uh let's create an entry point right so this is the"
306080,313440," entry point and here we'll say hello i'm sorry i'm sorry sailor right so it's supposed to say sailor"
313440,325120," all right and let's try to build this entire thing so jay and there we go uh-huh hopefully it will build"
325920,334000," successfully right it seems to be building which is nice um leapfake root it's a very interesting"
334000,340960," library never heard about this before it probably creates a fake root for you something like ch root"
340960,351920," but fake root there we go we have hello sailor um okay so i suppose the first thing we want to do"
351920,357520," we want to start copy pasting the code right so here we have a section for the constants right for"
357520,364560," different kind of constants and uh i'm gonna just right away copy paste this section and try to compile"
364560,370560," it and see how the jay compiler will complain about this thing so as you can see we don't have a const so"
370560,374800," this is probably the first thing that we probably want to remove right so no const please thank you very"
374800,381040," much so unable to parse expression okay so there is no such thing in here so we're supposed to do"
381040,388800," something like this right i presume uh i don't remember does jake carriers integers to floats"
388800,394160," automatically i think it does it's pretty strict on different number types but i think it can quite"
394160,398240," easily take an integer and convert it to float because it kind of makes sense to do that but"
398240,404240," maybe not maybe not i don't know so uh okay it was data assignment uh this is because this is not a"
404240,410000," declaration of a variable this is assignment of a variable to declare a variable and assign it we have to do"
410000,416960," that but this is in specifically variable uh what we have in here is in fact um a constant so we have"
416960,424080," to initialize it like this right this is how you initialize the constant right so this index for"
424080,431520," variable assignments is actually pretty cool so you have a name then always colon right you always have"
431520,438800," a colon uh after the name of declared variable then you have a type which is optional you may actually not"
438800,446400," provide the type but you then you have a type and then uh you have either equals or another colon"
446400,456000," right so if you have equals you are defining a mutable variable if you have a colon you defining constant"
456000,462320," right so this is a variable and this is a const right so basically the difference between variable and"
462320,470800," constant is this uh small token and since the type is optional you can actually declare them like this"
470800,478640," so this is a very clever syntactical pun this is like a really clever syntactical pun because"
478640,483360," uh you may think that this is a single token in this language no in fact it's two tokens"
484720,493040," this is genius holy it's just like it's it's it's like it's like a joke it's a comedy joke uh making"
493040,498720," fun of all these languages like so this one makes fun of like go and this one of husky and it combines"
498720,505360," them all together into coherent sort of syntactical logic if you if you know what i mean it's just it's so"
505360,512240," clever like i don't know uh i feel bad for talking about the syntax but at the same time it's so"
512240,520400," fucking genius it's it's it's it's like a pun you see what i mean this is it's a funny pun um i really"
520400,527440," like that anyway i don't know why i'm like i focus on this kind of stuff they don't really matter but"
527440,537520," anyway uh so let me now do another thing um yeah so let's try to recompile this into a thing"
537520,548160," so here let me let me see so this one is supposed to be just something like this"
548800,559280," um for f32 i think i want to query replace f32 um equal right i want to replace it with just float"
559280,568080," 32 and just do something like this right so after that i'm going to query replace just equals with"
568080,576000," just that and i think that will work uh unless for the first one right because here we'll have to have"
576000,581920," like a single thing in here all right so what else do we have in here f32 it's a float 32 because i"
581920,590640," didn't replace it uh okay so it compiled right so we ported a section with the constants right so these"
590640,596720," are the constants that um control different aspects of the game uh ford hello thank you thank you so much"
596720,604080," for 14 months of um twitch crime subscription thank you thank you when you like the color of the bike"
604080,611360," shed yeah so this is literally well sometimes it's just you just have to acknowledge like a very good"
611360,620960," choice for the color of the bike shed so uh anyway so let's define um the target structure right so target"
621600,629200," is a structure uh what's interesting is that if i try to do something like this it will compile"
629200,634080," so it's kind of similar to how zeke does it or maybe zeke is kind of similar to how jai does it"
634080,640240," so here you will see that we're declaring actually mutable variable right and what's the type of this"
640240,646720," variable so we specifically omitted the type and i suppose the type of this variable is the type because"
646720,654320," structure itself is the type right so if i try to yeah it is true right it's kind of interesting but"
654320,659200," since like it's inferred you don't really have to do that it's kind of similar how zeke does that so it's"
659200,666080," not like a novel idea but it sort of like fits into into the whole syntax in some sense um all right"
666080,671200," because if you take a look at zeke right so it's also you just define a constant and just assign this"
671200,679840," structure right uh what do we need to have here is flow 32 and y and we also need to uh to have an"
679840,686720," indication that the target is dead uh by target we mean the uh you know the bar that you are hitting"
686720,694320," right so this is the target the green one uh right so that's what we have in here so this is the target"
694960,700160," so and the dead indicates that like it's not available anymore it's not going to be rendered"
700160,706720," if it's dead uh right and it's not uh going to be checked for collisions if it's dead right so it does"
706720,712720," not exist so in all of the loops we just like you know ignore it so that boolean there we go"
712720,715680," so i suppose you have to put some accounts"
717680,724720," uh what's up function hello hello hello hello welcome okay so let me see we have a"
724720,732000," function that initializes all the target basically the target grid right so what it does it just returns"
732000,738640," the array of targets of a particular size right and then we just assign it to the targets pool uh nothing"
738640,746240," particularly special so i'm just going to copy paste this code and see if i can port it to jive so how"
746240,752480," difficult would it be to port that thing to jive okay so we don't have a fan so then we have to do"
752480,761120," that and then the return type is indicated with an arrow and i think the arrays have the same structure"
761120,767520," right so they they look the same pretty much okay so we have an internal variable into which we're"
767520,773120," collecting everything so i'm gonna assign like i'm gonna define it as the array of that type and as far"
773120,781840," as i know undefined is just like triple dash uh right okay so here we have like a four loops i"
781840,788640," still don't quite understand how loops work in zig so i just picked whatever was the closest to what i"
788640,795680," wanted to do so maybe there was a better way to do that but it is what it is so uh i would rather do"
795680,802800," something like this for row target rows minus one and there you go so i don't need to have that stuff"
