start,end,text
640,5760," All right, this is the next day, and I just wanted to finish whatever I started yesterday."
5760,12320," Specifically, I want to introduce the second intrinsic, which is store intrinsic,"
12320,15820," which is an opposite to load intrinsic, right?"
15820,18800," And also introduce the variables, right?"
18800,22900," So basically a construction that is kind of similar to memories,"
22900,29980," but it allows you to define the name and also associate the type with that specific name, right?"
30000,35280," It's like a memory where you define the size of the memory not by a specific number in bytes,"
35280,40640," but by the type, and type usually has an associated size with it, right?"
40640,47420," So, and basically this is the only two things that we need to implement to sort of like complete this feature set,"
47420,51860," and then we can continue expanding it, making more different types,"
51860,56300," and, you know, making the type system more and more complex."
56300,59640," So let's go ahead and introduce the store intrinsic."
60000,68820," So let me see, I think it's somewhere in the compiler, intrinsic, load, pointer 2,"
68820,72220," and I'm going to just introduce store, pointer 2."
72220,77000," It's going to be similar to store 64, because for now we only have 64-bit types."
77000,83100," So let's go ahead and just like start the compilation process."
84100,92720," All right, so 47 becomes 48, pointer 2, and this is store pointer 2."
92720,96440," The next compilation error."
96440,98520," This is not the compilation buffer."
98520,101140," Give me the compilation buffer, please."
101140,106640," Okay, 47, 48, load pointer 2."
107180,112060," All right, so this becomes store pointer 2."
112060,113420," There we go."
113420,116560," And the next one is what?"
116560,120240," So I suppose this is the type checking."
120240,122900," Okay, so load pointer 2."
122900,126280," We have a special function for type checking load pointer 2."
126280,128040," So I think we're going to do a similar thing."
128140,134840," We're going to have store pointer 2, and we're going to have a special function that type checks that."
134840,138180," So type check store pointer 2."
138180,142060," All right, let me go ahead and just like go in here."
142060,149600," All right, and I'm going to create proc type check store pointer 2."
149600,154360," It's going to accept the token and the stack, the type stack that we're type checking."
154980,159000," And I'm going to just like drop both of these things and say that this thing is not implemented yet."
159000,164680," Tap check store PTR 2 is not implemented yet."
164680,168060," Okay, so what's the next?"
168060,170820," And the next one is basically code generation."
170820,177200," So, and I suppose it's super easy to just take something like this."
177200,182360," Store 64, right, and just say that it's the same as store pointer 2."
183000,187720," Right, it should generate pretty much the same sequence of instructions."
187720,190720," And I forgot to increment the count in here."
190720,192360," Almost 15 intrinsics, by the way."
192360,194900," Okay, so we managed to compile this thing."
194900,196060," Can we recompile it again?"
196060,198040," Okay, everything seems to be fine."
198040,203240," So let's see if this entire intrinsics is going to work, right."
204360,208680," So let me include the std port, right."
208680,212220," And so let's introduce the entry point."
212220,219440," And let's introduce a function that accepts pointer to an integer, right."
219440,220900," So it accepts pointer to an integer."
221320,230960," And we can just bind that pointer to a specific name and just say, okay, take 69 and store it in that specific pointer."
230960,231720," Right."
231720,238740," So we don't have to specify the size or anything because all of that information is stored within the type of the pointer, right."
238820,239660," So it's a type pointer."
239660,242340," So that's kind of the point of this entire step."
242340,244660," So let's go to the compilation."
244660,248520," And so I should probably do something like this."
248520,256280," I'm going to take my bootstrap compiler, compile the compiler, and then run it and try to compile the example that I'm currently running."
256280,259340," And it should say that the type checking of this thing is not implemented."
259340,260600," This is precisely what I expected."
261760,264540," Okay, so now we just need to implement that."
