start,end,text
800,6160," i hope we're live looks like we're live hello everyone and welcome to yet another"
6160,12560," azutin session let's make a little bit of an announcement and officially start the stream"
12560,19120," as usual as we usually do uh let's wait for the discord of course let's do red circle uh"
19120,27760," thank you discord uh live on uh twitch and what are we doing today on twitch"
27760,35600," adot television website today we are generating assembly with php that's what we're doing today"
35600,42560," so let me give the link to uh the twitch channel where we're doing all of the shenanigans and let"
42560,48080," me ping everyone who's interested in being pinked and there we go the stream has officially started"
48080,57520," so today is uh the second episode of a c.php essentially the april fools joke that i did"
57520,64640," on uh april 1st right so the initial idea was to actually write uh some like implement a small"
64640,71840," subset of c in php that actually compiles down to assembly but unfortunately i ran out of time so i"
71840,78240," settled on uh compiling to python right so because it was just like easier right so we've got an ast"
78240,86160," and that ast was easy to just translate one to one to uh to python right but that's not really satisfying"
86160,91920," if you know what i mean it's not really satisfying i initially wanted to do assembly so i decided to do"
91920,98560," a second stream where we're going to implement the assembly backend for our compiler right so that's"
98560,103680," going to be the idea for today's stream so essentially uh we have a simple hello world in here"
103680,111040," right so we have a couple of like more examples because strager actually uh contributed some"
111040,114640," optimizations and stuff like that thank you so much strager for contributing to this project"
114640,121280," right so and we were compiling that to python right so and our goal for today is going to be actually"
121280,127920," compile this specific subset of c to assembly right so that's that's basically the idea let's take a look"
127920,137040," look at what we have already so i'm gonna go to uh to this entire thing uh c.php uh right and i'm gonna"
137040,142240," take a look so what's the status of this thing okay let's fetch the other stuff because we have some stuff"
142240,148560," uh you know committed hello hello everyone welcome welcome welcome so we've got a couple of subs i think"
148560,157680," i need to acknowledge them i'm pretty sure i have to acknowledge them so uh oh danny silvia oh dan is"
157680,162080," silly i don't know how to pronounce your nickname i'm really sorry but thank you so much for twitch prime"
162080,167360," compotec dot thank you so much for t1 subscription with the message hello happy coding hello come project"
167360,173760," to you too thank you thank you for t1 subscription azura akumori i hope i pronounced your nickname correct"
173760,181040," thank you so much for twitch prime with the message 10 month epic php club sodden hyper yes indeed we are"
181040,188400," finally epic php club and fang chi with a tier one subscription for 46 months holy with the message"
188400,197120," ayaya ayaya ayaya thank you so much for a tier one subscription ayaya indeed ayaya indeed all right so"
197120,203120," uh let's take a look at what we got right so we have this low c example and uh let's actually start"
204320,211520," uh c dot php compiler right so we have to provide uh an example and as you can see it actually generates"
211520,217600," uh this entire thing so i think i didn't merge whatever i actually fetched right so uh let me do"
217600,224480," git merge uh origin master that we call so now we're talking because uh we have a slightly different"
224480,229600," example in here as you can see we have more things in here uh right so if we run this entire thing"
229600,237360," as you can see we have uh the python code we can redirect that code to hello dot py i'm pretty sure"
237360,242880," you can't see in this mist right so let me quickly put something behind my camera i forgot to do that"
242880,249360," again but we should put that into my to-do list so i don't forget to do that right before the stream"
249360,256320," right so and now i can see the same thing you cannot see isn't that poggers holy"
256320,262960," shit okay so i redirected this to a separate thing and now i can do python 3 hello.py and as you can see"
262960,269600," it prints exactly what it's supposed to print uh we can even compare this entire stuff with an actual c"
269600,277280," compiler right so we can do something like this and uh no main this is because it is called hello"
278160,286160," that's why right and you can see uh that it's actually identical behavior absolutely identical"
286160,290000," behavior isn't that poggers that's insane holy"
290000,304160," so anyway um yesu yesu yesu so that's basically what we have in here so let's go ahead and see what we can"
304160,312480," extend and how exactly we can extend uh this entire thing right so we have a little bit of a code from"
312480,319440," striker thank you so much for committing this code uh so i suppose it would be nice to somehow maybe have"
319440,326640," a special flag for different targets if you know what i mean right so um essentially we only accept the"
327520,332880," the file path right we only accept the file path but it would be nice if we could do something like"
332880,342160," php c.php right we could provide hello.c and then we could do something like target and we could specify"
342160,348720," uh something like python 3 right python 3. or in our case i want to be able to use assembly"
348720,355520," right uh but assembly is actually very vague thing right what does assembly even mean right so because"
355520,362880," we assembly is not a particular language by the way there is this uh wild wide belief that assembly is"
362880,368560," somehow a very specific concrete language it's actually not it's a family of different languages"
368560,375040," right so you you have different kind of kinds of dialects of assembly depending on the on the cpu you use"
375040,381200," right so in my in my case i'm using x86 64. right what's interesting is that in the specific target"
381200,388640," for this compiler uh just knowing the specific architecture is not enough because uh usually"
388640,394160," the programs do not exist in a vacuum right so sometimes they do but usually if you want to"
394160,400400," have anything useful you need to interact with an operating system right and depending on an operating"
400400,407280," system you interact with it differently right so well i mean you can generally say that you issue syscalls"
407280,413920," but depending on operating system you issue syscalls differently they use different registers to denote"
413920,419600," the the specific syscall they use different numbers and so on and so forth so if you have a"
419600,425280," program that is written for linux it won't be able to interact with uh windows right because the"
425280,429760," windows just won't understand these kind of syscalls they're trying to communicate and vice versa"
429760,435920," well i mean these days uh due to wsl i think windows will be able to do that but that's besides the"
435920,441920," point so what i'm saying is that uh knowing architecture of the cpu is not enough you also need"
441920,450080," to know the operating system you are operating on right so i suppose one of them uh one of the"
450080,457120," targets that we're going to add is going to be exit 60 64 linux but what's interesting is that it's also not"
457120,461680," enough right because what we're going to be generating we're going to be generating assembly"
461680,469520," text for an external assembly tool to assemble this entire stuff you know what i mean right so and there"
469520,474960," are different kinds of assemblies with different syntaxes so you even though you're writing uh you know"
474960,482800," your program for linux on x86 64 uh processor uh you may write it differently depending on the assembly you're"
482800,489600," using right so what exactly you're using are you using nasm or using fuzzm or you're using gnu assembly"
489600,496320," which is like uh s or something i think it's called gas right and they have different syntaxes even though"
496320,503120," you're writing for the same operating system for uh the same architecture depending on the compiler the"
503120,512640," syntax is going to be different right so it's it's insane it's bananas uh right so what we have to say"
512640,520080," so usually i prefer to use something like fuzzm right because it's probably the smallest assembly out"
520080,527360," there uh it's very minimalistic and it actually does precisely what i want and furthermore it's um"
