start,end,text
960,7680," Hello everyone and welcome to another Zozin session. Let's do this 17th day of"
7680,15180," Advent of Code in the God's Temple. Trick shot! You finally decode the elves"
15180,20220," message ""Hi"", the message says. You continue searching for these slay keys."
20220,26640," Ahead of you is what appears to be a large ocean trench."
26640,31500," Okay, I see. Could the keys have fallen into it? You'd better send a probe to"
31500,36420," investigate. The probe launcher on your submarine can fire the probe with any"
36420,43860," integer velocity in the x forward and y upward or downward if negative direction."
43860,50940," For example, an initial xy velocity like 0 10 would fire the probe straight up,"
50940,56220," while an initial velocity like 10 minus 1 would fire the probe downwards at a"
56220,62040," slight downward angle. The probe's xy position starts at 0 0, then it will"
62040,67980," follow some trajectory by moving in steps. On each steps these changes occur in the"
67980,72120," following order. The probe's x position increased by x velocity, the probe's y"
72120,79020," position is increased by y velocity. Due to the drag, the probe's x velocity"
79020,86080," changes by 1 towards the value 0. That is, it decreases by 1 if it is greater than 0, increases"
86080,90780," by 1 if it's less than 0, or does not change if it's already 0."
90780,95640," 0. Okay, so we'll figure out what that means a little bit later when we're going to start"
95640,100600," implementing this. Due to the gravity, the probe's y velocity decreases by 1. Okay, so this is"
100600,105280," something that I implement every time I make a simple platformer game, right, with the basics,"
105280,109480," physics and stuff like that, should be pretty straightforward. So though I usually do that in"
109480,114540," floats, so here everything seems to be in integers, which is a little bit easier, right, because there's no floating"
114540,120060," point shenanigans going on, which is nice. For the probe to successfully make it into the trench,"
120060,128380," the probe must be on some trajectory that causes it to be within the target area after any step."
128380,132860," The submarine computer has already calculated this target area your puzzle input. For example,"
132860,141420," target area x2030 and this one, this target area means that you need to find initial xy velocity"
141420,148620," value such that after any step, the probe's x position is at least 20 and at most 30 and the"
148620,155580," probe's y position is at least minus blah blah blah. Given this trajectory, area one initial velocity that"
155580,164940," causes the probe to be within the target area is 7 to 20, almost at 20. In this diagram, s is the probe's"
164940,172140," initial position zero is the x coordinate increases to the right blah blah blah. Okay, so another initial"
172140,177420," velocity blah blah blah. Another blah blah blah. The initial trajectory that doesn't cause the"
