start,end,text
0,11640," all right we're alive hello everyone and welcome to yet another recreational programming session"
11640,17220," so let's make a little bit of an announcement as usual and officially start the stream"
17220,27000," so it's going to be a red circle live on twitch right and what are we doing today"
27000,33680," we are implementing a ripple effect using openGL shaders that's right I've never done that before"
33680,39820," so it's probably going to go really horrible um so but I wanted to try that for quite some time"
39820,45820," already and I recently I stumbled upon a very simple article that actually explains it really"
45820,52520," well uh right it's just like a single formula and I just wanted to apply that formula and play with it"
52520,59400," on the stream so that's effectively what we're doing today so yeah that's basically the topic of"
59400,63920," today's stream so the article that I'm talking about is this one so I just like accidentally"
63920,69360," stumbled upon it and I thought that would be kind of cool topic for for today's stream right so I just"
69360,77140," like look at it and like saw how simple it is and uh thought I'm gonna just start the stream so this is"
77140,83680," going to be an exploration just a chill exploration stream so and effectively if you want to have uh like"
83680,90240," some sort of a ripple effect on um in like using openGL shaders on maybe webGL shaders webGL is basically"
90240,97360," openGL anyway it's just like a bindings uh like web bindings to openGL you just have to evaluate some"
97360,104020," uh so-called sombrero function uh which looks like sombrero I suppose yeah there we go so you're evaluating"
104020,110080," this sombrero function using the heights of this function to offset a texture to which you're applying"
110080,117860," the effect and you're gonna get the effect so yeah and I'm gonna be using my usual openGL template that I usually"
117860,125180," like develop on the streams uh so we can find it in here so I think I'm gonna copy paste this uh article in the chat"
125180,133460," for anyone uh who's uh who's uh who's watching right now all right so and maybe I'm going to actually do"
133460,142860," something like um you know I need to update my my project right so update cmd project um or"
142860,153740," one sender so I'm just gonna update the command uh so let me let me see so here is the project um"
153740,160740," so I'm making um a ripple effect using openGL shaders and I'm going to also attach this article"
160740,167560," in here so that's basically how I'm going to be uh operating today and for anyone who's watching the"
167560,172220," new job you can find that in the description and uh regarding the openGL template you can find the"
172220,179040," openGL template in here and I'm going to also put it in the description as well openGL template all right"
179040,184940," so uh yeah so it's kind of convoluted template I created it for myself keep that in mind if you"
184940,191220," decide for whatever reason to reuse it I don't think this template is reusable by anyone except me because"
191220,197400," I created it for myself but so I decided to share it anyway because why not there's no secrets in there"
197400,204200," so but just bear in mind that I did not put any sort of for usability into that template for anyone else"
204200,209700," except myself right so just keep that in mind if you decide to use it I suppose like I believe that"
209700,215120," everyone should create their own openGL template for their needs for their like style of development"
215120,222020," I didn't think there is like a like a single one size fits all uh except maybe in that case if if you"
222020,227540," come up with openGL template that like one size fits all you basically call it an engine right an"
227540,235100," engine is essentially an openGL template actually GPU API template that uh tries to fit as many uh use cases"
235100,240640," as possible right so but this is not what we're doing today we're have like very specific use cases and"
240640,247180," that's why I just keep it very simple very small and pretty much only for myself okay so I think I"
247180,255000," made some uh changes to the openGL templates so let me let me quickly find it uh on my machine it should"
255000,262360," be located somewhere here so openGL template there we go do we have any changes in here I think I have a"
262360,268240," separate branch for frame buffers and stuff like that so on one of the streams I've developing like a post"
268240,273660," processing essentially rendering the whole scene into a texture and then re-rendering that texture again"
273660,279620," so I can apply specific effects on that texture which could be useful today by the way we might as"
279620,286960," well actually apply uh ripple effect not just like to a single thing but to an entire screen like imagine"
286960,292760," a scene with moving object and on top of that a ripple effect that will be actually kind of cool to to"
292760,298360," explore so anyway um so did I fetch the everything I think I already did so I should have just like"
298360,304740," merged yeah so let's actually merge origin master uh so there's a couple of things in here that's"
304740,311340," there's a lot of things in here so yeah I haven't updated in a while but anyway so let's remove all of"
311340,315660," these branches in here that are not needed anymore and there's also this remote branch I think I also want"
315660,321720," remove it if it exists remotely I didn't know if it still exists there but yeah anyway I fetched with"
321720,326980," prune so that means if the branch was deleted the fetch would delete it as well locally but it didn't"
