start,end,text
480,7120," looks like we're live hello everyone and welcome to yet another recreational programming session with"
7120,12640," azuzin let's make a little bit of an announcement and officially start the stream so let's do red"
12640,18400," circle live on twitch and what are we doing today on twitch.at television website today"
18400,26560," we are migrating to raylib 5.0 that's right i'm gonna give the link to where we do all"
26560,31920," that uh twitch.tv/tsodding and i'm gonna ping everyone who's interested in being pinged and"
31920,38960," there we go the stream has officially started the stream has officially started so uh essentially"
38960,47600," recently um raylib 5.0 came out right so thank you so much ray san for working tirelessly uh on this"
47600,56400," release tirelessly on this release and i suppose it's a major release and as far as i know if i"
56400,64880," have any experience in software development that means the shed may break right the shed may break"
64880,71600," so essentially in simver right so if you if you hear about simver i don't know if raylib actually"
71600,77760," uh follow with semantic versioning right so but usually the conventional wisdom is"
77760,83680," you have a major version and the minor version right and essentially the minor versions are backward"
83680,92480," compatible and you um reserve backward incompatible changes for the major release right so uh as soon"
92480,99440," as you increment this number usually that means that the shed may break and you need to be aware of that"
99440,107840," so because of that i decided to spend like um dedicate an entire session just going through maybe what was"
107840,114720," introduced in raylib what was changed in raylib and also migrating our application uh mutualizer the music"
114720,121040," visualizer to this uh specific version and we kind of want to do that because there is a variety of bugs"
121040,128480," that people reported that are related to raylib so and as far as i know uh some of those bugs were actually"
128480,135920," fixed in the in the latest raylib release uh right so essentially if we manage to migrate to raylib 5.0 we get"
135920,143600," those fixes for free essentially uh right so um i'm going to give the link to to the release in here so"
143600,149360," it's already in the chat uh right so the bot already automatically send the message right thank you who"
149360,154800," actually said today right and for people on uh on youtube it's going to be in the description i'm going"
154800,160080," to put everything in the description so essentially today is a mutualizer stream uh right but as part of the"
160080,166240," mutualizer stream we're going to be looking at raylib 5.0 so that's basically the plan for today all"
166240,173280," right so uh here's the release of raylib 5.0 right so let's take a look at what we've got in here so as"
173280,180080," far as i know they kind of restructured the uh the whole architecture right so now you have several platforms"
180720,188400," um so it became easier to actually add more platforms if i understood correctly uh so and glfw"
188400,199040," which they used as sort of like an initializer now became as a separate uh separate platform so and"
