start,end,text
0,4000," Thank you so much for being here!"
4000,13220," Would you look at that looks like we're live how about that hello everyone and welcome"
13220,18480," to yet another Tzodding session how about that so let's make a little bit of an announcement"
18480,27760," in our discord server and let's continue development live on twitch right so and what"
27760,36320," we're doing today is making a compiler specifically making compiler without LEDVM in 2021 keg w"
36320,42960," that's the topic of today's stream and let's ping everyone who's interested in this specific"
42960,52880," session and yeah hello hello hello so let's take a look at what we've been developing for"
52880,57760," for the past several streams i would say we've been developing this wacky language called"
57760,63920," port um you can find the source code in the description if you're watching on youtube so i"
63920,70720," usually maintain uh things to put in the description so yeah you can find it in here uh hello iguduk"
70720,76480," welcome welcome to the stream so you can find this thing in here and i think i've made a little"
76480,81600," bit of changes off screen i've been coding off screen a little bit i'm really sorry about that"
82640,89760," so uh merge origin master so yeah i actually implemented a little bit better like test system"
89760,96480," now we have a bunch of tests and stuff like that and um yeah the language is stack based"
96480,103120," it's a stack based language and it kind of looks like fourth if you ever heard of fourth you may find"
103120,111600," this language a rather interesting so uh fourth so fourth programming language um just in case you're"
111600,117760," interested in this kind of stuff i'm going to put it in the description um fourth programming language"
117760,123440," it's kind of like that but it's not really it's not a re-implementation of fourth it's more of like"
123440,130080," it's inspired by fourth plus some other things that i've seen in other languages and systems so it's that's"
130080,136880," roughly the idea right it's not really fourth but it's heavily inspired by it worth hello sofian69"
136880,143040," um hello hello everyone how are you guys doing um so and yeah this is basically a simple program"
143040,150800," that uh prints numbers from 0 to 99 right so yeah every time you see a number it pushes that number"
150800,157120," on a data stack there's a thing called data stack and uh then consequent operations do some different"
157120,163280," things on that data stack and this is the uh construction that basically loops uh until um"
163280,169760," this number becomes equal or greater than this one and constantly prints the current number so and what's"
169760,177440," cool about this language is that it's interpreted you can go ahead and just simulate uh the example uh let"
177440,184400," me try to do that it doesn't fit in in the screen but anyway uh here is the simulation right of our nation"
184400,190560," and at any point you can go ahead and compile it it's compiled and it compiles to native code"
190560,197360," uh right if i go to here uh as you can see uh so here is the source code but here is assembly that was"
197360,202720," generated by our compiler and if we take a look at the assembly file right uh you will see that it's a"
202720,211520," legitimate assembly that got generated by our compiler so and then uh it got compiled into the executable file"
211520,217200," as you can see it's l64-bit executable statically linked by the way it doesn't depend on anything"
217200,225520," at all right and if you try to run this executable it um well it's not set it's sec it will print uh 100"
