start,end,text
800,5920," Looks like we're live. Hello everyone and welcome to yet another Azorzin session."
5920,12720," It is in fact an Azorzin session. Let's make a little bit of an announcement and officially start"
12720,21520," the stream. Did you know there's a very small and there is a very small and we mean small chance you"
21520,31200," get a secret. I couldn't read that. Anyway, so Red Circle live on Twitch and what are we doing today on"
31200,38320," twitch.tv? Today we continue developing the text editor in C with OpenGL and specifically today we're"
38320,44160," going to be implementing text selection. Right, so I'm going to give the link to twitch.tv/telling,"
44160,48800," the place where we're doing all of that and I'm going to ping everyone who's interested in being"
48800,55360," pinged. There we go, the stream has officially started. The stream has officially started. So"
55360,59920," today we continue developing this text editor that we started to develop quite some time ago,"
59920,65440," I think a year ago, but we postponed it. Right, so you can find the source code of this thing here. I'm"
65440,72640," going to copy paste it in the chat and for anyone who's watching on YouTube it's going to be in the"
72640,80000," description hopefully if I don't lose the description. So the text editor looks like this. Right, so it's a"
80000,88640," dramatic text editor. That's what that stands for. As you start typing, right, it starts to zoom and pan"
88640,97440," the camera. Right, and it basically follows the cursor making it look very, very dramatic. Right, and on the"
97440,105120," previous stream we implemented a simple file browser that allows you to basically select the file that"
105120,111280," you want to edit. Right, so right now it looks at the current folder and in the current folder you can"
111280,117600," pick something. Let's pick readme and it actually opens the readme and you can, you know, scroll through,"
117600,124720," maybe even modify something, say something like hello world and you can save this entire thing and you can go"
124720,130160," and pick a different file for example license. For some reason every time I open a new file it doesn't"
130160,135360," really reset the cursor, so maybe this is something that we'll have to fix. But that's what we basically"
135360,141760," implemented in the previous stream. Right, so what I wanted to implement today, I wanted to implement"
141760,147840," a text selection. Right, so I want to be able to, you know, hold shift and go down, down, down and select"
148880,156560," basically some text. Maybe to copy paste it, maybe to cut it. Right, maybe delete it. Right, so the usual"
156560,164000," feature that all the text editors have. Right, and we already know how to do this like the selection"
164000,169680," visually because that's literally what we're doing here. Right, in the file browser. In the file browser"
169680,177200," we literally highlight the text of the file name that you want to open and we can use the same technique"
177200,184480," to visualize the selection in the actual text editing area. So that should be pretty straightforward. All the"
184480,192960," mechanisms are in there, we just have to utilize them and it's going to be good. So that's basically the"
192960,199120," plan for today. But the first thing I probably want to do is basically, you see how it doesn't reset the"
199120,205120," cursor after it opens the file, which is kind of weird, especially if it opens a new file. So I think"
205120,212800," this is something that needs to be fixed ASAP. So if we take a look at the editor, it has a function"
212800,218560," called editor_load_from_file and this is probably where we have to do a little bit. Right, if I go to the"
218560,225600," edit.c and define this entire thing. And here we don't even do anything with the cursor. Let me take"
225600,231280," a look at how we store the cursor. Right now the cursor is just like a single number. It's basically"
231280,237440," the character, the current character that is currently we're pointing at. Right, and essentially"
237440,243760," what are we doing here? Right, so we reset the entire data within the text editor. We read the entire"
243760,250720," file into that data. If there were no errors, we recompute the lines and we also store the file"
250720,256240," path that we opened. So this is something that I did off screen. So essentially as you open the file,"
256240,264480," we also take an ownership of the file path. So next we can, for instance, save to that file without"
264480,271200," specifying that file. For instance, we have like a function called save. And where does it save things?"
271200,275840," It saves to the last opened file. Right, so it keeps track of that. It's kind of similar to how the text"
275840,283200," editors work. You know, there's like an item save and when you save something like something that you"
283200,287600," already opened, you never specify where exactly you're saving because the editor kind of knows."
287600,293200," It's kind of a similar situation but in the code. Right, and this is probably where we have to just go"
293200,298320," and set the cursor to zero and that's it. That's basically what I wanted to do. Just set the cursor to"
298320,305760," zero every time you open the file. Makes sense to me. And let's just rebuild everything and see how"
305760,313120," it's going to go. Right, so I'm going to open the file and I'm going to position the cursor somewhere"
313120,318720," here and I'm going to open a different file. And as you can see, the cursor is at zero. Right, so I can"
318720,325120," just go position it somewhere else and open something else. And it's always positioned at zero because we"
325120,331920," reset it every time we open a new file. Single line fix. Single line fix. Isn't that epic? I think it's"
331920,338240," pretty epic. Okay, so what do we have in here? Oh, hello world. I added this thing in the text editor itself."
338240,348480," Right, so we don't really need to commit that. Right, so reset the cursor every time we open a new file."
348480,351920," There we go. We're going to push that right into the repo."
351920,365520," We're going to push that right into the repo. So, to implement selection, right, to implement selection,"
365520,372480," we need to store it somewhere. So, where are we going to be storing that? So, essentially, if you, if we think"
374160,379840," about how it should be stored, it's probably going to be just two markers, right? So, essentially,"
379840,387760," selection begin, right? Maybe selection is too big of a word. Let's call it select begin,"
387760,393200," which is still too big, but I mean it's a little bit shorter. And select end, right? So, and basically,"
393200,402160," everything like between these things is a selection, right? So, and if you try to edit something there,"
402160,406960," it probably has to be like deleted and replaced it or something like that, but yeah."
406960,415840," Interestingly enough, how the selection usually behaves in a normie editor, right? So, how does it"
415840,423040," usually behave? So, let's actually open a normie editor and maybe copy paste some text in there, right?"
423040,430160," So, I'm going to copy paste some text in there. Okay. So, we have a selection and is it going to stay if I"
430160,437680," just don't hold any shift and just move the cursor around? Okay. It doesn't stay. Right. It feels like"
438880,447840," there is some sort of a mode, selection mode. And as soon as you just start moving, it goes out of the"
447840,453040," selection mode. And what's interesting is that it feels like the current position of the cursor"
453040,459680," is also one of these selection boundaries. So, I have a feeling that maybe there is no need to store"
459680,467040," two of these numbers because in a selection mode, the cursor is going to be one of the ends of the selection,"
467760,474960," right? So, it probably makes sense to just keep track of the selection begin and then the cursor"
474960,481680," and have some sort of a boolean which indicates that we're currently in selection mode, right?"
481680,485360," So, since it's a boolean, initially it's going to be false. So, that means we're not in selection mode,"
485360,490560," right? And being in the selection mode automatically means that you have to display this selection."
490560,496400," Some of the things have to behave differently, especially if you start editing, it should delete"
496400,503360," everything and replace the text with that, right? And yeah. So, we definitely want to separate like"
503360,508240," selection mode and not selection mode. And what's interesting is that if we had select begin and"
508240,516960," select end, it kind of implies that begin is sort of like less than end or equal, but it could be"
516960,522400," the other way around if we're talking about just cursor. You know what I mean? Because I started selection"
522400,529760," like from here and begin is smaller than the current cursor, but if I go up, we have an opposite situation,"
529760,535680," right? So, the begin, right? The begin is actually great. Begin is here, but the cursor is somewhere"
535680,540320," here, up here. And this editor is actually not particularly convenient. It hides the display"
541600,549760," as we switch to the selection mode. I think in Emacs, it doesn't hide the... Oh yeah, okay. In Emacs,"
549760,557040," I actually disabled shift arrows. So, on shift arrows, I basically remapped moving between the windows,"
557040,561920," windows. So, it doesn't really work that well for me anymore. So, I can't really demonstrate that,"
561920,570400," but yeah, you get the idea. So, yeah. So, I think this is going to be a representation of the selection,"
570400,577040," right? So, this is going to be a representation of the selection. So, a single boolean and where the"
577040,582480," selection begins and the cursor is where the selection ends. They can be in whatever order"
582480,589200," happens, right? Whatever order happens and we'll have to handle that. We have to handle that somehow."
589200,590240," We'll see how it goes."
593120,598080," So, how are we going to be displaying the selection? I think I already mentioned that."
598080,604320," We're going to be displaying the selection similarly, similarly to how we select the, you know, the"
604320,615040," current file that we want to open in here. So, that's going to be basically that. All right. So, let's go"
615040,622160," and try to implement the center. I think I'm going to go into the editor. And, oh, here's the interesting"
622160,629200," thing. We do not render editor within the editor translation unit. The rendering of the editor is"
629200,635200," located in the main translation unit for some reason, probably for historical reasons. So, maybe one of the"
635200,640720," the things I want to do, I actually want to move a render editor from the main translation unit to the"
640720,649280," editor translation unit, right? So, it's going to be as simple probably as just doing that. So, editor.c"
649280,658080," and I'm going to just basically move this entire thing into the editor.h. The thing about the"
659280,666240," rendering is that it also accepts the window, right? So, that means I'll have to also include"
666240,675680," SDL which is kind of something that I don't want to do for this specific translation because editors"
675680,680800," should probably not know any of this stuff. But, maybe in the future I'm going to tuck that stuff"
680800,685120," under the renderer itself and it's not going to be visible. On top of that, there is a little bit of"
685120,689200," a convention going on in here. So, first comes the editor and then the action that you do,"
689200,692000," with the editor. So, maybe because of that I want to kind of rename it like that."
692000,698240," All right. So, and let's do that here as well. And let's just try to compile this entire thing and"
